author,permlink,title,category,body,json_metadata,created,root_title,url,children
bettykatty,the-significant-occupation-a-vulcanizer,The Significant Occupation: A Vulcanizer,occupation,"A vulcanizer is regarded as someone who helps pump deflated tyres of  by the road side. The work of a vulcanizer is one that is often disregarded by most people, but a vulcanizer once said that most of them make up to a minimum of 2,500 daily.

http://www.wealthresult.com/wp-content/uploads/2013/08/Local-Vulcanizer.jpg
[Image Location](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwio3L2Si_DXAhXG1hoKHaTmDkcQjRwIBw&url=https%3A%2F%2Fwww.wealthresult.com%2Fbusiness%2Fhow-to-start-vulcanizer-work-in-nigeria&psig=AOvVaw0MJRu-r5yFV_EKdTZznEyy&ust=1512467633519393)

The work of a vulcanizer might look dirty and not presentable, but it is something you could sit with and earn a living from, it is not just an occupation to be disregarded at all.

A vulcanizer does beyond reparing of deflated tyres, he is very skilled and knows the in and out of tyres.

A vulcanizer breaks and trims broken section of tyres with knifes.

https://s.hswstatic.com/gif/videos/320x240/7754.jpg
[","{""tags"":[""occupation"",""jobs"",""nigeria"",""africa"",""steemiteducation""],""image"":[""http://www.wealthresult.com/wp-content/uploads/2013/08/Local-Vulcanizer.jpg"",""https://s.hswstatic.com/gif/videos/320x240/7754.jpg"",""http://www.naijaloaded.com.ng/wp-content/uploads/2017/01/local-Vulcanizer-Naijaloaded.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwio3L2Si_DXAhXG1hoKHaTmDkcQjRwIBw&url=https%3A%2F%2Fwww.wealthresult.com%2Fbusiness%2Fhow-to-start-vulcanizer-work-in-nigeria&psig=AOvVaw0MJRu-r5yFV_EKdTZznEyy&ust=1512467633519393"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwj2obCgjPDXAhXCtBoKHY2eCv4QjRwIBw&url=https%3A%2F%2Fauto.howstuffworks.com%2Fvulcanize-tire.htm&psig=AOvVaw3_veufbdJTpJsKSkAenp6e&ust=1512467927953852"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjft4yhjPDXAhUDORoKHRFkAV8QjRwIBw&url=http%3A%2F%2Fwww.naijaloaded.com.ng%2Fothers%2Fmust-read-vulcani",2017-12-04 10:00:57,The Significant Occupation: A Vulcanizer,/occupation/@bettykatty/the-significant-occupation-a-vulcanizer,3
bettykatty,it-is-important-that-you-trust-yourself-the-more,It Is Important That You Trust Yourself The More.,life,"I don't know if you are aware of some friends who are basically bent on seeing you come to nothing, all they are interested in, is to see that you who use to have before have nothing any longer.

There are friends who will know that you are succeeding and instead of them to become happy for you, all they will be after is just to look for a way to bring you down and totally destroy you.

http://1.bp.blogspot.com/-ft_Zm9C--sg/UaVi_P4TYaI/AAAAAAAABik/nCZz5WDspyk/s1600/trustyourself.jpg
[Image Location](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwi00IeS4o7ZAhWIFewKHQQXAY4QjRwIBw&url=http%3A%2F%2Fmcayzer.blogspot.com%2F2013%2F05%2Ftrust-yourself.html&psig=AOvVaw1LSAAHypWRK1eZwlnvPMLa&ust=1517919825787929)

This is a call for extra care and attention, because the people whom you think should be your friend might even be the one looking for your destruction and downfall.

You have to become extra careful with the people you call your friends and you should even be mor","{""tags"":[""life"",""trust"",""self"",""nigeria"",""africa""],""image"":[""http://1.bp.blogspot.com/-ft_Zm9C--sg/UaVi_P4TYaI/AAAAAAAABik/nCZz5WDspyk/s1600/trustyourself.jpg"",""https://blogs.psychcentral.com/imperfect/files/2017/10/How-to-be-a-Better-Friend-to-Yourself.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwi00IeS4o7ZAhWIFewKHQQXAY4QjRwIBw&url=http%3A%2F%2Fmcayzer.blogspot.com%2F2013%2F05%2Ftrust-yourself.html&psig=AOvVaw1LSAAHypWRK1eZwlnvPMLa&ust=1517919825787929"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiBwte-4o7ZAhUD-6QKHZF2CTQQjRwIBw&url=https%3A%2F%2Fblogs.psychcentral.com%2Fimperfect%2F2017%2F10%2Fhow-to-be-a-better-friend-to-yourself%2F&psig=AOvVaw1Wv-S5390anYag4rdnfLhM&ust=1517919770894380""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-02-05 12:27:09,It Is Important That You Trust Yourself The More.,/life/@bettykatty/it-is-important-that-you-trust-yourself-the-more,0
bettykatty,we-do-not-have-two-heads,We Do Not Have Two Heads,writing,"We live in a life where no one has two head, so why are some people more successful than a lot of other people. Why do some people get what they want with ease while others have to struggle with what they are do.

https://www.featurepics.com/StockImage/20071129/filipino-cock-fight-stock-image-530875.jpg
[1](https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiq9t-ly5bjAhXy8eAKHW3HArYQjhx6BAgBEAM&url=https%3A%2F%2Fwww.featurepics.com%2Fonline%2FFilipino-Cock-Fight-530875.aspx&psig=AOvVaw2lMzHll5-bhC_KtkzZM2Ft&ust=1562166912632424)


Why are some people born to be leaders while others are born to be slave. Why do the rich get and the poor get poorer or struggle to be rich?","{""tags"":[""writing"",""question"",""sct"",""actnearn"",""palnet""],""image"":[""https://www.featurepics.com/StockImage/20071129/filipino-cock-fight-stock-image-530875.jpg""],""links"":[""https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiq9t-ly5bjAhXy8eAKHW3HArYQjhx6BAgBEAM&url=https%3A%2F%2Fwww.featurepics.com%2Fonline%2FFilipino-Cock-Fight-530875.aspx&psig=AOvVaw2lMzHll5-bhC_KtkzZM2Ft&ust=1562166912632424""],""app"":""palnet/0.1"",""format"":""markdown""}",2019-07-02 15:51:48,We Do Not Have Two Heads,/writing/@bettykatty/we-do-not-have-two-heads,2
bettykatty,looking-into-the-ways-some-marriages-operate,Looking Into The Ways Some Marriages Operate,marriages,"That was how I overheard some individuals having a conversation at the back of my window this morning and I realized that they were women who talked about the way their husbands collected every cash they had on them.
Of course, they were local women and they felt that way because they felt they were being cheated by their husbands who ware not comfortable with them handling cash.

https://www.familylife.com/wp-content/uploads/sites/51/2018/04/6-steps-for-resolving-conflict-in-marriage_1040x326.jpg
[Image Location](https://www.google.com.ng/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwis0JfPv77aAhWHQBQKHdteAjgQjRx6BAgAEAU&url=https%3A%2F%2Fwww.familylife.com%2Farticles%2Ftopics%2Fmarriage%2Fstaying-married%2Fresolving-conflict%2F6-steps-for-resolving-conflict-in-marriage%2F&psig=AOvVaw0zRuEycZMn0qw5D9wNHt6g&ust=1523957870180812)

Their husbands, on the other hand, do menial jobs that fetch them little amount to feed the family, some of them allow their wives to work and produce extra p","{""tags"":[""marriages"",""nigeria"",""life"",""africa""],""image"":[""https://www.familylife.com/wp-content/uploads/sites/51/2018/04/6-steps-for-resolving-conflict-in-marriage_1040x326.jpg""],""links"":[""https://www.google.com.ng/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwis0JfPv77aAhWHQBQKHdteAjgQjRx6BAgAEAU&url=https%3A%2F%2Fwww.familylife.com%2Farticles%2Ftopics%2Fmarriage%2Fstaying-married%2Fresolving-conflict%2F6-steps-for-resolving-conflict-in-marriage%2F&psig=AOvVaw0zRuEycZMn0qw5D9wNHt6g&ust=1523957870180812""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-16 09:41:30,Looking Into The Ways Some Marriages Operate,/marriages/@bettykatty/looking-into-the-ways-some-marriages-operate,4
bettykatty,when-was-the-last-time-you-had-a-cute-real-smile-on-your-face,When Was The Last Time You Had A Cute Real Smile On Your Face?,smile,"We keep hearing up and down that it is good to smile, that when we smile it lightens up our mood, we ear that when we smile it makes us attractive and beautiful but we still find it a little difficult to smile.
So, I decided to find out if there could be reasons why we have people who do not smile, hold on and I am just going to share the reasons my research work provided me with over time.

https://i.ytimg.com/vi/OmHWOzc_n_U/hqdefault.jpg
[Image Location](https://www.google.com.ng/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj6g5_m87naAhXKAewKHf-tCqkQjRx6BAgAEAU&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DOmHWOzc_n_U&psig=AOvVaw3evE30aCYis-9-VCLXS-ab&ust=1523800043029401)

Some people do not smile because they have a bad breath and sometimes a bad set of teeth.

Another reason is that some people are scared of having a wrinkled face.

Some other people are scared of the way they will look if they smile, so they would rather just keep a straight face.

Some people do not smile bec","{""tags"":[""smile"",""happiness"",""nigeria"",""writing""],""users"":[""bettykatty""],""image"":[""https://i.ytimg.com/vi/OmHWOzc_n_U/hqdefault.jpg"",""https://i.pinimg.com/originals/d9/6d/e2/d96de257bfb11ecdc5258bc5aefab07e.jpg""],""links"":[""https://www.google.com.ng/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj6g5_m87naAhXKAewKHf-tCqkQjRx6BAgAEAU&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DOmHWOzc_n_U&psig=AOvVaw3evE30aCYis-9-VCLXS-ab&ust=1523800043029401"",""https://www.google.com.ng/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjD8fz-87naAhXOAewKHQKYDg4QjRx6BAgAEAU&url=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F331859066265967156%2F&psig=AOvVaw3evE30aCYis-9-VCLXS-ab&ust=1523800043029401""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-14 13:50:24,When Was The Last Time You Had A Cute Real Smile On Your Face?,/smile/@bettykatty/when-was-the-last-time-you-had-a-cute-real-smile-on-your-face,2
bettykatty,what-do-you-think-about-engaging-in-a-one-sided-type-of-love,What Do You Think About Engaging In A One Sided Type Of Love.,love,"There are relationships that I have seen where it so glaring that the type of love expressed is only one-sided, it is just from one person in the relationship, it is not coming from both sides rather it is the only coming from one person in the relationship.

http://www.malegroomingacademy.com/wp-content/uploads/2016/02/540.png
[Image Location](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwjUw83E8rTaAhWL6RQKHRiPDYwQjRx6BAgAEAU&url=http%3A%2F%2Fmyfathersay.blogspot.com%2F2016%2F06%2Fone-sided-love.html&psig=AOvVaw2mnKDRgFW1P7KSwC_pDyf4&ust=1523627937188090)

For me, I will say that the best type of relationship that can exist is the type where love and affection are shown by both parties and it is not just one-sided.

A relationship that is one-sided can be really frustrating because it will make the part giving the love become tired and they might not go well at the end of the whole thing.

There is no good reason why someone should remain in a one sided type of ","{""tags"":[""love"",""relationship"",""nigeria"",""africa""],""image"":[""http://www.malegroomingacademy.com/wp-content/uploads/2016/02/540.png""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwjUw83E8rTaAhWL6RQKHRiPDYwQjRx6BAgAEAU&url=http%3A%2F%2Fmyfathersay.blogspot.com%2F2016%2F06%2Fone-sided-love.html&psig=AOvVaw2mnKDRgFW1P7KSwC_pDyf4&ust=1523627937188090""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-12 14:01:51,What Do You Think About Engaging In A One Sided Type Of Love.,/love/@bettykatty/what-do-you-think-about-engaging-in-a-one-sided-type-of-love,3
bettykatty,can-you-identify-genuine-love-when-you-find-one-or-will-you-just-let-it-out-of-your-sight-easily-because-you-do-not-understand,Can You Identify Genuine Love When You Find One? Or Will You Just Let It Out Of Your Sight Easily Because You Do Not Understand It's Importance.,love,"There is one thing I have noticed amongst individuals and that is our inability to reciprocate love when we have them.
To me, I feel that love is a gift that should be treasured and never taken for granted.
Love especially a genuine one is usually difficult to find, so getting one implies that it should never be taken for granted in any way whatsoever.

https://unlockingthebible.org/wp-content/uploads/2012/12/man-beach-love-sand.jpg
[Image Location](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwj6r-3htbLaAhWCaxQKHTj6AYgQjRx6BAgAEAU&url=https%3A%2F%2Funlockingthebible.org%2F2016%2F02%2Fdistinguishing-marks-genuine-love%2F&psig=AOvVaw3uykPe9LKord1lqxQ0IHdO&ust=1523542904480549)

For some people who have been shown the true meaning of love, they usually find it very difficult to reciprocate it, they usually feel that they will have that love permanently for a very long time.
I have been forced to come to the conclusion that people who are given this gift of love usu","{""tags"":[""love"",""emotions"",""nigeria"",""life"",""value""],""image"":[""https://unlockingthebible.org/wp-content/uploads/2012/12/man-beach-love-sand.jpg"",""http://3.bp.blogspot.com/_gWNedzrFlRM/S_TiM-aZ3qI/AAAAAAAAAwc/MVS88EFPBnc/w1200-h630-p-k-no-nu/4266283238_b908761e95.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwj6r-3htbLaAhWCaxQKHTj6AYgQjRx6BAgAEAU&url=https%3A%2F%2Funlockingthebible.org%2F2016%2F02%2Fdistinguishing-marks-genuine-love%2F&psig=AOvVaw3uykPe9LKord1lqxQ0IHdO&ust=1523542904480549"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwiAxYiLtrLaAhUFuBQKHSloBFUQjRx6BAgAEAU&url=http%3A%2F%2Fbrokenheart-univers.blogspot.com%2F2010%2F05%2Fblog-post_20.html&psig=AOvVaw147HYejq2IjtkWb81pu1LJ&ust=1523542223033204""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-11 14:32:51,Can You Identify Genuine Love When You Find One? Or Will You Just Let It Out Of Your Sight Easily Because You Do Not Understand It's Importance.,/love/@bettykatty/can-you-identify-genuine-love-when-you-find-one-or-will-you-just-let-it-out-of-your-sight-easily-because-you-do-not-understand,2
bettykatty,the-true-meaning-and-the-legitimate-value-of-peace,The True Meaning And The Legitimate Value Of Peace.,peace,"Peace is one thing that everyone tries to speak of, everyone tries to preach and practice the act of peace but the real thing is that how many people do really understand the act of peace.
Peace is one thing which should be properly understood before it is even spoken of by anyone, peace is an act that neglects violence and strife totally.

Peace eliminates issues and problems generally. Peace begins with on self and then it begins to spread around and to everyone around.

https://wildmontana.org/images/web/160524_pi_asouth.jpg
[Image Location](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwjkwuTLjLDaAhWCWRQKHWRsBoAQjRx6BAgAEAU&url=https%3A%2F%2Fwildmontana.org%2Fwhats-new%2Fpeace-in-its-purest-form2&psig=AOvVaw3X0kygb09eroaqpbqrMqWq&ust=1523463137838117)

Peace provides a solution to problems, peace gives people a calm mind and it makes situations get settled.
Peace provides an opportunity for strength and happiness. 
Peace provides an opportunity for sustainabil","{""tags"":[""peace"",""unity"",""nigeria""],""image"":[""https://wildmontana.org/images/web/160524_pi_asouth.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwjkwuTLjLDaAhWCWRQKHWRsBoAQjRx6BAgAEAU&url=https%3A%2F%2Fwildmontana.org%2Fwhats-new%2Fpeace-in-its-purest-form2&psig=AOvVaw3X0kygb09eroaqpbqrMqWq&ust=1523463137838117""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-10 16:17:42,The True Meaning And The Legitimate Value Of Peace.,/peace/@bettykatty/the-true-meaning-and-the-legitimate-value-of-peace,3
bettykatty,the-fun-loving-ladies-episode-10,The Fun Loving Ladies [Episode 10],fun,"Hello gorgeous, how have you been? Nancy smiled when she read the message and then replied that she had been fine.
They had chatted for a while when it occurred to her to ask about the picture.

He explained that he wasn't really a picture person and rarely even had the time to visit facebook, talk more of uploading pictures.
https://i.onthe.io/vllkyt3cotd8bjc5hg.4511f714.jpg
[Image Location](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwiMmeXHyZbaAhVEWxQKHUDXBRQQjRx6BAgAEAU&url=https%3A%2F%2Fwww.naija.ng%2F1122435-nigerian-natural-hair-styles-2017.html&psig=AOvVaw272KrKJM49Ao8RGaVAizc7&ust=1522586149205519)
His job kept him quite busy and the only reason he had even come online that day was in the hope of chatting with Nancy.

His facebook profile had said he was a bank accountant and Nancy could imagine how that can be really stressful. She was somewhat flattered at the thought tht David had really come online in the hope that she could be too.","{""tags"":[""fun"",""socialmedia"",""relationships"",""nigeria""],""image"":[""https://i.onthe.io/vllkyt3cotd8bjc5hg.4511f714.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwiMmeXHyZbaAhVEWxQKHUDXBRQQjRx6BAgAEAU&url=https%3A%2F%2Fwww.naija.ng%2F1122435-nigerian-natural-hair-styles-2017.html&psig=AOvVaw272KrKJM49Ao8RGaVAizc7&ust=1522586149205519""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-09 10:13:30,The Fun Loving Ladies [Episode 10],/fun/@bettykatty/the-fun-loving-ladies-episode-10,1
bettykatty,the-fun-loving-ladies-episode-9-f3718afc2c4f9,The Fun Loving Ladies [Episode 9],socialmedia,"However when Nancy viewed his facebook profile,  he had only one photograph of himself and it was the same one he used as his twitter avatar. 
The other ones were either pictures of Chelsea club,  of celebrities or other wallpapers. 

https://i.onthe.io/vllkyt3cotd8bjc5hg.4511f714.jpg
[Image Location](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwiMmeXHyZbaAhVEWxQKHUDXBRQQjRx6BAgAEAU&url=https%3A%2F%2Fwww.naija.ng%2F1122435-nigerian-natural-hair-styles-2017.html&psig=AOvVaw272KrKJM49Ao8RGaVAizc7&ust=1522586149205519)

Judging from the only picture he had,  Nancy thought he was quite handsome so she liked the picture. 

It was a couple of days before Nancy saw him online again.  She was online chat chatting with facebook friends she didn't even know when David sent her a message","{""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=2ahUKEwiMmeXHyZbaAhVEWxQKHUDXBRQQjRx6BAgAEAU&url=https%3A%2F%2Fwww.naija.ng%2F1122435-nigerian-natural-hair-styles-2017.html&psig=AOvVaw272KrKJM49Ao8RGaVAizc7&ust=1522586149205519""],""image"":[""https://i.onthe.io/vllkyt3cotd8bjc5hg.4511f714.jpg""],""tags"":[""socialmedia"",""life"",""fun"",""nigeria"",""blog""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-08 15:59:45,The Fun Loving Ladies [Episode 9],/socialmedia/@bettykatty/the-fun-loving-ladies-episode-9-f3718afc2c4f9,1
