author,permlink,title,category,body,json_metadata,created,root_title,url,children
bimbo45,a-poem-another-reason-to-stop-the-act-of-child-marriage,A Poem: Another Reason to Stop the Act of Child Marriage.,hive-124452,"
![image.png](https://cdn.steemitimages.com/DQmZMjNBysTW1U5CQ8Xh1YRdRA6mhixXjMbnGSzVqkxug8H/image.png)

[Image credit](https://reliefweb.int/report/world/renewed-call-protect-girls-rights-and-end-child-marriage-east-and-southern-africa)

The only thing he offered was terrible memories,
but I felt too weak to fight,
I was betrothed to him before I could differentiate between the male and female gender,
It had become a custom in my hometown,
we were not allowed to make the choice of a life partner,
we had to agree with whomsoever loved us as a child and paid for us to be kept,
Mum had sworn not to allow her children to go through the same experience she had,
she had fought with every power she had,
but her strength had to give way when there was no money to put food on the table,
she had cried out her eyes on the day I was to go to my husband's house,
poverty had silenced her this time around,
Dad had threatened that it was either I got married or he was going to send us all out of the house,
my uneducated mot","{""app"":""peakd/2021.09.1"",""format"":""markdown"",""tags"":[""poetry"",""piotr"",""life"",""abuse"",""violence"",""children"",""marriage"",""love""],""users"":[],""image"":[""https://cdn.steemitimages.com/DQmZMjNBysTW1U5CQ8Xh1YRdRA6mhixXjMbnGSzVqkxug8H/image.png""]}",2021-12-17 16:39:48,A Poem: Another Reason to Stop the Act of Child Marriage.,/hive-124452/@bimbo45/a-poem-another-reason-to-stop-the-act-of-child-marriage,10
bimbo45,smart-choices-made-by-smart-people-r51cow,Smart choices made by smart people.,hive-124452,"I was innocently scrolling through some content on social media today, I usually do that to get some sort of information but I am always sure not to spend time on it. When I found this author speaking about things that smart people abstain from, I knew the topic would be not only a good one but also a very educating one too. 


![image.png](https://files.peakd.com/file/peakd-hive/bimbo45/23tbijM6hoWZzDkBSSB1DgRndn1mLnZRC28SMq4HDMdWA7r931qMxi56eMqU3YqLQuS8f.png)


[credit](https://images.pexels.com/photos/7207270/pexels-photo-7207270.jpeg?cs=srgb&dl=pexels-emre-keshavarz-7207270.jpg&fm=jpg)

You will agree with me that a smart person makes better decisions and appears to live a more confident and pleasurable life, why would we not desire smartness on all levels if it provides such a good omen. Even if we have been doing things in an unsmart way before, there is always room for improvement and there is always time to make necessary adjustments that could help us become better humans.

#### Getting troubled abo","{""app"":""peakd/2021.09.1"",""format"":""markdown"",""tags"":[""smartness"",""piotr"",""projecthope"",""life"",""blog""],""users"":[],""image"":[""https://files.peakd.com/file/peakd-hive/bimbo45/23tbijM6hoWZzDkBSSB1DgRndn1mLnZRC28SMq4HDMdWA7r931qMxi56eMqU3YqLQuS8f.png"",""https://files.peakd.com/file/peakd-hive/bimbo45/23xpErQywReCTKg1SJH6R8iH3hd5D2LY774xcnkKamAjJ48eJ77AX39R2rMB3ri81uYWv.png""]}",2022-01-01 14:40:24,Smart choices made by smart people.,/hive-124452/@bimbo45/smart-choices-made-by-smart-people-r51cow,5
bimbo45,business-ideas-for-this-generation-r6f6o9,Business Ideas for this Generation.,hive-124452,"Hello, beautiful people of this amazing community, thank you for the beautiful support I have gotten so far from you all through upvotes and comments, I can say that my crypto journey which is only just beginning cannot be spoken about without the mention of your support and love, I sincerely appreciate it.

There are various business opportunities available in this century, several business options to choose from but we must be careful enough to choose a business path that we are comfortable with and skilled at handling. It must also be an idea that people are ready to pay for. Let me quickly take you through some existing creative business ideas where you can comfortably find your niche and position yourself in a spot to make a profit.


![image.png](https://cdn.steemitimages.com/DQmbZZVpRpUh2zYDaBSVuKYZEcs34gZiU1fFpUMcerMbbf2/image.png)
<center>[pixabay.com](https://cdn.pixabay.com/photo/2016/11/09/21/28/exclusive-banquet-1812772__340.jpg)</center>

•	Clothing business: It is impossible to go out without ","{""app"":""peakd/2022.01.2"",""format"":""markdown"",""tags"":[""business"",""finance"",""profit"",""piotr"",""proofofbrain""],""users"":[],""image"":[""https://cdn.steemitimages.com/DQmbZZVpRpUh2zYDaBSVuKYZEcs34gZiU1fFpUMcerMbbf2/image.png""]}",2022-01-28 12:29:33,Business Ideas for this Generation.,/hive-124452/@bimbo45/business-ideas-for-this-generation-r6f6o9,0
bimbo45,business-ideas-for-stay-home-mothers,Business Ideas for Stay Home Mothers.,hive-150329,"Motherhood is an extremely serious job, a large percentage of nursing mothers in my country usually have to quit their jobs especially when they do not have sufficient financial capability to hire a nanny to help with the care of the kids. Apart from financial needs, most families in my country believe strongly that it is the woman's responsibility to handle household chores and take care of the kids while the men go out to make money.

What could be more interesting than being a stay home Mum who makes lots of money, I am not cut out for the 09:00 am-05:00 pm lifestyle, so if I begin to have kids and I have the opportunity to stay at home and make money while taking care of my kids, I will definitely choose that lifestyle over and over again.

![image.png](https://cdn.steemitimages.com/DQmcTvy8Cx2NaTfwbmKF57fL8nfTyY2vaUTJwCdTAdTnF7H/image.png)
[istockphoto.com](https://media.istockphoto.com/photos/mother-working-at-home-while-her-son-plays-picture-id1217411121?b=1&k=20&m=1217411121&s=170667a&w=0&h=uZHBPQZoH","{""app"":""peakd/2022.01.2"",""format"":""markdown"",""tags"":[""business"",""piotr"",""money"",""lifestyle"",""hope"",""opportunities""],""users"":[],""image"":[""https://cdn.steemitimages.com/DQmcTvy8Cx2NaTfwbmKF57fL8nfTyY2vaUTJwCdTAdTnF7H/image.png"",""https://cdn.steemitimages.com/DQmYfCzVWVTSDJhfV1FKGJZMXjpzmv4JyuQz47co6L2P4s3/image.png""]}",2022-02-08 08:12:21,Business Ideas for Stay Home Mothers.,/hive-150329/@bimbo45/business-ideas-for-stay-home-mothers,0
bimbo45,the-numerous-tale-of-scam-projects,The Numerous Tale of Scam Projects.,hive-124452,"We all know about scams, it is a word that rings a scary bell in the minds of so many of us, because no one wants to struggle to make money and then lose it to individuals who feel smart. Regardless of how many people have fallen into the hands of these scammers and how many scam projects we have, it is rather unfortunate that every day another scam project is born and over again, people still fall into the trap of a regular basis. Let’s take a look at some examples of some old scam projects and how people lose money up to date. 

#### Ponzi schemes.
Charles Ponzi is the father of Ponzi schemes, he told investors that they would be able to make 50% of their investment in 45 days and if they could leave their investment for 100 days, they will be making a 100% interest of whatever they invested. This scheme grew so well that people began to beg Charles to take their money, actually, he was not making any profit at the time as he was simply paying one investor with the money of another investor until he had en","{""app"":""peakd/2022.03.9"",""format"":""markdown"",""tags"":[""knowledge"",""piotr"",""cryptocurrency"",""scheme"",""project""],""users"":[],""image"":[""https://cdn.steemitimages.com/DQmSgkvPixQKg7jus6ibgv9UCkj7gWCm3j5y7CtiGSQRXK7/image.png"",""https://cdn.steemitimages.com/DQmNYFWRGHVMSBT6xB3kxAJhuQgLa7CsGcFnHAravixSeBn/image.png""]}",2022-04-21 13:20:33,The Numerous Tale of Scam Projects.,/hive-124452/@bimbo45/the-numerous-tale-of-scam-projects,0
bimbo45,forever-young-in-humans-oror-a-planarian-study,Forever Young in Humans || A Planarian Study,hive-196387,"My grandmother is old now, and I can tell from her look that she doesn't like how she is weak and unable to do the things she did in the past . Growing up from being a child to a blossom flower in her prime, only to limited to a particular place, at a particular time. At a time, she told me all she wished for was to be able to climb the mountains again with her legs and see how beautiful the world is. Well, possibly she could get to the top of the mountain if we decide to find a way to get her there, but using her legs looks like a task that she can't even start, less finish. You see, the topic of aging can be seen as a blessing and at some point, it could be considered a curse. As a person, I do not wish to grow old or die even though I know it is some worth not possible looking at the level scientist are with experimenting on and death, but it wouldn't be a crime to wish for something.


![flickr - https://www.flickr.com/photos/neilmoralee/49972372253](https://live.staticflickr.com/65535/49972372253_aa9f77","{""app"":""peakd/2022.07.1"",""format"":""markdown"",""tags"":[""science"",""stem"",""stemsocial"",""neoxian"",""gem"",""ocd"",""aging"",""piotr""],""users"":[],""image"":[""https://live.staticflickr.com/65535/49972372253_aa9f779101_b.jpg"",""https://live.staticflickr.com/5450/6952017558_980e29ed29_b.jpg""]}",2022-07-24 14:18:51,Forever Young in Humans || A Planarian Study,/hive-196387/@bimbo45/forever-young-in-humans-oror-a-planarian-study,4
bimbo45,understanding-the-stomach-and-eating,Understanding the Stomach and Eating,hive-196387,"<div class=""text-justify"">


The stomach, a J shaped organ located at the upper left quadrant of the abdomen, sitting underneath the left rib-cage, which stores solid food and liquid. The foods and liquids are received from the esophagus and digested in it. In today's post, I will be explaining the stomach and looking into how much food can the stomach handle. 


I have seen a lot of people going for food competitions, and I see how they eat very much on TV, leaving me extremely dumbfounded. I have decided to try this so many times, and it looks like I do not have the same size of stomach as they do, or my stomach is just being a cheat, not allowing me to harness its full potential like the people I see on the TV in the food competition do. That  being one, another thing that got me interested in this topic was when my younger cousin came to me and said she was hungry, and her stomach was already digesting itself. I was like whoops!! Your stomach is really a bad boy, because mine hasn't digested itself in ye","{""links"":[""https://pubmed.ncbi.nlm.nih.gov/9863573/"",""https://www.healthline.com/health/how-big-is-your-stomach"",""https://journals.physiology.org/doi/full/10.1152/ajpgi.00434.2003"",""https://www.ncbi.nlm.nih.gov/books/NBK535425/"",""https://training.seer.cancer.gov/ugi/anatomy/layers.html"",""https://www.webmd.com/digestive-disorders/picture-of-the-stomach"",""https://open.oregonstate.education/aandp/chapter/23-4-the-stomach/"",""https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/gastric-lipase"",""https://pubmed.ncbi.nlm.nih.gov/2134569/"",""https://www.sciencedirect.com/topics/immunology-and-microbiology/pyloric-sphincter""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/6/6a/2414_Stomach.jpg"",""https://commons.wikimedia.org/wiki/File:2414_Stomach.jpg""],""thumbnails"":[""https://upload.wikimedia.org/wikipedia/commons/6/6a/2414_Stomach.jpg"",""https://commons.wikimedia.org/wiki/File:2414_Stomach.jpg""],""tags"":[""hive-196387"",""stem"",""neoxian"",""stomach"",""biology"",""digestive-system"",""gem"",""oc",2022-08-22 09:30:06,Understanding the Stomach and Eating,/hive-196387/@bimbo45/understanding-the-stomach-and-eating,8
bimbo45,the-true-definition-of-friendship,The True Definition of Friendship.,hive-124452,"In our generation, we are used to generalizing the term “friendship”, we call our colleagues at work friends, we call our business associates friends, when in the real essence of things, not everyone we meet are our friends, there are standards to quality friendship and for some of the relationships we have, it is basically a beautiful work relationship and nothing else, the moment we begin to see things in that light, it becomes easy for us to define relationships for what they truly are.

I would like to highlight some of the really important qualities of friendship, this will help us clearly identify when the friendship is indeed a genuine one, we would also be able to differentiate between normal relationships and genuine friendship, this way, they won’t be mistaken one for another.


<center>![image.jpeg](https://cdn.steemitimages.com/DQmehSNp6C6fXb92Y9awK9TZjJdd2jTqUC71St9Tnu5q48Y/image.jpeg)
[pexels](https://www.pexels.com/photo/adult-affection-beads-blur-371285/)</center>

###  <center>Qualities of a","{""links"":[""https://www.pexels.com/photo/adult-affection-beads-blur-371285/""],""image"":[""https://cdn.steemitimages.com/DQmehSNp6C6fXb92Y9awK9TZjJdd2jTqUC71St9Tnu5q48Y/image.jpeg""],""thumbnails"":[""https://cdn.steemitimages.com/DQmehSNp6C6fXb92Y9awK9TZjJdd2jTqUC71St9Tnu5q48Y/image.jpeg""],""tags"":[""hive-124452"",""friendship"",""hope"",""value"",""motivation"",""neoxian"",""ocd""],""description"":""In our generation, we are used to generalizing the term “friendship”, we call our colleagues at work friends, we call our business associates friends, when in the real essence of things, not everyone we"",""app"":""ecency/3.0.26-vision"",""format"":""markdown+html""}",2022-09-13 02:26:39,The True Definition of Friendship.,/hive-124452/@bimbo45/the-true-definition-of-friendship,2
bimbo45,sacrifices-made-for-success,Sacrifices Made for Success.,hive-124452,"<div class=""text-justify"">

I was shocked to find my friend (someone I consider a big sister), awake almost all through the night after working her ass off during the day, simply trying to look for opportunities to make extra cash. I had to get up very early to make a great breakfast for her because I know she will stay with her laptop until she dozes off.
It is rather unfortunate that despite her consistent hard work, she does not have much to show for it, when I confronted her about it,  she listed the long list of responsibilities she had to shoulder and I was so scared for her.

<center>https://images.pexels.com/photos/725255/pexels-photo-725255.jpeg?auto=compress&cs=tinysrgb&w=1600
[pexels](https://www.pexels.com/photo/person-standing-on-hand-rails-with-arms-wide-open-facing-the-mountains-and-clouds-725255/)</center></div>

I noticed how much her siblings adore her but I never knew she was doing this much for them, she is particularly the only one trying to see that her siblings lack nothing, I must say","{""links"":[""https://www.pexels.com/photo/person-standing-on-hand-rails-with-arms-wide-open-facing-the-mountains-and-clouds-725255/"",""https://www.pexels.com/photo/woman-raising-her-hands-up-while-sitting-on-floor-with-macbook-pro-on-lap-3813341/""],""image"":[""https://images.pexels.com/photos/725255/pexels-photo-725255.jpeg?auto=compress&cs=tinysrgb&w=1600"",""https://images.pexels.com/photos/3813341/pexels-photo-3813341.jpeg?auto=compress&cs=tinysrgb&w=1600""],""thumbnails"":[""https://images.pexels.com/photos/725255/pexels-photo-725255.jpeg?auto=compress&cs=tinysrgb&w=1600"",""https://images.pexels.com/photos/3813341/pexels-photo-3813341.jpeg?auto=compress&cs=tinysrgb&w=1600""],""tags"":[""hive-124452"",""motivation"",""piotr"",""ocd"",""neoxian"",""success"",""hope""],""description"":"""",""app"":""ecency/3.0.28-vision"",""format"":""markdown+html""}",2022-09-30 17:14:03,Sacrifices Made for Success.,/hive-124452/@bimbo45/sacrifices-made-for-success,6
bimbo45,the-spread-and-transmission-of,The Spread and Transmission of HIV through the Human Body.,hive-196387,"<div class=""text-justify"">

HIV has been in existence for a long time now, but despite the intense publicity made about the deadly nature of the virus, it remains a widespread flame that seem to get intense by the day. Recently, awareness about the virus was taken to a local region, I happen to know a nurse that works there, and you will be shocked at the reported survey of young ladies and young men who have the virus in that community, they know about the existence of the virus, but they never thought it would get to them personally, you had to see the great shock on their faces when they tested positive to the HIV. Let's talk about the virus and what we need to know about it's spread and prevention.
HIV cannot be spread through; shaking hands, sharing toilets, sharing the same plate and cutlery, it cannot also be shared through water, air, mosquito bite, ticks and other insect bites. What are the describable way to spread HIV, HIV can be gotten through direct contact with the body fluid of an infected per","{""links"":[""https://www.pexels.com/photo/syringe-and-pills-on-blue-background-3936368/"",""https://www.pexels.com/photo/person-holding-white-plastic-tube-5712679/"",""https://www.cdc.gov/hiv/basics/hiv-transmission/ways-people-get-hiv.html"",""https://www.cdc.gov/hiv/basics/hiv-transmission/ways-people-get-hiv.html"",""https://www.hiv.gov/hiv-basics/overview/about-hiv-and-aids/how-is-hiv-transmitted"",""https://medlineplus.gov/hivaids.html"",""https://www.nhs.uk/conditions/hiv-and-aids/"",""https://www.who.int/news-room/fact-sheets/detail/hiv-aids"",""https://my.clevelandclinic.org/health/diseases/4251-hiv-aids""],""image"":[""https://images.pexels.com/photos/3936368/pexels-photo-3936368.jpeg?auto=compress&cs=tinysrgb&w=600"",""https://images.pexels.com/photos/5712679/pexels-photo-5712679.jpeg?auto=compress&cs=tinysrgb&w=600""],""thumbnails"":[""https://images.pexels.com/photos/3936368/pexels-photo-3936368.jpeg?auto=compress&cs=tinysrgb&w=600"",""https://images.pexels.com/photos/5712679/pexels-photo-5712679.jpeg?auto=compress&cs=tinysrg",2022-10-28 02:41:03,The Spread and Transmission of HIV through the Human Body.,/hive-196387/@bimbo45/the-spread-and-transmission-of,3
