author,permlink,title,category,body,json_metadata,created,root_title,url,children
busted1,the-billionaire-industry-for-the-future,The Billionaire Industry for the Future,hive-175254,"A lot of people have made billions from several industry, just like in the old a lot of people traded in gold, there are going to be industry that will be making billionaires in the nearest future giving rise to new billionaires. A lot of this industries will be making billionaires as it has made them in the past. Here are a few industries that will be making billionaires in the future:

![Chemical-Plant-Production-shutterstock_355435700--photograph_848w477h.jpg](https://cdn.steemitimages.com/DQmdms1AbE8egsrfTsKkzFSAgzwRsJ412ndVdy5K8uvJpp8/Chemical-Plant-Production-shutterstock_355435700--photograph_848w477h.jpg)
[Credit](https://www.rockwellautomation.com/global/industries/overview.page)



### Engineering, Tech, AI and Robotics
Elon Musk has proven that it is good to be an engineer and engineers can become billionaires. All you need to do is get the right technological innovation and you are good to go. Every technological advancement is a way to generate income and that can make the pioneer or engineer be","{""app"":""peakd/2020.07.1"",""format"":""markdown"",""tags"":[""business"",""investment"",""industry"",""fashion"",""technology"",""fintech"",""billionaires"",""entertainment"",""health"",""leofinance""],""links"":[""https://www.rockwellautomation.com/global/industries/overview.page""],""image"":[""https://cdn.steemitimages.com/DQmdms1AbE8egsrfTsKkzFSAgzwRsJ412ndVdy5K8uvJpp8/Chemical-Plant-Production-shutterstock_355435700--photograph_848w477h.jpg""]}",2020-07-02 07:33:03,The Billionaire Industry for the Future,/hive-175254/@busted1/the-billionaire-industry-for-the-future,4
busted1,how-fast-growing-millionaires-lose-their-millions,How Fast Growing Millionaires Lose Their Millions,hive-175254,"When asked if we know of any millionaire as an average person, we may be quick to point at those who live in luxurious homes and those who drive big vehicles but we may not be even consider our neighbour who lives simply to have such amount of money. I really admire simplicity, I love those who have so much but do not usually flaunt their lifestyle on people’s faces and that is my description of a perfect millionaire.


![1140-gold-trap.imgcache.rev85c8b3e5d5d25e5d8201b389b671eaab.jpg](https://cdn.steemitimages.com/DQmbJfPTE3P5r8U5NCCQGBt2GA52WZ75bH1ar1XYvkqLEDi/1140-gold-trap.imgcache.rev85c8b3e5d5d25e5d8201b389b671eaab.jpg)
[source](https://www.aarp.org/money/scams-fraud/info-2016/gold-coin-investment-scams.html)

Apart from those whose family have great wealth to their names and they have been brought up with fame and wealth, there are some others who had to literally work their way up to the top, by making money and setting budget to meet up with the type of lifestyle they desire since they became millio","{""app"":""peakd/2020.07.1"",""format"":""markdown"",""tags"":[""finance"",""wealth"",""money"",""financial-education"",""luxury"",""leofinance""],""links"":[""https://www.aarp.org/money/scams-fraud/info-2016/gold-coin-investment-scams.html"",""https://www.washingtonpost.com/lifestyle/style/why-does-everybody-suddenly-hate-billionaires-because-theyve-made-it-easy/2019/03/13/00e39056-3f6a-11e9-a0d3-1210e58a94cf_story.html""],""image"":[""https://cdn.steemitimages.com/DQmbJfPTE3P5r8U5NCCQGBt2GA52WZ75bH1ar1XYvkqLEDi/1140-gold-trap.imgcache.rev85c8b3e5d5d25e5d8201b389b671eaab.jpg"",""https://cdn.steemitimages.com/DQmbkWxA9Vr8rpArM78hczYuizWfDDFhGVXgLQAWf9vh8VN/imrs.jpeg""]}",2020-07-25 19:59:00,How Fast Growing Millionaires Lose Their Millions,/hive-175254/@busted1/how-fast-growing-millionaires-lose-their-millions,2
busted1,should-employees-and-business-owners-or-executives-share-the-profit-of-a-company-equally,Should Employees and Business Owners or Executives share the Profit of a Company Equally?,hive-175254,"I was in a company the previous day and I overheard a group of workers saying that the company wasn’t fair to them, that the executives were making more money than the employees also, the owners of the business were the ones enjoying the profit and not the workers. After a few minutes listening to them, I decided to look at it from a point of view. What happened if the workers were paid equal percentage with regards to profit from the company, would it be a good idea?

![MW-HR131_BNIM_P_20190911144652_ZQ.jpg](https://cdn.steemitimages.com/DQmbuiUNBb5eXXnxE5bRdiKdXccBLJGVkg4UicDVAQyHMCd/MW-HR131_BNIM_P_20190911144652_ZQ.jpg)
[Source](https://www.marketwatch.com/amp/story/forcing-companies-to-share-the-wealth-with-employees-could-save-capitalism-2019-09-13)




A lot of businesses are self-funded and there is no guarantee that most of these businesses will survive the first five years of operation. This cost and loss is often on the entrepreneur and or the executives shoulder has they have to account for all l","{""app"":""peakd/2020.09.5"",""format"":""markdown"",""tags"":[""business"",""entrepreneurship"",""entrepreneur"",""employee"",""employment"",""profit"",""leofinance""],""links"":[""https://www.marketwatch.com/amp/story/forcing-companies-to-share-the-wealth-with-employees-could-save-capitalism-2019-09-13""],""image"":[""https://cdn.steemitimages.com/DQmbuiUNBb5eXXnxE5bRdiKdXccBLJGVkg4UicDVAQyHMCd/MW-HR131_BNIM_P_20190911144652_ZQ.jpg""]}",2020-09-27 09:15:27,Should Employees and Business Owners or Executives share the Profit of a Company Equally?,/hive-175254/@busted1/should-employees-and-business-owners-or-executives-share-the-profit-of-a-company-equally,5
busted1,jeff-bezos-and-bill-gates-who-is-richer-and-whose-wealth-can-survive-economic-turmoils,Jeff Bezos and Bill Gates; Who is Richer and whose Wealth can Survive Economic Turmoils,hive-175254,"I was having a chat with a group yesterday, and we had a very fierce argument over the richest man in the world. Some very intelligent set of people said it was Jeff Bezos, based on the financial magazine reports and another brilliant set said it was Bill Gates based on Liquidity and investment portfolio. Well, this two set of people have their reasons for picking the both parties and in this reasons can be logically proven.

https://cms.qz.com/wp-content/uploads/2020/07/jeffbezosbillgates-e1595598555571.jpg?quality=75&strip=all&w=1600&h=900&crop=1
[source](https://images.app.goo.gl/CCrTiMhmtHWGVcK1A)


#### Jeff Bezos is the Richest
Jeff has held this title for a while after overtaking Bill Gates, this is as a result of his shares in a company with a very high market capitalization, Amazon. Just as published by Forbes, Bloomberg and other financial and business magazines, Jeff Bezos is estimated to over $190Bbut this net worth is majorly tied to Amazon and this means he still has majority of his eggs in one","{""app"":""peakd/2020.10.9"",""format"":""markdown"",""tags"":[""entrepreneurs"",""businessperson"",""wealth"",""finance"",""jeff-bezos"",""bill-gates"",""leofinance""],""links"":[""https://images.app.goo.gl/CCrTiMhmtHWGVcK1A"",""https://www.forbes.com/sites/jonathanponciano/2020/08/26/worlds-richest-billionaire-jeff-bezos-first-200-billion/?sh=6ca8e5ad4db7"",""https://www.businessinsider.com/how-rich-is-jeff-bezos-mind-blowing-facts-net-worth-2019-4?IR=T"",""https://www.investopedia.com/articles/personal-finance/111214/where-does-bill-gates-keep-his-money.asp#:~:text=Bill%20Gates%20is%20worth%20roughly,stashes%20some%20of%20his%20money"",""https://www.forbes.com/profile/bill-gates/?sh=5cfccdb0689f""],""image"":[""https://cms.qz.com/wp-content/uploads/2020/07/jeffbezosbillgates-e1595598555571.jpg?quality=75&amp;strip=all&amp;w=1600&amp;h=900&amp;crop=1""]}",2020-11-05 12:50:39,Jeff Bezos and Bill Gates; Who is Richer and whose Wealth can Survive Economic Turmoils,/hive-175254/@busted1/jeff-bezos-and-bill-gates-who-is-richer-and-whose-wealth-can-survive-economic-turmoils,7
busted1,how-to-make-reading-interesting-for-kids,HOW TO MAKE READING INTERESTING FOR KIDS.,hive-175254,"On our wonderful community last week I read a very interesting article about the importance of reading and I know for sure that reading is a very important part of human life, it is easy to differentiate a reader from a person who does not know how to read books, the traits of the two individuals is shown in the way they speak and even in the way that they act. Reading is healthy but the kids we have these days do not like to read, so many parents often complain about their children finding it as a boring activity to read, if reading is healthy and our kids are not reading we have to find a way to get them to read.


![images - 2020-12-10T090659.074.jpeg](https://cdn.steemitimages.com/DQmYGe5RZnck2jTZph5NxEGwiL3hDjWboVNHRNkQXQFSZf5/images%20-%202020-12-10T090659.074.jpeg)

[Image Source](https://www.readbrightly.com/how-to-make-reading-fun-25-ideas-kids-will-love/)


The reason why some kids do not find reading interesting is often because they were not trained with books, while growing up their parents pref","{""app"":""peakd/2020.11.4"",""format"":""markdown"",""tags"":[""books"",""kids"",""fun"",""entertainment""],""links"":[""https://www.readbrightly.com/how-to-make-reading-fun-25-ideas-kids-will-love/"",""https://www.scholastic.com/parents/books-and-reading/raise-a-reader-blog/raise-children-who-read-fun.html"",""https://www.greatschools.org/gk/articles/things-to-say-when-your-child-says-i-hate-reading/""],""image"":[""https://cdn.steemitimages.com/DQmYGe5RZnck2jTZph5NxEGwiL3hDjWboVNHRNkQXQFSZf5/images%20-%202020-12-10T090659.074.jpeg"",""https://cdn.steemitimages.com/DQmNq7pfmtsiVvcs9CVgZaSTVsmpWBsrWVrm8BVebmgGteK/images%20-%202020-12-10T090916.617.jpeg"",""https://cdn.steemitimages.com/DQmdJuK8cgdPv6KpcieRRCgQbAPwKs11F2YN3nkrX1heeTh/images%20-%202020-12-10T091048.546.jpeg""]}",2020-12-10 08:20:18,HOW TO MAKE READING INTERESTING FOR KIDS.,/hive-175254/@busted1/how-to-make-reading-interesting-for-kids,2
busted1,the-methods-that-can-be-used-generate-more-income-for-your-business,The methods that can be used generate more income for your business.,hive-175254,"Business is easy but what makes it appear difficult is the fact that there is a lot of complications when it comes to humans, the human nature is a highly complicated nature and it takes a lot more than the usual to make the complicated human nature become easy to comprehend and work with. In business it is highly important for revenue’s to be generated, a business works when there is a constant income record.

Generating more income for the business implies that there has to be a method of improvement in the business and one of the ways to get steady cash flow into the business is what I will be discussing in this post so you have to read to the end if you are a business owner that desires steady cash flow.

[Image Source](https://www.sidehustlenation.com/passive-income/)
#### Get more customers through the door.
Getting more customers to come through the door to buy from you is a way to generate more income, I really do not think a business gets to the point where it has sufficient customers instead what i","{""app"":""peakd/2020.11.4"",""format"":""markdown"",""tags"":[""money"",""finance"",""business""],""links"":[""https://www.sidehustlenation.com/passive-income/""],""image"":[""https://cdn.steemitimages.com/DQmTJjLhkGeyGQk5EGxMyR1PM2uQYUkkNimBF5UKVHsSHy8/images%20-%202020-12-17T000008.737.jpeg""]}",2020-12-17 20:55:12,The methods that can be used generate more income for your business.,/hive-175254/@busted1/the-methods-that-can-be-used-generate-more-income-for-your-business,0
busted1,liabilities-you-never-saw-as-liabilities,Liabilities You Never saw as Liabilities,hive-175254,"Liabilities are things that people do not want to incur as they do not bring in revenue to the users involved but rather, they take away money from the person who incur such. A lot of people do not identify a liability, some take liabilities as asset whereas they are nothing more than a liability. In this post I will be explaining a few things you didn’t know or didn’t consider a liability as a result of the way they sound to you.
<center>https://insights.ehotelier.com/wp-content/uploads/sites/6/2018/10/liability.jpg
[source](https://images.app.goo.gl/JyQcyaNYFxEqGvdZ7)</center>

### Debt
Debt is the biggest liability any person, organization or country will incur, Debt eats into personal funds and not replace the funds back, debt is one race that people try to get out of both in the civilized countries and in uncivilized countries.

### Lack of Financial Education
The inability to have good financial instruments is one liability that a lot of us wouldn’t notice until it has consumed us. The lack of having a","{""app"":""peakd/2020.12.3"",""format"":""markdown"",""tags"":[""liability"",""debt"",""finance"",""leofinance""],""image"":[""https://insights.ehotelier.com/wp-content/uploads/sites/6/2018/10/liability.jpg""],""links"":[""https://images.app.goo.gl/JyQcyaNYFxEqGvdZ7""]}",2020-12-21 05:04:09,Liabilities You Never saw as Liabilities,/hive-175254/@busted1/liabilities-you-never-saw-as-liabilities,0
busted1,why-airlines-companies-aren-t-making-profit-all-the-time,Why Airlines Companies aren't Making Profit all the Time,hive-175254,"In 1783, Air travel was discovered with hot air baloon. In 1903, planes started moving and now there are over 40,000 airplanes and over 1000 airline company but not all these companies are making profit.

Whene it comes to buying a plane ticket, one thing that a lot of people are concerned about is the price of the plane ticket. If a plane ticket is higher, the airline company should be able to deliver what the other airline company can't or people will go for the lower price.

https://www.itij.com/sites/default/files/styles/hero_image_small/public/2020-04/passenger-plane-getting-ready-flight.jpg?itok=4GvkHW-d
[source](https://images.app.goo.gl/gAn9EoBrLogkEooG8)

Planes are very expensive and planes have a lifespan they are to use, each has a total amount of circle that it can go and when they exceed this circle niumbers, the plane has a high chance of crash but when they are maintained, they can still fly for a longer time.


Do you know that if airlines were to consider the amount to be made in comparism ","{""app"":""peakd/2021.01.3"",""format"":""markdown"",""tags"":[""airline"",""business"",""profitability"",""airplane"",""leofinance""],""links"":[""https://images.app.goo.gl/gAn9EoBrLogkEooG8"",""https://images.app.goo.gl/mLuPjhMaxn7yKQ6B8"",""https://www.investopedia.com/financial-edge/0510/4-reasons-why-airlines-are-always-struggling.aspx"",""https://www.revfine.com/airline-industry/""],""image"":[""https://www.itij.com/sites/default/files/styles/hero_image_small/public/2020-04/passenger-plane-getting-ready-flight.jpg?itok=4GvkHW-d"",""https://uploads-ssl.webflow.com/5ecbef0c7557e7ba0f693039/5eebf6e385e3cc4f30c9b784_efb947f19e7283eba1eb8494e699a864fab0be7a_jose-lebron-1138274-unsplash.jpeg"",""https://steemitimages.com/640x0/https://images.hive.blog/DQmNdhfrFPAT7RUuEmYU2BrHo3wGCRqVfJozREipxHNCxQb/7AzetLrHVAgJRHVDzpRUR2vmMvqHemvBSthicZStXv4DGwWnCYYUr5PZb1qw9vGtQNbCdcb3RjphPeR5YwaLhA61RYWcP6tGm5eokesZHkjdubftyonQRD8i1XR4ob...LoUdhd1orZZgQXUQPwgbyFfW394MxpZioLDpdKttvdDHrNDxLtCzPgehznUCvEPGKwqGmZ5pzGFGLMqZRhfqFtaPridWZwG8MyABg8nMUJRDL4DjGc8Yg7yQ7",2021-01-16 12:21:36,Why Airlines Companies aren't Making Profit all the Time,/hive-175254/@busted1/why-airlines-companies-aren-t-making-profit-all-the-time,5
busted1,the-act-of-commercialising-holidays-for-profit,The act of Commercialising Holidays for Profit,hive-175254,"Everyone as a kid loves holidays but then as we grew up, we started to understand that there is a special day all day and this days are just making a certain set of people richer. In case you haven't noticed, there are 100s of holidays and observings around the world from personal holidays like Birthdays, Naming Ceremonies, Weddings, Funerals, to public holidays and observings like Valentines day, Christmas, New Year celebration, Haloween, Boxing Day, World Men day, World Women Day, World Boss day, Saint Basil's Day, April Fools' Day, Autism Day, Earth Day, Saint George's Day, Anzac Day and many more.

https://www.learningliftoff.com/wp-content/uploads/2014/11/9WinterHolidaysAroundTheWorld_LL-730x390.jpg
[image source](https://images.app.goo.gl/2NQVDYFZrYtbEps76)

I then ask myself, why do we have all this holidays and who innitiated them? Why do we have to celebrate these holidays and have so many breaks in a year and who benefits from all this break?

I am sure you must have heard about National Corn's day","{""app"":""peakd/2021.01.3"",""format"":""markdown"",""tags"":[""holiday"",""business"",""commercial-"",""hoiday"",""finance"",""sales"",""leofinance""],""links"":[""https://images.app.goo.gl/2NQVDYFZrYtbEps76"",""https://images.app.goo.gl/vdr4ztLsEurQMGMf8""],""image"":[""https://www.learningliftoff.com/wp-content/uploads/2014/11/9WinterHolidaysAroundTheWorld_LL-730x390.jpg"",""https://s3.amazonaws.com/s3.mp-cdn.net/6b/ab/86152dc8335137a236ae26013ef7-is-christmas-becoming-too-commercialized.jpg""]}",2021-01-19 21:58:00,The act of Commercialising Holidays for Profit,/hive-175254/@busted1/the-act-of-commercialising-holidays-for-profit,2
busted1,gdp-consumption-personal-consumption-business-investment-government-spending-net-export-net-imports, GDP - Consumption (personal consumption) + Business Investment + Government Spending + [Net export - Net Imports],hive-175254,"GDP is a business and economic acronym meaning Gross Domestic Product. It is used to determine the total value of all financial activity in a country, which could include import, export, purchase, local selling, contracts awarded by the government and so on.

https://nairametrics.com/wp-content/uploads/2017/04/GDP-growth-kashagan.today_-938x535.jpg
[source](https://images.app.goo.gl/6ZSWkGXtgK5QfqzV7)

An economy's GDP can be regarded as the health status of such economy and the higher the GDP, the more prosperous the economy is but when the GDP is down, then the economy is down. It is used to determine the direction of an economy.  The GDP of a country is determined by the C + I + G + [X - M] which means Consumption (personal consumption) + Business Investment + Government Spending + [Net export - Net Imports]. 

A lot of countries have a very low GDP as a result of inflation leading to a devaluation in currency, and more import than export while some countries have a high GDP like the United States with a ","{""app"":""peakd/2021.01.3"",""format"":""markdown"",""tags"":[""economy"",""gdp"",""business"",""investment"",""finance"",""government"",""leofinance""],""links"":[""https://images.app.goo.gl/6ZSWkGXtgK5QfqzV7""],""image"":[""https://nairametrics.com/wp-content/uploads/2017/04/GDP-growth-kashagan.today_-938x535.jpg""]}",2021-02-10 21:04:09, GDP - Consumption (personal consumption) + Business Investment + Government Spending + [Net export - Net Imports],/hive-175254/@busted1/gdp-consumption-personal-consumption-business-investment-government-spending-net-export-net-imports,1
