author,permlink,title,category,body,json_metadata,created,root_title,url,children
elity-sitio,excessive-pessimism-and-finding-the-perfect-business-plan-can-ruin-a-business-idea,Excessive Pessimism and Finding the Perfect business plan Can Ruin a Business Idea,hive-167922,"There is nothing like a perfect business idea from the start. Every business idea can be very attractive or very woeful and disappointing. Business ideas are raw form of thoughts which always look beautiful at first as the entrepreneur is energetic about their thoughts and then something happens, the business never comes to a reality. Why does this happen, why do this people not get their businesses into the real world?


![500_F_255719374_lmIRIqjFPZsixdQPNd3vc6ttX3Z5fTQG.jpg](https://cdn.steemitimages.com/DQmdHJ5CEWQQixVuqZoLJFyX2eXEP1mYGYcvzoZ4Ea1HbPC/500_F_255719374_lmIRIqjFPZsixdQPNd3vc6ttX3Z5fTQG.jpg)
[Image](https://stock.adobe.com/uk/images/optimism-and-pessimism-balance-harmony-and-relation-pictured-as-two-equal-balls-with-text-words-showing-abstract-idea-and-symmetry-between-two-symbols-and-real-life-concepts-3d-illustration/255719374)



The truth is there is no well-designed business idea, and there are often two things that kill these ideas before they even get into the real world is excess pessi","{""app"":""leofinance/0.2"",""format"":""markdown"",""tags"":[""business"",""idea"",""entrepreneurship"",""entrepreneur"",""projecthope"",""pessimism"",""optimism"",""leofinance""],""links"":[""https://stock.adobe.com/uk/images/optimism-and-pessimism-balance-harmony-and-relation-pictured-as-two-equal-balls-with-text-words-showing-abstract-idea-and-symmetry-between-two-symbols-and-real-life-concepts-3d-illustration/255719374"",""https://www.inc.com/jeff-haden/how-to-write-perfect-business-plan-a-comprehensive-guide.html""],""image"":[""https://cdn.steemitimages.com/DQmdHJ5CEWQQixVuqZoLJFyX2eXEP1mYGYcvzoZ4Ea1HbPC/500_F_255719374_lmIRIqjFPZsixdQPNd3vc6ttX3Z5fTQG.jpg"",""https://cdn.steemitimages.com/DQmRpaC2syhu4RQBc9huN7L7BwNAuRN8myHtpjwqKhvA3hD/shutterstock_1023246931_364607.jpg""]}",2020-09-30 22:32:15,Excessive Pessimism and Finding the Perfect business plan Can Ruin a Business Idea,/hive-167922/@elity-sitio/excessive-pessimism-and-finding-the-perfect-business-plan-can-ruin-a-business-idea,1
elity-sitio,negotiation-the-key-to-making-conflicting-issues-become-productive,"Negotiation, The key to making Conflicting Issues become Productive",hive-175254,"Everyday is a negotiation day, directly or indirectly. You negotiate on what you want to eat over what others want, you negotiate about how you want your relationship to be. We negotiate about virtually everything negotiable and why we negotiate is because we have a goal or target, how much you are willing to give or take and an alternative if it doesn't work out well. Every person who is in the game of negotiating either for a corporate institution or for personal purpose should understand a few things about negotiation.

https://blog-assets.freshworks.com/freshdesk/wp-content/uploads/2018/08/Art-of-negotiation-in-customer-service.png
[image](https://images.app.goo.gl/Dg8huFdqD5KGCysM7)

### What is negotiation
The physical interaction between two parties with the aim of reaching a specific agreement which is often a win-win, is referred to as negotiation. The purpose of every negotiation is to reach a mutual agreement without the other party feeling  cheated.

### What to consider before and during a negot","{""app"":""peakd/2020.11.1"",""format"":""markdown"",""tags"":[""negotiation"",""business"",""deals"",""leofinance""],""links"":[""https://images.app.goo.gl/Dg8huFdqD5KGCysM7"",""https://images.app.goo.gl/VnybUVQFZyQEsD1t8""],""image"":[""https://blog-assets.freshworks.com/freshdesk/wp-content/uploads/2018/08/Art-of-negotiation-in-customer-service.png"",""https://www.beefmagazine.com/sites/beefmagazine.com/files/styles/article_featured_retina/public/negotiation-skills-Enisaksoy-iStock-Thinkstock.jpg?itok=fAWu_p7X""]}",2020-11-23 13:11:51,"Negotiation, The key to making Conflicting Issues become Productive",/hive-175254/@elity-sitio/negotiation-the-key-to-making-conflicting-issues-become-productive,2
elity-sitio,learning-the-business-lessons-from-drug-dealers,Learning the Business Lessons from Drug Dealers,hive-175254,">Disclaimer: Don't do drugs, I do not in anyway support or agitate for the use, sell or consumption of hard drugs in anyway. This post is for recreational and educational purposes and should be considered as such.


https://cdn.corporatefinanceinstitute.com/assets/business-ethics.jpeg
[image](https://images.app.goo.gl/M2JzPRjxNJoRAnwdA)

Drug is an illegal business but at every time, people still sell drugs and the truth remains that they make a lot of money from doing this business. The fact that the business is illegal does not mean that there are not a few useful business tips to learn from it. I watched in a movie about drug and I also saw in a few documentaries about drugs and then I realize that one thing that drug dealers are concerned about is quality.

### Produce quality Products
If the same ways drug dealers are very concerned about quality is the same way business people are concerned about quality, it would have been a good reason for growth. When drug dealers are about to do business, they firs","{""app"":""peakd/2021.01.3"",""format"":""markdown"",""tags"":[""business"",""entrepreneurship"",""entrepreneur"",""competition"",""consumer"",""customer-relationship"",""leofinance""],""links"":[""https://images.app.goo.gl/M2JzPRjxNJoRAnwdA""],""image"":[""https://cdn.corporatefinanceinstitute.com/assets/business-ethics.jpeg""]}",2021-01-23 21:20:42,Learning the Business Lessons from Drug Dealers,/hive-175254/@elity-sitio/learning-the-business-lessons-from-drug-dealers,1
elity-sitio,the-advice-for-young-people-who-want-to-be-rich-by-andrew-carnegie,The advice for young people who want to be rich by Andrew Carnegie.,hive-175254,"
>People who are unable to motivate themselves must be content with mediocrity, no matter how impressive their other talents. Andrew Carnegie.


![images - 2021-03-17T185139.357.jpeg](https://cdn.steemitimages.com/DQmPAgotLh8zTqXibM3h6QS5V716SGSrW2wx5kFEcUukuVH/images%20-%202021-03-17T185139.357.jpeg)

[Source](https://www.entrepreneur.com/amphtml/320132)

There are certain things that naturally push us to get things done in life, when we were in school we had to read our books because we want to make good grades and make our parents proud of us so at a point like that even if we did not feel like reading, we still had to push ourselves to read then we get to graduate from school and then we get a good job, we do not go to work early every day just because we like to do so but we get up to work every day because we need to or we bear the consequence of being fired.

Now, choosing to become entrepreneur’s makes us feel as we are not accountable to anyone and as such we can decide to wake up at the time that w","{""app"":""peakd/2021.03.7"",""format"":""markdown"",""tags"":[""wealth"",""rich"",""patience"",""endurance""],""links"":[""https://www.entrepreneur.com/amphtml/320132"",""https://www.marketwatch.com/amp/story/incompetent-people-from-wealthy-backgrounds-are-more-likely-to-act-like-theyre-smart-and-people-believe-them-2019-05-21"",""https://www.google.com/url?sa=t&amp;source=web&amp;rct=j&amp;url=https://supermindtv.medium.com/10-advice-from-warren-buffet-for-young-people-who-want-to-be-rich-e86170a8a0b9&amp;ved=2ahUKEwjck4GC8rfvAhVnUBUIHbdnBFkQFjAAegQIARAC&amp;usg=AOvVaw351eZtwCEF3YMNyQE8k4bg""],""image"":[""https://cdn.steemitimages.com/DQmPAgotLh8zTqXibM3h6QS5V716SGSrW2wx5kFEcUukuVH/images%20-%202021-03-17T185139.357.jpeg"",""https://cdn.steemitimages.com/DQmRzokdk6rS1qdpkt8RmmqTxXsCYhxYvmSujitCD6oxUWH/images%20-%202021-03-17T185240.422.jpeg""]}",2021-03-17 18:07:33,The advice for young people who want to be rich by Andrew Carnegie.,/hive-175254/@elity-sitio/the-advice-for-young-people-who-want-to-be-rich-by-andrew-carnegie,4
elity-sitio,exploring-the-scientific-process-of,Exploring the scientific process of food digestion (from the mouth to the anus).,hive-196387,"<div class=""text-justify"">

The fact that we do not have control over time is one important reason why we should never joke with it, these were the words I muttered to myself after I opened my hive account this week and realized it has been two long years already. It has been a long unproductive year for my company and after trying so hard to maintain stability some of us had to be relieved of our duties, it seemed like a very bad time for this to happen but, I knew I could not sit and cry for too long, I had to pick up myself and get going before things would get worse. While applying to remote roles online with the hope that I will get another job before the year runs out or possibly by next year, I remember I use to run an hive account before I got so busy with work. 

I was excited to find my passwords still carefully placed where I had left them, so I started looking around again with the hope to reconnect and hopefully, I am able to find my path again. I opened the @stemsocial community where I got so ","{""links"":[""https://www.flickr.com/photos/niaid/24213170962"",""https://www.needpix.com/photo/32617/diagram-digestive-system-stomach-intestine-labelled-human-digestion-anatomy"",""https://www.betterhealth.vic.gov.au/health/conditionsandtreatments/digestive-system"",""https://www.niddk.nih.gov/health-information/digestive-diseases/digestive-system-how-it-works"",""https://courses.lumenlearning.com/suny-ap2/chapter/digestive-system-processes-and-regulation/"",""https://guides.hostos.cuny.edu/bio140/5-16"",""https://www.webmd.com/heartburn-gerd/your-digestive-system""],""image"":[""https://live.staticflickr.com/1478/24213170962_fcc841a3e8_z.jpg"",""https://storage.needpix.com/rsynced_images/diagram-41638_1280.png""],""users"":[""stemsocial""],""tags"":[""hive-196387"",""digestion"",""neoxian"",""ocd"",""appreciator"",""science"",""food"",""hive"",""food-blog""],""description"":"""",""app"":""ecency/3.0.30-vision"",""format"":""markdown+html""}",2022-12-23 00:35:48,Exploring the scientific process of food digestion (from the mouth to the anus).,/hive-196387/@elity-sitio/exploring-the-scientific-process-of,8
elity-sitio,understanding-the-pathophysiology-diagnosis-and,"Understanding the Pathophysiology, Diagnosis, and Treatment of Meniere's Disease",hive-196387,"<div class=""text-justify"">

In my last post, I discussed Eustachian Tube Dysfunction, and to do that, I did my best to give a little summary about the Ear. In my last post, I discussed the Outer ear, the Middle Ear, and the Inner Ear. I explained that the outer was made up of the visible part of the ear, and the external acoustic meatus that connects the pinna to the eardrum which differentiates the outer ear from the middle ear. I further explained that the middle ear stating that it starts immediately after the eardrum (tympanic membrane). I explained that the middle ear was made up of three small bones, known as the ossicle. The middle ear is made up of the Malleus, the Incus, and the Stapes. I explained how sound travels from the ear canal reaching the tympanic membrane and vibrating the ossicles which then transmit the sound waves from the outer ear to the inner ear. I then talked about the inner ear being made up of the cochlear, and the vestibule. The cochlear is responsible for hearing, while the ves","{""links"":[""https://www.ncbi.nlm.nih.gov/books/NBK536955/"",""https://www.hopkinsmedicine.org/health/conditions-and-diseases/menieres-disease"",""https://journals.sagepub.com/doi/full/10.1177/0194599820909438"",""https://www.tandfonline.com/doi/full/10.1080/14737175.2022.2030221"",""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3098516/"",""https://www.medicalnewstoday.com/articles/163888"",""https://www.thelancet.com/journals/lancet/article/PIIS0140673608611617/fulltext""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/5/50/Blausen_0244_CochlearImplant_01.png"",""https://commons.wikimedia.org/wiki/File:Blausen_0244_CochlearImplant_01.png""],""tags"":[""hive-196387"",""stemgeeks"",""ecency"",""neoxian"",""meniere-disease"",""pathology"",""health"",""hearing"",""ocd"",""science""],""description"":"""",""app"":""ecency/3.0.30-vision"",""format"":""markdown+html""}",2023-01-03 13:02:57,"Understanding the Pathophysiology, Diagnosis, and Treatment of Meniere's Disease",/hive-196387/@elity-sitio/understanding-the-pathophysiology-diagnosis-and,4
elity-sitio,explaining-infant-and-toddler-growth,Explaining Infant and Toddler Growth and Development Milestones,hive-196387,"<div class=""text-justify"">

Hey everyone, today I am going to be writing about our developments, I mean human development and growth from childhood till we get to adulthood. I decided to write this post because a friend of mine had a child last Thursday, and was looking really confused with basic information like when is the child meant to grow his first tooth, and which set of teeth are going to be the first to show. he also didn't understand a whole lot of things when it comes to human growth and development, so I decided to do the honors to explain in a comprehensive way the human growth and development but in this post, I will be looking at children and toddlers then in subsequent videos, I will explain other stages. So let's get into the day's business.

In this post, I will not start with the prenatal milestones and growth as this is another topic on its own, but I will be discussing Postnatal development and growth from infants to adulthood. So starting with the infant developmental milestones, I will","{""links"":[""https://www.pexels.com/photo/photo-of-baby-lying-on-bed-3875222/"",""https://www.ncbi.nlm.nih.gov/books/NBK542197/"",""https://medlineplus.gov/ency/article/003310.htm"",""https://www.cdc.gov/ncbddd/childdevelopment/positiveparenting/infants.html"",""https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/expert-answers/infant-growth/faq-20058037"",""https://www.healthychildren.org/English/ages-stages/baby/teething-tooth-care/Pages/Babys-First-Tooth-Facts-Parents-Should-Know.aspx"",""https://www.nhs.uk/conditions/baby/babys-development/teething/baby-teething-symptoms/"",""https://helpmegrowmn.org/HMG/DevelopMilestone/2Months/index.html"",""https://www.cdc.gov/ncbddd/actearly/milestones/milestones-4mo.html"",""https://www.unicef.org/parenting/child-development/your-babys-developmental-milestones-6-months""],""image"":[""https://images.pexels.com/photos/3875222/pexels-photo-3875222.jpeg""],""tags"":[""hive-196387"",""science"",""infant"",""stem"",""stemgeeks"",""neoxian"",""ecency"",""gem"",""ocd""],""description"":"""",""app"":""ecen",2023-01-11 06:53:33,Explaining Infant and Toddler Growth and Development Milestones,/hive-196387/@elity-sitio/explaining-infant-and-toddler-growth,4
elity-sitio,understanding-the-different-classification-of,Understanding the Different Classification of Skin Burns,hive-196387,"<div class=""text-justify"">

Hey everyone, I hope you are having a good day. I will be discussing in details Burns in humans. Before I start to explain about burns, let me quickly do a run-through on the skin.

The skin is the largest organ of the human body, followed by the liver, and the brain. The skin covers the entire surface of the body and serves as a barrier to protect the internal body from external environmental factors. The skin is made up of three main layers the epidermis, dermis, and subcutaneous tissue.

https://upload.wikimedia.org/wikipedia/commons/4/4f/501_Structure_of_the_skin.jpg</div>
[https://commons.wikimedia.org](https://commons.wikimedia.org/wiki/File:501_Structure_of_the_skin.jpg)


The **Epidermis** is the outermost layer of the skin. It serves as the protective barrier of the body from the environment as well as regulation of water loss from the body. The epidermis is made up of several layers of cells, including the stratum basale (the deepest portion of the epidermis), stratum sp","{""links"":[""https://commons.wikimedia.org"",""https://www.flickr.com"",""https://www.flickr.com/photos/quasimime/140997568"",""https://www.flickr.com/"",""https://www.flickr.com/photos/interplast/3198644140"",""https://www.uptodate.com/contents/assessment-and-classification-of-burn-injury/print"",""https://www.ncbi.nlm.nih.gov/books/NBK539773/"",""https://www.nationwidechildrens.org/conditions/health-library/classification-of-burns"",""https://www.ncbi.nlm.nih.gov/books/NBK470464/"",""https://www.ncbi.nlm.nih.gov/books/NBK441980/""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/4/4f/501_Structure_of_the_skin.jpg"",""https://commons.wikimedia.org/wiki/File:501_Structure_of_the_skin.jpg"",""https://live.staticflickr.com/56/140997568_fa090e5791_b.jpg"",""https://live.staticflickr.com/3465/3198644140_18dfb08608_b.jpg""],""tags"":[""hive-196387"",""burns"",""science"",""skin"",""neoxian"",""anatomy"",""stem"",""stemgeeks"",""ecency"",""curagel""],""description"":"""",""app"":""ecency/3.0.30-vision"",""format"":""markdown+html""}",2023-01-17 22:44:51,Understanding the Different Classification of Skin Burns,/hive-196387/@elity-sitio/understanding-the-different-classification-of,1
elity-sitio,an-overview-of-rheumatology-arthritis,An Overview of Rheumatology - Arthritis and Gout,hive-196387,"<div class=""text-justify"">

@elity-sitio here again, and in today's post, I will be discussing Rheumatology in detail. Rheumatology is a branch of medicine or medical specialty that deals with the diagnosis and treatment of rheumatic diseases, which are conditions that affect the joints, muscles, and bones. The categories of the diseases can be autoimmune diseases, autoinflammatory diseases, crystalline arthritis, metabolic bone disease, pain syndrome, and vasculitides. These diseases can cause inflammation, pain, stiffness, and damage to the affected parts of the body. When you hear people say they have Rheumatism, it is a general name for any disease that is associated with pain and inflammation of joints, muscles, and connective tissues. The name Rheumatism is not a scientific name, they are referring to Rheumatoid arthritis. Examples of rheumatic diseases are rheumatoid arthritis, Paget disease, Osteoarthritis, gout, Pseudogout, Systemic Lupus Erythematosus, Sarcoidosis, Familial Mediterranean fever, and","{""links"":[""https://commons.wikimedia.org"",""https://emedicine.medscape.com/article/331715-overview?reg=1"",""https://www.rheumatology.org/I-Am-A/Patient-Caregiver/Health-Care-Team/What-is-a-Rheumatologist"",""https://www.sciencedirect.com/topics/medicine-and-dentistry/rheumatology"",""https://www.everydayhealth.com/rheumatic-diseases/guide/"",""https://www.cdc.gov/arthritis/basics/gout.html"",""https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions/gout"",""https://patient.info/doctor/rheumatological-history-examination-and-investigations"",""https://arthritis.arizona.edu/physical-examination""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/0/0b/Gout_Signs_and_Symptoms.jpg"",""https://commons.wikimedia.org/wiki/File:Gout_Signs_and_Symptoms.jpg""],""users"":[""elity-sitio""],""tags"":[""hive-196387"",""stem"",""neoxian"",""stemgeeks"",""rheumatology"",""arthritis"",""gout"",""gem"",""ecency""],""description"":"""",""app"":""ecency/3.0.30-vision"",""format"":""markdown+html""}",2023-01-20 13:38:54,An Overview of Rheumatology - Arthritis and Gout,/hive-196387/@elity-sitio/an-overview-of-rheumatology-arthritis,2
elity-sitio,understanding-the-rh-type-of,Understanding the Rh Type of Blood Grouping,hive-196387,"<div class=""text-justify"">

RH blood Grouping and ABO blood grouping. While some people are very used to the Rh- Blood grouping system, it is important to know that the ABO blood grouping system is well recognized and they both work hand in hand. Please do not mistake blood grouping for genotypes, they are not the same in any way. the Rh-blood grouping has to do with antigens and antibodies but before I continue what is the meaning of 'Rh'according to ""The A-B-O blood groups of rhesus monkeys"" shows that it means Rhesus Monkey. This occurred as a result of an experiment where red blood cells from a rhesus monkey were injected into a rabbit and a guinea pig. When this transfusion was done, it was noticed that the guinea pigs developed antibodies that agglutinate the red blood cells from the rhesus monkeys because the red blood cells of the rhesus monkey had antigens that were foreign to the Rabbit system causing the rabbit to produce antisera that fought against the antigen. This led to the conclusion that th","{""links"":[""https://commons.wikimedia.org"",""https://commons.wikimedia.org/wiki/File:Blood_Group_Chart_Designed_by_"",""https://commons.wikimedia.org"",""https://pubmed.ncbi.nlm.nih.gov/6771406/"",""https://www.jstor.org/stable/30080584?seq=1"",""https://www.sciencedirect.com/topics/medicine-and-dentistry/blood-group-rhesus-system"",""https://www.ncbi.nlm.nih.gov/books/NBK2269/"",""https://ashpublications.org/blood/article/95/2/375/138582/The-Rh-blood-group-system-a-review"",""https://www.ncbi.nlm.nih.gov/books/NBK2267/""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/7/7e/Blood_Group_Chart_Designed_by_%28%28Sir_Ibrahim_Awwab%29%29_29_July_2018.png"",""https://upload.wikimedia.org/wikipedia/commons/1/1d/1913_ABO_Blood_Groups.jpg"",""https://commons.wikimedia.org/wiki/File:1913_ABO_Blood_Groups.jpg""],""thumbnails"":[""https://upload.wikimedia.org/wikipedia/commons/7/7e/Blood_Group_Chart_Designed_by_%28%28Sir_Ibrahim_Awwab%29%29_29_July_2018.png"",""https://upload.wikimedia.org/wikipedia/commons/1/1d/1913_ABO_Blood_Groups.jp",2023-02-11 00:40:24,Understanding the Rh Type of Blood Grouping,/hive-196387/@elity-sitio/understanding-the-rh-type-of,2
