author,permlink,title,category,body,json_metadata,created,root_title,url,children
faloseyi,what-people-is-going-to-say-about-you,What people is going to say about you?,education,"We make record in our daily life activities.. What we do today, is what we are going to accountable for  at the end of life. 
![images-2.jpg](https://steemitimages.com/DQmeZ4ZVibRygGqF3bwkS3c5uQAuYYHigGSjnKyANah34Jn/images-2.jpg)
![images-4.jpg](https://steemitimages.com/DQmdsdr44pMCDBojArsHsWeLZFEdmfvqHyfUg1mqWD7KYWT/images-4.jpg)
Their are three things to think of in every day activities of our life 
1.life
2.time
3.record
Note that,LIFE SHALL PASS, TIME SHALL PASS,BUT THE RECORD OF LIFE SHALL NEVER PASS. 
The record of life means the total accumulation of years being use by someone with impart on earth either good or bad..
If you make positive impact on earth people are going to say something about you,and if you make negative impact their to say something about you.. 
![images-3.jpg](https://steemitimages.com/DQmZCTUo1x48gxKBKV3J8B3vEDnpxXRVjMH2DMmR2hJ36Zm/images-3.jpg)
The important thing on earth is to make positive impact on this earth.","{""tags"":[""education"",""religion"",""dynamicsteemian"",""wafrica"",""steemit""],""image"":[""https://steemitimages.com/DQmeZ4ZVibRygGqF3bwkS3c5uQAuYYHigGSjnKyANah34Jn/images-2.jpg"",""https://steemitimages.com/DQmdsdr44pMCDBojArsHsWeLZFEdmfvqHyfUg1mqWD7KYWT/images-4.jpg"",""https://steemitimages.com/DQmZCTUo1x48gxKBKV3J8B3vEDnpxXRVjMH2DMmR2hJ36Zm/images-3.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-09 19:49:48,What people is going to say about you?,/education/@faloseyi/what-people-is-going-to-say-about-you,1
faloseyi,nigeria-is-a-muslim-country-or-not,Nigeria is a Muslim country or not?,nigeria,"NIGERIAN FLAG 

The flag of Nigeria was designed in 1959 by Taiwo Akinkunmi.

first officially hoisted on 1 October 1960. The flag is a vertical 1:2 triband of green, white, green. The two green stripes represent Nigeria's natural wealth, while the white band represents peace. 
![FB_IMG_15240309955796541.jpg](https://steemitimages.com/DQmZMgkd5Es8x7paVZVnoXA3t5oNrkqtAn1oaUmVupqkHNE/FB_IMG_15240309955796541.jpg)

Any country that didn't fight to get independent  always use green and white or blue and white... 

Green and white is symbolic color in Islamic world and has meaning to Islamic  believer. 

Today people are protesting to return the Arabic inscription on the naira note...

WHY IS GREEN IS SO PREVALENT IN THE ISLAMIC WORLD? 

Because it was supposedly Mohammed's favorite color. The Islamic prophet is said to have worn a green cloak and turban
![170px-Khizr.JPG](https://steemitimages.com/DQmTYX4nrNwdUWSm561MgVsYXTkK8uHeZsrmxrMuhfNsJmi/170px-Khizr.JPG)

Reclining on green Cushions and rich Carpets of be","{""tags"":[""nigeria"",""religion"",""dynamicsteemian"",""wafrica"",""steemit""],""image"":[""https://steemitimages.com/DQmZMgkd5Es8x7paVZVnoXA3t5oNrkqtAn1oaUmVupqkHNE/FB_IMG_15240309955796541.jpg"",""https://steemitimages.com/DQmTYX4nrNwdUWSm561MgVsYXTkK8uHeZsrmxrMuhfNsJmi/170px-Khizr.JPG"",""https://steemitimages.com/DQmVZutKfsvo83Je8P6fRkiBRGWDer7wuFXhW8JpbarD6i2/FB_IMG_15240310034643322.jpg"",""https://steemitimages.com/DQmdjxBFXk1nceGmG3W6YdnRct8Ety3xLu5QYbxJqWiVpfK/FB_IMG_15240310126392504.jpg"",""https://steemitimages.com/DQmd1CXn865kipLbmxYbhUD9eRqL8LpHeaUAHRmj5J9dS1f/FB_IMG_15240310214589233.jpg"",""https://steemitimages.com/DQmUqJt6kfhxiWCQi6SuruQGiqqniMH5KpEdjqvC6JAd6z1/FB_IMG_15240310324664836.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-18 08:14:03,Nigeria is a Muslim country or not?,/nigeria/@faloseyi/nigeria-is-a-muslim-country-or-not,1
faloseyi,the-secret-of-making-money,the secret of making money,business,"You don't need money to start business  all what you need is to gather some ideas and work on it. 
Factors to consider 
1. Time 
2. Salary 
This to factor is very important. 
  Time
Resume to work on time,be the first person to be in office before your staff came to office 
 Salary
Do not spend money lavishly, you'll  pay yourself salary and pay your worker very well,all your gain should return to the business.. 
And also you must also know how to confuse customer and be very nice to them..
Note.. No dream is too big or small all what you need is to believe in yourself and achieve your goals.. ![images.jpg](https://steemitimages.com/DQmcd8oZxdvcM17i3VJ2CAqDafUNsqq51cChDf5gYtreNUM/images.jpg)","{""tags"":[""business"",""dynamicsteemian"",""wafrica"",""steemit"",""nigeria""],""image"":[""https://steemitimages.com/DQmcd8oZxdvcM17i3VJ2CAqDafUNsqq51cChDf5gYtreNUM/images.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-13 09:26:57,the secret of making money,/business/@faloseyi/the-secret-of-making-money,2
faloseyi,hard-time-never-last,Hard time never last..,education,"What's hard time? 
Hard time  is when a person is passing through difficulties or hardship. ![images.jpg](https://steemitimages.com/DQmU2PRyLgYa19VpPvjp7UBNkPBGwjF1TAaRbQVEF2Are4N/images.jpg)
 I can say that is possible  for individual or society to pass through hard times in one way or the other.. 

In society now a days,when some people are facing difficulties instead of finding solution to the problem, they began to look for short cut.. 
I want you to note  that every short cut in life will definitely cut life short.. 

MONEY RITUAL 
 This occur mostly in Africa, when some People passing through hardship instead of finding a way to the problem, they began to look for short cut by killing innocent people for money ritual...
This process of money ritual bring a lot of fear to people because there is no one to trust.
especially the youth, they're  very desperate to make money,they can do and undo just to make money.. 
And the Bible says that the love of money is fruit of evil.. 

HOW CAN WE STOP HARD TIME IN","{""tags"":[""education"",""love"",""wafrica"",""minnowsupport""],""image"":[""https://steemitimages.com/DQmU2PRyLgYa19VpPvjp7UBNkPBGwjF1TAaRbQVEF2Are4N/images.jpg"",""https://steemitimages.com/DQmSHh5NS1GTfA2geU4Qm8iVHyAgsVCJy9kjCsjoDeDxGdG/images-1.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-09 10:17:21,Hard time never last..,/education/@faloseyi/hard-time-never-last,1
faloseyi,rastafarian-movement-and-his-history,Rastafarian movement and his history,history,"Who is the founder of  Rastafarian movement? 

Rastafarian movement  is first established in Jamaica in 1935 by LEONARD P. HOWELL..
Howell preached the divinity of Haile Selassie. He explained that all blacks would gain the superiority over whites that had always been intended for them.

WHO IS HAILE  SELASSIE ?
Hailey Selassie was born in Ethiopia in 1892,he ruled as emperor of Ethiopia from 1930 to 1974...
![306px-Haile_Selassie_in_full_dress.jpg](https://steemitimages.com/DQmW3fSFiDM3Et5VvbXWwm3euPMYgEHgJWjxU64eMsBPQeu/306px-Haile_Selassie_in_full_dress.jpg)
![220px-Haile_Selassie_in_suit_and_cloak_in_1960s.jpg](https://steemitimages.com/DQmfX17YdfgBWHXuD7RcTKFmizc7spNjthwGzBUrAna8CfW/220px-Haile_Selassie_in_suit_and_cloak_in_1960s.jpg)
![haile-selassie-i-lion-adrienne-norris.jpg](https://steemitimages.com/DQmTNdrCNxGxe6AZoF8vkF46zNE6bTmfZ2pBQbn7LBr7mPQ/haile-selassie-i-lion-adrienne-norris.jpg)

BELIEVE OF RASTAFARIAN 

Rastas,believed that Haile Selassie to be the messiah predicted in the Biblical Old T","{""tags"":[""history"",""wafrica"",""minnowsupport""],""image"":[""https://steemitimages.com/DQmW3fSFiDM3Et5VvbXWwm3euPMYgEHgJWjxU64eMsBPQeu/306px-Haile_Selassie_in_full_dress.jpg"",""https://steemitimages.com/DQmfX17YdfgBWHXuD7RcTKFmizc7spNjthwGzBUrAna8CfW/220px-Haile_Selassie_in_suit_and_cloak_in_1960s.jpg"",""https://steemitimages.com/DQmTNdrCNxGxe6AZoF8vkF46zNE6bTmfZ2pBQbn7LBr7mPQ/haile-selassie-i-lion-adrienne-norris.jpg"",""https://steemitimages.com/DQmPg5q5uiiE6fESsca2BpX28yCC87d2B4dM9Gy31kXjL1o/800px-Flag_of_Ethiopia_(1897-1936%3B_1941-1974).svg.png"",""https://steemitimages.com/DQmQNNjuAeBBGN7JNyakQv5zkWjyHU6tTgiWzez24RrzxVQ/images.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-04 10:48:27,Rastafarian movement and his history,/history/@faloseyi/rastafarian-movement-and-his-history,1
faloseyi,easter-song-by-charles-wesley-and-this-biography,Easter song by Charles Wesley and this biography,music,"Charles Wesley was born in 18 December 1707,Epworth, Lincolnshire,England.
He's of Anglican cleric and poet Samuel Wesley and is mother name is Susanna Wesley....
 He has is education career in Westminster school and Christ Church Oxford.
He got married to Sarah Wesley(nee Gwynne) and blessed with seven children.
He died on 29 march 1788(aged 80) London, England ![220px-Charles_Wesley.jpg](https://steemitimages.com/DQmTBvpoUwrvEC4G5qxioHRcZtb5Hka1aRx3oSR1ksmDJzz/220px-Charles_Wesley.jpg)
Charles Wesley is  a one of the famous song writer.. 
He wrote 8,989 hymns,he claim to be the world's greatest hymn writer. He composed some of the most memorable and lasting hymns of the church: ""Hark! The Herald Angels Sing,"" ""And Can It Be,"" ""O for a Thousand Tongues to Sing,"" ""Love Divine, All Loves Excelling,"" ""Jesus, Lover of My Soul,"" ""Christ the Lord Is Risen Today,"" ""Soldiers of Christ, Arise,"" and ""Rejoice! the Lord Is King..
One of his popular song for easter  is Chris our Lord risen today.. 
This is song is popul","{""tags"":[""music"",""history"",""wafrica"",""minnowsupport"",""steemit""],""image"":[""https://steemitimages.com/DQmTBvpoUwrvEC4G5qxioHRcZtb5Hka1aRx3oSR1ksmDJzz/220px-Charles_Wesley.jpg"",""https://img.youtube.com/vi/In50sfx0W80/0.jpg""],""links"":[""https://youtu.be/In50sfx0W80""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-01 08:31:06,Easter song by Charles Wesley and this biography,/music/@faloseyi/easter-song-by-charles-wesley-and-this-biography,4
faloseyi,a-fool-in-a-wise-country,A fool in a wise country,nigeria,"Firstly,i thank God the maker of heaven and earth who keep me up to this point.. 
 I'm abiodun Samson Faloseyi by name, I'm native of ilesha(ijesha),Osun state,nigeria...i have my primary education at St.john Iloro, Ilesha, Osun.. 
My secondary education at Ilesha grammar school and I finish my national diploma in polytechnic of Ibadan,i study statistics in polytechnic of Ibadan.. All my thanks go to Mr. Seun Ogunleye and mr.josiah Faloseyi who contributed to my success during my national diploma,they support me financially during my national diploma program.. 
 My thanks go to Master.abiola Ogunleye (habysco) for showing me more love and care.
He's the taking care of me since when I came to gbomosho,he introduce me to steemit and He gave me alot of advice.
Bro, I don't know how to thank you.may God bless you.. Thank you (Gracia's). 
 According to my title (a foolish in a wise country)..
I believe in this word which says.. (what doesn't kill a man will surely make him stronger)..
Have passed through many obs","{""tags"":[""nigeria"",""introduceyourself"",""introducemyself"",""steemit"",""prom-steem""],""links"":[""https://steemitimages.com/DQmV1bvkxvddXureMkn8jtczAH8w86ppooNwPY6xA3HNZo4/IMG_20180315_135337.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-26 12:53:51,A fool in a wise country,/nigeria/@faloseyi/a-fool-in-a-wise-country,11
faloseyi,political-party-60cf159954325,Political party,political,"What Is political party.. 
 Political party is a group of people that have the same mind set and the same vision.
Here in Nigeria, this politicians in Nigeria move from one party to another party..
Some politicians move to ruining party because of power and post.

Let look at this the formal governor of Osun state (prince olagunsoye oyinlola) 
He rule Osun state for seven and half year before he disqualified  as Osun state governor..he used is seven and half years on under  people Democratic Party(PDP).

Ogbeni rauf aregbesola sworn in as governor of Osun state on 27th, November 2010 under the political party of All progressive congress (APC)..
During the second time election prince olagunsoye oyinlola decamp from PDP to APC. Because PDP is not in power and he want to be in post...

What I'm trying to say is that. This politicians are not going there to fight for their people, they're going there to fight for their pocket.. 

If we take a look at political system of United States of America, you can't see a ","{""tags"":[""political"",""nigerian"",""steemit"",""dynamicsteemian"",""reachout""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-07-22 12:17:00,Political party,/political/@faloseyi/political-party-60cf159954325,4
faloseyi,politics,Politics,politic,"When we're talking about politics.. Politics  is a political post that is assigned to represent people in your own geographical area or ethnic group.. 

Back in 2015,there is popular election between the formal president Dr. Ebele Good luck Jonathan  and the recent president  Gen. Mohamed  Buhari...

![Jonathan-and-Buhari-1-300x225.jpg](https://cdn.steemitimages.com/DQmeRdDuQQytVkCrFk3Re3ATB12R9K2Lve69CUMNXx71ZVG/Jonathan-and-Buhari-1-300x225.jpg)
People are thinking that this election will lead to depart of ethic group..
That's each ethic group is going to stand on their own.. 

When we talking about ethic group Nigerian has different language and culture.. Different people with their own culture and believes..

One of this ethic group, creat a group called indigenous people of ibafra(IPOB)
this group is lead Nnamadi kanu..

This  group want to  depart from Nigeria because Nigerian  Government system is not favour that since 1999..

This 2015 election should have divide Nigerian into many part

Thank God fo","{""tags"":[""politic"",""nigerian"",""steemit"",""reachout"",""dynamicsteemian""],""image"":[""https://cdn.steemitimages.com/DQmeRdDuQQytVkCrFk3Re3ATB12R9K2Lve69CUMNXx71ZVG/Jonathan-and-Buhari-1-300x225.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-07-19 08:14:03,Politics,/politic/@faloseyi/politics,0
faloseyi,my-feet-is-only-carriage,My feet is only carriage,ulog,"my feet is my only carriage
This is one of Bob Marley quote.. This quote help me a lot because I have believe in this quote..
Every morning I wake up always said my to myself that my feet is my only carriage..

According to my point of view.. I see that  LIFE DOESN'T GIVE YOU WHAT YOU DESERVE BUT GAVE YOU WHAT YOU DESIRE.. 

Have pass through a lot of hardship and  always encourage myself and I moved forward.. 


![IMG_20180517_114440.jpg](https://steemitimages.com/DQmNXjc8DurSdjAX619hoMQ74xCsqEGsCt6Gm2Mboqp7Y6L/IMG_20180517_114440.jpg)

 ABOUT MY DAY 

yesterday I went out to have fun with my friend and I put smile on their because I like to do funny things.. They we're very happy and I move around to see new places ..yesterday was very fun 
Thanks for reading my post","{""tags"":[""ulog"",""nigeria"",""steemit"",""philippines"",""steem""],""image"":[""https://steemitimages.com/DQmNXjc8DurSdjAX619hoMQ74xCsqEGsCt6Gm2Mboqp7Y6L/IMG_20180517_114440.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-05-18 07:38:24,My feet is only carriage,/ulog/@faloseyi/my-feet-is-only-carriage,2
