author,permlink,title,category,body,json_metadata,created,root_title,url,children
fundacja,o-broni-czarnoprochowej-w-kbk,Spotkania w KBK: Broń czarnoprochowa,polish,"Dziś w Królestwie Bez Kresu odbyło się spotkanie poświęcone broni czarnoprochowej. Wg obowiązującego w Polsce prawa można taką legalnie nabyć i posiadać bez zezwolenia (o ile została zaprojektowana przed rokiem 1885 i jest ładowana rozdzielnie). Swoją bogatą kolekcję przedstawił Maciej Kilarski - rzeszowski złotnik, rekonstruktor i pasjonat historii powstania styczniowego.

![IMG_9922.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997807/ps8qv333tanfdt9vcqon.jpg)

![IMG_9918.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997959/zwbfiaxrkivhmsn8w9vn.jpg)

![IMG_9923.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997983/zpi4pb8pwdrrcklntz1v.jpg)

![IMG_9927.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998020/jz35wbwa3w19p113plev.jpg)

![IMG_9931.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998113/yi65ttqm53gj99fm8gi2.jpg)

![IMG_9925.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998087/rezhfkewj7vr1f6ess40.jpg)

![IMG_9924.JPG](","{""community"":""busy"",""app"":""busy/2.3.0"",""format"":""markdown"",""links"":[""http://www.pch24.pl/prawo-pariasa--bron-czarnoprochowa,1266,i.html#ixzz55K7WVtcV""],""tags"":[""polish"",""reakcja"",""busy"",""history"",""pl-tradycja""],""image"":[""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997807/ps8qv333tanfdt9vcqon.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997959/zwbfiaxrkivhmsn8w9vn.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997983/zpi4pb8pwdrrcklntz1v.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998020/jz35wbwa3w19p113plev.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998113/yi65ttqm53gj99fm8gi2.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998087/rezhfkewj7vr1f6ess40.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998151/jeaegzvp45gsjbdfzszi.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998177/wx3p0ff4knlb2pk0lwqc.jpg""]}",2018-01-26 20:28:00,Spotkania w KBK: Broń czarnoprochowa,/polish/@fundacja/o-broni-czarnoprochowej-w-kbk,32
fundacja,german-death-camps-jak-wyglada-sytuacja,German Death Camps: Jak wygląda sytuacja?,polish,"https://www.youtube.com/watch?v=k0HY1gFzXjk

Powoli staje się tradycją, że pod koniec stycznia akcja **German Death Camps** przyśpiesza mocno. W tamtym roku za sprawą przeprosin ZDF-u, których nie było, w tym - w związku z zagraniczną reakcją na ustawę wprowadzającą kary za używanie kłamliwych zwrotów.

Jak zatem wygląda sytuacja?

1. [Zbiórka, którą ogłosiliśmy w marcu ubiegłego roku](https://zrzutka.pl/w9cupa) posunęła się trochę do przodu. Zbliżamy się do 10 tys. Oczywiście stworzenie autobusu i wysłanie go w trasę to koszt znacznie większy. Zaangażowanie internautów świadczy jednak o poparciu dla projektu, a to z kolei może pomóc w pozyskaniu niezbędnych środków z innych źródeł.

2. Wydarzenia ostatnich dni potwierdziły sensowność projektu. Do tej pory głosów krytycznych, sugerujących by ograniczyć się tylko do Niemiec było tyle samo, co głosów popierających pomysł. Zresztą idea trasy po USA nie wzięła się znikąd. Otrzymaliśmy bardzo dużo wiadomości naświetlających problem używania kłamliwych zwrotów za ","{""community"":""busy"",""app"":""busy/2.3.0"",""format"":""markdown"",""links"":[""https://zrzutka.pl/w9cupa""],""tags"":[""polish"",""reakcja"",""busy""]}",2018-01-29 22:25:09,German Death Camps: Jak wygląda sytuacja?,/polish/@fundacja/german-death-camps-jak-wyglada-sytuacja,5
fundacja,piesni-rzeczypospolitej-4-1794,Pieśni Rzeczypospolitej #4: 1794,polish,"
https://www.youtube.com/watch?v=dv7qPMcS6p4

**1794** to piękna białoruska pieśń odnosząca się do insurekcji kościuszkowskiej. Jej autorem jest bard Andrej Mielnikau.  Poniżej tłumaczenie na język polski oraz tekst oryginału.

Tutaj nasze ostatnie schronienie
Tutaj nasza ostatnia twierdza
Witaj następny poranku
Witaj wschodzie słońca

Wybraliśmy tą drogę dobrowolnie
Na skraju goryczy, potu, krwi i łez
Walczymy za naszą i Wasza wolność
Poszliśmy i spotkaliśmy tutaj taki los

Nie oczekujemy łaski, nie będzięmy klęczeć
Panie Suworow, Rosjanie, Caryco, Królowie
Przyszliśmy na świat jako wolni ludzie
I jako wolni spotkamy śmierć na tej ziemi

Tutaj nasze ostatnie schronienie
Tutaj nasza ostatnia twierdza
Witaj następny poranku
Witaj wschodzie słońca

Przygotowana broń do ostatniego boju
Zadbaj Matko Boska, Maryjo o przyjaciół
Z nami prawda i z nami na naszych sztandarach
Biały jeździec i biały orzeł

Z nami prawda i z nami na czerwonych sztandarach
Pogoń i biały orzeł

*Tłum. Marcin Wierzbicki*

----------------","{""community"":""busy"",""app"":""busy/2.3.0"",""format"":""markdown"",""tags"":[""polish"",""reakcja"",""busy"",""pl-tradycja""],""links"":[""https://zrzutka.pl/w9cupa"",""http://apps.frontline.org/camps/""],""image"":[""https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1517946623/ko2v11tftdjvucizdquv.jpg""]}",2018-02-06 19:46:06,Pieśni Rzeczypospolitej #4: 1794,/polish/@fundacja/piesni-rzeczypospolitej-4-1794,2
fundacja,relacja-z-ii-spotkania-steemitowego-w-rzeszowie,Relacja z II spotkania steemitowego w Rzeszowie,polish,"Kolejne rzeszowskie spotkanie steemitowe za nami. W sobotę 3 marca 2018 w Królestwie Bez Kresu po raz drugi można było posłuchać i porozmawiać o Steemie. Pojawili się @kaysh, @mciszczon, @postcardsfromlbn, @romualdd, @foggymeadow, @hallmann oraz kilka osób, które nie mają jeszcze konta na Steemicie.

Spotkanie rozpoczęło się od lektury postu, który wrzucił @fervi [Problemy z siecią Steem](https://steemit.com/polish/@fervi/problemy-z-siecia-steem), były też plotki, prezentacja kilku ciekawych narzędzi i odpowiedź na pytania nurtujące osoby, które konta na Steemicie jeszcze nie posiadają. Druga część poświęcona była Utopianowi. @mciszczon opowiedział o tej aplikacji i o możliwościach jakie daje. Po 20.30 rozpoczęła się przerwa na pizzę. Spotkanie zakończyły luźne rozmowy i postanowienie kontynuowania steemitowych spotkań w KBK.

![IMG_0071.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1520195559/fcxm5xvanxnvul9tl8tn.jpg)

![IMG_0073.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1520195651/e","{""community"":""busy"",""app"":""busy/2.4.0"",""format"":""markdown"",""users"":[""kaysh"",""mciszczon"",""postcardsfromlbn"",""romualdd"",""foggymeadow"",""hallmann"",""fervi""],""links"":[""/@kaysh"",""/@mciszczon"",""/@postcardsfromlbn"",""/@romualdd"",""/@foggymeadow"",""/@hallmann"",""/@fervi"",""https://steemit.com/polish/@fervi/problemy-z-siecia-steem"",""/@mciszczon""],""image"":[""https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1520195559/fcxm5xvanxnvul9tl8tn.jpg"",""https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1520195651/etohx3yalzt5rrwar4op.jpg"",""https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1520195726/seiyd8nyofl7nxgyu2ft.jpg"",""https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1520195810/aylc4olpgttltttqahir.jpg"",""https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1520195880/stoccheecn6eouktp8vi.jpg"",""https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1520",2018-03-04 20:40:57,Relacja z II spotkania steemitowego w Rzeszowie,/polish/@fundacja/relacja-z-ii-spotkania-steemitowego-w-rzeszowie,3
fundacja,siodmy-tydzien-tagu-pl-tradycja,Siódmy tydzień tagu #pl-tradycja,polish,"https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1518713482/mvxxbla6xmbq6ho9amnj.jpg

Ostatnie 7 dni zgromadziło 11 autorów i 17 postów. Na szczególną uwagę zasługują: polskie akcenty w [South Kensington](https://steemit.com/polish/@foggymeadow/the-magician-at-south-kensington) Zamglonej Łąki, kolejne [wspomnienia dziadka](https://steemit.com/polish/@radomirgs/wspomnienia-jozefa-sznajdera-zolnierza-ak-okregu-lwow-czesc-7-pierwsze-akcje) RadomiraGS (tym razem o pierwszych akcjach), opowieść o [łotewskiej wsi i kalendarzu](https://steemit.com/polish/@katayah/wiejski-krajobraz-poludniowej-lotwy-i-lotewski-kalendarz-sloneczny) Katayah, artykuł o [Stefanie Bryle](https://steemit.com/polish/@zoltaburza/stefan-bryla-wielki-inzynier-konstrukcji-spawanych-01-zapomniani-polacy) Żółtej Burzy, łotewskie [Święto Pieśni i Tańca](https://steemit.com/tematygodnia/@kosma.ldz/kiedy-1-narodu-spiewa-naraz-w-jednym-chorze) Kosmy z Łodzi oraz relacja [z wyprawy do Dyneburga](https://steemit.com/pol","{""community"":""busy"",""app"":""busy/2.4.0"",""format"":""markdown"",""users"":[""foggymeadow"",""radomirgs"",""katayah"",""zoltaburza"",""kosma.ldz"",""basementdisco"",""kurator-polski"",""fundacja"",""hallmann"",""malina1979"",""zwora"",""napotem""],""links"":[""https://steemit.com/polish/@foggymeadow/the-magician-at-south-kensington"",""https://steemit.com/polish/@radomirgs/wspomnienia-jozefa-sznajdera-zolnierza-ak-okregu-lwow-czesc-7-pierwsze-akcje"",""https://steemit.com/polish/@katayah/wiejski-krajobraz-poludniowej-lotwy-i-lotewski-kalendarz-sloneczny"",""https://steemit.com/polish/@zoltaburza/stefan-bryla-wielki-inzynier-konstrukcji-spawanych-01-zapomniani-polacy"",""https://steemit.com/tematygodnia/@kosma.ldz/kiedy-1-narodu-spiewa-naraz-w-jednym-chorze"",""https://steemit.com/polish/@basementdisco/z-archiwum-wilno-dyneburg-czesc-2"",""/trending/pl-tradycja"",""/@kurator-polski"",""/@foggymeadow"",""https://steemit.com/polish/@foggymeadow/the-magician-at-south-kensington""],""image"":[""https://steemitimages.com/0x0/https://steemitimages.com/0x0/https://res.clo",2018-03-18 20:46:09,Siódmy tydzień tagu #pl-tradycja,/polish/@fundacja/siodmy-tydzien-tagu-pl-tradycja,4
fundacja,kresy-kresow-3-polskie-westerplatte-na-lotwie,Kresy Kresów #3: Polskie Westerplatte na Łotwie,polish,"https://www.youtube.com/watch?v=QVlfjQwKDiU

Przypominamy film sprzed czterech lat, nakręcony podczas Projektu Inflanty, na którym Dawid @Hallmann opowiada o polskości na Łotwie. Niestety dziś sytuacja jest jeszcze gorsza. Z roku na rok coraz mniej jest tych, dla których polski był pierwszym jezykiem. Wraz z ich odeściem wygasa polskość...","{""community"":""busy"",""app"":""busy/2.4.0"",""format"":""markdown"",""users"":[""Hallmann""],""links"":[""/@hallmann""],""tags"":[""polish"",""reakcja"",""pl-tradycja"",""pl-lotwa"",""busy""]}",2018-03-25 16:40:03,Kresy Kresów #3: Polskie Westerplatte na Łotwie,/polish/@fundacja/kresy-kresow-3-polskie-westerplatte-na-lotwie,2
fundacja,jedenasty-tydzien-tagu-pl-tradycja,Jedenasty tydzień tagu #pl-tradycja,polish,"![tardc.jpg](https://gateway.ipfs.io/ipfs/QmZmde3B6zPxXQ6rVCMCftgK1UdGg7i7eAA4piVbGqhFAM)

Ostatnie 7 dni zgromadziło na tagu **#pl-tradycja** 9 autorów, którzy napisali 16 postów. Na szczególną uwagę zasługują: kolejny artykuł [o myślach W. Rzewuskiego](https://steemit.com/polish/@sarmaticus/adam-wawrzyniec-rzewuski-miasta-sa-zle) autorstwa Sarmaticusa (tym razem o złych miastach), [opowieść o Janie Skwarku](https://steemit.com/pl-tradycja/@piewca/opowiem-ci-o-polsce-jozefa-wludyga) zebraną przez Piewcę, post o [Nowym Roku na Tajlandii](https://steemit.com/polish/@wanderjusta/pl-songkran-czyli-jak-sie-bawi-tajlandia-na-nowy-rok) Wanderjusty i [o Wielkanocy na Ukrainie Zachodniej](https://steemit.com/polish/@olgamajda/wielkanoc-na-ukrainie-zachodniej) Olgi Majdy, a także wizyta [w Zalipiu](https://steemit.com/pl-artykuly/@poprostuem/miedzy-slowianskimi-polami-tam-gdzie-kwiaty-kwitna-na-scianach-czyli-dzienniki-fotograficzne-z-zalipianskiej-wsi) z Poprostuem.

Poniżej spis artykułów (od najstarszych do najnow","{""tags"":[""polish"",""pl-tradycja"",""reakcja""],""users"":[""poprostuem"",""hallmann"",""zwora"",""basementdisco"",""piewca"",""fundacja"",""olgamajda"",""wanderjusta"",""sarmaticus""],""image"":[""https://gateway.ipfs.io/ipfs/QmZmde3B6zPxXQ6rVCMCftgK1UdGg7i7eAA4piVbGqhFAM""],""links"":[""https://steemit.com/polish/@sarmaticus/adam-wawrzyniec-rzewuski-miasta-sa-zle"",""https://steemit.com/pl-tradycja/@piewca/opowiem-ci-o-polsce-jozefa-wludyga"",""https://steemit.com/polish/@wanderjusta/pl-songkran-czyli-jak-sie-bawi-tajlandia-na-nowy-rok"",""https://steemit.com/polish/@olgamajda/wielkanoc-na-ukrainie-zachodniej"",""https://steemit.com/pl-artykuly/@poprostuem/miedzy-slowianskimi-polami-tam-gdzie-kwiaty-kwitna-na-scianach-czyli-dzienniki-fotograficzne-z-zalipianskiej-wsi"",""https://steemit.com/cityscapephotography/@hallmann/fotoplastykon-106-lwow"",""https://steemit.com/pl-artykuly/@zwora/odszedl-kazimierz-zajac-wiezien-kl-auschwitz-ktory-przybyl-do-obozu-pierwszym-transportem"",""https://steemit.com/architecturalphotography/@hallmann/fotoplastykon-107-r",2018-04-15 19:55:18,Jedenasty tydzień tagu #pl-tradycja,/polish/@fundacja/jedenasty-tydzien-tagu-pl-tradycja,1
fundacja,wydarzenie-kobiety-w-sztuce,[Wydarzenie] Kobiety w sztuce,polish,"![Autoportret-z-pedzlem-i-kwiatami-ok.-1906-olej-na-desce-487x363-cm.jpg](https://steemitimages.com/DQmNZbpmFNUtyeF9gD5i8BnN4NMu2ern2doQT1oAGC2PGJM/Autoportret-z-pedzlem-i-kwiatami-ok.-1906-olej-na-desce-487x363-cm.jpg)

19 maja br. w rzeszowskim Królestwie Bez Kresu (Piłsudskiego 8-10), przyjrzymy się sylwetkom i wpływom działań artystycznych czterech artystek z dwóch dziedzin - malarstwa i fotografii. Vivian Maier, Sally Mann, Anna Bohdanowicz Bilinska i Olga Boznanska. 

Co łączy sztukę XIX i XX wieku? 

Tego dowiemy się już w sobotę o godz. 17.00.

Wydarzenie poprowadzi @foggymeadow.","{""tags"":[""polish"",""pl-tradycja"",""pl-sztuka""],""users"":[""foggymeadow""],""image"":[""https://steemitimages.com/DQmNZbpmFNUtyeF9gD5i8BnN4NMu2ern2doQT1oAGC2PGJM/Autoportret-z-pedzlem-i-kwiatami-ok.-1906-olej-na-desce-487x363-cm.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-05-16 13:25:18,[Wydarzenie] Kobiety w sztuce,/polish/@fundacja/wydarzenie-kobiety-w-sztuce,4
fundacja,osiemnasty-tydzien-tagu-pl-tradycja,Osiemnasty tydzień tagu pl-tradycja,polish,"![tardc.jpg](https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg)

18 tydzień za nami. Ostatnie 7 dni zgromadziło na tagu #pl-tradycja 6 autorów, którzy napisali 16 postów. Poniżej spis artykułów (od najstarszych do najnowszych), które ukazały się od 28 maja do 4 czerwca:


@hallmann: [Talerze Królestwa Bez Kresu. Część 2.](https://steemit.com/polish/@hallmann/talerze-krolestwa-bez-kresu-czesc-2)

@skryptorium: [""Litwa - obyczaje i zwyczaje"": Wierzba (Blendis)](https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wierzba-blendis)

@piewca: [Chłopski list do króla](https://steemit.com/pl-tradycja/@piewca/chopskilistdokrla-b9mhitmf0o)

@piewca: [Zwyrodniała matka](https://steemit.com/pl-tradycja/@piewca/zwyrodniaamatka-7hvxwbhvsb)

@piewca: [Puść kolego, com Ci winien!](https://steemit.com/pl-tradycja/@piewca/pukolegocomciwinien-sem1i82bsn)

@skryptorium: [""Litwa - obyczaje i zwyczaje"": Jesion (Ousis)](https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwy","{""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja""],""users"":[""hallmann"",""skryptorium"",""piewca"",""lesiopm"",""cezarys"",""thermomania""],""image"":[""https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg""],""links"":[""https://steemit.com/polish/@hallmann/talerze-krolestwa-bez-kresu-czesc-2"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wierzba-blendis"",""https://steemit.com/pl-tradycja/@piewca/chopskilistdokrla-b9mhitmf0o"",""https://steemit.com/pl-tradycja/@piewca/zwyrodniaamatka-7hvxwbhvsb"",""https://steemit.com/pl-tradycja/@piewca/pukolegocomciwinien-sem1i82bsn"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-jesion-ousis"",""https://steemit.com/polish/@lesiopm/druga-edycja-konkursu-100-lat-niepodleglej-pula-nagrod-10-sbd"",""https://steemit.com/polish/@cezarys/herb-katalonii-jedna-z-najpiekniejszych-historii-sredniowiecznej-heraldyki"",""https://steemit.com/pl-tradycja/@piewca/koldaksidza-iqb833w4rq"",""https://steemit.com/pl-tradycja/@piewca/niezwyk",2018-06-04 12:25:36,Osiemnasty tydzień tagu pl-tradycja,/polish/@fundacja/osiemnasty-tydzien-tagu-pl-tradycja,0
fundacja,dziewietnasty-tydzien-tagu-pl-tradycja,Dziewiętnasty tydzień tagu pl-tradycja,polish,"![tardc.jpg](https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg)

19 tydzień za nami. Ostatnie 7 dni zgromadziło na tagu #pl-tradycja 9 autorów, którzy napisali 20 postów. Poniżej spis artykułów (od najstarszych do najnowszych), które ukazały się od 4 do 11 czerwca:

@piewca: [Legenda o czterech wiatrach](https://steemit.com/pl-tradycja/@piewca/legendaoczterechwiatrach-gs9jifoitr)

@piewca: [Saint Philibert ""Mały Titanic""](https://steemit.com/pl-tradycja/@piewca/saintphilibertmaytitanic-2y71ogeomp)

@rolsonpatison: [Wszyscy jesteśmy drużyną narodową - O tym jak Futbol zjednoczył Polaków.](https://steemit.com/polish/@rolsonpatison/wszyscy-jestesmy-druzyna-narodowa-o-tym-jak-futbol-zjednoczyl-polakow)

@piewca: [Turkowe Pole](https://steemit.com/pl-tradycja/@piewca/turkowepole-tno8cne58a)

@skryptorium: [""Litwa - obyczaje i zwyczaje"": Jeleń (Elnis)](https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-jelen-elnis)


@marcon: [U Zapomnianych Krajan - Media Znad ","{""tags"":[""polish"",""pl-tradycja""],""users"":[""piewca"",""rolsonpatison"",""skryptorium"",""marcon"",""lesiopm"",""hallmann"",""saunter-pl"",""hrabiaeryk"",""kaysh""],""image"":[""https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg""],""links"":[""https://steemit.com/pl-tradycja/@piewca/legendaoczterechwiatrach-gs9jifoitr"",""https://steemit.com/pl-tradycja/@piewca/saintphilibertmaytitanic-2y71ogeomp"",""https://steemit.com/polish/@rolsonpatison/wszyscy-jestesmy-druzyna-narodowa-o-tym-jak-futbol-zjednoczyl-polakow"",""https://steemit.com/pl-tradycja/@piewca/turkowepole-tno8cne58a"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-jelen-elnis"",""https://steemit.com/polish/@marcon/u-zapomnianych-krajan-media-znad-wilii"",""https://steemit.com/pl-tradycja/@piewca/hemniemiecki-32fpr5v0aj"",""https://steemit.com/polish/@lesiopm/przypomnienie-druga-edycja-konkursu-100-lat-niepodleglej-pula-nagrod-10-sbd"",""https://steemit.com/pl-tradycja/@piewca/przydrodzedososnowcaidbrowygrniczej-eg8bax848t"",""https:/",2018-06-11 18:27:00,Dziewiętnasty tydzień tagu pl-tradycja,/polish/@fundacja/dziewietnasty-tydzien-tagu-pl-tradycja,0
