author,permlink,title,category,body,json_metadata,created,root_title,url,children
ibrahimo,gambling-is-not-for-good-children-2,"Gambling Is Not For Good Children, 2",story,"Jide's father had gone into business, starting a publishing firm where educational materials was his focus and it had been an instant success because he was fortunate to have most of his publications accepted by the public education board and that had set him on a high-flying path.

At home, Jide's father was tough and never tolerated nonsense. He was always swift to pick up the whip and dealt it to correct the slightest misdemeanour.

https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg

Consequently, his absence from home was always anticipated with joy by the children because it meant they could play as much as they wanted provided they stayed safe and returned home before five pm when he was usually expected home.

Jide was so excited when his father left the military because it meant he stayed longer outside the home as his new job, though his own enterprise, tooks a lot of his time.","{""tags"":[""story"",""children"",""nigeria"",""africa""],""image"":[""https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-23 16:09:21,"Gambling Is Not For Good Children, 2",/story/@ibrahimo/gambling-is-not-for-good-children-2,0
ibrahimo,the-youth-of-today-is-the-leader-of-tomorrow-4-398ce066ec767,The youth of today is the leader of tomorrow 4,story,"His mother went to visit the regimental sergeant major of the barracks and pleaded with him to still give her more time. He told her that there was no problem. But early, the following morning, a detachment of recruits stormed their house and threw out their belongings from the apartment.




No plea from his mother yield any result. She tried to reach the RSM but he did not see her. The young soldier threw them not only out of their apartment but out of the barracks, dumping their belongings by the side of the barracks gate. Oreva's shattered as she wept bitterly. Oreva too was very intelligent his young heart. He did not understand why so devastating a thing had happened to them. He was so sad.","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-04 12:40:24,The youth of today is the leader of tomorrow 4,/story/@ibrahimo/the-youth-of-today-is-the-leader-of-tomorrow-4-398ce066ec767,2
ibrahimo,good-morning-photography-6077c16a36e7b,Good morning photography,photography,"Hello steemians, good morning.

Today I will be coming up with  beautiful pictures of plants to tell you a beautiful morning.



 ![image](https://img.esteem.ws/kygq961c10.jpg) 

Photography is beautiful and at the same time meaningful.....

Let's get the camera rolling

 ![image](https://img.esteem.ws/6ipmk7kssa.jpg)



 ![image](https://img.esteem.ws/akhmlg0e62.jpg)

 ![image](https://img.esteem.ws/9m4qjkeq78.jpg)

 ![image](https://img.esteem.ws/fns4h4zx17.jpg)


Photography brings out beauty and glamour in things

**photography taken with my Samsung S8","{""links"":[],""image"":[""https://img.esteem.ws/kygq961c10.jpg"",""https://img.esteem.ws/6ipmk7kssa.jpg"",""https://img.esteem.ws/akhmlg0e62.jpg"",""https://img.esteem.ws/9m4qjkeq78.jpg"",""https://img.esteem.ws/fns4h4zx17.jpg""],""tags"":[""photography"",""plant"",""pictures"",""nigeria""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-24 08:57:27,Good morning photography,/photography/@ibrahimo/good-morning-photography-6077c16a36e7b,2
ibrahimo,setting-goals-and-managing-time-01a2d65df69b8,Setting goals and managing time,goals,"Have you been poor, do you think it is possible for you to be Rich?


### WHAT THE RICH DO

Well if you say it is possible then it is possible. So many people believe that it is possible for them to be Rich and they got it. A friend of mine the last time always said to himself I'm going to be in a first class plane just me he drives in the first class plane now.


https://bestonlineuniversities.com/wp-content/uploads/2013/02/Time-Management1-300x300.jpg

Being rich is not a child's play it is not a day's job. Although it requires hard work but you must first start by setting goals. So many people do not know how to set goals they just go around fooling themselves with the mindset that they are still children. They forget that they are responsible for everything they do, everything that happens around them.

Achieving certain things is not a day job. If you want to achieve something in the next ten to twenty years, you write them down as goals. You decide exactly how you intend to get them and what you intend","{""tags"":[""goals"",""achievements"",""nigeria"",""time"",""management""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem"",""image"":[""https://bestonlineuniversities.com/wp-content/uploads/2013/02/Time-Management1-300x300.jpg"",""https://www.livemint.com/rf/Image-621x414/LiveMint/Period2/2018/01/02/Photos/Processed/hires4-k7KF--621x414@LiveMint.jpg""]}",2018-04-10 21:41:03,Setting goals and managing time,/goals/@ibrahimo/setting-goals-and-managing-time-01a2d65df69b8,2
ibrahimo,gambling-is-not-for-good-children-13,"Gambling Is Not For Good Children,13",student,"We always bet whenever we play, harles told his classmates. Or are you so broke you don't have money to bet? Paul asked Fred.

https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg

Of course, I have my money, Fred said.
But he is not going to gamble, Jide said.
Leave him to make his decision, Bayo said to Jide and the other agreed.
Jide was hoping that Fred would refuse but he was disappointed when Fred accepted. Jide was quiet.
The game began and they played for over fifteen minutes. This was not the kind of fum Jide had anticipated. In the end, Fred beat Paul and took the money.
Bayo was ery happy, he was happy and he beagn to laugh.","{""tags"":[""student"",""children"",""nigeria"",""africa""],""image"":[""https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-09 20:32:57,"Gambling Is Not For Good Children,13",/student/@ibrahimo/gambling-is-not-for-good-children-13,2
ibrahimo,gambling-is-not-for-good-children-12,"Gambling Is Not For Good Children,12",children,"Fred shrugged, It then means that you are a better player, he said. Paul shook his head. Not like that. We should do some betting, whoever wins takes the prie and who loses, looses, he said.

Jide was surprised. Betting? that is gambling, he said. I have always been told never to gamble, that is bad. Fred does not gamble.

https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg

Paul looked at Jide with a grimace. Oh really? Do you know that many rich men became rich because they gambled? Even the life we live in itself is a gamble.
We just should bet on this to make it interessting and rewarding for the winner, he said.","{""tags"":[""children"",""games"",""lifestyle"",""nigeria""],""image"":[""https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-08 23:00:33,"Gambling Is Not For Good Children,12",/children/@ibrahimo/gambling-is-not-for-good-children-12,3
ibrahimo,the-youth-of-today-is-the-leader-of-tomorrow-7-f866908542eb3,The youth of today is the leader of tomorrow 6,story,"Now he was in primary five and he was still determined to always be the best. But there was a trouble at home. His father's brother had come to demand from his mother the entitlement of their brother and when his mother had said she was the next of kin to Oreva's father, the men accused her of being behind their brother's death. 



""He died in Sierra Leone, he was killed in the war front, ""Oreva's mother argued. But the men did not buy it, insisting that she must surrender the entitlement paid to her husband. In the end, to avoid problem, his mother had to compromise and pay the men half of the money. But that did not stop there because the sisters came for their own share. More trouble and before long, his mother was hard up.","{""tags"":[""story"",""storyline"",""storytelling"",""nigeria"",""wafrica""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-07 14:01:54,The youth of today is the leader of tomorrow 6,/story/@ibrahimo/the-youth-of-today-is-the-leader-of-tomorrow-7-f866908542eb3,3
ibrahimo,the-youth-of-today-the-leader-of-tomorrow-5-ac60b582d6b64,The youth of today is the leader of tomorrow 5,story,"Out of desperation, his mother was able to rent a small dingy room not far from the barracks. That way, Oreva still went to his school in the barracks. It was an Army children school.

Oreva was the most brilliant child in his class. He said in primary three when he lost his father but that did not stop him from coming first in his class at the end of the term. 

When they were thrown out of the barracks, he missed school a full week even though it was his promotional examination term, he still topped his class.","{""tags"":[""story"",""storyline"",""storytelling"",""nigeria"",""wafrica""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-06 09:40:21,The youth of today is the leader of tomorrow 5,/story/@ibrahimo/the-youth-of-today-the-leader-of-tomorrow-5-ac60b582d6b64,2
ibrahimo,gambling-is-not-for-good-children-11,"Gambling Is Not For Good Children,11",story,"Fred who was also a good video game player asked Paul what games he had played and when he mentioned the games, Fred said they were games he had played.
Playing a game is one thing, winning is another thing, Paul said.

That is true, Bayo who had quickly begun to take to Paul, said. I agree.
Yes, but I think I am very good at all these games you have mentioned, Fred said. Ask my friends here.
Jide smiled. It was true that Fred who also had games in his house was a good player. It's true, he is good.

https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg

Perhaps, you should challenge me and let's see how good you are, Paul suggested.
Fred agreed and challenged Paul to a game. The boys were excited. Charles, who was eager to see the better player between the two, quickly set up the game and the competitors in front of the big television set.
What happens if I beat you? Paul suddenly asked.","{""tags"":[""story"",""children"",""gambling"",""nigeria"",""africa""],""image"":[""https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-06 09:29:36,"Gambling Is Not For Good Children,11",/story/@ibrahimo/gambling-is-not-for-good-children-11,1
ibrahimo,gambling-is-not-for-good-children-10,"Gambling Is Not For Good Children, 10",story,"The boys went to Charle's house. Charles lived in another part of town but it was a trekkable distance. Bayo had been to the house before and he led his friends to the place.
Charles was very happy to see them, Charles was an only Son with three big sisters. He was a spoilt boy because his parents doted so much on him as the last child and the only male child, he got virtually all that he wanted.

https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg

That day, there was a boy with Charles whom Charles introduced as Paul, his friend in the neighbourhood. Paul looked streetwise from his appearance, he greeted the boys as if he had known them before and when he talked to them; it was like they were also friends.

Paul is a good video game player, he plays all the games I have very well. We have been competing and he wins virtually all the matches, Charles told them about his new friend.","{""tags"":[""story"",""gambling"",""children"",""parenting"",""nigeria""],""image"":[""https://steemitimages.com/0x0/https://i.kinja-img.com/gawker-media/image/upload/s--1vMQwC8y--/c_scale,fl_progressive,q_80,w_800/lx2hdcvrteh0ehcmds25.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-03 16:14:06,"Gambling Is Not For Good Children, 10",/story/@ibrahimo/gambling-is-not-for-good-children-10,1
