author,permlink,title,category,body,json_metadata,created,root_title,url,children
kresykresow,wiesci-z-inflant-100-lecie,WIEŚCI Z INFLANT. 100-lecie Związku Polaków na Łotwie,polish,"
Na początku września br. odbyły się obchody 100. rocznicy powstania Związku Polaków na Łotwie. Został on powołany 6 sierpnia 1922 roku w Dyneburgu a pierwszym prezesem została Stanisława Dowgiałłówna, która w Polsce znana jest bardziej jako pierwsza studentka Uniwersytetu Jagiellońskiego. Z okazji jubileuszu odbył się w Dyneburgu szereg uroczystości. Między innymi powstała wystawa pokazująca historię ZPŁ.

Więcej o obchodach można posłuchać w ""Akcentach Polskich"" (nr 390) - programie telewizyjnym łotewskich Polaków w Dyneburgu.

https://www.youtube.com/watch?v=e0xYuQNPYXs

PS. Pod koniec materiału pada (z ust dyrektorki polskiej szkoły) dość ciekawa informacja, a mianowicie, że w tym roku padł rekord przyjętych uczniów. To dobra informacja w kontekście przetrwania polskości na Łotwie. ","{""links"":[""https://www.youtube.com/watch?v=e0xYuQNPYXs""],""image"":[""""],""tags"":[""polish"",""kresykresow""],""description"":"""",""app"":""ecency/3.0.26-vision"",""format"":""markdown+html""}",2022-09-11 17:08:54,WIEŚCI Z INFLANT. 100-lecie Związku Polaków na Łotwie,/polish/@kresykresow/wiesci-z-inflant-100-lecie,1
kresykresow,wiesci-z-inflant-lekcje-tylko,WIEŚCI Z INFLANT. Lekcje tylko po łotewsku,polish,"![](https://images.ecency.com/DQmPKMZqGkfM2bEEALCihzg8q3XW7Tai7dvPzKSEpozsuL2/img_8284.jpg)

29 września br. łotewski parlament (Saeima) przyjął poprawki do ustawy o edukacji i ustawy o szkolnictwie ogólnym, które przewidują przejście na nauczanie tylko w języku łotewskim. Proces wdrażania potrwa trzy lata. We wrześniu 2025 roku w szkołach lekcje będą prowadzone już tylko po łotewsku. Nie dotyczy to rzecz jasna lekcji języków obcych.

Przyjęcie ustawy zmienia w sposób fundamentalny sytuację polskich szkół na Łotwie. Już poprzednie reformy znacznie ograniczyły nauczanie w języku polskim. Warto przypomnieć, że od kilku lat na poziomie szkoły średniej nauczanie odbywa się tylko w języku łotewskim. Inny język był możliwy tylko na niższych szczeblach. I tak uczniowie klas 1-6 uczą się co najmniej 50% programu nauczania w języku łotewskim, natomiast w klasach 7-9 – co najmniej 80%. Teraz nie tylko szkoły średnie, ale i podstawowe będą uczyły tylko po łotewsku.

Czy zmieni to radykalnie sytuację polskości na Łotwie","{""links"":[""https://www.youtube.com/watch?v=kethEknAK2Q""],""image"":[""https://images.ecency.com/DQmPKMZqGkfM2bEEALCihzg8q3XW7Tai7dvPzKSEpozsuL2/img_8284.jpg""],""thumbnails"":[""https://images.ecency.com/DQmPKMZqGkfM2bEEALCihzg8q3XW7Tai7dvPzKSEpozsuL2/img_8284.jpg""],""tags"":[""polish"",""kresykresow""],""description"":"""",""app"":""ecency/3.0.28-vision"",""format"":""markdown+html""}",2022-09-30 00:08:42,WIEŚCI Z INFLANT. Lekcje tylko po łotewsku,/polish/@kresykresow/wiesci-z-inflant-lekcje-tylko,0
kresykresow,wiesci-z-inflant-reportaz-o,WIEŚCI Z INFLANT. Reportaż o polskich śladach na Łotwie,polish,"Pod koniec lutego w Telewizji Trwam miał swoją premierę reportaż ""Polskie ślady na Łotwie"".

Autorzy zabierają nas na wschód tego kraju, do Łatgalii, gdzie oddają głos przede wszystkim mieszkającym tam Polakom, pokazują najważniejsze miejsca związane z Polską oraz poruszają kilka innych interesujących wątków min. dotyczących edukacji w tamtejszych polskich szkołach.

Duża dawka pięknej historii wymieszanej z teraźniejszością.

https://www.youtube.com/watch?v=gtAoxBiMS-Y
","{""links"":[""https://www.youtube.com/watch?v=gtAoxBiMS-Y""],""image"":[],""tags"":[""polish"",""kresykresow""],""description"":"""",""app"":""ecency/3.0.31-vision"",""format"":""markdown+html""}",2023-03-11 15:32:36,WIEŚCI Z INFLANT. Reportaż o polskich śladach na Łotwie,/polish/@kresykresow/wiesci-z-inflant-reportaz-o,1
kresykresow,wiesci-z-inflant-polska-szkola,WIEŚCI Z INFLANT. Polska szkoła w Krasławiu do zamknięcia?,polish,"![](https://images.ecency.com/DQmXRqeQDneuJE2pj4bs7CVoDK92hkxjBbrcV9vq664YG4q/obraz.png)

W czwartek, 23 lutego, Rada Miejska w Krasławiu (łot. Krāslava) podjęła decyzję o zamknięciu polskiej szkoły podstawowej im. hr. Platerów. Powodem jest zbyt mała liczba uczniów (od czterech lat jest ich mniej niż 50), co powoduje straty i konieczność dokładania przez samorząd kwoty rzędu 150-170 tys. euro. 

Polska szkoła w Krasławiu działa od 1991 roku. Warto zaznaczyć, że wieści o jej zamknięciu wracają co jakiś czas jak bumerang i wciąż jest szansa, że tak jak w poprzednich latach uda się wynegocjować warunki utrzymania szkoły.","{""image"":[""https://images.ecency.com/DQmXRqeQDneuJE2pj4bs7CVoDK92hkxjBbrcV9vq664YG4q/obraz.png""],""tags"":[""polish"",""kresykresow""],""description"":"""",""app"":""ecency/3.0.31-vision"",""format"":""markdown+html"",""image_ratios"":[{""height"":590,""width"":1280,""url"":""https://images.ecency.com/p/2gsjgna1uruvGBHDnRaj2z6FsL6XEQR3pnqa26GnVn5ss1j55jYT8Ehd6XXG8sCkRJL1bLQsrUMfpBMkx3wpsfdYVvJTyEggqvyTfE1JwhVunvWXhg.png?format=match&mode=fit""}]}",2023-02-23 23:43:09,WIEŚCI Z INFLANT. Polska szkoła w Krasławiu do zamknięcia?,/polish/@kresykresow/wiesci-z-inflant-polska-szkola,1
kresykresow,wiesci-z-inflant-swiatlo-wolnosci,"WIEŚCI Z INFLANT. ""Światło wolności"" z okazji 13 XII",polish,"![](https://images.ecency.com/DQmWQv55YCbqK7q9Cn997WJdenCPWwyvoygxfqEEd1Na2Hg/obraz.png)

Z okazji rocznicy wprowadzenia stanu wojennego w łotewskim dzienniku Neatkarīgā pojawił się artykuł Elity Veidmane pt. [Zapalmy świece dla ""Solidarności"" i dzielnych Polaków](https://neatkariga.nra.lv/komentari/elita-veidemane/399675-iedegsim-sveces-par-solidaritati-un-drosmigajiem-poliem). Rozpoczynają go słowa:

>W Polsce wprowadzono stan wojenny - taka wiadomość przywitała Polaków we wczesny, mroźny poranek 13 grudnia 1981 roku. Na czele ówczesnego rządu polskiego stał generał armii Wojciech Jaruzelski. Na ulice miast wyprowadził czołgi, wprowadził ścisłą kontrolę, cenzurę, uwięził tysiące ludzi i zdelegalizował Solidarność. Ale ten stan wojenny tylko przyspieszył upadek reżimu komunistycznego w Polsce i w całej Europie Wschodniej.

Później autorka zakreśla historię stanu wojennego, jego przyczyn i skutków. Artykuł kończy słowami:

>W duchu historii i pamięci, Ambasada RP zaprasza do zapalenia świecy wieczorem 13 gru","{""links"": [""https://neatkariga.nra.lv/komentari/elita-veidemane/399675-iedegsim-sveces-par-solidaritati-un-drosmigajiem-poliem""], ""image"": [""https://images.ecency.com/DQmWQv55YCbqK7q9Cn997WJdenCPWwyvoygxfqEEd1Na2Hg/obraz.png""], ""thumbnails"": [""https://images.ecency.com/DQmWQv55YCbqK7q9Cn997WJdenCPWwyvoygxfqEEd1Na2Hg/obraz.png""], ""tags"": [""polish"", ""kresykresow""], ""description"": """", ""app"": ""ecency/3.0.30-vision"", ""format"": ""markdown+html""}",2022-12-14 09:07:36,"WIEŚCI Z INFLANT. ""Światło wolności"" z okazji 13 XII",/polish/@kresykresow/wiesci-z-inflant-swiatlo-wolnosci,0
kresykresow,wiesci-z-inflant-bazgroly-na,WIEŚCI Z INFLANT. Bazgroły na pomniku Dowódców Ofensywy Dyneburskiej,polish,"![](https://images.ecency.com/DQmQ89Lep7N81iM8MqQNuiVWTS5sc96veJWxdhpVpig9VUK/obraz.png)

W środę, 23 listopada br., nieznani sprawcy pomalowali białą farbą pomnik Dowódców Ofensywy Dyneburskiej, który znajduje się na miejscu dawnego, polskiego cmentarza wojskowego w Dyneburgu (łot. Daugavpils). Pochowani zostali na nim żołnierze walczący w latach 1919-1920 o niepodległość Łotwy, zwłaszcza polegli w Operacji Zima, w wyniku której wyzwolona została Łatgalia. Cmentarz w czasach Związku Sowieckiego został zrównany z ziemią a ziemię wymieszaną z kośćmi wykorzystano do budowy dróg. Więcej o tym miejscu można dowiedzieć się z filmu, który był jednym z efektów ""Projektu Inflanty"".

https://www.youtube.com/watch?v=bMhkrQWdpFQ

Pomnika, który stał się celem ataku nie ma na filmie, bo został on odsłonięty dopiero 2 lata temu, w listopadzie 2020 roku. Wcześniej różne napisy pojawiały się na stojącym obok betonowym krzyżu. Związek Polaków na Łotwie ma doświadczenie w jego oczyszczaniu.

Nie wiadomo kto stoi za tym aktem","{""links"":[""https://www.youtube.com/watch?v=bMhkrQWdpFQ""],""image"":[""https://images.ecency.com/DQmQ89Lep7N81iM8MqQNuiVWTS5sc96veJWxdhpVpig9VUK/obraz.png""],""thumbnails"":[""https://images.ecency.com/DQmQ89Lep7N81iM8MqQNuiVWTS5sc96veJWxdhpVpig9VUK/obraz.png""],""tags"":[""polish"",""kresykresow""],""description"":""W środę, 23 listopada br., nieznani sprawcy pomalowali białą farbą pomnik Dowódców Ofensywy Dyneburskiej, który znajduje się na miejscu dawnego, polskiego cmentarza wojskowego w Dyneburgu (łot. Daugavpils)."",""app"":""ecency/3.0.29-vision"",""format"":""markdown+html""}",2022-11-24 16:40:03,WIEŚCI Z INFLANT. Bazgroły na pomniku Dowódców Ofensywy Dyneburskiej,/polish/@kresykresow/wiesci-z-inflant-bazgroly-na,0
kresykresow,foto-groby-polskich-dzialaczy-na,FOTO. Groby polskich działaczy na Cmentarzu Rakowickim,polish,"W Dzień Zaduszny wybraliśmy się na Cmentarz Rakowicki w Krakowie, aby zapalić znicze na grobach przedwojennych polskich działaczy na Łotwie.

W pierwszym grobie spoczywa Stanisława Dowgiałłówna, pierwszej prezes powołanego w 1922 roku Związku Polaków w Łotwie i dyrektorka (w latach 1925-27) państwowej polskiej szkoły średniej w Rzeżycy. W 1925 roku była polską delegatką na I Międzynarodowym Kongresie Mniejszości Narodowych w Genewie. W historii zapisała się jednak głównie jako pierwsza studentka Uniwersytetu Jagiellońskiego. Zmarła 26 listopada 1933 w Krakowie.


![obraz.png](https://files.peakd.com/file/peakd-hive/hallmann/23tGZbsg823KbXnqbhpuGn3X8Xwr8Q6NqTYgPvSQuU57tAB3f4F8B8FXqBE4kcndmVChy.png)


![obraz.png](https://files.peakd.com/file/peakd-hive/hallmann/23wMMhM5TXfhyCXqBQVaLDExVSaLRFeXHwVqDhRMFXnLgQCxpmpcsVRKeW445ghMUPnpT.png)


![obraz.png](https://files.peakd.com/file/peakd-hive/fundacja/246b2coUp8pop7u8FNLRYKaRCYQRw2pZNofy4RtuznYSXnkCwo9AhUZaqJXsdKsGM7b7o.png)

![obraz.png](https://files.peakd.com/","{""image"":[""https://files.peakd.com/file/peakd-hive/hallmann/23tGZbsg823KbXnqbhpuGn3X8Xwr8Q6NqTYgPvSQuU57tAB3f4F8B8FXqBE4kcndmVChy.png"",""https://files.peakd.com/file/peakd-hive/hallmann/23wMMhM5TXfhyCXqBQVaLDExVSaLRFeXHwVqDhRMFXnLgQCxpmpcsVRKeW445ghMUPnpT.png"",""https://files.peakd.com/file/peakd-hive/fundacja/246b2coUp8pop7u8FNLRYKaRCYQRw2pZNofy4RtuznYSXnkCwo9AhUZaqJXsdKsGM7b7o.png"",""https://files.peakd.com/file/peakd-hive/fundacja/23vhoFvEPBu27V3NFo2eD6m2kgFCMEEdA6gQkbbZ5fPfmnSTwemcag8eZroY1oUjxjp3h.png"",""https://files.peakd.com/file/peakd-hive/hallmann/23wMPdFJT15Jrc7JbSMeDDkbe8H1WxkcnBTQXtJ76vHTj19NmgshBy2fde3VGLgzdJFWM.png"",""https://files.peakd.com/file/peakd-hive/hallmann/246b38HxthxHjwUa3CCpLJaiM6DGPSz7BjforiayT3iMK2qn3Y9dDHmHMHU6YQxgw8op1.png""],""thumbnails"":[""https://files.peakd.com/file/peakd-hive/hallmann/23tGZbsg823KbXnqbhpuGn3X8Xwr8Q6NqTYgPvSQuU57tAB3f4F8B8FXqBE4kcndmVChy.png"",""https://files.peakd.com/file/peakd-hive/hallmann/23wMMhM5TXfhyCXqBQVaLDExVSaLRFeXHwVqDhRMFXnLgQCxpmpcsVRKeW445ghMUPnpT.png",2022-11-03 00:49:24,FOTO. Groby polskich działaczy na Cmentarzu Rakowickim,/polish/@kresykresow/foto-groby-polskich-dzialaczy-na,0
kresykresow,wiesci-z-inflant-wyzwolenie-latgalii,WIEŚCI Z INFLANT. Wyzwolenie Łatgalii z wileńskiej perspektywy,polish,"Jednym z naszych postulatów postawionych po zakończeniu Projektu Inflanty w 2014 roku była większa współpraca Polaków z Łotwy i Litwy. Wychodziliśmy z założenia, że Dyneburg i Wilno dzieli tak niewielka odległość, że wsparcie polskości nad Dźwiną ze strony Wilniuków powinno być naturalne. Okazuje się, że koncepcje te są dziś realizowane. Ostatnio w krakowskim KBK (@krolestwo) pojawiły się najnowsze numery Kurierów Wileńskich. W jednym z nich znaleźliśmy takie oto ogłoszenie:

>PRÓBA OTWARTA SPEKTAKLU
OPERACJA ""ZIMA""
SPEKTAKL DOKUMENTALNO-EDUKACYJNY O
KAPITANIE ALEKSANDRZE MYSZKOWSKIM
<br>SCENARIUSZ
ALWIDA ANTONINA BAJOR
SŁAWOMIR GAUDYN

![](https://images.ecency.com/DQmduwZjZ4k4XuPUh5XTQPXhQUJX2yDMBhLx2TUaM9qHRDt/obraz.png)

Okazuje się, że Polski Teatr STUDIO w Wilnie przy wsparciu Fundacji ""Pomoc Polakom na Wschodzie"" realizuje spektakl pt. ""Operacja Zima"" dotyczący wyzwolenia Łatgalii przez wspólne siły polsko-łotewskie. Jest to przedstawienie dokumentalno-edukacyjnego, bazujące na depeszach i listach kap","{""image"":[""https://images.ecency.com/DQmduwZjZ4k4XuPUh5XTQPXhQUJX2yDMBhLx2TUaM9qHRDt/obraz.png""],""thumbnails"":[""https://images.ecency.com/DQmduwZjZ4k4XuPUh5XTQPXhQUJX2yDMBhLx2TUaM9qHRDt/obraz.png""],""tags"":[""polish"",""kresykresow""],""description"":"""",""app"":""ecency/3.0.28-vision"",""format"":""markdown+html""}",2022-10-26 22:11:27,WIEŚCI Z INFLANT. Wyzwolenie Łatgalii z wileńskiej perspektywy,/polish/@kresykresow/wiesci-z-inflant-wyzwolenie-latgalii,0
kresykresow,wiesci-z-inflant-partie-rosyjskie,WIEŚCI Z INFLANT. Partie rosyjskie poza parlamentem,polish,"![IMG_0742.JPG](https://files.peakd.com/file/peakd-hive/hallmann/23tS2T5moSmajvDCMWKuVNbReo9vvwQmsdSD5ZTw1g8FhtWtCQ612mYYMEPVUNAKnLRze.JPG)

Wczoraj na Łotwie odbyły się wybory parlamentarne. Dziś pojawiły się wyniki. Wybory wygrała centro-prawicowa Jaunā VIENOTĪBA (18,97%), drugie miejsce zajął łotewski PSL, czyli Zaļo un Zemnieku savienība (12,44%), trzecie trudna to określenia koalicja APVIENOTAIS SARAKSTS (11,01%), czwarte nacjonaliści z Nacionālā apvienība (9,29%). Do Saeimy dostali się również: eurosceptycy z ""Stabilitātei!"" (6,8%), konserwatyści z LATVIJA PIRMAJĀ VIETĀ (6,24%) oraz socjaldemokraci z ""PROGRESĪVIE"" (6,16%).

To co łączy wszystkie te partie to ich łotewskość. Żadnej z nich nie można jednoznacznie zaklasyfikować jako partii prorosyjskiej. A zatem po raz pierwszy po rozpadzie Związku Radzieckiego w łotewskim parlamencie zabrakło wyraźnych reprezentantów rosyjskich interesów. Dla każdego, kto w minimalnym stopniu śledzi łotewską politykę jest to o tyle dziwne, że jeszcze w ostatnich wyborac","{""image"":[""https://files.peakd.com/file/peakd-hive/hallmann/23tS2T5moSmajvDCMWKuVNbReo9vvwQmsdSD5ZTw1g8FhtWtCQ612mYYMEPVUNAKnLRze.JPG""],""thumbnails"":[""https://files.peakd.com/file/peakd-hive/hallmann/23tS2T5moSmajvDCMWKuVNbReo9vvwQmsdSD5ZTw1g8FhtWtCQ612mYYMEPVUNAKnLRze.JPG""],""tags"":[""polish"",""kresykresow"",""photography""],""description"":"""",""app"":""ecency/3.0.28-vision"",""format"":""markdown+html""}",2022-10-02 19:40:45,WIEŚCI Z INFLANT. Partie rosyjskie poza parlamentem,/polish/@kresykresow/wiesci-z-inflant-partie-rosyjskie,0
kresykresow,spiewy-z-inflant,WIEŚCI Z INFLANT. Śpiewy w Stirniene,hive-199021,"Poniżej zapis tradycyjnego śpiewania psalmów i pieśni pogrzebowych, które odbyło się na początku listopada br. w rzymsko-katolickiej parafii Stirniene na wschodniej Łotwie. W 2021 r. tradycja tradycja ta została oficjalnie wpisana na Krajową listę niematerialnego dziedzictwa kulturowego. 

https://youtube.com/watch?v=fX2_olgaDLI&feature=share","{""links"":[""https://youtube.com/watch?v=fX2_olgaDLI&feature=share""],""image"":[""""],""tags"":[""hive-199021"",""polish"",""music"",""kresykresow""],""app"":""ecency/3.0.20-vision"",""format"":""markdown+html""}",2021-12-10 17:54:12,WIEŚCI Z INFLANT. Śpiewy w Stirniene,/hive-199021/@kresykresow/spiewy-z-inflant,0
