author,permlink,title,category,body,json_metadata,created,root_title,url,children
lebu,just-what-you-wanted-to-get,Just What You Wanted To Get,story,"Inside the compound, she could see the car of her sister, Ono, where it was parked in its usual place..Ono, the first of her parents five children and a mother of three, was eleven years older than Jite and  married to Fidelis Jang who was from Jos in Plateau state.



 An architect,  Fidelis was even seven years older than Ono and worked in an international company. Ono who'd been attending a church but not a committed Christian, had been in a relationship with a man who was her classmate in High school but when she met Fidelis, she dumped the man and church, and married Fidelis who was not a believer. 



Now, Fidelis had finished building their house and the family would be moving in soon. In between Ono and Jite were two brothers, John and Austin, and a sister, Maria,  all of whom were married. The two brothers and Maria were Christians.


 Jite attended the University in Asaba,  her hometown in Delta state and lived with her parents because their rented apartment was not far from the University.","{""tags"":[""story"",""fiction"",""life"",""nigeria"",""africa""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-02 15:36:27,Just What You Wanted To Get,/story/@lebu/just-what-you-wanted-to-get,0
lebu,the-search-for-the-right-one-episode-19-731a3724f7fd8,The Search for the right one; Episode 19,story,"She looked out of her side window. He unplugged the phone from the car charger, tapped it, and began to talk. ""How are you -- I'm driving-- I'll call you later - okay - bye."" He put the phone in his pocket but almost immediately, it began to ring again. This time, the ringtone was the laughter of a child.




Jite thought that the first call must have been from a woman, probably his girlfriend. If he had a girlfriend,  why then was he trying to date her? She smiles and took a deep breath. Well, she would put him in his place. Soon, they reached her Street and she told him to stop in front of a three storey building. Four woman stood by a car, talking. 




""Thanks a lot."" She said. ""Good night."" ""Good night."" She got down, closed the door and waved at him. He waved back and left. She looked at the woman talking; one of them tenant in the house. Jite greeted the elderly woman before walking past to open the pedestrian gate of the house.","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-31 17:38:27,The Search for the right one; Episode 19,/story/@lebu/the-search-for-the-right-one-episode-19-731a3724f7fd8,0
lebu,the-search-for-the-right-one-episode-18-17fd8c748777f,The Search for the right one; Episode 18,story,"She shook her head. ""No, I won't do that. That's double dating."" ""That's being smart."" He told her. ""No, I don't do that. It's cheating and it's not fair. How would you feel if you got to know that the lady you wanted to marry was seeing another man?""



""I wouldn't like it but that's not the issue here."" He said, dismissing her argument. She turned to him and as she asked ""what's the issue?"" She considered him. She guessed he would be in his early thirties. He wasn't really what you would call handsome but he was charming and spoke very good English which she liked.



""The issue is that I really like you."" He declared. She shook her head. ""What exactly is the problem?"" He asked and glanced at her. ""Is it a sin to like a lady?"" Before she could respond, lady started playing on his cell phone which jite knew was Lionel Richie's song.","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-30 09:16:12,The Search for the right one; Episode 18,/story/@lebu/the-search-for-the-right-one-episode-18-17fd8c748777f,0
lebu,the-search-for-the-right-one-episode-17-7e84d2f1d345b,The Search for the right one; Episode 17,story,"""I really can't understand  why some people would do that!""

  ""It's terrible."" He said.
  ""And discouraging.""
  ""Some people are just very greedy."" Hello added. ""That's why I don't blame teachers who get to school and don't do much but face their personal business instead. In high school, one of my teachers would bring a bucket of beans to class and ask us to pick beans."" 

 ""That's not right."" She said.
      ""I know it's not right but these teachers have children, the men have wives, and they have to pay house rent. What is government doing to  encourage them?""


   ""And as if that is not enough, some people sit somewhere and loot the treasury, stealing millions.""
  ""Billions."" He corrected. ""This country is not going to get  better unless these things change.

 Jite sighted with resignation.
    They didn't talk for some seconds.
   ""So, when can we meet for dinner?"" He asked, changing the subject.
    ""I don't know. I told you I'm in a relationship. "" she said and smiled. 


""Yes but you're not yet marr","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-29 09:41:21,The Search for the right one; Episode 17,/story/@lebu/the-search-for-the-right-one-episode-17-7e84d2f1d345b,0
lebu,food-photography,Food Photography,photography,"Let's talk about the book of revelation:


http://tastykitchen.com/recipes/wp-content/uploads/sites/2/2011/01/food-012tksm-410x307.jpg
[source](http://tastykitchen.com/recipes/soups/mexican-sopa/)

Let's Reveal Delicious meals.

https://www.laylita.com/recetas/wp-content/uploads/2008/01/quinoa-soup2.JPG
[source](https://www.laylita.com/recetas/sopa-de-quinua-con-carne/)","{""tags"":[""photography"",""food"",""nigeria"",""africa"",""food-trail""],""image"":[""http://tastykitchen.com/recipes/wp-content/uploads/sites/2/2011/01/food-012tksm-410x307.jpg"",""https://www.laylita.com/recetas/wp-content/uploads/2008/01/quinoa-soup2.JPG""],""links"":[""http://tastykitchen.com/recipes/soups/mexican-sopa/"",""https://www.laylita.com/recetas/sopa-de-quinua-con-carne/""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-23 07:02:18,Food Photography,/photography/@lebu/food-photography,1
lebu,the-search-for-the-right-one-episode-16-920ba73ebd2bb,The Search for the right one; Episode 16,story,"He nodded. I agree with you. And when the teachers eventually retire, to get their gratuity is a big problem. The same thing goes for the people when they have been paid their monthly pensions she shook her head sadly.

Some people would have miss managed the fund.

Yes. And it keeps happening stealing from poor teachers? Who people? Stealing their hard earned cash with intentions? She shook her head again.","{""tags"":[""story"",""life"",""nigeria"",""writing"",""onequality""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-21 08:35:12,The Search for the right one; Episode 16,/story/@lebu/the-search-for-the-right-one-episode-16-920ba73ebd2bb,0
lebu,the-search-for-the-right-one-episode-15-f09f5e59ef3df,The Search for the right one; Episode 15,nigeria,"How do teachers dress? She turned slightly to face him.

When I think of teachers, i think of drab, dry, and in fitted clothes. The men's tie look like what life why do women have their hair tied with thread to make strands.

She laughed. That was before and it was because of the meagre salary the well paid in spite of the great work they did. Teachers dress better now.

Obviously. I mean look at you. I glanced at again. You are always looking good. He said we can grim.

Oh, don't flatter me
I don't flatter. I say it as it is.

Oh well, i guess I should say thank you. It's not because the salary is good enough. It's simply because I have the talent to survive. I'm curious. How much do you earn?

Smiling, she told him.

He thought about it it's not much what is more better than what a colleague sister who also teaches in the school said she's paid. 

Arsenal sapienti complain it's really is unfair. It shouldn't be like that. All the people in government, managing director of every one of them pass through sch","{""tags"":[""nigeria"",""story"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-17 05:01:15,The Search for the right one; Episode 15,/nigeria/@lebu/the-search-for-the-right-one-episode-15-f09f5e59ef3df,0
lebu,the-search-for-the-right-one-episode-14-5b2b3e68cee63,The Search for the right one; Episode 14,nigeria,"They reached a  traffic lights.  Wale stopped and glanced at her as he said, ""I'm sure your students like you.""

Hello smiled.

Maybe yes or....  I should say that most of them do. She said. Those who may not reall6like me are those who don't like schooling. 

She spoke again "" Those kids can be a handful but I love what I do.  The only slang is the salary.

Yes some of them do but all of us can't be in such school.  For some of us teachers, we believe our reward is oven.

They laughed Wow!

The light turned green and as Wale drove on, he asked, How much do you earn?

She laughed 

I'm just curious, he took a brief glance at her. 

Don't even go there. It's not too much. It is so ridiculous you will laugh.

I won't laugh, i promise. I just want to know. You don5dress like a typical teacher.","{""tags"":[""nigeria"",""story""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-16 02:01:30,The Search for the right one; Episode 14,/nigeria/@lebu/the-search-for-the-right-one-episode-14-5b2b3e68cee63,0
lebu,the-search-for-the-right-one-episode-13-50237bf02838e,The Search for the right one; Episode 13,nigeria,"Thanks. He Said. Bringing out in call phone from his pocket, he plugged it into the car charger.

What was the make? 

He told her the make was ford. He said this as a cradle ignition. He smiled and asked why are you teaching.

Well, i studied education. Where? he asked

I am sure you know that there are people who studied education but don't work as teachers. Yes I know but I love teaching. That's good that's what matters, loving what you do.

I do. I have always wanted to be a teacher. In high school, when some of my classmates talked about becoming doctors I asked my dream was to become a teacher she reviewed.

Why? he asked.

Ismael talked at the corner of ur lips. In my final year in elementary school, i had an opportunity to be taught  by an absolutely wonderful teacher.  I had a bed mathematics until then but she taught me to like it. She was very nice. And my first two yes in high school, i was also fortunate to have very good teachers and I admired them.

Wow! Exclaimed I wasn't that fortunate.

She","{""tags"":[""nigeria"",""fiction"",""story""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-14 00:26:24,The Search for the right one; Episode 13,/nigeria/@lebu/the-search-for-the-right-one-episode-13-50237bf02838e,0
lebu,the-search-for-the-right-one-episode-12,The Search for the Right one; Episode 12,nigeria,"This was it.

Did you enjoy the programme? she asked.

Hmm. It was okay.

She expected him to say more but he didn't. When they got too the car, he pressed the remote and the lights flashed as the car's four dour unlocked.

He stood on the driver's side while Jite went to the other side. She pulled open the front passenger door, slid in, and closed the door behind her.  He inserted the key into the ignition.

As she fastened her seat belt, she said, ""This is a nice car"".","{""tags"":[""nigeria"",""story"",""fiction"",""africa""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-13 04:45:12,The Search for the Right one; Episode 12,/nigeria/@lebu/the-search-for-the-right-one-episode-12,0
lebu,the-search-for-the-right-one-episode-11-2130e2391bd0b,The Search for the Right one; Episode 11,story,"As Jite walked towards the gate, she's saw Wale where is chewed on a side.

When she go to him she said, i am here. Let's go.
Where is your friend? Her cousin is giving her a ride

Outside the gate, jackson, where did you park your car? It is down the road. He pointed in the direction. I'll need to remove my shoe and wear flat my feet are hurting. He laughed and looked down at her shoe. The colour of the high heel suede pumps with oversized bow in front what's the same as her jeweller. Teal.

Standing on a side, she opened her handbag and took a plastic bag. Opening it, she brought out a pair of brown leather slippers she put them on the ground.

Holding his right shoulder for support so she  could pull off her shoes. I'm sorry. 

He smiled. Just fine.

She removed the shoes, what the sleepers and put the shoes in a plastic bag. Holding in handy handbag and the plastic bag she told him let's go.

Alright, where do you live? She told him.

That will take about an hour to get there considering traffic and othe","{""tags"":[""story"",""nigeria"",""writing"",""africa"",""creativity""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-12 07:08:39,The Search for the Right one; Episode 11,/story/@lebu/the-search-for-the-right-one-episode-11-2130e2391bd0b,2
lebu,the-search-for-the-right-one-10-6fef9f1659aac,The Search For The Right One; 10,story,"The hod paid for the books, came to the back and handed eleven copies to Mrs. Obodo, the assistant head of department who immediately distributed them among the ushers. “Wow, this great!” One Of then said. When the service eventually ended, light refreshments were served. Jite took two cupcake and a cup of coke. She downed the drink but put the cupcakes in her handbag to home.


She went over to wale where he sat and saw that he had been given spring roll, chip, and a small can of fruit juice. “Again, thanks for coming,” she told him, smiling. “And thanks for inviting me,” He responded with a grin. Taking a spring roll from the paper plate in his hand, he took a bite. As he eat and talked with her, his eye took in her dressing. The round neck pullover gowm she wore was yellow while teal was the color of her earrings and necklace. He liked the combination. 




“How are you going? Do you have a car?” He took the can of juice and opened it. She laughed. “A car? I don’t work in bank, you know. I’m only a teache","{""tags"":[""story"",""nigeria"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-10 12:12:06,The Search For The Right One; 10,/story/@lebu/the-search-for-the-right-one-10-6fef9f1659aac,0
lebu,the-search-for-the-right-one-9-912fcf04770b3,The Search for the right one; 9,story,"When someone shouted tell them, some people laughed. The woman smiled and went on. Anyone who has been cohabiting with the opposite sex need to repent, turn to god, and change. He or she must move out from the place immediately! Yes, i know that moving out may be difficult but it has to be done. If you ask god for help, he will make a way for you. He always makes a way of escape for those who come to him. And he does not claim not to know you, for those who know god, they must stop sinning and compromising, and start doing things that god sees in god's way. True christian don't practicing. They shall not commit sin or shall we continue in sin that grace may abound?

Some people responded, no. Certainly not! The woman said. Do not think you do not know or have other choices or another place to go. The moment you say yes to god, you realise that there is another place and another choice.

About 10 minutes after the speaker brought the message to a close. She prayed for everyone, put the microphone down, and sh","{""tags"":[""story"",""nigeria"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-09 14:19:48,The Search for the right one; 9,/story/@lebu/the-search-for-the-right-one-9-912fcf04770b3,0
lebu,the-search-for-the-right-one-8-537ca5ef2a07c,The Search For The Right One; 8,story,"Looking up from the Bible, she said, “there are some professing Christians who have chosen to cohabit, following the word of God but their own desire.” Hmm. Some things will have to change in my relationship, I need to do the right thing, jite thought. The woman continued. “Sometimes, these professing Christians claim they are not sleeping with their partners and nothing immoral is going on. That’s baloney! Like judge Judy sheindlin would say on her Tv programme.” People laughed.



“It’s baloney, nonsense.” She added. “ some might even say that they prayed before moving in together.” “It’s baloney.” A lady at the back shouted. People laughed again. “Baloney.” Joy repeated quietly and chuckled, which made jite think she must be hearing the word for the first time. “Yes, it’s nonsense. It may be true that you prayed but it still does not make living together right.” The guest minister revealed. “Whenever you live together or sleep over at weekends, you will be opening yourself up to the temptation of immorali","{""tags"":[""story"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-08 13:02:12,The Search For The Right One; 8,/story/@lebu/the-search-for-the-right-one-8-537ca5ef2a07c,0
lebu,the-search-for-the-right-one-episode-7-2f43929e0db1e,The Search for The Right One; Episode 7,writing,"Wales who was muscular, was dark skinned and 5 feet 7 inches tall with short hair and an attractive smile. He wore on jeans a plaid cotton shirt that had a contract train as the cut of the sleeve.

""Hello"" 

Jite welcome to him with a broad smile and said, thanks for coming, although the guest speaker is about rounding off. The program started at 5.

""Well, better late than never."" 

""Yes"" she responded, still smiling. In a 2 inch heel shoes she was the same height as him. Thanks for honouring invitation.

The pleasure is mine. He said and looked around, noticing that the rock which cover the entire floor of the hall match the great padded single chair that filled it. The world we are white. As you let him to his feet she wondered why he was just coming although she hadn't really expected him to show up. He had actually told her he would try to attend a program but she had quite believe him because he said he wasn't regular in church.

The high school where jite was a teacher was on the same street as the ba","{""tags"":[""writing"",""story"",""nigeria""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-07 14:07:30,The Search for The Right One; Episode 7,/writing/@lebu/the-search-for-the-right-one-episode-7-2f43929e0db1e,0
lebu,the-search-for-thr-right-one-episode-6,The Search For The Right One; Episode 6,writing,"Her attention was drawn back to the guest minister as the latter went on. ""Cohabitation is wrong in the sight of the lord. No excuse is good enough to make living together out of wedlock tight in the sight of God.

Several scriptures reveal that some things that seem right to people are wrong, and some ways are just wrong; they lead to destruction.

*""There is a way that seems right to a man but its end is destructive. that an idea seems tight does not make it right or perfect. Because people do it and get away with it doesn't mean if you do it, you will get away with it or because it is socially acceptable does not make it the right choice.and people cohabiting because they don't have any other choice are not being honest.""*

Some people clapped their hands while some nodded in agreement.

*""Cohabiting is simply what they have chosen to do because they want to be smart and have their way.""* Just then Jite and her co-usher sensed a movement behind them and looked back. A man arrived and Jite saw that it was ","{""tags"":[""writing"",""story"",""nigeria"",""africa""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-06 06:17:00,The Search For The Right One; Episode 6,/writing/@lebu/the-search-for-thr-right-one-episode-6,0
lebu,the-search-for-thr-right-one-episode-5-a92af2a860afc,The Search For The Right One; Episode 5,story,"Amen! Everyone shouted 

Jite Shifted from one leg to the other house she wished her fiancé, Emeka was here to hear this message.

She invited you for this program but he said he had to see one of his friends. She invited 11 people besides me six in the high school were she was a teacher I’m fine in the bank which had an account.

Only one of the eleven people had shown up for the program, a lady from the high school, Clara.

If Emeka had attended this program with her, it would have helped them both to do the right thing in their relationship.

Hearing messages such as this together would make living right easy for them but they hardly did.

She always invited him to special program in her church but he attended only a few. He was always busy and moreover he worships in another church.

They hardly prayed together as well. I they prayed, it was because they needed to pray for Devine intervention in a situation.

They had been sleeping together and she sometimes spend the weekend in his house at his request.","{""tags"":[""story"",""nigeria"",""africa""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem""}",2018-03-04 15:45:36,The Search For The Right One; Episode 5,/story/@lebu/the-search-for-thr-right-one-episode-5-a92af2a860afc,0
lebu,the-search-for-the-right-one-episode-4-e821733fb0b74,The search for the right one; Episode 4,story,"Giving heat to Deceiving spirits and doctrines of demons.

The Lord have mercy! She said. “ that’s scheduled to sing that some people we give heed to Unfollow deceiving spirits or deceitful spirits and doctrines of the month.

The man continued reading, speaking lies in the pussy, how do you do you own conscience said with the hot iron for bidden to marry.

Wow! The lady on jide’s are the fight! I have a plan and on the lane the verse in my Bible. I never really took note of this scripture before, you know.

 Jite knew the scripture but it’s hard never touched her heart the way it did now. Should nodded to acknowledge the ladies comments But before she could respond, she had a minister speaking again doctrines of demons doctrines inspired ideas, the teachings that come from the month! God will deliver you from them in Jesus name.","{""tags"":[""story"",""nigeria"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-03 13:18:06,The search for the right one; Episode 4,/story/@lebu/the-search-for-the-right-one-episode-4-e821733fb0b74,0
lebu,the-search-for-the-right-one-episode-3-cc33b8c81c4fd,The Search for the right one; Episode 3,story,"""No."" Many people responded. ""No, it's not!"" She confirmed. ""Marriage is a divine institution. ""That's right."" Joy, the usher on jite's right commented. 

""There are ladies who think it's okay to sleep over at their boyfriend's place on weekends. But is it okay? No it is not. Cohabiting does neither reflect the life and the teaching of God nor the kind of marriage that God ordained."" The woman added.



Jite took in a deep breath. The woman continued, ""in first timothy chapter four, from verse one to three, the bible reveal that in the end times, some people would yield to deceiving spirits and demonstrate inspired ideas, and desert the institution of marriage, let someone read the scripture first.""



Almost immediately, a man in front stood with an iPhone in his hands and began to read the scripture from it. ""Now,""
""Now,"" the woman repeated for emphasis.
""The spirit expressly says,""
""The spirit expressly says!"" She repeated.
""The spirit speaks explicitly,""


""That in later times some will depart from the f","{""tags"":[""story"",""nigeria"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-02 16:25:12,The Search for the right one; Episode 3,/story/@lebu/the-search-for-the-right-one-episode-3-cc33b8c81c4fd,0
