author,permlink,title,category,body,json_metadata,created,root_title,url,children
mcdavids,handling-discouragement,Handling Discouragement,motivation,"Discouragement is one very strong factor we have to deal with daily, the great harm that discouragement has caused to human lives cannot be over emphasized.

http://www.ministrymatters.com/images/custom/20271/rf.jpg
[image credit](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjW5PaZso7WAhVI6SYKHRNsCP8QjRwIBw&url=http%3A%2F%2Fwww.ministrymatters.com%2Flead%2Fentry%2F6804%2F5-ways-to-overcome-discouragement&psig=AFQjCNFJ0LrzLbfphkXn-Jpg7AOp3MlFgQ&ust=1504712818001482)

The society has a way of making people give up on themselves, sometimes as individuals, we give up on our dreams and goals because we feel discouraged. But, discouragement is a killer and destroyer of dreams.

We get discouraged sometimes because despite our efforts,things do not turn out in a way we want it.Sometimes we get really discouraged when we realize that we are not as courageous as we thought we were.

Discouragement happens to every individual at every point in time,the most important thin","{""tags"":[""motivation"",""discouragement"",""africa"",""nigeria""],""users"":[""mcdavids""],""image"":[""http://www.ministrymatters.com/images/custom/20271/rf.jpg"",""https://teach4theheart.com/wp-content/uploads/2013/10/discouraging-days.jpg"",""https://2.bp.blogspot.com/-DzUBv7NYS1o/V3lib-W5jUI/AAAAAAAAOqk/-Sb2ra4qwUElPow2T72e4WIOnfZcQGcLACLcB/s320/discouragement.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjW5PaZso7WAhVI6SYKHRNsCP8QjRwIBw&url=http%3A%2F%2Fwww.ministrymatters.com%2Flead%2Fentry%2F6804%2F5-ways-to-overcome-discouragement&psig=AFQjCNFJ0LrzLbfphkXn-Jpg7AOp3MlFgQ&ust=1504712818001482"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwj5ocnhsY7WAhUK1CYKHWjcAu4QjRwIBw&url=https%3A%2F%2Fteach4theheart.com%2Fdealing-with-discouraging-days%2F&psig=AFQjCNEJC2nqu7Q042PvHbtvUMbAiQmoIA&ust=1504712699195487"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjZwIaXso7WAhWHNSYK",2017-09-05 15:50:03,Handling Discouragement,/motivation/@mcdavids/handling-discouragement,1
mcdavids,becoming-productive,Becoming Productive,motivation,"Productivity comes as a result of putting your best into a thing, productivity is a process of getting great returns.

Productivity as a way of turning a man's life around and productivity occurs as a result of hard work.

http://www.lifeway.com/womensministry/wp-content/uploads/sites/11/2014/07/iStock_000015384568Small_busy.jpg
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiR7PPsiYzWAhVFshQKHZlrCu8QjRwIBw&url=http%3A%2F%2Fwww.lifeway.com%2Fwomensministry%2F2014%2F07%2F14%2F10-tips-to-becoming-a-more-productive-womens-ministry-leader%2F&psig=AFQjCNHZhGnVAiggTHu1jRRniqUSfrToSw&ust=1504633266720059)

Productivity occurs as a result of putting your best into something useful such as book reading and taking necessary actions to definite life growth.

People who are productive are people who have a well sort out and organized life, which includes short and long term plans.

Productive people do not over work their minds with things that are not necessary.

Pr","{""tags"":[""motivation"",""life"",""nigeria"",""africa""],""users"":[""mcdavids""],""image"":[""http://www.lifeway.com/womensministry/wp-content/uploads/sites/11/2014/07/iStock_000015384568Small_busy.jpg"",""http://asianetindia.com/wp-content/uploads/2016/12/Productive.jpg"",""https://i.pinimg.com/736x/e0/9e/20/e09e20c0d4fd42e5a40338e4d3317bf6--famous-business-quotes-business-women-quotes.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiR7PPsiYzWAhVFshQKHZlrCu8QjRwIBw&url=http%3A%2F%2Fwww.lifeway.com%2Fwomensministry%2F2014%2F07%2F14%2F10-tips-to-becoming-a-more-productive-womens-ministry-leader%2F&psig=AFQjCNHZhGnVAiggTHu1jRRniqUSfrToSw&ust=1504633266720059"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiVgs3iiYzWAhXDXhQKHUnlD-YQjRwIBw&url=http%3A%2F%2Fasianetindia.com%2Fhow-to-become-productive-at-work%2F&psig=AFQjCNFYhYPfsaAwXMIv9p8edJ-O41YRlA&ust=1504633245403956"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source",2017-09-04 17:45:45,Becoming Productive,/motivation/@mcdavids/becoming-productive,2
mcdavids,living-a-good-life,Living a Good Life,life,"The base of every life is character which involves integrity, faithfulness, time management, fruitfulness and commitment to the things you do.

The realization of your imperfections should make you able to tolerate others and accept them the way they are. Arrogance should not in any way be found in your dictionary.

http://digitalhobo.net/wp-content/uploads/2011/11/Good-Life.jpg
[image source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjgroWe5InWAhXEwxQKHbhzAvQQjRwIBw&url=http%3A%2F%2Fdigitalhobo.net%2F2011%2F11%2Fwhat-is-the-good-life%2F&psig=AFQjCNHfrAX64bfjEJ_aQMB8EqqfYOA0KQ&ust=1504554427049770)
Do not pretend to be a good person to people an have a bad attitude on the inside.

Understand that climbing or the process of growth in life is a gradual process, if not taken with caution, one might fall.

Sometimes hard times implies that there is something you need to learn.

Do not worry so much about the things that are not in your power to control.

Value tr","{""tags"":[""life"",""nigeria"",""africa""],""image"":[""http://digitalhobo.net/wp-content/uploads/2011/11/Good-Life.jpg"",""https://smartliving365.com/wp-content/uploads/2016/06/c7e1834b1f335d0818fe2f582b18e77e.jpg"",""http://pad1.whstatic.com/images/thumb/d/db/Live-a-Good-Life-Step-8-Version-2.jpg/aid725296-v4-728px-Live-a-Good-Life-Step-8-Version-2.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjgroWe5InWAhXEwxQKHbhzAvQQjRwIBw&url=http%3A%2F%2Fdigitalhobo.net%2F2011%2F11%2Fwhat-is-the-good-life%2F&psig=AFQjCNHfrAX64bfjEJ_aQMB8EqqfYOA0KQ&ust=1504554427049770"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjNyLPT5InWAhWJwxQKHZaDB-kQjRwIBw&url=http%3A%2F%2Fsmartliving365.com%2F10-lessons-stoics-can-teach-us-living-good-life%2F&psig=AFQjCNG4P2tvcLboTQ4hTDsrCZ7tTFn1TQ&ust=1504554561346058"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwi3i-D55InWAhXCPxQKHawOA-YQjRwIBw&url=ht",2017-09-03 19:53:45,Living a Good Life,/life/@mcdavids/living-a-good-life,4
mcdavids,how-a-unique-territory-was-made-lagos,How A Unique Territory was Made (Lagos),history,"Lagos is a major city in Nigeria, some of its basic features include;

It's carefully designed location on the International coastline of Nigeria.

It's design of settlement.

https://go2net.files.wordpress.com/2013/10/vi-map.png
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiCsYm52IbWAhXCRhQKHRGZAOoQjRwIBw&url=https%3A%2F%2Fgo2net.wordpress.com%2F2013%2F10%2F27%2Fvi-map%2F&psig=AFQjCNEF5cQZBPF4wYHv77Lp2LtnCF4DhA&ust=1504448205652680)

It's composition of different cultural groups.

It's unique history and development.

The Portuguese arrived Eko in 1472

Lagos emerged in the 18th century.

Colonial status and tradings which includes slave trade in the 19th century in Lagos.

The birth of Lagos and the colony state movement happened in 1956.

Lagos became the federal capital city in 1960.

There was a renewed agitation in Lagos state in 1962.

In 1966, they appointed military administrators to run Lagos as a capital territory.

In 1967, Lagos was created","{""tags"":[""history"",""nigeria"",""africa"",""steemit-virus""],""image"":[""https://go2net.files.wordpress.com/2013/10/vi-map.png""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiCsYm52IbWAhXCRhQKHRGZAOoQjRwIBw&url=https%3A%2F%2Fgo2net.wordpress.com%2F2013%2F10%2F27%2Fvi-map%2F&psig=AFQjCNEF5cQZBPF4wYHv77Lp2LtnCF4DhA&ust=1504448205652680""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-02 14:21:36,How A Unique Territory was Made (Lagos),/history/@mcdavids/how-a-unique-territory-was-made-lagos,3
mcdavids,a-tale-by-my-grandmother,A Tale by my GrandMother,story,"In a little village of Yakova, it was a great animal community where the Elephant was a king. There was a great famine in the land and everyone had to look for a means to survive, it got so bad that people started to eat raw grass and things were getting worse by the day.


Mr Tortoise left the village in search of a greener pasture, he got a job that he started doing although it was really difficult because he had to lift heavy loads on his back and carry it over a long distance . It was really stressful for him but he had no other option because he needed to survive, he was getting paid and he got free food as there was abundance of food in the village . 

https://www.tortoisetown.com/wp-content/uploads/2016/02/FullSizeRender_2-1.jpg
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwil3s_w_YPWAhVFXBQKHXvvC08QjRwIBw&url=https%3A%2F%2Fwww.tortoisetown.com%2Fwhere-to-buy-tortoise-for-sale-online%2F&psig=AFQjCNGB1JlTJk9Rp1FZRrPsdMOEPV-9Og&ust=1504355140446345)","{""tags"":[""story"",""folktale"",""nigeria"",""africa""],""image"":[""https://www.tortoisetown.com/wp-content/uploads/2016/02/FullSizeRender_2-1.jpg"",""https://wonderopolis.org/_img?img=/wp-content/uploads/2015/09/f_3.jpg&amp;transform=resizeCrop,720,450""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwil3s_w_YPWAhVFXBQKHXvvC08QjRwIBw&url=https%3A%2F%2Fwww.tortoisetown.com%2Fwhere-to-buy-tortoise-for-sale-online%2F&psig=AFQjCNGB1JlTJk9Rp1FZRrPsdMOEPV-9Og&ust=1504355140446345"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiJwayp_oPWAhVEbhQKHWaeCYkQjRwIBw&url=https%3A%2F%2Fwonderopolis.org%2Fwonder%2Fare-you-the-tortoise-or-the-hare&psig=AFQjCNHIbHLjV9Cgv6s3foc104x6qTxOjA&ust=1504355293787090""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-01 12:31:15,A Tale by my GrandMother,/story/@mcdavids/a-tale-by-my-grandmother,6
mcdavids,concentrating-on-good-values,Concentrating on  Good Values,morals,"Concentration is an act of being focused, it means being consistent on an act or on something.It is an act of focusing one's total attention on a particular thing.
Values are guides for behaviors, they are principles that tell us how to live and act. 

https://supportcrossroadscollegeprep.org/crossroadscollegeprep.org/wp-content/uploads/2014/10/smartandgood-300x230.jpg
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiM9sWMgYLWAhWJxRQKHXk4AfMQjRwIBw&url=http%3A%2F%2Fcrossroadscollegeprep.org%2Fabout-us%2Fsix-ways-we-are-different%2F&psig=AFQjCNHKBAOdtat6CGfhm2bx--I2t5Rq0Q&ust=1504287316437798)

Personally I think values should not be determined by external factors such as office work, peer pressure and other things.
It might not be really easy to focus mainly on good values considering the effect of this external factors, but we need to try to keep our gaze fixed.

To build good values, we need to start focusing on the following attributes.

# Trustworthine","{""tags"":[""morals"",""values"",""nigeria"",""africa""],""image"":[""https://supportcrossroadscollegeprep.org/crossroadscollegeprep.org/wp-content/uploads/2014/10/smartandgood-300x230.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiM9sWMgYLWAhWJxRQKHXk4AfMQjRwIBw&url=http%3A%2F%2Fcrossroadscollegeprep.org%2Fabout-us%2Fsix-ways-we-are-different%2F&psig=AFQjCNHKBAOdtat6CGfhm2bx--I2t5Rq0Q&ust=1504287316437798"",""https://static1.squarespace.com/static/52f42657e4b0b3416ff6b831/t/57ec14cab8a79bcc0552acc0/1475089617977/"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwin2s-TgYLWAhVHxRQKHX7-BCsQjRwIBw&url=http%3A%2F%2Fwww.juiceanalytics.com%2Fwriting%2F10-differences-between-customer-reporting-and-data-products&psig=AFQjCNGXjZRuiPEnknbAIUd-sSMkuwj8RQ&ust=1504287334033804""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-08-31 17:38:09,Concentrating on  Good Values,/morals/@mcdavids/concentrating-on-good-values,2
mcdavids,the-war-within-you,The War Within You,war,"Personally I think there is a constant war within everyone, it happens to me a lot, it seem as if two beings or spirit are arguing within me with one trying to rule over the other.Their voices are usually loud and confusing sometimes because one voice want me to do something good and the other wants me to do something morally wrong.

http://www.mindingthebedside.com/wp-content/uploads/2011/04/yes-no-heads-pic.jpg
[image source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjf79agqf_VAhVKExoKHSl2D7sQjRwIBw&url=http%3A%2F%2Fwww.mindingthebedside.com%2F2012%2F01%2Fhow-to-meditate-good-thoughts-bad-thoughts-five-key-points%2F&psig=AFQjCNGqfDxAg-i2tW4kTnbA8X-NxQ4jXg&ust=1504195019763360)

Sometimes, one voice seem appealing while the other seem annoying. I think this happens to so many of us as humans on  most occasions.

There are times I certainly know that what I want to do is wrong but this voice within me keeps telling me to to do it, everything will be fine but ","{""tags"":[""war"",""choices"",""nigeria"",""africa"",""life""],""image"":[""http://www.mindingthebedside.com/wp-content/uploads/2011/04/yes-no-heads-pic.jpg"",""http://www.azquotes.com/picture-quotes/quote-good-thoughts-and-actions-can-never-produce-bad-results-bad-thoughts-and-actions-can-james-allen-36-80-77.jpg"",""http://www.potentialmatters.co.uk/blog/wp-content/uploads/are-you-a-good-boss-or-a-bad-boss.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjf79agqf_VAhVKExoKHSl2D7sQjRwIBw&url=http%3A%2F%2Fwww.mindingthebedside.com%2F2012%2F01%2Fhow-to-meditate-good-thoughts-bad-thoughts-five-key-points%2F&psig=AFQjCNGqfDxAg-i2tW4kTnbA8X-NxQ4jXg&ust=1504195019763360"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwifv9Wqqf_VAhWE1xoKHXGJBDQQjRwIBw&url=http%3A%2F%2Fwww.azquotes.com%2Fquote%2F368077&psig=AFQjCNERjlmu5hRAk6m0aMO2O05FErnGog&ust=1504195040447487"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&c",2017-08-30 16:00:24,The War Within You,/war/@mcdavids/the-war-within-you,1
mcdavids,skill-aquisition-a-very-great-asset,Skill Aquisition....A very Great Asset,education,"Western education has waved our mind away from acquiring any skill what so ever, it has been realized that everyone wants to acquire western education, everyone wants to be identified with degrees and skill acquisition has been set aside.

Skill acquisition has now been believed to be for the poor or for people who cannot afford western education while western education has become for the rich as the fee to acquire the degrees keep rising everyday.

Personally, I feel that skill acquisition should be as well learned with the acquisition of degree programmes (western education) as this really helps in so many ways.

In a country like Nigeria, there is a high amount of students who graduates yearly and you will see even first class graduates carrying their files up and  down the street looking for a place to work, they walk round tirelessly round the street daily only to get back home frustrated at night .

https://thisisafrica.me/wp-content/uploads/sites/4/2016/06/Screen-Shot-2016-06-01-at-14.18.30.png
[sourc","{""tags"":[""education"",""skill"",""nigeria"",""africa""],""image"":[""https://thisisafrica.me/wp-content/uploads/sites/4/2016/06/Screen-Shot-2016-06-01-at-14.18.30.png"",""http://www.team-bhp.com/forum/attachments/travelogues/218744d1256957843-kutch-kutch-hota-hai-into-heart-little-rann-handiwork.jpg"",""http://im.hunt.in/cg/meg/About/Profile/Culture/m1m-bamboo-crafts.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwjM3f7yrv3VAhXDsxQKHWsoAGcQjRwIBw&url=https%3A%2F%2Fthisisafrica.me%2Fplacard-job-seeker-trend-catches-on-in-south-africa-and-nigeria%2F&psig=AFQjCNE3DE5Kmm5B8vslejsWvilOla76Bw&ust=1504127801692808"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjjoKjXr_3VAhWHVhQKHcE-BzYQjRwIBw&url=http%3A%2F%2Fwww.team-bhp.com%2Fforum%2Ftravelogues%2F68161-kutch-kutch-hota-hai-into-heart-little-rann-4.html&psig=AFQjCNFpLMJjvq7gB-ETXmALh1AohU2gqg&ust=1504128025513366"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rj",2017-08-29 21:24:15,Skill Aquisition....A very Great Asset,/education/@mcdavids/skill-aquisition-a-very-great-asset,4
mcdavids,the-real-meaning-of-sucess,The Real Meaning of Sucess,writing,"Sucess can be described as a great value achieved. It describes one's ability to break beyond all bounds to achieve greatness. 
I will like to mention here that one can be described as a successful person only when he or she has learned to carry others along.
http://www.azquotes.com/picture-quotes/quote-my-definition-of-success-is-to-live-your-life-in-a-way-that-causes-you-to-feel-a-ton-tony-robbins-24-67-65.jpg
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiVxPPc7_XVAhUCPFAKHV4yBJAQjRwIBw&url=http%3A%2F%2Fwww.azquotes.com%2Fquote%2F246765&psig=AFQjCNGW520yAyjm0lRWdCxUO1vwqSTz8g&ust=1503869749799716)
I have had certain experiences with people, who are very greedy and all that they want, is just to get something for themselves at the expence of others, that type of sucess is not a real sucess.

The real meaning of sucess is to secced with evry other person in mind.

Every sucess acuired by cheating or lying, gets destroyed in no time.

I am not against pe","{""tags"":[""writing"",""sucess"",""motivation"",""nigeria"",""africa""],""image"":[""http://www.azquotes.com/picture-quotes/quote-my-definition-of-success-is-to-live-your-life-in-a-way-that-causes-you-to-feel-a-ton-tony-robbins-24-67-65.jpg"",""http://izquotes.com/quotes-pictures/quote-how-do-i-define-success-let-me-tell-you-money-s-pretty-nice-but-having-a-lot-of-money-does-not-oprah-winfrey-288338.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiVxPPc7_XVAhUCPFAKHV4yBJAQjRwIBw&url=http%3A%2F%2Fwww.azquotes.com%2Fquote%2F246765&psig=AFQjCNGW520yAyjm0lRWdCxUO1vwqSTz8g&ust=1503869749799716"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiYnfCG7_XVAhWNb1AKHZiABukQjRwIBw&url=http%3A%2F%2Fizquotes.com%2Fquote%2F288338&psig=AFQjCNGW520yAyjm0lRWdCxUO1vwqSTz8g&ust=1503869749799716""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-08-27 13:05:30,The Real Meaning of Sucess,/writing/@mcdavids/the-real-meaning-of-sucess,4
mcdavids,a-good-woman-is-a-rear-gem,A Good Woman Is A Rear Gem,love,"http://www.loveimagesdownload.com/wp-content/uploads/2016/08/the-tree-of-love-559.jpg
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwid542hm_PVAhWLPFAKHQ_MBfAQjRwIBw&url=http%3A%2F%2Fwww.loveimagesdownload.com%2F&psig=AFQjCNF7GLCOgSM-JuxlabUuK4wiecmZyg&ust=1503778930142866)

Only one out of a hundred women is adorable;

I have learned to respect you because you are smart and tough;

Even when I do not tell you things, you care to know more and understand more.     

>Happy is the man who finds a true friend, and far happier is he who finds that true friend in his wife. - Franz Schubert

http://kingdomnews.ng/wp-content/uploads/2017/07/love-1.jpg
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwihzaLQm_PVAhVDZlAKHWQGA4QQjRwIBw&url=http%3A%2F%2Fkingdomnews.ng%2Fbible-verses-love%2F&psig=AFQjCNF7GLCOgSM-JuxlabUuK4wiecmZyg&ust=1503778930142866)

Thank you for not making me a compulsory philosopher, for alway","{""tags"":[""love"",""reality"",""nigeria"",""africa"",""minnowsupport""],""image"":[""http://www.loveimagesdownload.com/wp-content/uploads/2016/08/the-tree-of-love-559.jpg"",""http://kingdomnews.ng/wp-content/uploads/2017/07/love-1.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/GENERIC.gif""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwid542hm_PVAhWLPFAKHQ_MBfAQjRwIBw&url=http%3A%2F%2Fwww.loveimagesdownload.com%2F&psig=AFQjCNF7GLCOgSM-JuxlabUuK4wiecmZyg&ust=1503778930142866"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwihzaLQm_PVAhVDZlAKHWQGA4QQjRwIBw&url=http%3A%2F%2Fkingdomnews.ng%2Fbible-verses-love%2F&psig=AFQjCNF7GLCOgSM-JuxlabUuK4wiecmZyg&ust=1503778930142866""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-08-25 20:26:57,A Good Woman Is A Rear Gem,/love/@mcdavids/a-good-woman-is-a-rear-gem,1
