author,permlink,title,category,body,json_metadata,created,root_title,url,children
merrymercy,not-only-communicable-diseases-are,"Non-Communicable Diseases, and its Impact",hive-196387,"A large percentage of humans are concerned about diseases that can be spread through contact, but, diseases that are noncommunicable are even the most deadly type of diseases that exists.
Noncommunicable diseases(NCD) are extremely chronic, they tend to exist in the human body for a long duration and eventually turn out to be disastrous.  NCDs are a combination of genetic, physical, environmental as well as behavioral combinations.

NCDs mostly affect people who belong to the low and middle-income earners categories, in these regions, there is a recorded high death rate, about 31.4 million cases of death resulting from NCD, which is a lot. Asides from the fact that NCD affects mostly low-income earners, it also affects other people from different walks of life, it affects people regardless of age group, country, and region. However, people who belong to the higher age group, are actually at a higher risk of getting infected. 
Over 15 million deaths linked with NCDs happen to people within the range of 30 and","{""links"":[""https://www.pexels.com/photo/woman-in-white-jacket-holding-mobile-phone-8376168/"",""https://www.pexels.com/photo/calm-black-patient-talking-with-nurse-in-hallway-in-hospital-6303647/"",""https://www.who.int/news-room/fact-sheets/detail/noncommunicable-diseases"",""https://www.frontiersin.org/articles/10.3389/fpubh.2020.574111/full"",""https://www.unicef.org/health/non-communicable-diseases"",""https://www.who.int/news-room/fact-sheets/detail/cardiovascular-diseases-"",""https://my.clevelandclinic.org/health/diseases/7104-diabetes-mellitus-an-overview"",""https://www.mayoclinic.org/diseases-conditions/mental-illness/symptoms-causes/syc-20374968#:~:text=Mental%20illness%2C%20also%20called%20mental,eating%20disorders%20and%20addictive%20behaviors"",""https://www.medicalnewstoday.com/articles/257484"",""https://en.wikipedia.org/wiki/Non-communicable_disease""],""image"":[""https://images.pexels.com/photos/8376168/pexels-photo-8376168.jpeg?auto=compress&cs=tinysrgb&w=1600"",""https://images.pexels.com/photos/6303647/pexels-p",2022-08-11 06:40:54,"Non-Communicable Diseases, and its Impact",/hive-196387/@merrymercy/not-only-communicable-diseases-are,2
merrymercy,the-oncology-of-lancelet,The Oncology of Lancelet,hive-196387,"Humans are of the phylum **Chordata**, and the majority of the animals in this phylum possess a flexible rod supporting their dorsal region, but in this post, I am not going to looking into Humans, possibly I will do that in another post, and I will be expecting to have you around. Today, I will be looking at lancelet / Amphioxus *Branchiostoma lanceolatum*. 

Amphioxus is a marine organism that lives beneath the bottom of the body of water, buried in the shallow sand of the sea. Being easily mistaken for fishes in the river, Amphioxus are about 8cm long and are regarded as one of the origins of cordates.

#### <center>Taxonomy of Amphioxus</center>

There are about 30 species in this phylum, this subplylum gives an insight into the evolution of cordates/vertebrate sharing morphology, anatomy, and genomic characteristics with the last common ancestors of chordates.

|<center>**Taxonomy Of Amphioxus**</center>
|-----
Kingdom    |Animalia
Subkingdom|Bilateria
Infrakingdom|Deuterostomia       
Phylum|Chordata  ","{""links"":[""https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=685568#null"",""https://commons.wikimedia.org/wiki/File:Lancelet_Anatomy"",""https://manoa.hawaii.edu/exploringourfluidearth/biological/invertebrates/phylum-chordata"",""https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=685568#null"",""https://pcsstudies.com/amphioxus-lancelet/"",""https://www.biologydiscussion.com/animals-2/phylum-chordata/classification-of-subphylum-cephalochordata/40513"",""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2493399/"",""https://www.nature.com/articles/s41586-018-0734-6"",""https://www.biologydiscussion.com/animals-2/branchiostoma-distribution-structure-and-systematic-position/40549"",""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1458426/"",""https://earthlife.net/inverts/cephalochordata-or-lancets"",""https://www.frontiersin.org/articles/10.3389/fcell.2021.668025/full""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/7/71/Lancelet_Anatomy.png"",""https://commons.wikimedia.or",2022-08-26 01:23:24,The Oncology of Lancelet,/hive-196387/@merrymercy/the-oncology-of-lancelet,5
merrymercy,the-possibility-of-having-a,The possibility of having a bad set of teeth.,hive-196387,"<div class=""text-justify"">

I was watching some video clips with a friend and a slide showed a man whose teeth were literally rotten, I thought it was not possible to have teeth that bad, it would have been some editing obs done there, but my friend insisted that she has seen someone whose teeth was as bad as that, and I just couldn't figure out the possibility of having such a bad tooth. The teeth are a sensitive part of the body that requires special attention and care.

Enamel is the hard outer part of a tooth, the progress of tooth decay affects the really deep layers of the tooth resulting in cavities, and the consistency of tooth decay eventually results in bigger complications which lead to cavities. Adequate treatment can help prevent the spread of tooth decay.

Tooth decay is also called dental caries or simply called cavities, this tooth decay is a disease that creates the breakdown of tooth enamel. Once the enamel has been completely enveloped, cavities begin to form around the teeth.

<center>htt","{""links"":[""https://www.pexels.com/photo/close-up-photo-of-woman-with-pink-lipstick-smiling-with-her-eyes-closed-3762408/"",""https://www.pexels.com/photo/a-dentist-taking-a-picture-of-teeth-of-a-girl-7789702/"",""https://www.medicalnewstoday.com/articles/tooth-decay#prevention"",""https://www.mayoclinic.org/diseases-conditions/cavities/symptoms-causes/syc-20352892#:~:text=Cavities%20are%20permanently%20damaged%20areas,not%20cleaning%20your%20teeth%20well"",""https://www.webmd.com/oral-health/guide/tooth-decay-prevention"",""https://www.medicalnewstoday.com/articles/tooth-decay#prevention"",""https://www.healthline.com/find-care/articles/dentists/tooth-cavities#prevention""],""image"":[""https://images.pexels.com/photos/3762408/pexels-photo-3762408.jpeg?auto=compress&cs=tinysrgb&w=1600"",""https://images.pexels.com/photos/7789702/pexels-photo-7789702.jpeg?auto=compress&cs=tinysrgb&w=1600""],""thumbnails"":[""https://images.pexels.com/photos/3762408/pexels-photo-3762408.jpeg?auto=compress&cs=tinysrgb&w=1600"",""https://images.pexels.",2022-09-01 21:52:00,The possibility of having a bad set of teeth.,/hive-196387/@merrymercy/the-possibility-of-having-a,3
merrymercy,the-dangers-of-inappropriate-antimicrobials,The Dangers of Inappropriate Antimicrobials Intake. ,hive-196387,"<div class=""text-justify"">

A few days ago, I wrote about the scientific breakdown of antibiotics,  and why antimicrobials may have an adverse effect on our health, but I did not mention what really happens to the body when we put it through an excessive intake of antimicrobials and that is what I will be writing about today. If you have not read my previous post, read about it [Here](https://ecency.com/hive-196387/@merrymercy/the-overuse-of-antibiotics).

The benefit and risk associated with the use of antimicrobials remain a controversial and complex issue, especially with the several benefited claims that have not been demonstrated on a large scale.  This, however, does not change the fact that there are benefits and downsides to the use of antimicrobial drugs. 

<center>https://images.pexels.com/photos/6228273/pexels-photo-6228273.jpeg?auto=compress&cs=tinysrgb&w=300
[pexels](https://www.pexels.com/photo/faceless-woman-with-pill-in-teeth-and-nose-piercing-6228273/)</center></div>

Viruses cannot be treat","{""links"":[""https://ecency.com/hive-196387/@merrymercy/the-overuse-of-antibiotics"",""https://www.pexels.com/photo/faceless-woman-with-pill-in-teeth-and-nose-piercing-6228273/"",""https://www.pexels.com/photo/close-up-view-of-two-medicinal-tablets-4046659/"",""https://my.clevelandclinic.org/health/drugs/16386-antibiotics"",""https://www.medicalnewstoday.com/articles/322850#long-term-side-effects"",""https://www.researchgate.net/figure/The-disadvantages-of-antibiotics-in-the-treatment-of-diseases-The-major-aspects-of_fig1_343182675"",""https://www.keckmedicine.org/blog/the-pros-and-cons-of-antibiotics/""],""image"":[""https://images.pexels.com/photos/6228273/pexels-photo-6228273.jpeg?auto=compress&cs=tinysrgb&w=300"",""https://images.pexels.com/photos/4046659/pexels-photo-4046659.jpeg?auto=compress&cs=tinysrgb&w=300""],""thumbnails"":[""https://images.pexels.com/photos/6228273/pexels-photo-6228273.jpeg?auto=compress&cs=tinysrgb&w=300"",""https://images.pexels.com/photos/4046659/pexels-photo-4046659.jpeg?auto=compress&cs=tinysrgb&w=30",2022-09-13 23:43:42,The Dangers of Inappropriate Antimicrobials Intake. ,/hive-196387/@merrymercy/the-dangers-of-inappropriate-antimicrobials,7
merrymercy,the-destructive-conditions-of-endocrine,The Destructive Conditions of Endocrine Disorders.,hive-196387,"<div class=""text-justify"">

Hello lovely friends, welcome to my page, I want to write about endocrine disorders today, but certainly, it would only be wise to write about the endocrine system first, before we proceed to talk about what endocrine disorders are. An endocrine system is a group consisting of organs and glands, this collection is responsible for the collection of organs and glands which are responsible for the regulation of bodily processes using hormones. Hormones are chemical messengers in the body that moves through the bloodstream, the purpose of the hormonal movement through the bloodstream is basically to influence the process of the body. The endocrine remains significantly important as it, influences heartbeats controls the growth of tissue and organ, it even controls the ability to make babies as well. Endocrine systems play a serious role in discerning the chances of diabetes development, thyroid disease, sexual dysfunction, and other related hormonal disorder. Endocrine glands entail;
","{""links"":[""https://www.pexels.com/photo/apartment-bed-carpet-chair-269141/"",""https://www.pexels.com/photo/close-up-photo-of-a-man-having-a-neck-pain-7298867/"",""https://www.medicalnewstoday.com/articles/endocrine-disorders#summary"",""https://www.webmd.com/diabetes/endocrine-system-disorders"",""https://hospital.uillinois.edu/primary-and-specialty-care/diabetes-and-endocrinology/endocrine-disorders"",""https://www.tgh.org/institutes-and-services/conditions/endocrine-disorder""],""image"":[""https://images.pexels.com/photos/269141/pexels-photo-269141.jpeg?auto=compress&cs=tinysrgb&w=1600"",""https://images.pexels.com/photos/7298867/pexels-photo-7298867.jpeg?auto=compress&cs=tinysrgb&w=1600""],""thumbnails"":[""https://images.pexels.com/photos/269141/pexels-photo-269141.jpeg?auto=compress&cs=tinysrgb&w=1600"",""https://images.pexels.com/photos/7298867/pexels-photo-7298867.jpeg?auto=compress&cs=tinysrgb&w=1600""],""tags"":[""hive-196387"",""disease"",""health"",""science"",""sickness""],""description"":"""",""app"":""ecency/3.0.26-vision"",""format"":""",2022-09-16 16:35:03,The Destructive Conditions of Endocrine Disorders.,/hive-196387/@merrymercy/the-destructive-conditions-of-endocrine,3
merrymercy,fish-parasitic-infection-clonorchiasis-anisakiasis,"Fish Parasitic infection (Clonorchiasis, Anisakiasis, and Diphyllobothriasis)",hive-196387,"<div class=""text-justify"">

If I were asked to pick one of either fish or beef to consume for a week, I will gladly go for fish, and I am sure that a lot of us will go for fish (sincerely, I like beef, but I will prefer fish). Fish is no doubt a healthy food to eat, and it is advisable to eat at least 12 ounces of fish (two average meals) a week. It is advisable that we eat up to this amount because fish provides the body with many nutrients, and a good source of Omega-3 fatty acid, especially with fishes such as Mackerel, Salmon, Tuna, Trout, Sardine, Sprats, and Herring, are good sources. On the brighter side, eating fish is said to help reduce the risk of a heart attack or stroke, since Omega-3 reduces the level of triglycerides, and reduce the growth of plagues in the artery. Basically, the heart is being protected and cared or when people eat fish, also, vitamin B12 in fish helps in the production of red blood cell. Fish which is a good source of nutrients such as Vitamin D, Vitamin B12, Iron, Phosphoro","{""links"":[""https://commons.wikimedia.org/wiki/File:Lernaea_parasite_on_a_Murray_cod"",""https://doh.wa.gov/community-and-environment/food/fish/health-benefits"",""https://www.nhs.uk/live-well/eat-well/food-types/fish-and-shellfish-nutrition/"",""https://www.webmd.com/diet/health-benefits-fish"",""https://www.cdc.gov/dpdx/diphyllobothriasis/index.html"",""https://www.healthline.com/health/diphyllobothriasis"",""https://www.lecturio.com/concepts/diphyllobothrium-diphyllobothriasis/"",""https://www.who.int/news-room/questions-and-answers/item/neglected-tropical-diseases-clonorchiasis"",""https://www.cdc.gov/dpdx/clonorchiasis/index.html"",""https://www.ncbi.nlm.nih.gov/books/NBK532892/""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/c/c9/Lernaea_parasite_on_a_Murray_cod.jpg"",""https://commons.wikimedia.org/wiki/File:Lernaea_parasite_on_a_Murray_cod.jpg""],""thumbnails"":[""https://upload.wikimedia.org/wikipedia/commons/c/c9/Lernaea_parasite_on_a_Murray_cod.jpg"",""https://commons.wikimedia.org/wiki/File:Lernaea_parasite_on_a",2022-09-30 07:47:18,"Fish Parasitic infection (Clonorchiasis, Anisakiasis, and Diphyllobothriasis)",/hive-196387/@merrymercy/fish-parasitic-infection-clonorchiasis-anisakiasis,3
merrymercy,understanding-blood-pressure-regulation-and,Understanding Blood Pressure Regulation and High Blood Pressure,hive-196387,"<div class=""text-justify"">

You must have heard that your blood flows to one part of the body than the other, or at one point in time, blood flows at high pressure, and it doesn't at another time. I remembered writing a post about the intake of caffeine and an experience a friend of mine had with a pounding heart and an adrenaline rush. It is very surprising how we can overlook the metabolic activities of our body. The Blood is important for the transportation of material in the body, starting with taking oxygen, vitamins and other nutrients, to our body, while taking carbon dioxide, and other waste product away from the body. It is important that you know that your cardiovascular system cannot be overlooked. According to the World Health Organization, you are more likely to die of a cardiovascular system related disease, than any other type of system disease. There are a lot of things that can lead to an increase in blood pressure, and these things includes emotional stress, physical stress, dehydration, ta","{""links"":[""https://commons.wikimedia.org/wiki/File:Blood_pressure_monitoring"",""https://www.ncbi.nlm.nih.gov/books/NBK279250/"",""https://www.ncbi.nlm.nih.gov/books/NBK547686/"",""https://www.medicalnewstoday.com/articles/321122"",""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4389556/"",""https://www.who.int/news-room/fact-sheets/detail/cardiovascular-diseases"",""https://www.who.int/news-room/fact-sheets/detail/cardiovascular-diseases-"",""https://pubmed.ncbi.nlm.nih.gov/8583476/"",""https://www.ncbi.nlm.nih.gov/books/NBK470339/""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/c/c6/Blood_pressure_monitoring.jpg"",""https://commons.wikimedia.org/wiki/File:Blood_pressure_monitoring.jpg""],""thumbnails"":[""https://upload.wikimedia.org/wikipedia/commons/c/c6/Blood_pressure_monitoring.jpg"",""https://commons.wikimedia.org/wiki/File:Blood_pressure_monitoring.jpg""],""tags"":[""hive-196387"",""science"",""biology"",""blood-pressure"",""appreciator"",""neoxian"",""gem"",""ocd"",""stemgeeks"",""stemgeek""],""description"":"""",""app"":""ecency/3.0.28-visio",2022-10-04 00:28:00,Understanding Blood Pressure Regulation and High Blood Pressure,/hive-196387/@merrymercy/understanding-blood-pressure-regulation-and,5
merrymercy,starving-not-a-great-option,"Starving, Not a Great Option for Weigth Loss",hive-196387,"<div class=""text-justify"">



The number of young ladies starving themselves on a daily basis just to get into shape and look immensely skinny for reasons best known to them is becoming increasingly alarming. You see children on the street looking skinny as a result of hunger and malnutrition, there is also the adult who is comfortable and has sufficient to eat and eat appropriately, subjecting herself to immense hunger. 

The only concern I have with this action, is, is this action safe for the pretty lady in question and is she even aware of the danger she may be subjecting herself to? To answer this questions, is the reason why I have decided to publish this content, for the sake of the people who may be putting themselves in such a condition right now.

https://live.staticflickr.com/65535/50847208871_975d2c0947_b.jpg</div>
[https://www.flickr.com/](https://www.flickr.com/photos/30478819@N08/50847208871)

Intermittent fasting is never the same as starving, the two terms should not be confused for another.","{""links"":[""https://www.flickr.com/"",""https://www.flickr.com/photos/30478819@N08/50847208871"",""https://www.healthline.com/nutrition/starving-yourself#effects-of-starving"",""https://www.healthline.com/nutrition/starvation-mode"",""https://www.rzonefitness.com/2020/03/what-happens-to-your-body-composition-when-you-starve-to-lose-weight-2/"",""https://www.insider.com/truth-about-starvation-mode-and-weight-loss-2020-5""],""image"":[""https://live.staticflickr.com/65535/50847208871_975d2c0947_b.jpg""],""thumbnails"":[""https://live.staticflickr.com/65535/50847208871_975d2c0947_b.jpg""],""tags"":[""hive-196387"",""science"",""health"",""neoxian"",""ocd"",""appreciator"",""stemgeek"",""stemgeeks""],""description"":"""",""app"":""ecency/3.0.28-vision"",""format"":""markdown+html""}",2022-10-08 00:10:03,"Starving, Not a Great Option for Weigth Loss",/hive-196387/@merrymercy/starving-not-a-great-option,5
merrymercy,the-pathophysiology-and-treatment-of,"The Pathophysiology, and Treatment of Asthma",hive-196387,"<div class=""text-justify"">


As a child, I didn't like a smoky area, or dusty area, since it made my breathing difficult, but I can bet to say that no one likes a dusty or smoky area because it affects their breathing. That said, I didn't suffer from any respiratory condition, but there are a lot of people who suffer from respiratory conditions, and one of the conditions I will be discussing is Asthma. While I was in School, I had two friends who suffered from asthma. While one can smoke, the other always have an attack when around smoky, or dusty regions.



https://upload.wikimedia.org/wikipedia/commons/5/5b/Asthma_%28Lungs%29.png</div>
[https://commons.wikimedia.org/wiki/File:Asthma_(Lungs)](https://commons.wikimedia.org/wiki/File:Asthma_(Lungs).png)

#### <center>Asthma Explained</center>
Asthma is a respiratory disorder that affects both the young and the old, but it is non-communicable. According to the World Health Organization (WHO), about 262 million people have asthma, and in 2019, it caused the de","{""links"":[""https://commons.wikimedia.org/wiki/File:Asthma_"",""https://commons.wikimedia.org/wiki/File:Asthma_"",""https://www.who.int/news-room/fact-sheets/detail/asthma"",""https://www.nhs.uk/conditions/asthma/"",""https://www.msdmanuals.com/home/lung-and-airway-disorders/asthma/asthma"",""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6434661/"",""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6157154/"",""https://www.aaaai.org/Conditions-Treatments/Asthma/Asthma-Overview"",""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6952074/"",""https://www.ncbi.nlm.nih.gov/books/NBK7223/""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/5/5b/Asthma_%28Lungs%29.png""],""thumbnails"":[""https://upload.wikimedia.org/wikipedia/commons/5/5b/Asthma_%28Lungs%29.png""],""tags"":[""hive-196387"",""science"",""stemsocial"",""stemgeek"",""stemgeeks"",""neoxian"",""gem"",""ocd"",""appreciator""],""description"":"""",""app"":""ecency/3.0.28-vision"",""format"":""markdown+html""}",2022-10-13 16:53:00,"The Pathophysiology, and Treatment of Asthma",/hive-196387/@merrymercy/the-pathophysiology-and-treatment-of,2
merrymercy,a-treatable-cancer-type-liver,A Treatable Cancer Type- Liver Cancer.,hive-196387,"<div class=""text-justify"">

Hello friends, welcome once again to my page, I promised to explore cancer as a topic and the different parts of the human body that could be affected by the deadly disease. We started with exploring [thyroid cancer](https://ecency.com/hive-196387/@merrymercy/thyroid-cancer-is-it-deadly), and we continued to exploring [bladder cancer](https://ecency.com/hive-196387/@merrymercy/the-cancerous-cells-of-bladder
) diving deep into these topics have made it possible for us to properly understand how deadly of a disease cancer could be, it has as well opened our eyes to the available possible treatment to the disease, even if there is no cure yet.

In this post, we will be checking out a more serious cancer condition, which is liver cancer. Have you heard about liver cancer before, do you understand how serious it is, or are you hearing about it for the first time? Regardless of the category you fall into, just relax as I unveil all we need to know about the topic.

<center>https://anato","{""links"":[""https://ecency.com/hive-196387/@merrymercy/thyroid-cancer-is-it-deadly"",""https://ecency.com/hive-196387/@merrymercy/the-cancerous-cells-of-bladder"",""https://anatomytool.org/content/cenveo-drawing-liver-anatomy-and-vascularisation-english-labels"",""https://www.cancer.gov/types/liver/what-is-liver-cancer"",""https://www.cancer.org.au/cancer-information/types-of-cancer/liver-cancer"",""https://www.healthline.com/health/liver-cancer#living-with-liver-cancer"",""https://my.clevelandclinic.org/health/diseases/9418-liver-cancer"",""https://www.nhs.uk/conditions/liver-cancer/"",""https://www.medicalnewstoday.com/articles/172408"",""https://www.mayoclinic.org/diseases-conditions/liver-cancer/symptoms-causes/syc-20353659""],""image"":[""https://anatomytool.org/sites/default/files/Unit%209%20D_M4_33.jpg""],""thumbnails"":[""https://anatomytool.org/sites/default/files/Unit%209%20D_M4_33.jpg""],""tags"":[""hive-196387"",""cancer"",""health"",""neoxian"",""ocd"",""stemgeeks"",""gem"",""medicine""],""description"":"""",""app"":""ecency/3.0.28-vision"",""format",2022-10-31 21:51:36,A Treatable Cancer Type- Liver Cancer.,/hive-196387/@merrymercy/a-treatable-cancer-type-liver,8
