author,permlink,title,category,body,json_metadata,created,root_title,url,children
michellec,mi-primera-selfie-my-first-selfie,Mi Primera Selfie - My First Selfie,hive-152232,"The perfect community for me. ***I love selfies.***

#### <center>I invite you to join ""[Faces of Hive Community](https://peakd.com/c/hive-152232/created)""</center>

#
---

Esta fotografía la tomé yo misma cuando tenía 9 años de edad. Lo hice rápidamente porque mi papá no me dejaba usar la cámara.
Con mucha suerte la imagen quedó bien enmarcada y me encanta el fondo, es una laguna cerca de la playa.

> *I took this picture myself when I was 9 years old. I did it quickly because my dad wouldn't let me use the camera.
With much luck the image was well framed and I love the background, it is a lagoon near the beach.*

---

![10151303_231466553722599_8645036544333993286_n.jpg](https://images.hive.blog/DQmQNsMXAzoR1pD4fvKrAAGagFwZ88aQM7q2titGjjc4Z3t/10151303_231466553722599_8645036544333993286_n.jpg)

https://images.hive.blog/640x0/https://files.peakd.com/file/peakd-hive/michellec/b9RjSU1Z-image.png

#
*Muchas gracias por su atención, espero que se encuentren bien y a salvo.Sin más nada que decir... me despido, q","{""tags"":[""life"",""photography"",""appreciator"",""spanish"",""hive"",""community"",""blog""],""image"":[""https://images.hive.blog/DQmQNsMXAzoR1pD4fvKrAAGagFwZ88aQM7q2titGjjc4Z3t/10151303_231466553722599_8645036544333993286_n.jpg"",""https://images.hive.blog/640x0/https://files.peakd.com/file/peakd-hive/michellec/b9RjSU1Z-image.png"",""https://files.peakd.com/file/peakd-hive/michellec/6aGpuT40-96560841_2431954476907311_7818788534151544832_n.jpg"",""https://files.peakd.com/file/peakd-hive/michellec/jplMuM1d-image.png""],""links"":[""https://peakd.com/c/hive-152232/created""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-07-10 05:03:51,Mi Primera Selfie - My First Selfie,/hive-152232/@michellec/mi-primera-selfie-my-first-selfie,1
michellec,como-hice-mi-mermelada-de-guayaba-casera-how-i-made-my-homemade-guava-jam,Como hice mi mermelada de guayaba casera / How I made my homemade guava jam,hive-148441,"Hoy desperte con ganas de comer algo dulce ¿y qué es mejor que una mermelada de guayaba? A continuación les mostrare el paso a paso de como la hice.
>Today I woke up wanting to eat something sweet and what is better than a guava jam? Next I will show you the step by step of how I did it.

Para empezar utilice 300 gramos de guayaba picada, las cuales pelé,sancoché y con ayuda de un colador separé  la pulpa de las semillas
>To start, use 300 grams of chopped guava, which I peeled, parboiled and separated the pulp from the seeds with the help of a strainer.

<center>![photo_2021-04-20_22-25-50.jpg](https://images.hive.blog/DQmctFJimvesM4uRxKuUxVdRbzogquFpm3QUM6SBVTn86LE/photo_2021-04-20_22-25-50.jpg)</center>
<center>https://images.hive.blog/DQmUsNdk7szT3kNTmv8tfqrMziAUZw946hss5D2EFnc1ExW/image.png</center>
<center>![photo_2021-04-20_22-25-57.jpg](https://images.hive.blog/DQmZSZnGPD3MkkGY7HrNGFPmmGTVFWrefTKWK9T4F2xrYvp/photo_2021-04-20_22-25-57.jpg)</center> <sub>En esta imagen se aprecia la guayaba ya sancocha","{""tags"":[""food"",""sweet"",""home"",""family"",""handmade"",""appreciator"",""piotr""],""image"":[""https://images.hive.blog/DQmctFJimvesM4uRxKuUxVdRbzogquFpm3QUM6SBVTn86LE/photo_2021-04-20_22-25-50.jpg"",""https://images.hive.blog/DQmUsNdk7szT3kNTmv8tfqrMziAUZw946hss5D2EFnc1ExW/image.png"",""https://images.hive.blog/DQmZSZnGPD3MkkGY7HrNGFPmmGTVFWrefTKWK9T4F2xrYvp/photo_2021-04-20_22-25-57.jpg"",""https://images.hive.blog/DQmX4VhtDNEN7yhNiuePVYMkFjZuFN3qic7mSvxqYQm4RWA/photo_2021-04-20_22-25-59.jpg"",""https://images.hive.blog/DQmarTcmafpAxYPbAQ739Ke3PwiGJJ6tXwcuzUWKeq3CzeM/photo_2021-04-20_22-25-53.jpg"",""https://images.hive.blog/DQmXJ9qKXLkAVhJxMVZW4q2JwnUJqYun6G885YyKkLALKzU/photo_2021-04-20_22-26-07.jpg"",""https://images.hive.blog/DQmT2FqDyjeA4KEFVbGjpG73iocujXNsXK8fsBBU1BvX6Lt/photo_2021-04-20_22-26-23.jpg"",""https://images.hive.blog/DQmZ4ecgb6a2WErkJLUM9doUttLPkwbBqYv8AnmLpFSy2Ux/image.png""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2021-04-21 03:19:12,Como hice mi mermelada de guayaba casera / How I made my homemade guava jam,/hive-148441/@michellec/como-hice-mi-mermelada-de-guayaba-casera-how-i-made-my-homemade-guava-jam,2
michellec,que-me-hace-feliz,Que me hace feliz,hive-148441,"¿Qué me hace feliz?, pero feliz de verdad. no se trata de un momento de euforia o de una felicidad pasajera... ¿qué es lo que me hace sentir, satisfecha, plena...?
Quiero reflexionar sobre ello porque, en ocasiones, nos pasamos la vida buscando la felicidad y ni siquiera sabemos qué es lo que nos hace realmente felices.

>What makes me happy? But really happy. It is not about a moment of euphoria or temporary happiness ... what makes me feel satisfied, full ...?
I want to reflect on this because sometimes we spend our lives looking for happiness and we don't even know what it is that makes us really happy.

<center>![photo_20200630_234433.jpg](https://files.peakd.com/file/peakd-hive/michellec/sZ4nSF7q-photo_2020-06-30_23-44-33.jpg)</center>

A veces son pequeñas cosas (la mayoría de las veces) las que me hacen sentirme alegre, satisfecha... en definitiva, feliz. Un paseo por la playa al atardecer acompañada de esa persona que tanto amo, una sonrisa de mi papá al volver a casa o el abrazo de un amigo justo en","{""app"":""peakd/2020.11.4"",""format"":""markdown"",""tags"":[""spanish"",""vidapersonal"",""life"",""blog"",""appreciator""],""image"":[""https://files.peakd.com/file/peakd-hive/michellec/sZ4nSF7q-photo_2020-06-30_23-44-33.jpg"",""https://files.peakd.com/file/peakd-hive/michellec/kr5RkFEi-12496440_122347068142073_7338224536662221149_o.jpg"",""https://files.peakd.com/file/peakd-hive/michellec/BYX3haJs-125760629_704631390452235_3518995971023420829_n.jpg"",""https://images.hive.blog/DQmUsNdk7szT3kNTmv8tfqrMziAUZw946hss5D2EFnc1ExW/image.png"",""https://files.peakd.com/file/peakd-hive/michellec/XcYchGqC-117935826_3141934582580233_4602716946429768229_o.jpg""]}",2020-12-16 23:00:03,Que me hace feliz,/hive-148441/@michellec/que-me-hace-feliz,0
michellec,mi-pelicula-favorita-my-favorite-movie,Mi pelicula favorita. / My favorite movie.,hive-163921,"
<center>![image.png](https://files.peakd.com/file/peakd-hive/michellec/z1trYBbX-image.png)</center>
[origen/source](https://www.americatv.com.pe/noticias/espectaculos/juego-gemelas-como-luce-gemela-falsa-lindsay-lohan-n196133)

Diez, veinte, treinta veces.. ya perdí la cuenta de cuántas veces vi esta pelicula y nunca me cansaria de hacerlo. Más allá de los personajes adorables, son las enseñanzas de la película ""Juego de Gemelas"" las responsables de que la vea una y otra vez. ¡Tiene tantos mensajes inspiradores, emotivos y graciosos a la vez!
Después de darle play como una decena de veces, estas son las lecciones de Juego de Gemelas que aprendí y quiero compartir con ustedes. Son increíbles, ¿no creen?

>Ten, twenty, thirty times ... I already lost count of how many times I saw this movie and I would never tire of doing it. Beyond the lovable characters, it is the teachings of the movie ""Game of Twins"" that are responsible for seeing it over and over again. It has so many inspiring, emotional and funny mess","{""app"":""peakd/2020.11.4"",""format"":""markdown"",""tags"":[""spanish"",""bloggingchallenge"",""vidapersonal"",""blog"",""challenge"",""life"",""cervantes"",""appreciator"",""palnet"",""movies""],""links"":[""https://www.americatv.com.pe/noticias/espectaculos/juego-gemelas-como-luce-gemela-falsa-lindsay-lohan-n196133"",""https://www.chicmagazine.com.mx/sociedad/cultura/juego-de-gemelas-el-elenco-se-reencuentra-en-una-videollamada"",""https://www.publimetro.co/co/entretenimiento/2015/07/30/17-anos-despues-asi-lucen-protagonistas-juego-gemelas.html-"",""/trending/hive-163921""],""image"":[""https://files.peakd.com/file/peakd-hive/michellec/z1trYBbX-image.png"",""https://files.peakd.com/file/peakd-hive/michellec/EJyCPYOy-image.png"",""https://files.peakd.com/file/peakd-hive/michellec/M73HVBGd-image.png"",""https://files.peakd.com/file/peakd-hive/michellec/lGEPk5FM-image.png"",""https://images.hive.blog/DQmUsNdk7szT3kNTmv8tfqrMziAUZw946hss5D2EFnc1ExW/image.png"",""https://files.peakd.com/file/peakd-hive/michellec/iwF6aX3k-image.png"",""https://images.hive.blog/76",2020-12-15 23:24:24,Mi pelicula favorita. / My favorite movie.,/hive-163921/@michellec/mi-pelicula-favorita-my-favorite-movie,2
michellec,pensamientos-sobre-la-educacion-blogging-challenge-day-14,Pensamientos sobre la educación. BLOGGING CHALLENGE DAY 14,hive-163921,"La educación es uno de los factores que más influye en el avance y progreso de personas y sociedades. Además de proveer conocimientos, la educación enriquece la cultura, el espíritu, los valores y todo aquello que nos caracteriza como seres humanos.
>Education is one of the factors that most influences the advancement and progress of people and societies. In addition to providing knowledge, education enriches culture, spirit, values and everything that characterizes us as human beings.

<center>![image.png](https://files.peakd.com/file/peakd-hive/michellec/6nx3UZA3-image.png)</center>
[origen/source](https://www.expreso.ec/buenavida/clases-online-puerta-futuro-10034.html)

---

La educación es necesaria en todos los sentidos. Para alcanzar mejores niveles de bienestar social y de crecimiento económico; para nivelar las desigualdades económicas y sociales; para propiciar la movilidad social de las personas; para acceder a mejores niveles de empleo; para elevar las condiciones culturales de la población; para ","{""app"":""peakd/2020.11.4"",""format"":""markdown"",""tags"":[""spanish"",""bloggingchallenge"",""vidapersonal"",""blog"",""retos"",""challenge"",""life"",""cervantes"",""appreciator"",""palnet""],""links"":[""https://www.expreso.ec/buenavida/clases-online-puerta-futuro-10034.html"",""/trending/hive-163921""],""image"":[""https://files.peakd.com/file/peakd-hive/michellec/6nx3UZA3-image.png"",""https://files.peakd.com/file/peakd-hive/michellec/mRpK8EOq-received_3222851904454263.jpeg"",""https://files.peakd.com/file/peakd-hive/michellec/PwQe9mGz-image.png"",""https://files.peakd.com/file/peakd-hive/michellec/iwF6aX3k-image.png"",""https://images.hive.blog/768x0/https://files.peakd.com/file/peakd-hive/tripode/3K0VrO0Q-bloggingchallenge-part-03.0.jpg""]}",2020-12-15 10:00:00,Pensamientos sobre la educación. BLOGGING CHALLENGE DAY 14,/hive-163921/@michellec/pensamientos-sobre-la-educacion-blogging-challenge-day-14,0
michellec,el-poder-del-maquillaje-the-power-of-makeup,El poder del maquillaje / The power of makeup,hive-103678,"El maquillaje no lo uso para esconderme en cambio lo uso para realzar y mejorar mi aspecto físico. Tal vez para tapar algún granito o zona enrojesida.

>I don't use makeup to hide, instead I use it to enhance and improve my physical appearance. Maybe to cover some pimple or red area.



<center>![image.png](https://files.peakd.com/file/peakd-hive/michellec/Qm5RzylJ-image.png)</center>

---

El maquillaje me apasiona, me apasiona ver como personas que son realmente artistas hacen cambios drasticos y obras de arte en piel, y como saben manejar los tipos de pieles y los productos que deben utilizar, por qué el maquillaje no es tan simple como se ve, antes de maquillar hay que cuidar e hidratar la piel y al terminar hay que remover,limpiar, tonificar e hidratar muy bien la piel.
>I am passionate about makeup, I am passionate about seeing how people who are really artists make drastic changes and works of art on skin, and how they know how to handle the types of skin and the products they should use, why makeup i","{""app"":""peakd/2020.11.4"",""format"":""markdown"",""tags"":[""spanish"",""makeupchallenge"",""makeup"",""contest"",""cervantes"",""neoxian"",""creativecoin"",""palnet""],""links"":[""https://www.neoteo.com/el-poder-del-maquillaje/""],""image"":[""https://files.peakd.com/file/peakd-hive/michellec/Qm5RzylJ-image.png"",""https://files.peakd.com/file/peakd-hive/michellec/9z2DZzwD-image.png"",""https://files.peakd.com/file/peakd-hive/michellec/dcq1reG2-120252144_333593571209095_2578911298414957460_n201.jpg"",""https://images.hive.blog/DQmUsNdk7szT3kNTmv8tfqrMziAUZw946hss5D2EFnc1ExW/image.png""]}",2020-12-15 03:52:36,El poder del maquillaje / The power of makeup,/hive-103678/@michellec/el-poder-del-maquillaje-the-power-of-makeup,0
michellec,mi-motivacion-my-motivation,Mi motivación. / my motivation.,hive-148441,"<center>![image.png](https://images.hive.blog/DQmRvRAycTn9BCfFPwJVfAe7L7xD3Pgxo3jjs8NnefWKbwc/image.png)</center>



Todo se trata de crecer, progresar y evolucionar. Pero nunca JAMÁS olvidar de donde vienes y ayudar a los demás como te hubiese gustado que te ayudaran a ti.

En mi vida existe un pequeño grupo de personas y mi familia que es mi pilar fundamental que nunca han desistido a pesar de todas las adversidades y estoy eternamente agradecida con Dios y con la vida por ponerlos en mi camino y hacer que permanezcan en el, y de eso se trata insistir, percistir, resistir y nunca desistir.

#
>It's all about growing, progressing and evolving. But never EVER forget where you come from and help others as you would have liked them to help you.

>In my life there is a small group of people and my family that is my fundamental pillar who have never given up despite all the adversities and I am eternally grateful to God and to life for putting them in my path and making them remain in it, and that is what it is ","{""tags"":[""life"",""spanish"",""motivation"",""adolescence"",""appreciator"",""upmewhale""],""image"":{},""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-12-03 19:59:21,Mi motivación. / my motivation.,/hive-148441/@michellec/mi-motivacion-my-motivation,3
michellec,el-amor-propio-ante-todo,El amor propio ante todo.,hive-148441,"Y esta soy yo, y me acepto tal cual como soy con todas y cada una de mis imperfecciones porque soy un ser humano y ninguno de nosotros somos perfectos. La persona que no se valora así mismo, no puede valorar nada ni a nadie y hasta que no te valores a ti mismo, no valorarás tu tiempo. Hasta que no valores tu tiempo, no harás nada con el.

![received_3026689100784205.jpeg](https://images.hive.blog/DQmesntVgSXYrVr84Ex147UQLHj8H4q2nsY4w8gM3hzewPL/received_3026689100784205.jpeg)

![IMG_20200709_012026_123.png](https://images.hive.blog/DQmWqwANtbxxxzQmw52A2bPcLHoA4xRWiDWEioBPadchnxS/IMG_20200709_012026_123.png)

No soy tan alta.
Pero soy inmensa
y tengo magia.
Cuando sonrío,
Yo mido lo mismo
que hay entre la 
tierra y el cielo
de distancia.

![received_286375649147554.jpeg](https://images.hive.blog/DQmbwaMSjk2UfgjyTsbyJJF8okCaoyFsp45GErotHkj2csu/received_286375649147554.jpeg)

 ![IMG_20200709_012026_123.png](https://images.hive.blog/DQmWqwANtbxxxzQmw52A2bPcLHoA4xRWiDWEioBPadchnxS/IMG_20200709_012026_123.png)

Qui","{""tags"":[""life"",""photography"",""appreciator"",""blog"",""spanish""],""image"":[""https://images.hive.blog/DQmesntVgSXYrVr84Ex147UQLHj8H4q2nsY4w8gM3hzewPL/received_3026689100784205.jpeg"",""https://images.hive.blog/DQmWqwANtbxxxzQmw52A2bPcLHoA4xRWiDWEioBPadchnxS/IMG_20200709_012026_123.png"",""https://images.hive.blog/DQmbwaMSjk2UfgjyTsbyJJF8okCaoyFsp45GErotHkj2csu/received_286375649147554.jpeg"",""https://images.hive.blog/DQmQgkpeP6G1FZJWfUAd9pAiZXxyEn5dppJrwEi6jG28Hwr/received_629501447920112.jpeg""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-07-09 05:28:15,El amor propio ante todo.,/hive-148441/@michellec/el-amor-propio-ante-todo,1
michellec,recuerdos-de-mi-lugar-feliz-memories-from-my-happy-place,Recuerdos de Mi Lugar Feliz - Memories from my Happy Place.,hive-148441,"Recuerdo cuando regresaba luego de haber pasado un día soleado y agradable en la playa . Me daba una ducha, comía algo y me iba a dormir y cuando ya estaba en la cama tenía la sensación de estar dentro del mar, podía sentir  y escuchar las olas del mar.

Últimamente tengo muchas ganas de ir a la playa, y le di un vistazo a mis fotos en mi lugar feliz, y las voy a compartir contigo.

> *I remember when I returned after having a nice and sunny day at the beach. I would take a shower, eat something and go to sleep and when I was in bed I had the feeling of being in the sea, I could feel and hear the waves of the sea. Lately, I really want to go to the beach, and I took a look at my photos in my happy place, and I'm going to share them with you.*

![image.png](https://images.hive.blog/DQmTscCcxwmX7RFgPtwxzZ8ugV8cPZUaYvRBP87nvWYw52g/image.png)

https://images.hive.blog/DQmUsNdk7szT3kNTmv8tfqrMziAUZw946hss5D2EFnc1ExW/image.png

No sé por que ahora tengo la necesidad de revisar mis fotos y recordar lo que he hecho ","{""tags"":[""life"",""beach"",""photography"",""appreciator"",""upmewhale"",""creativecoin"",""spanish""],""image"":[""https://images.hive.blog/DQmTscCcxwmX7RFgPtwxzZ8ugV8cPZUaYvRBP87nvWYw52g/image.png"",""https://images.hive.blog/DQmUsNdk7szT3kNTmv8tfqrMziAUZw946hss5D2EFnc1ExW/image.png"",""https://images.hive.blog/DQmRVXyN6LKpp1V745zuTXcuoB298LUg5fffnwGUnuR519d/image.png"",""https://images.hive.blog/DQmQN98LNeKyPJtb9jAZoCtuqR3c2uj24QeLuCYeQqp3kGs/image.png"",""https://images.hive.blog/DQmaEZd6ysC4RSWourEVRxzRAZHaG5CsvsfSbTPCkXzCfGt/image.png"",""https://images.hive.blog/DQmZ4ecgb6a2WErkJLUM9doUttLPkwbBqYv8AnmLpFSy2Ux/image.png""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-07-01 05:17:12,Recuerdos de Mi Lugar Feliz - Memories from my Happy Place.,/hive-148441/@michellec/recuerdos-de-mi-lugar-feliz-memories-from-my-happy-place,2
michellec,el-cuerpo-humano-despues-de-la-muerte,El Cuerpo Humano Después de la Muerte. / The Human Body After Death.,hive-148441,"* 3 días después de la muerte, las uñas empiezan a despegarse de los dedos.
* 4 días después de la muerte, los cabellos se despegan del cráneo y todos los vellos del cuerpo caen.
* 5 días después, el cerebro comienza a podrirse, la carne se seca y se descompone por completo, los insectos te invaden los genitales, las nalgas y los senos desaparecen por completos.
* 6 días después, la piel se pone negra y se despega gradualmente de los huesos;
* 7 días después, el vientre se explota y huele muy desagradablemente 
* 60 días después de la muerte, todo el cuerpo se reduce a nada salvo hueso del esqueleto

> * 3 days after death, the nails begin to detach from the fingers.
> * 4 days after death, the hair detaches from the skull and all the hairs on the body fall out.
> * 5 days later, the brain begins to rot, the meat dries up and breaks down completely, insects invade your genitals, buttocks and breasts completely disappear.
> * 6 days later, the skin turns black and gradually detaches from the bones;
> * 7 days","{""tags"":[""spanish"",""community"",""life"",""appreciator"",""blog""],""image"":[""https://images.hive.blog/DQmQPEh4Fxjj1jRA5mfaN4XppiCNYWKff3TwD7Sdi2MWApK/97757044_1097843227268235_9158487167050186752_n.jpg"",""https://images.hive.blog/DQmUsNdk7szT3kNTmv8tfqrMziAUZw946hss5D2EFnc1ExW/image.png"",""https://images.hive.blog/DQmQAjKTT1b8e7D8SAWqzvU2dVDQSWgfVV2wUeYYzVxAuN3/83522283_476804353268820_7128016952387174400_n.jpg"",""https://images.hive.blog/DQmZ4ecgb6a2WErkJLUM9doUttLPkwbBqYv8AnmLpFSy2Ux/image.png""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-07-01 01:36:03,El Cuerpo Humano Después de la Muerte. / The Human Body After Death.,/hive-148441/@michellec/el-cuerpo-humano-despues-de-la-muerte,3
