author,permlink,title,category,body,json_metadata,created,root_title,url,children
midas-bar,midas-bar-kicks-off-soon-official-announcement-for-midas-bar-a-member-of-the-midas-group,"Midas Bar Kicks Off soon; Official Announcement for Midas Bar, A Member Of The Midas Group",midas,"With an increase in the way people tend to enjoy the night (we call them nightcrawlers), it has proven that wine (either alcoholic or non-alcoholic) has been on the increase. Midas is a brand that is determined to give the best of her hospitality and comfort to customers who want to relax and catch fun any time of the day from wine bars, wine cafes, restaurants, nightclubs, pools, hotels.

Midas wine bar is set to give a first-class service to customers who will be spending time at the bar while relaxing or refreshing the body, thereby meeting the different tastes of consumers through selling their prefered brand. Midas bar will be available seven days a week for the enjoyment and satisfaction of our customers.

### Graphical History and Data on Wine Consumption


http://nadk.flinders.edu.au/files/cache/e2a1eb0dd7878b5e5bc5f230f45b1bfd_f343.png

https://blogs-images.forbes.com/niallmccarthy/files/2016/05/20160517_Wine.jpg

https://www.nippon.com/en/files/h00072en_fig02.gif

![Chart_2.JPG](https://steemitimag","{""tags"":[""midas"",""introduceyourself"",""blockchain"",""steem"",""business""],""image"":[""http://nadk.flinders.edu.au/files/cache/e2a1eb0dd7878b5e5bc5f230f45b1bfd_f343.png"",""https://blogs-images.forbes.com/niallmccarthy/files/2016/05/20160517_Wine.jpg"",""https://www.nippon.com/en/files/h00072en_fig02.gif"",""https://steemitimages.com/DQma8fJKLyVTLD81cJKpNf38MSi6wHtVv7Df2xZjQfiGEet/Chart_2.JPG""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjPpK_bhuDaAhVLmbQKHZy1DlUQjRx6BAgBEAU&url=http%3A%2F%2Fnadk.flinders.edu.au%2Fkb%2Falcohol%2Fconsumption-patterns%2Fdrinking-habits-of-australians%2F&psig=AOvVaw305hOHic1wv1M941bOrHKc&ust=1525110345305719"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=2ahUKEwi2ksaQh-DaAhUOZVAKHQeLBiAQjRx6BAgBEAU&url=https%3A%2F%2Fwww.forbes.com%2Fsites%2Fniallmccarthy%2F2016%2F05%2F17%2Fthe-worlds-biggest-wine-drinkers-infographic%2F&psig=AOvVaw305hOHic1wv1M941bOrHKc&ust=1525110345305719"",""https://www.google.com/url?sa=i&r",2018-04-29 19:02:57,"Midas Bar Kicks Off soon; Official Announcement for Midas Bar, A Member Of The Midas Group",/midas/@midas-bar/midas-bar-kicks-off-soon-official-announcement-for-midas-bar-a-member-of-the-midas-group,5
midas-bar,the-laws-of-accumulating-wealth-lessons-from-the-richest-man-in-babylon,"The Laws of accumulating wealth, lessons from the richest man in Babylon",hive-167922,"Life is certainly based on finances and the way we spend and calculate every penny we make, makes us become either one of the financially classy people that exist or one of those who have almost nothing on their table or in their pockets. Intelligent authors have written books to describe the power of emerging wealth and they have basically almost taught us the same thing through their books, one of the books that has stood the test of time is ‘The richest man in Babylon’, this book has been known to be an important passcode to the building of financial wealth.

![wealth-accumulation-630x315.jpg](https://images.hive.blog/DQmVJkdGVVaqoTv3Xkh3TbyVujPz2iq9x4zqPh2HirkpvwW/wealth-accumulation-630x315.jpg)
[Image Source](http://fiduciafinancialgroup.com/wealth-accumulation/)

### Ways to accumulate wealth.
>The first law of gold says you should set aside 10% of your earnings for investments.

A lot of people have the habit of complaining about how bad their jobs paid them and how they do not have sufficient money ","{""tags"":[""finance"",""wealth-creation"",""wealth-accumulation"",""leofinance""],""image"":[""https://images.hive.blog/DQmVJkdGVVaqoTv3Xkh3TbyVujPz2iq9x4zqPh2HirkpvwW/wealth-accumulation-630x315.jpg"",""https://images.hive.blog/DQmaSUQJ8b1voG4pX5kGEL395shpP5ABXeV2cLN4CDKhewU/istockphoto-1050915770-1024x1024.jpg""],""links"":[""http://fiduciafinancialgroup.com/wealth-accumulation/"",""https://www.istockphoto.com/vector/wealth-accumulation-outline-icon-element-of-finance-icon-for-mobile-concept-and-web-gm1050915770-280998372""],""app"":""leofinance/0.1"",""format"":""markdown"",""canonical_url"":""https://leofinance.io/@midas-bar/the-laws-of-accumulating-wealth-lessons-from-the-richest-man-in-babylon""}",2020-06-10 22:52:51,"The Laws of accumulating wealth, lessons from the richest man in Babylon",/hive-167922/@midas-bar/the-laws-of-accumulating-wealth-lessons-from-the-richest-man-in-babylon,3
midas-bar,cutting-down-expenses-in-a-frugal-way-your-road-to-financial-success,"Cutting Down Expenses in a Frugal Way, Your road to Financial Success",hive-167922,"____
____
Hello Hive and Leo finance Community, this is my first post on Leo Finance. I thought the community was still on Steemit, so I was posting on Steemit but I realized it has moved to Hive, so I am here on hive and I will be focusing a little of my time, effort and tokens on Leo finance. With this said, I will be writing my first post here.
____
____

##### Okay, let’s do finance

Becoming rich isn’t about making dollars and cents since a lot of people make this on a regular basis and most of them remain in the same position at the same spot. Becoming rich is about making the determination to sacrifice a lot of things so as to amass more wealth. So in this post, I will be giving a few lessons on how to cut down expenses.

![Money-Woman-e1446058406847.jpg](https://images.hive.blog/DQmRPJAUW1G7dzmZJNnGgNQyLiB6cfuGG34vuRNXeiuSQJs/Money-Woman-e1446058406847.jpg)
[Image](https://invibed.com/7-tricks-for-staying-motivated-when-youre-battling-frugal-fatigue/)

I have met with a lot of people who make about 1","{""tags"":[""finance"",""budget"",""expense"",""financial-management"",""money-management"",""income"",""leofinance"",""posh""],""image"":[""https://images.hive.blog/DQmRPJAUW1G7dzmZJNnGgNQyLiB6cfuGG34vuRNXeiuSQJs/Money-Woman-e1446058406847.jpg"",""https://images.hive.blog/DQmVcKbUvNP7xon2gHuUSNr2kN9RonQ6VJp6662MaDDPD7N/budgeting.png"",""https://images.hive.blog/DQmYz4kQ77XQJfhhoRufUsLw6Ycar6e5k1gkUfMNeoTRPo5/unnamed.webp""],""links"":[""https://invibed.com/7-tricks-for-staying-motivated-when-youre-battling-frugal-fatigue/"",""https://blog.adventisthealthcare.com/2018/02/02/budgeting-101/"",""https://play.google.com/store/apps/details?id=com.artezio.costtrack.android&hl=en_US""],""app"":""leofinance/0.1"",""format"":""markdown"",""canonical_url"":""https://leofinance.io/@midas-bar/cutting-down-expenses-in-a-frugal-way-your-road-to-financial-success""}",2020-06-08 00:56:21,"Cutting Down Expenses in a Frugal Way, Your road to Financial Success",/hive-167922/@midas-bar/cutting-down-expenses-in-a-frugal-way-your-road-to-financial-success,0
midas-bar,a-company-s-employee-are-it-s-greatest-asset,A Company's Employee Are It's Greatest Asset,organisation,"Have you lay off an employee only to find out that it has left a vacuum, not because someone else did not take the position but because certain skill-sets and knowledge became irreplaceable by the person taken the position. One thing to bear in mind that a company is only as good as its people, it does not matter what you sell.

The efficiency, talent and skill of thee employees determines the pace and growth of the organizations since they are the intermediary between the customers and the organization. In an organisation, it is key that employees give their best when they are motivated and shown a sign of belonging that they are a part of the organization.

https://www.araglegal.com/dam/jcr:60b3cd0a-73e2-4fdc-9f8b-25ff8776f9d5/Why%20a%20Legal%20Insurance%20Plan%20is%20the%20Best%20Employee%20Benefit%20You%20Don&%23039;t%20Have.jpg
[source](https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiN0NLmg7njAhUP8hQKHUmADK8Qjhx6BAgBEAM&url=https%3A%2F%2Fwww.araglegal.com%2Fpartners%2Flearni","{""tags"":[""organisation"",""employee"",""steemleo"",""sct"",""actnearn"",""zzan"",""palnet""],""image"":[""https://www.araglegal.com/dam/jcr:60b3cd0a-73e2-4fdc-9f8b-25ff8776f9d5/Why%20a%20Legal%20Insurance%20Plan%20is%20the%20Best%20Employee%20Benefit%20You%20Don&amp;%23039;t%20Have.jpg"",""https://www.thebalancecareers.com/thmb/uR-khLP6Nfz2jmRkwc4G5Sg-TSY=/400x0/C-Users-Susan-Downloads-hire-right-employee-92125257-56a4f2355f9b58b7d0da04c6.jpg""],""links"":[""https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiN0NLmg7njAhUP8hQKHUmADK8Qjhx6BAgBEAM&url=https%3A%2F%2Fwww.araglegal.com%2Fpartners%2Flearning-center%2Ftopics%2Fwhy-legal%2Fwhy-a-legal-insurance-plan-is-the-best-employee-benefit&psig=AOvVaw240-b5W-oOxOMAOUiQbi6O&ust=1563352407520034"",""https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwikmZqWhLnjAhXZDWMBHc6xBuUQjhx6BAgBEAM&url=https%3A%2F%2Fwww.thebalancecareers.com%2Ftop-tips-for-hiring-the-right-employee-1918964&psig=AOvVaw240-b5W-oOxOMAOUiQbi6O&ust=1563352407520034""],""ap",2019-07-16 08:49:06,A Company's Employee Are It's Greatest Asset,/organisation/@midas-bar/a-company-s-employee-are-it-s-greatest-asset,0
midas-bar,drink-bars-with-a-difference,Drink bars with a difference,drink,"http://www.bodegagarageclub.com/wp-content/uploads/2017/03/Bar-Area.jpg
[1](https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiG-_bb6J3jAhU2AWMBHWEdBrsQjhx6BAgBEAM&url=http%3A%2F%2Fwww.bodegagarageclub.com%2Fblog%2Fthe-difference-between-bar-and-pub&psig=AOvVaw2fvHjAnHKdTh3j5M48jLbQ&ust=1562417441553264)

https://img2.10bestmedia.com/Images/Photos/346172/Cinco-loune-10best_54_990x660.jpg
[2](https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjxz7-_6Z3jAhXK5eAKHZ9kBHEQjRx6BAgBEAU&url=https%3A%2F%2Fwww.10best.com%2Fdestinations%2Fportugal%2Flisbon%2Fnightlife%2Fbairro-alto-principe-reals-best-bars%2F&psig=AOvVaw2fvHjAnHKdTh3j5M48jLbQ&ust=1562417441553264https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjxz7-_6Z3jAhXK5eAKHZ9kBHEQjRx6BAgBEAU&url=https%3A%2F%2Fwww.10best.com%2Fdestinations%2Fportugal%2Flisbon%2Fnightlife%2Fbairro-alto-principe-reals-best-bars%2F&psig=AOvVaw2fvHjAnHKdTh3j5M48jLbQ&ust=1562417441553264)

https://pbs.twimg.com/media/DlCBTgBWwAAc-_M.jpg
[","{""tags"":[""drink"",""bar"",""sct"",""actnearn"",""steemleo"",""palnet""],""image"":[""http://www.bodegagarageclub.com/wp-content/uploads/2017/03/Bar-Area.jpg"",""https://img2.10bestmedia.com/Images/Photos/346172/Cinco-loune-10best_54_990x660.jpg"",""https://pbs.twimg.com/media/DlCBTgBWwAAc-_M.jpg""],""links"":[""https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiG-_bb6J3jAhU2AWMBHWEdBrsQjhx6BAgBEAM&url=http%3A%2F%2Fwww.bodegagarageclub.com%2Fblog%2Fthe-difference-between-bar-and-pub&psig=AOvVaw2fvHjAnHKdTh3j5M48jLbQ&ust=1562417441553264"",""https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjxz7-_6Z3jAhXK5eAKHZ9kBHEQjRx6BAgBEAU&url=https%3A%2F%2Fwww.10best.com%2Fdestinations%2Fportugal%2Flisbon%2Fnightlife%2Fbairro-alto-principe-reals-best-bars%2F&psig=AOvVaw2fvHjAnHKdTh3j5M48jLbQ&ust=1562417441553264https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjxz7-_6Z3jAhXK5eAKHZ9kBHEQjRx6BAgBEAU&url=https%3A%2F%2Fwww.10best.com%2Fdestinations%2Fportugal%2Flisbon%2Fnightlife%2Fbairro-alto-princip",2019-07-05 13:02:06,Drink bars with a difference,/drink/@midas-bar/drink-bars-with-a-difference,0
midas-bar,the-difference-in-the-thinking-ability-of-the-poor-and-the-rich,THE DIFFERENCE IN THE THINKING ABILITY OF THE POOR AND THE RICH,hive-167922,"This is not a post to segregate but a post for those who want to increase their financial level thinking ability. Despite being at a low level or being born into a financial low level anyone can climb up the ladder of financial success but that only takes a determined and willing heart and the reason why a lot of people are plain broke is because they have not changed their mentality about certain things.


![CJ1UVtmWgAAmam6.jpg_large.jpg](https://images.hive.blog/DQmQ7UVfXS3ebgCsLjb6PPqEPLAo3Ndrdi12DpvUNpXaxZ9/CJ1UVtmWgAAmam6.jpg_large.jpg)
[Source](https://twitter.com/gbenrobukki/status/620745117071224832)


Study has shown that the way the poor think is clearly different from the thinking pattern of the rich and as people who want to become rich, we must align our thinking ability to become like that of the rich.

### Number 1.
The rich belief that they have to give value in order to make money while the poor belief that the money they make should be dependent on how long they work, this describes the who","{""tags"":[""financial-education"",""finance"",""wealth"",""rich-poor"",""thinking"",""leofinance""],""image"":[""https://images.hive.blog/DQmQ7UVfXS3ebgCsLjb6PPqEPLAo3Ndrdi12DpvUNpXaxZ9/CJ1UVtmWgAAmam6.jpg_large.jpg"",""https://images.hive.blog/DQmUkyRnTYGZhLDhdjoqh8SqxwGXUeQfHzHWyULxLKsRuMe/luon-hoc-hoi-va-phat-trien-1373617069-650x0-large.jpg""],""links"":[""https://twitter.com/gbenrobukki/status/620745117071224832"",""https://atpsoftware.vn/hoc-lam-giau-hoc-kinh-doanh-o-dau-nhu-the-nao.html/amp""],""app"":""leofinance/0.1"",""format"":""markdown"",""canonical_url"":""https://leofinance.io/@midas-bar/the-difference-in-the-thinking-ability-of-the-poor-and-the-rich""}",2020-07-03 00:18:12,THE DIFFERENCE IN THE THINKING ABILITY OF THE POOR AND THE RICH,/hive-167922/@midas-bar/the-difference-in-the-thinking-ability-of-the-poor-and-the-rich,1
midas-bar,the-investing-mind-of-bill-gates-how-to-invest-like-bill-gates,The Investing Mind of Bill Gates - How to Invest like Bill Gates,hive-167922,"As at the time of writing from Forbes.com, Bill Gates the cofounder of Bill and Melinda Gates Foundation and Former chairman of Microsoft is the second richest man in the world with a net worth $108.1 billion actually generated his major wealth from his software company Microsoft, the truth is that Bill Gates in his young age was a very ruthless investor.

![unnamed (6).jpg](https://images.hive.blog/DQmbKo12ZYG7AeEpsin8voMter2mx86b2kF74Xxzy8KyfVc/unnamed%20(6).jpg)
[Credit](http://www.iamawake.co/revealed-bill-gates-invests-billions-in-fast-food-private-prison-and-oil-companies/)

Bill Gate have made a lot of money from doing a lot of investment and a few things that has been learnt during his period of investing are;

### Invest in companies in the country you are.
The government of every country is there to save the stocks of a company which is planning to bankrupt during a difficult time, so it is advisable to do your investment in your native country. You could invest in bonds, stocks gold and so on, thi","{""tags"":[""investment"",""bill-gates"",""stocks"",""business"",""investing"",""bonds"",""leofinance""],""image"":[""https://images.hive.blog/DQmbKo12ZYG7AeEpsin8voMter2mx86b2kF74Xxzy8KyfVc/unnamed%20(6).jpg"",""https://images.hive.blog/DQmSmi5xtmxAwxFLiR9cQVvVZ87EQ7fN7Fancmrbud2a9Hb/merlin_166518270_dc4efe87-ed28-4036-953d-87058b771f48-superJumbo.jpg""],""links"":[""http://www.iamawake.co/revealed-bill-gates-invests-billions-in-fast-food-private-prison-and-oil-companies/"",""https://www.nytimes.com/2020/01/01/business/wall-street-markets-2020.amp.html""],""app"":""leofinance/0.1"",""format"":""markdown"",""canonical_url"":""https://leofinance.io/@midas-bar/the-investing-mind-of-bill-gates-how-to-invest-like-bill-gates""}",2020-06-27 01:09:36,The Investing Mind of Bill Gates - How to Invest like Bill Gates,/hive-167922/@midas-bar/the-investing-mind-of-bill-gates-how-to-invest-like-bill-gates,1
midas-bar,savings-and-investments-provides-financial-strength,Savings and investments provides financial strength,hive-167922,"There is a power that comes with compounding finances and that is the power of accumulation which I also like to regard to as savings. The power of savings is very powerful and if you have been procrastinating on your decision to save, the best time to get on with it is immediately. It does not matter how much you begin your saving plan with what matters more is what you are able to improve on with the money you have saved.

![main-qimg-067d944543ca954bfc13e37eb60eee28.jpeg](https://images.hive.blog/DQmVNXmu5FzWbezFcaq7CpXSQsLjQN9xByj5PaBfMUBdQuZ/main-qimg-067d944543ca954bfc13e37eb60eee28.jpeg)
[Source](https://www.quora.com/How-do-I-start-investing-and-saving)

This same rules applies to the principle of investments, it takes intelligence to be able to set aside a portion of your income to form a savings or an investment plan doing this implies that you are leaving beneath your regular income. A person who lacks a savings or investment plan, will spend everything they earn faster than they realize it.

A sa","{""tags"":[""investment"",""finance"",""saving"",""money"",""loans"",""financial-strength"",""leofinance""],""image"":[""https://images.hive.blog/DQmVNXmu5FzWbezFcaq7CpXSQsLjQN9xByj5PaBfMUBdQuZ/main-qimg-067d944543ca954bfc13e37eb60eee28.jpeg"",""https://images.hive.blog/DQmUiNutBmPGTJ6nB9Zw1Fk95u8rhiRFJTa6VzQpS3UGMz6/unnamed%20(5).jpg""],""links"":[""https://www.quora.com/How-do-I-start-investing-and-saving"",""http://davefintech.com/investments-a-smart-move-as-compare-to-savings/""],""app"":""leofinance/0.1"",""format"":""markdown"",""canonical_url"":""https://leofinance.io/@midas-bar/savings-and-investments-provides-financial-strength""}",2020-06-24 00:26:15,Savings and investments provides financial strength,/hive-167922/@midas-bar/savings-and-investments-provides-financial-strength,0
midas-bar,digital-taxation-on-technology-companies-and-your-thoughts,Digital Taxation on Technology Companies and your Thoughts,hive-167922,"I read about an African country planning to tax tech and social media companies which did not have their headquarters in the country, then I thought of it; could this be corporate tax?

The answer is no! you can’t charge a company which is not in your country a corporate tax but most tech giants are virtually in all countries even though they do not have an office in the country and by doing so, they make money from the countries. So what type of tax could the governments of this country be looking to implement, it is called the digital tax.

![digital-tax_20190410090327_theedgemarkets.jpg](https://images.hive.blog/DQmRVT2Aw6Mv2f3bUTUkk2LmXCkVjaCFYTmnkB95WZv1zji/digital-tax_20190410090327_theedgemarkets.jpg)
[Source](https://infokoala.com/insights-on-digital-tax/)

### What is digital tax?
Companies like Amazon which make money connecting the real store and the consumers together online, companies like Google, Facebook, Microsoft which make money from adverts and using consumer data to influence advertisemen","{""tags"":[""tax"",""business"",""digital-tax"",""economy"",""revenue"",""leofinance""],""image"":[""https://images.hive.blog/DQmRVT2Aw6Mv2f3bUTUkk2LmXCkVjaCFYTmnkB95WZv1zji/digital-tax_20190410090327_theedgemarkets.jpg"",""https://images.hive.blog/DQmQFzfc1pwXQkEAST5KuGL2Bwn2Ya5EAEPuaxu2cKb7aiN/13183945.jpg""],""links"":[""https://infokoala.com/insights-on-digital-tax/"",""https://koreajoongangdaily.joins.com/news/article/article.aspx?aid=3055560"",""https://taxfoundation.org/oecd-beps-digital-tax/"",""https://quaderno.io/blog/digital-taxes-around-world-know-new-tax-rules/""],""app"":""leofinance/0.1"",""format"":""markdown"",""canonical_url"":""https://leofinance.io/@midas-bar/digital-taxation-on-technology-companies-and-your-thoughts""}",2020-06-22 01:33:51,Digital Taxation on Technology Companies and your Thoughts,/hive-167922/@midas-bar/digital-taxation-on-technology-companies-and-your-thoughts,1
midas-bar,emotions-and-financial-success-putting-emotions-on-check-in-other-to-succeed-financially,Emotions and Financial Success; (putting emotions on check in other to succeed financially),hive-167922,"An average person knows that in other to achieve financial success, you need to do a few things which are, get a financial budget, reduce expenses, avoid debt and start investing in an early stage. Becoming financially successful can be said easily by anybody but achieving it requires proper discipline and the removal of emotions. A lot of people who are in debt often blame it to a particular event that got them emotional, especially when it has nothing to do with business. They tell you they got a wedding ring for hundreds or thousands of dollars using their credit cards after which it takes them a long time to pay it off, or they spent a lot of time at the mall that they didn’t want to miss out of a discount goods that they had to go into debt in other to get them. Some people will want to show off their new lives to proof they are making heads way and so they get into a new mortgage for a home they can’t afford to buy to buy at the moment. Also, the pandemic also showed another way of how emotions affects","{""tags"":[""finance"",""financial-management"",""financial-freedom"",""emotions"",""laziness"",""temptation"",""leofinance""],""image"":[""https://images.hive.blog/DQmZ5vxEDcHb8mDZYNVMVuPqZ4dbdf81R1xNqr1jBg13Djs/Emotions-and-Investment-Decision-Making-An-Introduction.jpg"",""https://images.hive.blog/DQmNPN94JN4KuivshNXSgdyY9TXHMLCP9RQQ1DqCtMs3ibx/960x0.jpg""],""links"":[""https://blogs.cfainstitute.org/investor/2019/04/10/emotions-and-investment-decision-making-an-introduction/"",""https://www.forbes.com/sites/quora/2019/11/22/how-can-i-overcome-my-feelings-of-laziness/amp/""],""app"":""leofinance/0.1"",""format"":""markdown"",""canonical_url"":""https://leofinance.io/@midas-bar/emotions-and-financial-success-putting-emotions-on-check-in-other-to-succeed-financially""}",2020-06-15 05:29:09,Emotions and Financial Success; (putting emotions on check in other to succeed financially),/hive-167922/@midas-bar/emotions-and-financial-success-putting-emotions-on-check-in-other-to-succeed-financially,0
