author,permlink,title,category,body,json_metadata,created,root_title,url,children
mojubare,the-great-magicians-magic-script-8,The Great Magicians Magic; Script 8,story,"""after a good meal, one should use such good and healthy palm wine to wash down the food,"" forjan said . he looked at hali and saw that the boy was reluctant to drink. ""a cup won't harm you, just drink and that will be enough for one day so that you will still remain in check.""

https://steemitimages.com/0x0/https://cdn-pro.elsalvador.com/wp-content/uploads/2017/02/07030819/1465484281202.jpg


hali drank the wine. it tasted sweet and very good in his mouth. palm wine generally tasted sweet and very good in hali's mouth that was why he loved it so much. he gulped down the entire content in the cup. forjan smiled to himself. he kew that within few moments, hali would crave for more; the fact that he had tasted the palm wine meant that his appetite for alcoholism had been whetted.","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""creativity""],""image"":[""https://steemitimages.com/0x0/https://cdn-pro.elsalvador.com/wp-content/uploads/2017/02/07030819/1465484281202.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-19 06:40:39,The Great Magicians Magic; Script 8,/story/@mojubare/the-great-magicians-magic-script-8,0
mojubare,the-mind-set-of-an-entrepreneur,The Mind-Set of an Entrepreneur,hive-175254,"If there is one thing that stops people from moving into what they have always loved to do, it is the regular excuse associated with lack of funds to get into the journey of starting their own business, I have brought good news with this post: As important as money is in the business industry, you do not need a lot of it, before you begin your business journey.  The moment you decide to become a business owner, you also have to literarily move away from the passenger’s seat to the driver’s seat. 


![20190531175936-GettyImages-1004398522.jpeg](https://cdn.steemitimages.com/DQmaS8QAxUUiE5S1J5p5eQNv8zb5F2niGf9nGHthkZUfvxY/20190531175936-GettyImages-1004398522.jpeg)
[Source](entrepreneur.com)


It takes more than money to become a business owner and to build wealth, consider those who make so much money from bet sites, but get back to the level of poverty after some months, this makes it very clear that money is not all that is needed to make wealth and achieve greatness. More than money, a willing heart to ach","{""app"":""peakd/2020.03.14"",""format"":""markdown"",""tags"":[""entrepreneur"",""business"",""lifestyle"",""mindset"",""steemleo"",""steem-leo""],""links"":[""https://entrepreneur.com"",""https://www.alamy.com/handwriting-text-think-like-an-entrepreneur-concept-meaning-have-an-entrepreneurship-mind-start-up-strategy-keyboard-key-intention-to-create-computer-image228841429.html""],""image"":[""https://cdn.steemitimages.com/DQmaS8QAxUUiE5S1J5p5eQNv8zb5F2niGf9nGHthkZUfvxY/20190531175936-GettyImages-1004398522.jpeg"",""https://cdn.steemitimages.com/DQma5iJ789QFQmuC2Xd9roGxBSudiJ2pHsJz6dxkBQJfUsm/R88HG5.jpg""]}",2020-03-31 20:18:54,The Mind-Set of an Entrepreneur,/hive-175254/@mojubare/the-mind-set-of-an-entrepreneur,5
mojubare,the-warren-buffett-business-and-investment-documentary-a-post-for-every-investor,The Warren Buffett Business and Investment Documentary - (A post for every Investor),hive-175254,"If you are an investor or a prospective investor in the stock market and business, then Warren Buffett should not need an introduction to you. Unlike Bill Gates, Jeff Bezos and Mark who made money by innovation or like Jim and Alice Walton who inherited money, Warren Buffet made his wealth from winning in the stock market for over half a century.


![12682081033_1f351d28d1_c.jpg](https://cdn.steemitimages.com/DQmQjNxHjzJK9iSMLxZFioH6UN9fYWmjDnNvZU2hbpyb6kJ/12682081033_1f351d28d1_c.jpg)
 [Source](https://www.flickr.com/photos/donkeyhotey/12682081033)

Born in Omaha in the year 1930 when the great depression was telling on everyone, into the family of a stock broker Howard Buffett. Buffett started investing in shares from before graduating from high school which you might say is expected of a stock broker’s son but this time, his father was into politics and a congress man. He bought 3 stocks of Cities Service Company. He bought Coca-Cola in packs at wholesale prices and sell them to his fellow students at a r","{""app"":""peakd/2020.05.3"",""format"":""markdown"",""tags"":[""investment"",""finance"",""investor"",""documentary"",""warren-buffett"",""steemleo"",""leofinance"",""steem-leo""],""links"":[""https://www.flickr.com/photos/donkeyhotey/12682081033"",""https://pixabay.com/illustrations/warren-buffett-rich-money-5000311/""],""image"":[""https://cdn.steemitimages.com/DQmQjNxHjzJK9iSMLxZFioH6UN9fYWmjDnNvZU2hbpyb6kJ/12682081033_1f351d28d1_c.jpg"",""https://cdn.steemitimages.com/DQmbQK432UyCNpz9F7iNmtZPhWJnER9ZQ3qrVp95nk1qPAK/warren-buffett-5000311_960_720.webp""]}",2020-05-18 23:06:24,The Warren Buffett Business and Investment Documentary - (A post for every Investor),/hive-175254/@mojubare/the-warren-buffett-business-and-investment-documentary-a-post-for-every-investor,4
mojubare,how-to-get-an-investor-for-a-business-start-up,How to get an investor for a business start-up,hive-175254,"The process of raising money for a new business is one of the reasons why a lot of great business idea owners fail to start anything at all, raising funds for a new business is not easy, it is a great task of convincing people to go in for something they do not know what the outcome will be. The aspect of raising funds for a business is a very serious issue that must not be taken for granted as every business requires funding.



![05eGqoRcVFRa6mqdHas610v-1..v_1569492758.jpg](https://cdn.steemitimages.com/DQmWXkiFobtGvuRcyFjx2dfxCQuaYkoqfpyn6qpUWZRA9Aw/05eGqoRcVFRa6mqdHas610v-1..v_1569492758.jpg)
[Credit](https://www.pcmag.com/news/10-must-have-elements-of-a-tech-startup-business-plan)

### How to make an investor trust your idea.
Most people go about looking for investors without a set plan and proven team members, no investor will invest into a business that is just a mere idea or one that cannot have something to show that is going to be an absolutely big risk on their part, if investors must trust their ","{""app"":""peakd/2020.05.5"",""format"":""markdown"",""tags"":[""business"",""startup"",""entrepreneur"",""entrepreneurship"",""investing"",""leofinance""],""links"":[""https://www.pcmag.com/news/10-must-have-elements-of-a-tech-startup-business-plan""],""image"":[""https://cdn.steemitimages.com/DQmWXkiFobtGvuRcyFjx2dfxCQuaYkoqfpyn6qpUWZRA9Aw/05eGqoRcVFRa6mqdHas610v-1..v_1569492758.jpg""]}",2020-06-12 02:42:30,How to get an investor for a business start-up,/hive-175254/@mojubare/how-to-get-an-investor-for-a-business-start-up,2
mojubare,overcoming-the-habit-of-a-stressful-entrepreneurial-life,Overcoming the habit of a stressful entrepreneurial life,hive-175254,"Entrepreneurs have a usual habit of working themselves so hard and breaking out at the end of the day, do you know that even during the moments of being completely tired and exhausted some entrepreneurs always try to get busy and that is one basic reason behind not being productive. The truth is, there is a difference between just working and being productive, when you are productive means you are working to get result but at a tired and exhausted state, you may not be able to work to produce any beneficial result any longer.


With lots of blogs telling us about how much sacrifices are to be made by entrepreneurs, some new entrepreneurs just belief they have to kill themselves with work but I will like to remind you that there is a limit to the power of coffee and energy drinks.


![20150908164448-panic-stress-business-man-working.jpeg](https://cdn.steemitimages.com/DQmWtvby114MdcWBqrYDwXW9B6HaRa74M5kEo3vAA1bc1ZB/20150908164448-panic-stress-business-man-working.jpeg)
[Source](https://www.entrepreneur.com/am","{""app"":""peakd/2020.05.5"",""format"":""markdown"",""tags"":[""entrepreneurship"",""entrepreneur"",""stress"",""productivity"",""business"",""leofinance""],""links"":[""https://www.entrepreneur.com/amphtml/251563""],""image"":[""https://cdn.steemitimages.com/DQmWtvby114MdcWBqrYDwXW9B6HaRa74M5kEo3vAA1bc1ZB/20150908164448-panic-stress-business-man-working.jpeg""]}",2020-06-25 06:26:51,Overcoming the habit of a stressful entrepreneurial life,/hive-175254/@mojubare/overcoming-the-habit-of-a-stressful-entrepreneurial-life,0
mojubare,will-electric-vehicles-become-a-reality,Will Electric Vehicles become a Reality ,hive-175254," A lot of vehicle from cars, bike, planes, and ships are becoming automated and run on electricity. Companies like Tesla, Mercedes, Uber are doing their best to get hold of electric cars and make fossil fuel become obsolete but can this be the case?

It is true that there are about 1/10 of cars which runs on electricity, I have been seeing service point and car charging spots in news and documentaries abroad but I haven’t seen any in my country. Countries like China, United States and the Europe have been improving on electric car sales and production in the last 5 years but what about the remaining part of the world? Companies like Tesla, Beijing Electric vehicles, and Nissan are building a lot of electric cars but this cars are promoted to the west and East but not to all part of the world.


![battery_in_the_cloud_3_300dpi.jpg](https://cdn.steemitimages.com/DQmda3BMuWDQMdkNeEajBCPqR3JFDhiuWZ51WBvZE3hWq5s/battery_in_the_cloud_3_300dpi.jpg)
[Source](https://www.bosch-presse.de/pressportal/de/en/bosch-extend","{""app"":""peakd/2020.06.1"",""format"":""markdown"",""tags"":[""automation"",""electric-vehicle"",""ev"",""technology"",""leofinance"",""steemleo""],""links"":[""https://www.bosch-presse.de/pressportal/de/en/bosch-extends-the-service-life-of-electric-vehicle-batteries-193216.html"",""https://www.forbes.com/sites/sarwantsingh/2018/04/03/global-electric-vehicle-market-looks-to-fire-on-all-motors-in-2018/amp/""],""image"":[""https://cdn.steemitimages.com/DQmda3BMuWDQMdkNeEajBCPqR3JFDhiuWZ51WBvZE3hWq5s/battery_in_the_cloud_3_300dpi.jpg"",""https://cdn.steemitimages.com/DQmNyVLmT8KRuEoAgKLdD6ce6xmKr6vkMHSEnwWpsBuMSTa/https___blogs-images.forbes.com_sarwantsingh_files_2015_02_Electric-Vehicle.png""]}",2020-06-26 19:59:39,Will Electric Vehicles become a Reality ,/hive-175254/@mojubare/will-electric-vehicles-become-a-reality,3
mojubare,huawei-the-growth-controversies-and-future-for-the-tech-giant,"Huawei - The Growth, Controversies and Future for the Tech Giant",hive-175254,"A lot of never knew China were into a lot of technology and in the mobile industry until we came across Huawei. Huawei has proven to be a tech company that has been able to compete with Samsung and Apple, also it has created a lot of controversies in big nations like the United States as it looked like a threat to home tech giants as well as since the Chinese government has a level of power over companies, they could use it to spy on individuals and this has raised a lot of geopolitical rancor. Huawei product and tech is being used in over 170 countries around the world.



![acastro_190521_1777_huawei_0004.0.0.jpg](https://cdn.steemitimages.com/DQmNppBuAjMAz7TiX2bEFWN18B9MkQMtns9xeG4s5f2wwYG/acastro_190521_1777_huawei_0004.0.0.jpg)
[Credit](https://www.theverge.com/platform/amp/2020/6/30/21308477/fcc-huawei-zte-ban-universal-service-fund-national-security-threat-risk)

Founded in 1987 by Ren Zhengfei, the company did not start by producing phones, rather it started as a company selling phone accessories and","{""app"":""peakd/2020.06.3"",""format"":""markdown"",""image"":[""https://cdn.steemitimages.com/DQmNppBuAjMAz7TiX2bEFWN18B9MkQMtns9xeG4s5f2wwYG/acastro_190521_1777_huawei_0004.0.0.jpg"",""https://cdn.steemitimages.com/DQmXrHwYpdqoUsZK9Swgt957qZpY862Lyiphb2HFLBrooeD/skynews-huawei-china_4545793.jpg""],""links"":[""https://www.theverge.com/platform/amp/2020/6/30/21308477/fcc-huawei-zte-ban-universal-service-fund-national-security-threat-risk"",""https://news.sky.com/story/amp/huawei-the-company-and-the-security-risks-explained-11620232"",""https://www.bbc.com/news/newsbeat-47041341"",""https://huaweiarmenia.am/gb/blog-post/44"",""https://www.statista.com/chart/14958/global-smartphone-shipments/"",""https://youtu.be/MExr8TVVE10"",""https://www.timesnownews.com/business-economy/companies/article/us-disconnects-telecom-giants-huawei-zte-after-india-uninstalls-59-chinese-apps/614440""],""tags"":[""business"",""technology"",""huawei"",""controversy"",""mobile-phone"",""telecommunication"",""leofinance""]}",2020-07-01 09:01:18,"Huawei - The Growth, Controversies and Future for the Tech Giant",/hive-175254/@mojubare/huawei-the-growth-controversies-and-future-for-the-tech-giant,4
mojubare,mojubare-s-top-three-reviews-for-the-week-from-project-hope-community-episode-29,Mojubare's top three reviews for the week from project hope community [Episode 29],ph-review,"This week I will be writing my 29th episode of  the top three post review, I bring you beautiful post from project.hope this week and I hope they are worth your while.

#### Welcome to my Top three project hope community post.

https://cdn.steemitimages.com/DQmbWkgG6HhsJqSeTv4tNfgTdVJ37FVWbTfVSqGVodsjub2/7b4bio5hobgskW8qdPdvSqcwwJTvbiCMpGmRey1Rtd8H5qrb5RXXQf7s7UmYHDDxVd8sgDZp9ZhKHPXTPmpVn3cyB8hTbkA4SUFRmJomADoDZgr8XwLNSM87cZpYWtdzbfkBpJLrjdbSDMDwR1y9qWU4Su4r.png




I am a member of project hope community, a community that has been given users hope even in difficult times.


### What You can do with Your Smartphones to Earn Money.






![qjrE4yyfw5pEPvDbJDzhdNXM7mjt1tbr2kM3X28F6SraZkTkwRUTphsi2PEHKDWJxoEvqiSaNorUtmAzbbyvvCEnKojJyMKjNC5mYwe1yzKm288WbKoXDKbk.jpeg](https://cdn.steemitimages.com/DQmUtP4y6KqiKK6AkcA4mn5EM7trefyDtsGtzj1HqLwFNXi/qjrE4yyfw5pEPvDbJDzhdNXM7mjt1tbr2kM3X28F6SraZkTkwRUTphsi2PEHKDWJxoEvqiSaNorUtmAzbbyvvCEnKojJyMKjNC5mYwe1yzKm288WbKoXDKbk.jpeg)




We are in a age of opportunities we only","{""app"":""peakd/2020.09.5"",""format"":""markdown"",""tags"":[""ph-review"",""money"",""finance"",""scam"",""leofinance"",""steemleo""],""users"":[""eni-ola"",""josevas217"",""unbiasedwriter"",""project.hope""],""links"":[""https://steemit.com/hive-175254/@eni-ola/what-you-can-do-with-your-smartphones-to-earn-money"",""https://steemit.com/hive-175254/@josevas217/optimal-use-of-time-to-improve-our-preformance"",""https://steemit.com/hive-175254/@unbiasedwriter/have-you-heard-about-formjacking-what-is-it"",""/@project.hope""],""image"":[""https://cdn.steemitimages.com/DQmbWkgG6HhsJqSeTv4tNfgTdVJ37FVWbTfVSqGVodsjub2/7b4bio5hobgskW8qdPdvSqcwwJTvbiCMpGmRey1Rtd8H5qrb5RXXQf7s7UmYHDDxVd8sgDZp9ZhKHPXTPmpVn3cyB8hTbkA4SUFRmJomADoDZgr8XwLNSM87cZpYWtdzbfkBpJLrjdbSDMDwR1y9qWU4Su4r.png"",""https://cdn.steemitimages.com/DQmUtP4y6KqiKK6AkcA4mn5EM7trefyDtsGtzj1HqLwFNXi/qjrE4yyfw5pEPvDbJDzhdNXM7mjt1tbr2kM3X28F6SraZkTkwRUTphsi2PEHKDWJxoEvqiSaNorUtmAzbbyvvCEnKojJyMKjNC5mYwe1yzKm288WbKoXDKbk.jpeg"",""https://cdn.steemitimages.com/DQmcYbBQF8J1FXUXzRtcmMU5bdQmvbDMQLFSeUXXbeBgyLC",2020-10-01 17:24:12,Mojubare's top three reviews for the week from project hope community [Episode 29],/ph-review/@mojubare/mojubare-s-top-three-reviews-for-the-week-from-project-hope-community-episode-29,2
mojubare,blockchain-projects-you-didn-t-see-coming-in-2019-that-shook-the-industry,Blockchain projects you didn’t see coming in 2019 that shook the industry,hive-175254,"The year 2020 is almost over (wait, is it?) as we only have 2 months to the end of the year. This year can be said as a very dynamic one with a lot of trade wars (Like the US – China trade war), protest (that in Nigeria End SARS, Protest for Black Life Matters over George Floyd’s death), The Pandemic (Covid-19) and so on. Yes, the year is coming to an end but a lot of people are concerned about the future and on the blockchain, investors and traders are also concerned about it. In 2019, a lot of coins were predicted to be the most performing coins in 2020 but people didn’t see Defi coins coming at all and truthfully, Defi Yeild Farming and Defi coins shook the market. Predictions unto how BTC would hit $30k were really high but you see, Bitcoin just got to $13k in October and the possibility of it hitting $20k before the end of the year is very slim. I would have like to give my predictions on how the 2021 will be and the coins that will perform well but you know what, they will only remain predictions and t","{""app"":""peakd/2020.10.9"",""format"":""markdown"",""tags"":[""cryptocurrency"",""blockchain"",""polkadot"",""leofinance"",""uniswap""],""links"":[""https://crypto.com/en/cards.html"",""https://uniswap.org/"",""https://twitter.com/polkadot""],""image"":[""https://cdn.steemitimages.com/DQmazXKFvkQhevJ5sdYsitPriQTTx1Q3B2upea3CtvVi7UW/card-page-midnight-blue-06814f8a.webp"",""https://cdn.steemitimages.com/DQmXpyqNpJSiFifkAzAtfxkAT7VhJ721MSVux7wQmrBHSqF/twitter-card.jpg"",""https://cdn.steemitimages.com/DQmbKheK4K1XmFjY8ASNBbLP4J75JoCueCHrF36F37Pu5Ve/aJGBjJFU_400x400.jpg""]}",2020-10-30 12:41:12,Blockchain projects you didn’t see coming in 2019 that shook the industry,/hive-175254/@mojubare/blockchain-projects-you-didn-t-see-coming-in-2019-that-shook-the-industry,3
mojubare,mojubare-s-top-three-reviews-for-the-week-from-project-hope-community-episode-32,Mojubare's top three reviews for the week from project hope community [Episode 32],ph-review,"This week I will be writing my 32nd episode of  the top three post review, I bring you beautiful post from project.hope this week and I hope they are worth your while.

#### Welcome to my Top three project hope community post.

https://cdn.steemitimages.com/DQmbWkgG6HhsJqSeTv4tNfgTdVJ37FVWbTfVSqGVodsjub2/7b4bio5hobgskW8qdPdvSqcwwJTvbiCMpGmRey1Rtd8H5qrb5RXXQf7s7UmYHDDxVd8sgDZp9ZhKHPXTPmpVn3cyB8hTbkA4SUFRmJomADoDZgr8XwLNSM87cZpYWtdzbfkBpJLrjdbSDMDwR1y9qWU4Su4r.png




I am a member of project hope community, a community that has been given users hope even in difficult times.


###How far does your freedom of speech go?







![hgjbks2vRxvf3xsYr6qQ7dm31DuBHGui8pKMdEVPxhLfEeEoVMPfUw5EBRwRFPZUMpGgaULbFQHbaotyKuGf61GepN.jpeg](https://cdn.steemitimages.com/DQmS2M3kBw57c1CEySXH12RtiytGdN38Gf277JLxrgVfoD4/hgjbks2vRxvf3xsYr6qQ7dm31DuBHGui8pKMdEVPxhLfEeEoVMPfUw5EBRwRFPZUMpGgaULbFQHbaotyKuGf61GepN.jpeg)



The right to speak is highly important, either as a nation of as an individual there must be a right to express op","{""app"":""peakd/2020.11.1"",""format"":""markdown"",""tags"":[""ph-review"",""piotr"",""competition"",""business""],""users"":[""wiseagent"",""oluwatobiloba"",""josediccus"",""project.hope""],""links"":[""https://steemit.com/hive-175254/@wiseagent/how-far-does-your-freedom-of-speech-go"",""https://steemit.com/hive-175254/@oluwatobiloba/what-way-can-i-handle-a-close-competitor-that-cares-less-about-profit"",""https://steemit.com/hive-175254/@oluwatobiloba/what-way-can-i-handle-a-close-competitor-that-cares-less-about-profit"",""https://steemit.com/hive-175254/@josediccus/how-government-controls-people-with-money-and-monopoly-how-to-even-the-playing-field"",""/@project.hope""],""image"":[""https://cdn.steemitimages.com/DQmbWkgG6HhsJqSeTv4tNfgTdVJ37FVWbTfVSqGVodsjub2/7b4bio5hobgskW8qdPdvSqcwwJTvbiCMpGmRey1Rtd8H5qrb5RXXQf7s7UmYHDDxVd8sgDZp9ZhKHPXTPmpVn3cyB8hTbkA4SUFRmJomADoDZgr8XwLNSM87cZpYWtdzbfkBpJLrjdbSDMDwR1y9qWU4Su4r.png"",""https://cdn.steemitimages.com/DQmS2M3kBw57c1CEySXH12RtiytGdN38Gf277JLxrgVfoD4/hgjbks2vRxvf3xsYr6qQ7dm31DuBHGui8pKMdEVPxhLfEeEoV",2020-11-14 15:18:45,Mojubare's top three reviews for the week from project hope community [Episode 32],/ph-review/@mojubare/mojubare-s-top-three-reviews-for-the-week-from-project-hope-community-episode-32,0
