author,permlink,title,category,body,json_metadata,created,root_title,url,children
papa-mensa,covid-19-are-companies-concerned-about-employee-safety-or-they-had-no-options-but-shut-down,COVID-19; Are Companies Concerned about Employee Safety or They had no Options but Shut Down,hive-175254,"With the coronavirus outbreak, a lot of companies have had to close down their operations, as the virus spread increasingly in different countries of the world, one thing I hear about is stock market tanking and business closure, I do not hear about concern for employees. This got me really worried and made me asked this question
![iStock12060913601068x712.jpg](https://files.peakd.com/file/peakd-hive/papa-mensa/i1lt04dh-iStock-1206091360-1068x712.jpg)
[Source](https://www.businessreport.com/business/how-the-countrys-top-companies-are-handling-covid-19-response)

##### If the governments did not lockdown cities, states and countries, will company CEOs and Chairperson do that because of their workers safety?
This question came based on the fact that most businesses in china stopped operation because their workers weren’t coming to work due to quarantine placed by the government.  After the Lunar New Year, companies which includes Apple, Samsung, Google Microsoft and Tesla were unable to open due to the virus o","{""app"":""peakd/2020.03.12"",""format"":""markdown"",""tags"":[""covid-19"",""business"",""coronavirus"",""employee""],""links"":[""https://www.businessreport.com/business/how-the-countrys-top-companies-are-handling-covid-19-response"",""https://www.ifc.org/wps/wcm/connect/news_ext_content/ifc_external_corporate_site/news+and+events/news/covid-19-response""],""image"":[""https://files.peakd.com/file/peakd-hive/papa-mensa/i1lt04dh-iStock-1206091360-1068x712.jpg"",""https://files.peakd.com/file/peakd-hive/papa-mensa/xdzor6wV-corona-main-bannerSSA.jpg""]}",2020-03-26 17:51:57,COVID-19; Are Companies Concerned about Employee Safety or They had no Options but Shut Down,/hive-175254/@papa-mensa/covid-19-are-companies-concerned-about-employee-safety-or-they-had-no-options-but-shut-down,2
papa-mensa,why-saving-is-not-a-good-idea-saving-means-losing-money,Why Saving is not a Good Idea (Saving Means Losing Money),hive-175254,"As children, parents taught us how to save as they bought us piggy banks to keep a percentage of our incomes and this habit has now become a part of us in a way that a lot of us can’t do without saving money for one thing or the other. Saving isn’t a bad idea after all, you can put your emergency fund in a savings account for days when you might need a very quick emergency money to solve an urgent and emergency situation. You must have heard about this before “A penny saved is a penny gained”, if you have heard that word, I am pretty sure you heard it as a child. 



![images - 2020-05-04T163340.690.jpeg](https://cdn.steemitimages.com/DQmReUPWV9QCJyUdoknKGqJh19beXaVokx7AfFFurJN2ynC/images%20-%202020-05-04T163340.690.jpeg)
[Credit](https://imgbin.com/png/vSbxh9F6/interest-rate-money-saving-bank-png)


___
___
>*”Disclaimer: I am not a financial advisor and the content written on this post should not be taken as a financial, tax, investment or legal advice. This content is only for information and entertainmen","{""app"":""peakd/2020.04.5"",""format"":""markdown"",""tags"":[""saving"",""investment"",""inflation"",""interest"",""steemleo"",""leofinance""],""links"":[""https://imgbin.com/png/vSbxh9F6/interest-rate-money-saving-bank-png"",""https://www.investopedia.com/terms/i/inflation.asp"",""https://parkbench.com/blog/interest-rates-drop""],""image"":[""https://cdn.steemitimages.com/DQmReUPWV9QCJyUdoknKGqJh19beXaVokx7AfFFurJN2ynC/images%20-%202020-05-04T163340.690.jpeg"",""https://cdn.steemitimages.com/DQmYmgz6mcHHsDQvQm92ymPnJvmfN7Dni5cfUvnHWMWL3nW/images%20-%202020-05-04T163906.301.jpeg"",""https://cdn.steemitimages.com/DQmNdzXQY9eN4EHyJER4L8z1q7SezPFxdNVhPY2RSQnY8A7/images%20-%202020-05-04T163509.102.jpeg""]}",2020-05-04 15:42:42,Why Saving is not a Good Idea (Saving Means Losing Money),/hive-175254/@papa-mensa/why-saving-is-not-a-good-idea-saving-means-losing-money,3
papa-mensa,the-business-and-investing-life-of-billionaire-jay-z,The Business and Investing Life of Billionaire Jay-Z,hive-175254,"Shawn Corey Carter, an American rapper and singer known as Jay-Z, married to Beyoncé in 2008 was listed in Forbes as the richest music artist in the world with the Net worth of $1 billion. Unlike other artist, Jay-Z is known a rapper, songwriter, record executive, record producer, but more to it, Jay-Z is an entrepreneur, Investor and businessman. Jay-Z didn’t make a large chunk of his money from writing music and rapping but rather from investing and doing business. The 22 times Grammy award winner has said it times without number that he wants to invest and loves to invest. In this post, I will be taking you Jay-Z’s investments that made him a billionaire.


![images - 2020-05-16T202511.244.jpeg](https://cdn.steemitimages.com/DQmf1PUYKbcSvJ79BY4dmgTXinj7cJU1dqF3aaaXz8Yad1a/images%20-%202020-05-16T202511.244.jpeg)
[Credit](https://www.pinterest.com/pin/624311567077239098/)

### Jetsmarter
In the aviation and transportation industry, a mobile community that connects fliers and aircrafts just like Uber connec","{""app"":""peakd/2020.05.3"",""format"":""markdown"",""tags"":[""business"",""investment"",""jay-z"",""finance"",""net-worth"",""steemleo"",""leofinance""],""links"":[""https://www.pinterest.com/pin/624311567077239098/"",""https://www.pinterest.co.uk/amp/pin/622481979731026501/""],""image"":[""https://cdn.steemitimages.com/DQmf1PUYKbcSvJ79BY4dmgTXinj7cJU1dqF3aaaXz8Yad1a/images%20-%202020-05-16T202511.244.jpeg"",""https://cdn.steemitimages.com/DQmZjdpMjXERNhBMa4FMayvjAJH4ya3S9K2ztmfbsUmssCt/images%20-%202020-05-16T202653.818.jpeg""]}",2020-05-16 19:32:00,The Business and Investing Life of Billionaire Jay-Z,/hive-175254/@papa-mensa/the-business-and-investing-life-of-billionaire-jay-z,2
papa-mensa,regular-advancement-in-the-world-of-artificial-intelligence,REGULAR ADVANCEMENT IN THE WORLD OF ARTIFICIAL INTELLIGENCE,hive-175254,"
![sb-blog-future-of-ai.jpeg](https://cdn.steemitimages.com/DQmYq2DebLd6DaQAemZ9aWx8VSMP37DTC6mhXNMWfh1wV7x/sb-blog-future-of-ai.jpeg)


There are so many games that artificial intelligence have been able to play, completely winning and taking over the game system by playing the game efficiently hundred times better, the problem is not the A.I’s winning the games but it is the fact that the A.I was not thought how to play the game, it simply studied the game on its own and created a way to completely defeat the game in a way that no human can.

Since A.I’s seem to be getting faster and more competent than humans, what if they begin to see us as a treat and decide to eliminate us completely? Do you think they could ever think of eliminating humans?

## Various forms of Artificial Intelligence.

#### Artificial narrow intelligence.
The artificial narrow intelligence is a type of A.I that has been designed to detect speech, carry out highly delegated assignments teach itself the techniques of very complex games","{""app"":""peakd/2020.05.5"",""format"":""markdown"",""tags"":[""technology"",""artificial-intelligence"",""ai"",""machine-learning"",""steemleo""],""links"":[""https://www.springboard.com/blog/narrow-vs-general-ai/""],""image"":[""https://cdn.steemitimages.com/DQmYq2DebLd6DaQAemZ9aWx8VSMP37DTC6mhXNMWfh1wV7x/sb-blog-future-of-ai.jpeg""]}",2020-06-07 15:18:15,REGULAR ADVANCEMENT IN THE WORLD OF ARTIFICIAL INTELLIGENCE,/hive-175254/@papa-mensa/regular-advancement-in-the-world-of-artificial-intelligence,4
papa-mensa,the-pandemic-the-economy-and-unemployment-do-you-think-things-will-normalize-soon,"The Pandemic, the Economy and Unemployment - Do you think things will normalize soon?",hive-175254,"In my entire life, I do not think I have witnessed the number of unemployment that occurred during the coronavirus pandemic and the lockdown period. Although, the government has reopened a lot of states and countries and this companies are already employing again, it isn’t still back to normal in several countries. In fact, those that got employed back are being lay offed again while those who are lucky to stay got their salaries slashed. Well, I do not expect magic to happen neither do I expect people to start seeing jobs immediately since the previous economic downtime of 2008 took 6 years for the country to recover.


![unemployment-coronavirus-scaled.jpg](https://cdn.steemitimages.com/DQmYFgYcz85zhjcyvS3Jp1aRe52Bo5gpTpBurKDYZitNwPq/unemployment-coronavirus-scaled.jpg)
[Source](https://floridapolitics.com/archives/326414-a-record-6-6-million-seek-us-jobless-aid-as-layoffs-mount)


The ratio at which workers are losing their jobs currently isn’t cool enough. Not all countries are giving bailout to small co","{""app"":""peakd/2020.05.5"",""format"":""markdown"",""tags"":[""economy"",""unemployment"",""coronavirus"",""pandemic"",""layoff"",""growth"",""recession"",""leofinance""],""links"":[""https://floridapolitics.com/archives/326414-a-record-6-6-million-seek-us-jobless-aid-as-layoffs-mount"",""https://www.bridgemi.com/business-watch/depression-level-michigan-unemployment-tops-1-million-coronavirus?amp""],""image"":[""https://cdn.steemitimages.com/DQmYFgYcz85zhjcyvS3Jp1aRe52Bo5gpTpBurKDYZitNwPq/unemployment-coronavirus-scaled.jpg"",""https://cdn.steemitimages.com/DQmWRZY9HBjyfkJguG2tXorRbuAPQsSKi7qzrv8jYkD7RiB/closed-line.jpg""]}",2020-06-14 07:47:57,"The Pandemic, the Economy and Unemployment - Do you think things will normalize soon?",/hive-175254/@papa-mensa/the-pandemic-the-economy-and-unemployment-do-you-think-things-will-normalize-soon,1
papa-mensa,your-money-is-your-value-so-spend-it-right,"Your Money is your Value, so Spend it Right",hive-175254,"I only asked for $5000, how did he finish $1 million dollars? Hey, do not mind them, they are just like that. They do not know that every penny collected from you is reducing your money at hand, also you need to know that every penny of yours count, so giving people free money because they came to you with a story isn’t the right to always do in most cases, you might need to confirm charitable giving before doing them and do not give money out unknowingly.


![101913928-94989168.jpg](https://cdn.steemitimages.com/DQmPs4gn8Tbb1rBBAJWuKEHtK4HuNpkYGKwVTRPv2eucvHN/101913928-94989168.jpg)
[source](https://www.cnbc.com/amp/2014/08/12/11-companies-spending-money-to-make-money.html)


The truth is, everybody wants your money, from the producers, service providers, professionals including doctors and lawyers, even beggars aren’t excluded. Every time, we hope to go out to make more money but at each time, there is a person to take that money off from you. Do not get me wrong, I am not saying that spending money is wro","{""app"":""peakd/2020.06.2"",""format"":""markdown"",""tags"":[""finance"",""money"",""spending"",""value"",""financial-education"",""leofinance""],""links"":[""https://www.cnbc.com/amp/2014/08/12/11-companies-spending-money-to-make-money.html""],""image"":[""https://cdn.steemitimages.com/DQmPs4gn8Tbb1rBBAJWuKEHtK4HuNpkYGKwVTRPv2eucvHN/101913928-94989168.jpg""]}",2020-06-29 07:21:39,"Your Money is your Value, so Spend it Right",/hive-175254/@papa-mensa/your-money-is-your-value-so-spend-it-right,5
papa-mensa,the-right-traits-needed-to-run-a-business-successfully,The right traits needed to run a business successfully,hive-175254,"You may be going into business and you are just so nervous about what the business is going to bring to the table for you, you are just completely hopeless about what you may have to do. Alright just calm down, it is not as if I am an expert in any way but I sure do know of certain traits you have to possess as the CEO of your company, maybe just like me, the name CEO rings a bell that speaks of volumes of responsibilities and it gets you scared but just chill a little bit, it is a role filled with responsibilities yes but you can run it properly without any issue (just trust yourself).


![getty_455646977_9705829704500107_51738.jpg](https://cdn.steemitimages.com/DQmWRQ8GgBe4DyDBYnick7p9u1AdrLiE5RixW5Au4XtDEke/getty_455646977_9705829704500107_51738.jpg)
[Credit](https://www.inc.com/entrepreneurs-organization/how-to-grow-a-business-that-runs-without-you.html)


##### Take Suggestions from Team Members.
Just like you were thinking yes it is a whole lot of responsibility to become a CEO, it goes beyond just bei","{""app"":""peakd/2020.07.4"",""format"":""markdown"",""tags"":[""business"",""trait"",""character"",""business-ethics"",""business-growth"",""leofinance""],""links"":[""https://www.inc.com/entrepreneurs-organization/how-to-grow-a-business-that-runs-without-you.html""],""image"":[""https://cdn.steemitimages.com/DQmWRQ8GgBe4DyDBYnick7p9u1AdrLiE5RixW5Au4XtDEke/getty_455646977_9705829704500107_51738.jpg""]}",2020-08-04 05:13:42,The right traits needed to run a business successfully,/hive-175254/@papa-mensa/the-right-traits-needed-to-run-a-business-successfully,0
papa-mensa,the-economic-importance-of-investment-banks,The Economic Importance of Investment Banks,hive-175254,"We are all used to hearing about commercial banks, there are commercial banks everywhere we turn to but investment bank does not seem to appear in every region and it is not so popular like the commercial banks but these investment banks makes loads of money, so how come we never really hear about them all the time? I don’t have any idea too.

![fintech-640-1554752880.jpg](https://cdn.steemitimages.com/DQmT1XD5QNnb32TPN2CwMBL5GA6E5s2zJJ8FVWAmfvFW832/fintech-640-1554752880.jpg)
[Credit](https://www.gfmag.com/magazine/april-2019/worlds-best-investment-banks-2019-financial-technology)



Investment banking started out after the Second World War and it was a bank created to loan the government some money to complete high projects. Investment banking still does the same up till now it only does not give loan to only government bodies alone but it gives loan to big companies, start-ups who want to start big and other high level companies who are interested in making it large.

What actually differentiates commerci","{""app"":""peakd/2020.08.1"",""format"":""markdown"",""tags"":[""banking"",""investment"",""finance"",""investment-bank"",""leofinance""],""links"":[""https://www.gfmag.com/magazine/april-2019/worlds-best-investment-banks-2019-financial-technology""],""image"":[""https://cdn.steemitimages.com/DQmT1XD5QNnb32TPN2CwMBL5GA6E5s2zJJ8FVWAmfvFW832/fintech-640-1554752880.jpg""]}",2020-08-08 19:47:51,The Economic Importance of Investment Banks,/hive-175254/@papa-mensa/the-economic-importance-of-investment-banks,2
papa-mensa,comprehensive-explanation-on-how-to-handle-personal-finance,Comprehensive Explanation on how to Handle Personal Finance,hive-175254,"Managing finance to create wealth can be something very cumbersome for a lot of people as there is always a point of conflict between how and when to utilize money as people have to pick choices of where to spend their finance and there have to be an opportunity cost. Either to invest or pay debt, either to pay for education of buy cloths, either to pay for utility or ask for a raise in salary. There are a lot of people who do not know what or how to handle their finance. The problem most lottery winners have is they do not know how to utilize their funds when they first get it. So I will be talking about finance today in full, so let’s get started.



![433515-637286182889337110-16x9.jpg](https://cdn.steemitimages.com/DQmXYRhXbN4njP18H3bemdnBmHm1vd5wN6nCCjBrkhbekEZ/433515-637286182889337110-16x9.jpg)
[Source](https://www.lynda.com/Business-Skills-tutorials/Personal-Finance-Tips-Tricks/433515-2.html)



#### Income and Expenses
The first thing you need to do with finance is first get a presumed amount that w","{""app"":""peakd/2020.10.8"",""format"":""markdown"",""tags"":[""finance"",""money"",""investing"",""leofinance"",""liability"",""asset"",""saving"",""budget"",""expenses"",""income""],""links"":[""https://www.lynda.com/Business-Skills-tutorials/Personal-Finance-Tips-Tricks/433515-2.html""],""image"":[""https://cdn.steemitimages.com/DQmXYRhXbN4njP18H3bemdnBmHm1vd5wN6nCCjBrkhbekEZ/433515-637286182889337110-16x9.jpg""]}",2020-10-25 21:01:45,Comprehensive Explanation on how to Handle Personal Finance,/hive-175254/@papa-mensa/comprehensive-explanation-on-how-to-handle-personal-finance,4
papa-mensa,land-investing-secrets-to-make-more-money,LAND INVESTING SECRETS TO MAKE MORE MONEY. ,hive-175254,"Thousands of people understand that land investment is a very good way to make some extra funds, land is one of the few investment that promises to always increase in value when compared to stock investment and some other investment options. Investing in landed properties is a very sure way of making those extra funds but the problem is that a lot of people just like me are not very sure of the way to go about the investment process that will make it bring profit for us.

I
![images - 2020-12-16T234112.400.jpeg](https://cdn.steemitimages.com/DQmTCJsauAmygBHT3LGPEDKwaRoqT1byBe8RRVroCMfDvr8/images%20-%202020-12-16T234112.400.jpeg)

[Image link](https://invoice.ng/blog/start-real-estate-business-nigeria/)

Before you go on to begin to consider land as a method to invest, you must start by understanding the regulations associated with owning landing properties in the country where you reside. These regulations will help you understand the calculations that has to be done on the land before you consider it as a p","{""app"":""peakd/2020.11.4"",""format"":""markdown"",""tags"":[""investment"",""land"",""money"",""leofinance""],""links"":[""https://invoice.ng/blog/start-real-estate-business-nigeria/"",""https://www.google.com/amp/s/therealdeal.com/national/2019/08/15/real-estate-stocks-rally-despite-recession-fears/amp/"",""https://jj-corriger.com/real-estate-investing-and-how-you-can-get-into-it/""],""image"":[""https://cdn.steemitimages.com/DQmTCJsauAmygBHT3LGPEDKwaRoqT1byBe8RRVroCMfDvr8/images%20-%202020-12-16T234112.400.jpeg"",""https://cdn.steemitimages.com/DQmdytjFmugcqMBzaAPT6D6uPnMgap8dGfGoHscs5LsqWgy/images%20-%202020-12-16T234221.108.jpeg"",""https://cdn.steemitimages.com/DQmSFtgGE1mTinBBsV5rmskFYTcavx3zsLnk28FzrifD6ye/images%20-%202020-12-16T234327.950.jpeg""]}",2020-12-16 22:45:57,LAND INVESTING SECRETS TO MAKE MORE MONEY. ,/hive-175254/@papa-mensa/land-investing-secrets-to-make-more-money,1
papa-mensa,attractive-ways-to-self-investment,Attractive ways to self-investment. ,hive-175254,"As often as investment in physical asset has become a great necessity, investment in self is also of a very great and important necessity but the reality of this situation lies in the fact that a good number of us do not consider the importance of investing in ourselves. Every atom of success that we are going to record in our lives is seriously associated with how well are able to consider self- investment.


![Prepare for homeownership - save for down payment faster.jpg](https://cdn.steemitimages.com/DQmdxcDhtZe3bJncBk6zazZLQjuEet4ZoBMfiBPwe4RySuA/Prepare%20for%20homeownership%20-%20save%20for%20down%20payment%20faster.jpg)

[Image Credit](https://www.dreamstime.com/photos-images/self-investment.html)


Even if we cannot deny the fact that some people were born with great performing abilities, we must also know that these people became the best at what they did because they took their time to work on gaining perfectionism, there is no success except we dare to train and prepare our minds to work towards pe","{""app"":""peakd/2020.12.3"",""format"":""markdown"",""tags"":[""investment"",""attitude"",""life"",""time"",""leofinance""],""links"":[""https://www.dreamstime.com/photos-images/self-investment.html"",""https://worldfinancialreview.com/investment-for-beginners-where-should-you-place-your-money-for-maximum-profit/""],""image"":[""https://cdn.steemitimages.com/DQmdxcDhtZe3bJncBk6zazZLQjuEet4ZoBMfiBPwe4RySuA/Prepare%20for%20homeownership%20-%20save%20for%20down%20payment%20faster.jpg"",""https://cdn.steemitimages.com/DQmdP3KMstQ11y6wNJG69QqMR5QHbCxLV2wCAXPV4oSFivM/images%20-%202020-12-20T234747.696.jpeg""]}",2020-12-21 00:20:09,Attractive ways to self-investment. ,/hive-175254/@papa-mensa/attractive-ways-to-self-investment,5
papa-mensa,elon-musk-and-steve-jobs-who-is-more-innovative,Elon Musk and Steve Jobs; Who is More Innovative,hive-175254,"Tesla has been able to bring a change to the world of vehicles just the same way Apple made a great change to the mobile phone industry. Electric Vehicle or EV as it called has been a great move towards having a better climate as well as help to solve the climatic problems in the world. Tesla’s Elon Musk has been compared with a lot of people and one major person is Steve Jobs. Truthfully, the both parties revolutionized their industries with Steve Jobs revolutionizing the way people operated their phone instead of using Keyboard.

https://www.influencive.com/wp-content/uploads/2017/04/ST-EM.jpg
[source](https://images.app.goo.gl/sbkNZdiS9bDYA85q6)

The both innovators are great but according to Bill Gates, you can’t confuse Elon Musk for Steve Jobs as he said that Jobs was able to select good team members, sales person and so on. Bill gates having a strong influence in the market say the Tesla stocks may be overpriced but for others, this is not the same.

The two kings are the most impressive when it comes","{""app"":""peakd/2020.12.3"",""format"":""markdown"",""tags"":[""innovation"",""iphone"",""steve-jobs"",""elon-musk"",""tesla""],""links"":[""https://images.app.goo.gl/sbkNZdiS9bDYA85q6""],""image"":[""https://www.influencive.com/wp-content/uploads/2017/04/ST-EM.jpg""]}",2020-12-28 08:17:15,Elon Musk and Steve Jobs; Who is More Innovative,/hive-175254/@papa-mensa/elon-musk-and-steve-jobs-who-is-more-innovative,5
