author,permlink,title,category,body,json_metadata,created,root_title,url,children
skryptorium,litwa-obyczaje-i-zwyczaje-pogrzeby-cz-i,"""Litwa - obyczaje i zwyczaje"": Pogrzeby (cz. I)",polish,"![02220v.jpg](https://cdn.steemitimages.com/DQmQFTwC7TdoqokMegjiJTDuyjiDv1x6Js4UN73YouCyc4x/02220v.jpg)

Opisanie starożytnych pogrzebów ludów szczepu litewskiego, znajdujemy u naszych kronikarzy mianowicie u Stryjkowskiego, podług którego i R. Wł. Wojcicki w swoich Badaniach starożytności sławiańskich, skreślił obraz dawnych pogrzebów Litwy Żmudzi i Prus 141), który tu umieszczamy.

""Jak wszyscy Sławianie tak i narody Litewskie, Żmudzkie i Prusskie 142), wierzyły w nieśmiertelność duszy. Wyobraźnia ich żywo uderzona stratą boleśną, poddawała się rozlicznym złudzeniom, w przekonaniu, że bogowie nie mogą być tak nielitościwi, aby zabiérając człowieka z łona przyjaciół i krewnych, nie dozwolali mu w pewnych czasach powracać na ziemię 143). Poznawali także, że życie jego u bogów, na roskosznych górach i dolinach nieskończenie trwałem być musi, lecz to wyobrażenie wieczności, nie inny stan każdemu naznaczało , jak tylko ten, w jakim go na ziemi umieścili bogowie. Stąd wierzyli, iż jako kto był szlachcicem albo c","{""community"":""steempeak"",""app"":""steempeak/1.7.2b"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""reakcja"",""pl-artykuly"",""pl-historia""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-vi"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQmQFTwC7TdoqokMegjiJTDuyjiDv1x6Js4UN73YouCyc4x/02220v.jpg""]}",2019-02-12 15:08:21,"""Litwa - obyczaje i zwyczaje"": Pogrzeby (cz. I)",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-pogrzeby-cz-i,0
skryptorium,litwa-obyczaje-i-zwyczaje-wesele-cz-vi,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. VI)",polish,"![02218v.jpg](https://cdn.steemitimages.com/DQmZbVPXJuK4fxPr2Pu9UGUCEPEPMjFD6LXS8mb7qRRwZP5/02218v.jpg)

W domu rodziców młodego, po skończonej uczcie wieczorem, tryumfalnie prowadzą nowożeńców do łożnicy, która się urządza na Żmudzi, w Prussach i wiłkomiérskim powiecie, w świronku, a w innych częściach Litwy, w stodole.

Nazajutrz, matka nowożeńca, swacia i kilka podżyłych niewiast idą do młodych niosąc im po szklance krupniku 187), i robią rewizyję, śledząc na prześcieradle hieroglifów poczciwości panny młodej. Poczém następują pochwały lub nagany synowej (marteli), a swatowi podziękowanie albo chomąt na szyję. Zwyczaj ten, dziś gdzie niegdzie się tylko zachowuje.

W kilka dni, przyjeżdżają rodzice młodej, na spotkanie których wychodzi córka, śpiewając:

Oj matusz' matusz', matuszi muna,
Tajp łabaj tolij mani nudawéj,
Taj łabaj szaunes moszeles radau,
Taj łabaj ruszcze anite gawau.
Szandis muna kuju żinksnelus,
Szandis muna ranku darbelus.
Siunti mani aniteli,
Żimužes sziena, wasaras sniga,
O kur tu ejsi m","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja"",""pl-artykuly""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-kukulka-gieguzie"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-v"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQmZbVPXJuK4fxPr2Pu9UGUCEPEPMjFD6LXS8mb7qRRwZP5/02218v.jpg""]}",2019-01-25 08:20:06,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. VI)",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-vi,0
skryptorium,litwa-obyczaje-i-zwyczaje-wesele-cz-v,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. V)",polish,"![02216v.jpg](https://cdn.steemitimages.com/DQmWUVysE6LZpDXgnCgFQ9pJj1LaPa533YLuqMxfhxEpXAP/02216v.jpg)

Młody z młodą siadają na jednym wozie, razem ze swacią okrywają się ogromném prześcieradłem; czynią to dla tego aby jaki czarownik im nie zaszkodził.

Wyjeżdżając przez wróta śpiewają:

Ko ludi seseli, ko ludi ?
Ko ludi lelijeli, ko ludi?
Tu użangaj pas matuszesz,
Krowéj krajteli tarp seselu,
Ko ludi?

Młoda

To ludźiu sesereli, to ludźiu,
To ludźiu lelijeli, to ludźiu;
Szalin wara muni jauna,
Szalin weża muna krajteli,
To ludźiu!

po polsku

Czego się smucisz siostrzyczko, czego się smucisz?
Czego się smucisz lilijko, czego się smucisz?
Ty wyrosłaś u matki,
Składałaś płótno między siostrami,
Czego się smucisz?

Tego się smucę siostrzyczko, tego się smucę,
Tego się smucę lilijko, tego się smucę,
Precz pędzą mnie młodą,
Precz wiozą moję ruchomość,
Tego się smucę!

W drodze śpiewają pieśń następną:

Oj tu opineli,
Żalus puroneli,
Kol wienas buwaj,
Wajdużiu ne daréj.

O kajp tu priligaj,
Grinusius miżelus,
T","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja"",""pl-artykuly""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-iv"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQmWUVysE6LZpDXgnCgFQ9pJj1LaPa533YLuqMxfhxEpXAP/02216v.jpg""]}",2019-01-14 09:10:45,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. V)",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-v,3
skryptorium,litwa-obyczaje-i-zwyczaje-wesele-cz-iv," ""Litwa - obyczaje i zwyczaje"": Wesele (cz. IV)",polish,"![02219v.jpg](https://cdn.steemitimages.com/DQma74KUazsy5yEyabcP6UpKi3kjtnBFEaY8g5RAAN7jaVq/02219v.jpg)

Nazajutrz nowopoślubiona para wyjeżdża do domu pana młodego i zabiera z sobą całą ruchomość młodej, zamkniętą w kufrach lub kubłach zwanych wożtuwéj 132). Biorąc z domu ruchomość, krewni niby jéj bronią, i za to nowozamężna musi ich opłacać podarunkami. Przed samym wyjazdem młoda usiada na progu i płacze, czasem prawdziwie, czasem udając tylko, a kobiety śpiewają:

Ko siedi seseli, ko rimaj?
Ko ludi jaunoi, ko rimaj?
Ar ne tawa jaunas dineles?
Ar ne tawa rutu wajnikielis?

po polsku

Czego siedzisz siostrzyczko, czego płaczesz?
Czego się smucisz młoda! czego płaczesz?
Czyż nie twoje młode dni?
Czy nie twój ruciany wianeczek?

Młoda (odpowiada)

Jejb yr muna jaunas dineles,
Jejb yr muna rutu wajnikielis,
Gajłu wuna szirdeléj, gajłu,
Gajłu muna matusze palikti.

po polsku.

Choć i moje młode dni,
Choć i mój ruciany wianek,
Żal mi w sercu, żal,
żal mojej matki zostawić 133).

Kobiety

Ko siedi seseli, ko rim","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja"",""pl-artykuly""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-iii"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQma74KUazsy5yEyabcP6UpKi3kjtnBFEaY8g5RAAN7jaVq/02219v.jpg""]}",2019-01-12 08:09:54," ""Litwa - obyczaje i zwyczaje"": Wesele (cz. IV)",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-iv,0
skryptorium,litwa-obyczaje-i-zwyczaje-wesele-cz-iii,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. III)",polish,"<center>![02227v.jpg](https://cdn.steemitimages.com/DQmWo1g9GbW9KZRgoJ1y1F4Yk8czUzxdQzHjLGkFUZPmevn/02227v.jpg)</center>

Po zdjęciu wianka wprowadzają nowozamężną do chałupy i sadzają ją za osóbnym stołem. Tu okrążają młodą drużki i powoli rosplatają jej warkocze, a ona żałobliwie śpiewa:

Dukriteli muna, 
Lelijeli muna.
Ejk yi rutu darżełajti.

Ten tu pasiskinsi,
Ten tu nusipinsi,
Żalu rutu wajnikieli.

Wanikieli muna,
Żalukieli muna,
Niera tawes ant galweles.

Nuims wajnikieli,
Użdies gaptureli 129)
Sunumeli ant galweles.

Sunkumas galweles,
Sunkumas szirdeles,
Yr wisokij rupesteléj.

Wajnikielis muna,
Żalukielis muma,
Lengwumelis ant galweles.

Lengwunas galweles,
Linkswumas szirdeles,
Nier niejokia rupestele.

po polsku

Córeczko moja,
Lilijko moja, 
Idź do ruciannego ogródka:

Tam ty sobie uszczkniesz,
Tam sobie spleciesz,
Zielonych rutek wianeczek.

Wianeczku mój,
Zielony mój,
Nie ma ciebie już na głowie.

Zdejmą wianeczek,
Włożą czapeczkę,
Ciężar na główkę.

Ciężar główki,
Smutek serca,
I wszelkie kł","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja"",""pl-artykuly""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-ii"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQmWo1g9GbW9KZRgoJ1y1F4Yk8czUzxdQzHjLGkFUZPmevn/02227v.jpg""]}",2018-12-30 21:32:39,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. III)",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-iii,0
skryptorium,litwa-obyczaje-i-zwyczaje-wesele-cz-ii,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. II)",polish,"<center>![02228v.jpg](https://cdn.steemitimages.com/DQmXtQNfEqrxcSJ4wAYtFU2cKbAJvFe4WDsfY4QCoJUSBsw/02228v.jpg)</center>

Drzwi się otwierają i przy śpiewie:

Diekawojem Diewuj,
Ażu swetelus;
Isz dungaus atnesztus,
Mumis palinksmintus.

po polsku:

Dziękujemy Bogu,
Za gości;
Z nieba przyniesionych
Nam na radość.

Cała drużyna wchodzi do chaty. Młodzian kłania się wszystkim niziuchno i od każdego odbiera błogosławieństwo, nareszcie z całą swoją drużyną, siada za stołem. Po niejakiej chwili wprowadzają drużki dziéwkę ubraną jak do ślubu, która kłania się naprzód rodzicom, a potém wszystkim znajdującym się w chałupie, nakoniec idzie koleją około siedzącej młodzieży przybyłej z młodym, kłania się każdemu i daje w podarunku chusteczkę, swatowi zaś i grajkowi ręczniki. Młodemu ani kłania się, ani go podarunkiem obdarza. Po czém siada przy narzeczonym po prawicy, a za nią mieszczą się za stołem drużki. Narzeczona prócz drużek, ze swojej strony powinna mieć kilku chłopaków do assystencyi ślubnej i kobietę zamężną zw","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja"",""pl-artykuly""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-i"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQmXtQNfEqrxcSJ4wAYtFU2cKbAJvFe4WDsfY4QCoJUSBsw/02228v.jpg""]}",2018-12-16 21:26:12,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. II)",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-ii,0
skryptorium,litwa-obyczaje-i-zwyczaje-wesele-cz-i,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. I)",polish,"<center>![02224v.jpg](https://cdn.steemitimages.com/DQmfRm6cet5sznwxcMqJFNxvRUnR1a2M5hk6UgeoRj6AeCr/02224v.jpg)</center>

W dniu przed ślubem, wieczorem, zbierają się sąsiedzi i krewni, tak do domu młodziana, jako też i dziéwki, Młodzian przybiera sobie kilku towarzyszów, zwanych w tym razie drużbą, których najmniej powinno być czterech, a najwięcej dwódziestu. Sadza ich za stół, i nareszcie, ukłoniwszy się niziutko swoim rodzicom i odebrawszy od nich błogosławieństwo, sam na pierwszem miejscu zasiada. Cokolwiek zabawiwszy i wypróżniwszy kilka kieliszków krupniku, cały orszak powstaje, znowu młodzian odbiera błogosławieństwo rodziców, nareszcie, w towarzystwie swatu, który natenczas przybiéra miano marszałka, grajka i młodzieży, wyjeżdża do domu rodziców dziewki. Czasem przed wyjazdem, którykolwiek z przytomnych starców ma do młodego oracyję.

Zimową porą młodzież jeździ saneczkami, a latem na koniach, które zdobią pawiemi piórami i rozmaitemi kwiatami, oraz przywiązują dotręźli mnóstwo małych dzwonków. Po p","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja"",""pl-artykuly""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-zaloty-i-zareczyny-cz-ii"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQmfRm6cet5sznwxcMqJFNxvRUnR1a2M5hk6UgeoRj6AeCr/02224v.jpg""]}",2018-12-11 12:13:48,"""Litwa - obyczaje i zwyczaje"": Wesele (cz. I)",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-wesele-cz-i,1
skryptorium,litwa-obyczaje-i-zwyczaje-zaloty-i-zareczyny-cz-ii,"""Litwa - obyczaje i zwyczaje"": Zaloty i Zaręczyny (cz. II)",polish,"![02223v.jpg](https://cdn.steemitimages.com/DQmdw96Kt39gDN9oWKLA6unGaivwSF4SbEru9bJZnvQvdrG/02223v.jpg)

Po upłynieniu dni kilku, przyjeżdża swat z młodzianem i kilku chłopakami, towarzyszami młodego. Wjechawszy na dziedziniec nie zsiadając z koni, piją przywiezioną z sobą gorzałkę i śpiewają:

Kad asz jojau par łaukieli,
Ir par żalany gojeli,
Pro sidabra żiogreli,
Pro rutelu darżeli.

I kimeli ijodamas,
Biera żirga szankindamas,
Pentinelejs spausdamas,
Łaużtineles tempdamas.

Eju matuszi yi swyrneli,
Nesz marganjy kieliszkieli;
Praszau sweti yi swyrneli,
Ten mes pasiregiesme.

I swyrneli iejdamas,
Tetuszeli swejkindamas:
Ar mun lejsi dukrele,
Szi miła rudineli?

Tetuszelis pażadeja,
Matuszele parkałbeja,
Szitaj dukres skrineli,
Ir szi sziłkun barweli.

Eju mergiti parkimeli,
Eju jaunoi yi darżeli,
Dureles daridama,
Pri rutelu ejdama:

Kad asz siejau linksma buwau,
Kad rawejau dar linksmesni,
O nuludau skindama,
Graudéj werkian pindama 121).

po polsku.

Gdy jechałem przez pole,
I przez gaj zielony,
Przez sr","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja"",""pl-artykuly""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-zaloty-i-zareczyny"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQmdw96Kt39gDN9oWKLA6unGaivwSF4SbEru9bJZnvQvdrG/02223v.jpg""]}",2018-11-25 12:43:51,"""Litwa - obyczaje i zwyczaje"": Zaloty i Zaręczyny (cz. II)",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-zaloty-i-zareczyny-cz-ii,0
skryptorium,litwa-obyczaje-i-zwyczaje-zaloty-i-zareczyny,"""Litwa - obyczaje i zwyczaje"": Zaloty i Zaręczyny (cz. I)",polish,"![02221v.jpg](https://cdn.steemitimages.com/DQmY7Yt2dbkgGVdWbd8Y2KdH8Jq4RS7C2dmGKU1LDcX3YRJ/02221v.jpg)

Rzadko kiedy w Litwie, wyjmując Żmudź, i Prussy, para mająca wejść w dożywotnie związki słucha popędu serca, lecz najczęściej łączy się dla interesu. Często się nawet zdarza, iż mąż przed ślubem nigdy swojej żony nie widzi. Jeśli gdzie jest miłość między dziewką i chłopakiem, ta się dość obojętnie okazuje. Uderzenie mocne, (ma się rozumieć żartem) po karku podczas gier i zabaw, traktowanie w szynku wódką, są to pospolicie oznaki miłośne. Nie ma prawie przykładu prócz Żmudzkiej prowincyi 119), żeby ta miłość jakimkolwiek trafem zerwana, sprawiła smutne wypadki. Znoszą swój los obie strony cierpliwie w milczeniu. Lecz jeżeli pomiędzy kochającymi się zajdą ściślejsze związki przed ślubem i okażą się ich skutki; natenczas rozłączenie jest niepodobném i przymus pociąga za sobą najsmutniejsze wypadki. Obojętność litewskich wieśniaków w miłości, najwięcej pochodzi z przesądu, gdyż miłujący się sądzą być siebie w","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja"",""pl-artykuly""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-urodziny-i-chrzciny"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-zaloty-i-zareczyny-cz-ii"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQmY7Yt2dbkgGVdWbd8Y2KdH8Jq4RS7C2dmGKU1LDcX3YRJ/02221v.jpg""]}",2018-11-23 00:23:27,"""Litwa - obyczaje i zwyczaje"": Zaloty i Zaręczyny (cz. I)",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-zaloty-i-zareczyny,0
skryptorium,litwa-obyczaje-i-zwyczaje-urodziny-i-chrzciny,"""Litwa - obyczaje i zwyczaje"": Urodziny i Chrzciny",polish,"<center>![02216v.jpg](https://cdn.steemitimages.com/DQmWUVysE6LZpDXgnCgFQ9pJj1LaPa533YLuqMxfhxEpXAP/02216v.jpg)</center>

O obrzędach chrzcin i urodzin, zachowywanych w starożytności, żadnych nie znajdujemy śladów u Kronikarzy, tu więc teraźniejsze tylko skréślimy.

Skoro się dziecię urodzi, natychmiast babiąca umywa go w jak najchłodniejszej wodzie, i to się zowie obmycie w pocie Łaumy, prausimas Łaumies prakajte 116). Potém spowija, i zrobiwszy znak Krzyża Świętego, oddaje na ręce matce.

Nazajutrz, a najczęściej tego jeszcze samego dnia, ojciec dziecięcia, prosi kmotrów, czyli kumów, i z nowonarodzonem, zaraz wysyła do parafijalnego kościoła dla ochrzczenia. Nim z kościoła powrócą; rodzice dziecięcia , zapraszają krewnych, przyjaciół i sąsiadów na ucztę, która pospolicie z małym odbywa się kosztem. Każdy przychodzący gospodarz przynosi z sobą pół garńca, czasem i garniec wódki, a kobieta jajęcznicę i bułki z twarogiem w maśle smażone. Ktokolwiek przyjdzie z nieżonatych na ucztę i nie da kilku groszy babią","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-tradycja"",""pl-historia"",""reakcja"",""pl-artykuly""],""users"":[""skryptorium""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-lauma-lajma"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-kamienie-litewskich-bogin"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-jezdzenie-z-wodka-kuczawimas"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-zaloty-i-zareczyny"",""https://steemit.com/polish/@skryptorium/skryptorium-kilka-slow-o-projekcie""],""image"":[""https://cdn.steemitimages.com/DQmWUVysE6LZpDXgnCgFQ9pJj1LaPa533YLuqMxfhxEpXAP/02216v.jpg""]}",2018-09-18 02:05:39,"""Litwa - obyczaje i zwyczaje"": Urodziny i Chrzciny",/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-urodziny-i-chrzciny,1
