author,permlink,title,category,body,json_metadata,created,root_title,url,children
steaks,the-greedy-man-s-wife-14,The Greedy Man's Wife-14,story,"She is beautiful, Father, Ezda said.
No, she is not. You got your beauty from me and not her. I am the one who has cleared her to be like this otherwise she was a pig when I married her.

See who is talking, Omoh fired back. Do you spend your money on anyone except yourself?
Enough, Ezda said. You are not supposed to be fighting in the presence of your child.

Anyway, Aigbon waved it off. Prince Edimo wants to marry you. You see, getting married to the Prince will make you become a Queen when he finally becomes a King. He poured himself another guard of palm wine.

What do you think about him?
Ezda shrugged. He is okay, she said","{""tags"":[""story"",""nigeria"",""greed"",""africa"",""writing""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-27 18:22:15,The Greedy Man's Wife-14,/story/@steaks/the-greedy-man-s-wife-14,1
steaks,the-greedy-man-s-wife-22,The Greedy Man's Wife-22,story,"I am truly flattered that the palace has noticed the shining beauty of my lovely daughter and your son has developed an interest in her. But still, I want to take my time to ponder on it. It's my daughter's future we are talking about here.
But still, I want to talk my time to ponder on it.
 It's my daughter's future we are talking about here, Aigbon said.
He probably had forgotten that the King was an impatient and a no-nonsense person even though very friendly. Those who knew King Efa were aware of his temperament and that he said angry words when he lost his temper.
Aigbon, I do not have time for this attitude of yours. 
Yes, your daughter is very beautiful and it had been your object of pride.","{""tags"":[""story"",""greed"",""africa"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-07 21:57:24,The Greedy Man's Wife-22,/story/@steaks/the-greedy-man-s-wife-22,0
steaks,the-greedy-man-s-wife-21,The Greedy Man's Wife-21,story,"Oh, I see that is why the King is here. I am highly honoured, he said.
So now that you remember, what have you come up with, Aigbon? the King said.

To tell you the truth, I only listened to the queen because she's the queen but I did not think about it because I felt the proper proposition had not been done, Aigbon said.

The arrogance of Aigbon was getting to the queen and it infuriated her, had it been that it was her son who wanted to marry his daughter, she would have caused a stir by putting him in a proper place.

He even excuded so much disregards for the throne simply because he was the father of the girl they had come for.
The King noted Aigbon's attitude. Aigbon, I have left palace business to be here, I would not like you to waste my time. My Son wants to marry your daughter; that makes her the queen when I pass on to join my ancestors, I want a response from you.","{""tags"":[""story"",""greed"",""marriage"",""royalty"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-06 21:35:57,The Greedy Man's Wife-21,/story/@steaks/the-greedy-man-s-wife-21,0
steaks,the-greedy-man-s-wife-20,The Greedy Man's Wife-20,greed,"Aigbon was quiet for a moment a he looked at them from one to another. I m not sure I remember, he said mischievously. But we were here last week, the queen who had quickly developed a dislike for Aigbon said.

Yes, I recall that you were here but I am sorry, my memory is not too good. I truly do not remember what we discussed, Aigbon said.
It was obvious that the timber merchant was being mischevious and it irked the queen albeit silently.

We came in respect of my intention to marry your daughter and you asked us to come back today, you said you needed to think about it, Prince Edimo offered.
Aigbon smiled. Ah-ha! I recall that and I also said it was the father that those the position.","{""tags"":[""greed"",""royalty"",""marriage"",""nigeria"",""africa""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-05 20:17:45,The Greedy Man's Wife-20,/greed/@steaks/the-greedy-man-s-wife-20,0
steaks,the-greedy-man-s-wife-19,The Greedy Man's Wife-19,story,"And the truth is, it doesn't matter who brings the kola, weather Aigbon or the visitor, he roared in laughter.
True the King had heard of it many times and had laughed at the awkwardness of it all. His wife had told him of it only last week when she made his first visit.

Kola is offered to welcome and it is accepted for being welcomed. Your words of welcome are enough kola to us, the King said.
Aigbon chuckled. People may say this Aigbon is a stingy man but it is only a thing of principle. I have made not giving kola in my house a way of life so as to wade off unnecessary vultures who only visit to fill their stomach, Aigbon said.

The King was not interested in his story, he cleared his troat. I am sure that you already know why we are here. The King said.","{""tags"":[""story"",""greed"",""africa"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-03 19:05:09,The Greedy Man's Wife-19,/story/@steaks/the-greedy-man-s-wife-19,3
steaks,the-greedy-man-s-wife-18,The Greedy Man's Wife-18,story,"The great merchant of timber. I salute you, the amiable King said, waving his horsetail over him. Aigbon offered him a special chair to sit upon, he gave the prince and his mother chairs as well, this time around, they came with more servants who carried more gifts.

Aigbon called his family to greet the family. Omoh and Ezda came to greet them. Afterwards Augbon signalled to them to return inside and they did.
So, dear and great King, I welcome you to my home once again. It is true our people say he who brings kola brings life.

But I also know you must have heard that Aigbon doesn't offer kolanut in his house. It is true but that nothingless, I bring life, Aigbon said with a jocular edge.","{""tags"":[""story"",""marriage"",""nigeria"",""pride"",""royalty""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-02 22:28:57,The Greedy Man's Wife-18,/story/@steaks/the-greedy-man-s-wife-18,0
steaks,the-greedy-man-s-wife-17,The Greedy Man's Wife-17,greed,"His wife hissed. May the heavens have mercy on you. They took the items in and Aigbon rose to attend to Okie.
You returned rather too soon, he said.
I saw the queen and her Son returning to the palace so I assumed that you are through with them he said.

Aigbon engaged him in the business transaction that had brought Okie to Ugbo, the purchase of timber.
A week later, the visit was repeated with the King in attendance. I feel so honoured by the visit f my King to my humble house. What won't the superlative beauty of my daughter bring? Your highness, I greet you and I welcome you to my humble home. Aigbon said","{""tags"":[""greed"",""love"",""marriage"",""life"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-31 18:13:30,The Greedy Man's Wife-17,/greed/@steaks/the-greedy-man-s-wife-17,0
steaks,the-greedy-man-s-wife-16,The Greedy Man's Wife-16,story,"What kind of advice is this? his wife challenged.
Come on shut up! what do you know? he scoweled at her and he returned hi face to Ezda.
You have to be very smart and sharp as well. You must always remember us your parents.
You have to tell your husband to get gifts to me every week. He will do that because your beauty is too great to be taken for granted, Aigbon said.
Just then Okie returned. Aigbon rushed on his drink and he asked his daughter to take in the gifts and keg of palm wine as well.
Because I don't trust the eyes of this man; he looks hungry and he may be thinking he will get anything to eat here, he mumbled beneath his breadth, audible enough for his wife nd his daughter to hear.","{""tags"":[""story"",""greed"",""nigeria"",""africa""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-30 21:59:30,The Greedy Man's Wife-16,/story/@steaks/the-greedy-man-s-wife-16,0
steaks,the-greedy-man-s-wife-15,The Greedy Man's Wife-15,story,"He is okay, just okay, come on Ezda, he is handsome, he is rich, he is a prince, he is the next heir to the throne. Aigbon listed on.
Are you finally accepting somebody? Omoh asked.
Yes, I think Prince Edimo is right for her but I want him to bring me plenty of gifts before I lt him marry her. Aigbon said.

Is that what you really want? Ezda asked.
Of course, he is rich, let me enjoy his family's wealth and when you get to the palace, I want you to be very firm, do not allow him marry another wife after you and make sure you make demands for everything that will make you live comfortable and happy.","{""tags"":[""story"",""greed"",""love"",""royalty"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-28 21:26:00,The Greedy Man's Wife-15,/story/@steaks/the-greedy-man-s-wife-15,0
steaks,the-greedy-man-s-wife-13,The Greedy Man's Wife-13,story,"She is beautiful, Father, Ezda said. No, she is not. You got your beauty from me not her. I am the one who has cleaned her to be like this otherwise she was a pig when I married her.

She who is talking, Omoh fired back. Do you spend your money on anyone except yourself?
Enough, Ezda said. You are not supposed to be fighting in the presence of your child.

Anyway, Aigbon waved it off. Prince Edimo wants to marry you. You see, marrying him will surely make you the queen when he becomes the King. He poured himsel nother gourd of palm-wine.
What do you think about him?

Ezda shrugged. He is okay. She said.","{""tags"":[""story"",""nigeria"",""blog"",""greed""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-26 18:59:36,The Greedy Man's Wife-13,/story/@steaks/the-greedy-man-s-wife-13,1
steaks,the-greedy-man-s-wife-12,The Greedy Man's Wife-12,story,"As soon as the Prince and his mother had left, Aigbon called his daughter and told her what had happened. His wife too came out to hear what had happened.
That handsome prince who will become the King of this kingdom wants to marry you and they have brought all these presents, Aigbon said.

I hope this time you will not only collect the gifts and send him away like you always do, his wife, Omoh said.
He glowered at her. Shut up! what do you mean by that? If a man brings me gifts that he wants to marry my beautiful daughter, should I refuse the gifts simply because I refused his proposal?

But I think it's not fair on Ezda that we are still keeping her from getting married, Omoh said.
Aigbon hissed. He turned to Ezda. Don't mind the foolishness of your mother, she has never been beautiful. That is why she talks the way she does, he said.","{""tags"":[""story"",""greed"",""marriage"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-25 18:54:06,The Greedy Man's Wife-12,/story/@steaks/the-greedy-man-s-wife-12,0
steaks,the-greedy-man-s-wife-11,The Greedy Man's Wife-11,story,"Edimo, do you really think you will want Aigbon as your father-in-law?
 you must consider beyond his daughter's beauty she said.

The Prince laughed. It is not him I want to marry, it's his daughter. 

Whatever he is, he would not be living with me, he said.

I am not comfortable with his behaviour. He is selfish and stingy and does not seem to have respect.

 Imagine what he said, he wants your father, the king to come to his house to ask for his daughter's hand in marriage. I feel it is insulting, she said.

Do not let him bother you, Prince Edimo said, she shrugged as they returned to the palace.","{""tags"":[""story"",""love"",""marriage"",""nigeria"",""africa""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-24 19:53:27,The Greedy Man's Wife-11,/story/@steaks/the-greedy-man-s-wife-11,0
steaks,the-greedy-man-s-wife-10,The Greedy Man's Wife-10,story,"Aigbon dropped, you want to ask for my beautiful daughter's hand in marriage? he asked and the prince nodded Yes.
Well, I am very happy that you mentioned that she is beautiful. 

But please, you will give me some time, let us say seven days to ponder on it and talk with my child.

You will repeat the visit then and make it more serious, it is he father-in-law you must make it more serious.
 It is the father speaks for his son and not the mother, he said.

The queen drew her mouth down but said nothing.They soon left, accepting to do as he had said. The queen was worried about Aigbon's attitude.","{""tags"":[""story"",""greed"",""love"",""nigeria"",""africa""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-23 13:31:06,The Greedy Man's Wife-10,/story/@steaks/the-greedy-man-s-wife-10,0
steaks,the-greedy-man-s-wife-9,The Greedy Man's Wife-9,story,"Aigbon's eyes flickered with annoyance. Wait where? must you be hearing what I m discussing with the royal family? please leave, for now, wait somewhere else and return later. He said.
Okie got up and took his leave. Aigbon hissed and turned to his visitors.
Do not mind him, he will soon join to drink palm-wine that does not concern him, that was what he was waiting for, he said.
The queen shook her head in disdain but said nothing. She had heard one or two words on how selfish Aigbon was but she had not expected this level of greed.
He pulled a goatskin bag and produced a drinking gourd and filled it with palm-wine. He drank it and refilled it, not offering anybody.
So, what is it that you really want? he asked directing the question to the prince. I wish to ask for the hand of your beautiful daughter in marriage, Prince Edimo said.","{""tags"":[""story"",""arrogance"",""life"",""beauty"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-22 13:03:21,The Greedy Man's Wife-9,/story/@steaks/the-greedy-man-s-wife-9,0
steaks,the-greedy-man-s-wife-8,The Greedy Man's Wife-8,story,"Her beauty is like the sun that cannot be hidden, he said boastfully.
My son here is interested in your daughter, the queen said.
I know, Aigbon said, I saw the way he was looking at her the day we came to welcome him. He was looking at my daughter as if she was a cooked peppered chicken that he wanted to eat, Aigbon said and laughed. Then he looked at the queen.

But my queen, we are supposed to be celebrating this discussion with palm wine in the house. I expect that you would have brought palm wine on your way here. he said,

The queen laughed hearty-heartedly. She was becoming impatient with him but still keeping her cool. She nodded at one of the servants. He presented a keg of palm wine. Aigbon laughed.
Then he looked at his customer who was sitting patiently at the edge of the compound.

Okie, please I have visitors from the royal family, you can go now and return later when I m through with the royal family, he said. Okie looked up and said to him, do not worry, I will wait until you are through, he ","{""tags"":[""story"",""nigeria"",""greed"",""love""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-21 18:55:15,The Greedy Man's Wife-8,/story/@steaks/the-greedy-man-s-wife-8,0
steaks,the-greedy-man-s-wife-chapter-7,The Greedy Man's Wife-Chapter 7,story,"Great prince of our land, I welcome you to my home. I m honoured that you are visiting my little abode but I am wondering what possibly I could owe this royal visit, he said.
I greet you Aigbon, prince Edimo said.
Aigbon called for chairs for them to sit. His eyes went to the gifts, I wonder what this visit i all about, he said light-heartedly.
After they were seated, the queen began to talk. Aigbon, the great merchant of Ugbo whose popularity has spread far and wide. I greet you. I greet you, my queen, Aigbon responded. I am sorry I am not offering you Kola but of course I am sure you, like everybody in Ugbo, know that Aigbon does not offer kola but of course, I am sure you, like everybody in Ugbo, know that it was true.
Aigbon does not offer Kola, he said and laughed. It was true. Aigbon was too stingy, everyone knew of it and he was very proud of it.
What we have come for is more important than kola, the queen said.
Aigbon sat up, okay I am all ears, he said.
My Son here, prince Edimo, the heir apparent t","{""tags"":[""story"",""fiction"",""nigeria"",""creativity""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-20 17:14:33,The Greedy Man's Wife-Chapter 7,/story/@steaks/the-greedy-man-s-wife-chapter-7,0
steaks,the-greedy-man-s-wife-chapter-6,The Greedy Man's Wife - Chapter 6,story,"Prince Edimo smiled, she is indeed very beautiful.
For so many days, Prince Edimo was thinking of Ezda. She was so beautiful, He wished he could marry her. He decided to make inquiries from his younger brother Isosoke.

Do not waste your time my brother, Isosoke responded. Aigbon is too full of himself, he does not want anyone to marry his daughter. He says only royal men will marry her but that was just an excuse because many princes have come for her hand in marriage but he always sends them away. We are waiting to see whether if he will be the one to marry her at the end of the day.

Why is he too possessive of his daughter? Edimo asked. 
I do not know, it is irritating, Isosoke said, I will go and see him today and try my chance, Edimo said.
Do not waste your time, he will turn you down, he has even turned down Idegun, Isooke said, Idegun was their brother but was from another mother.

Well, let's see how it goes with me. I will just give it a try at least it is better to try and fail than to decide not ","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""creativity""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-19 06:49:15,The Greedy Man's Wife - Chapter 6,/story/@steaks/the-greedy-man-s-wife-chapter-6,0
steaks,the-greedy-man-s-wife-chapter-5,The Greedy Man's Wife - Chapter 5,story,"King Efa was so happy to see his first Son again, so where the villages, many people came to greet the Prince.
Aigbon who considered Edimo as a prince with charms and good looks went to welcome him and he took his beautiful daughter along.

Great Prince, the future ruler of Ugbo, I welcome you back home, may your days be long. Aigbon knelt before the prince and beamed at him.

Prince Edimo was struck by the beauty of Ezda, he stared at her for a long time.
Who may the exquisite maiden be? Prince Edimo asked. I have never seen such a great beauty in my whole life. Aigbon smiled, you have gone for long to remember my child Ezda. She is my daughter, he said.","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""creativity""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-16 22:51:12,The Greedy Man's Wife - Chapter 5,/story/@steaks/the-greedy-man-s-wife-chapter-5,0
steaks,the-greedy-man-s-wife-chapter-4,The Greedy Man's Wife - Chapter 4,fiction,"Do not judge me by my looks, it is the heart that matters, the dwarf said. Aigbon laughed. Well, even if you have the most beautiful heart, it still does not change the fact that you are too short and ugly. Do you know what people would think of me if I give you my daughter? they will think I am mad.

So, you go away. I am sure you will find pretty dwarf girls that will suit you as you go along. You are in the wrong place, he said.

The dwarf was offended, he left quickly. Now everyone thought Aigbon was wicked and he did not deserve to have such an angel for a daughter. Nobody could tell of Ezda's character beyond her beauty.

Then one day Prince Edimo, the eldest son of King Efa of Ugbo returned home. He had been out of Ugbo for many years to learn the ways of the white man that had begun to appear in Ugbo. The return of Prince Edimo called for a celebration that the heir-apparent of the kingdom had returned.","{""tags"":[""fiction"",""story"",""life"",""tales"",""creativity""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-16 02:09:33,The Greedy Man's Wife - Chapter 4,/fiction/@steaks/the-greedy-man-s-wife-chapter-4,0
steaks,the-greedy-man-s-wife-chapter-3,The Greedy Man's Wife - Chapter 3,story,"Then you cannot marry my daughter Ezda because you can never be King, he said and dismissed them. One day, a dwarf appeared in his compound to ask for his hand in marriage. He was in no way comely in his aspects. Aigbon was alarmed when he saw the short man who had come to marry his daughter.
What do you mean? Don't you know what you seek, my daughter will never be married to a dwarf, he blurted.

Height has nothing to do with it, what is more, important is that I will love her and I will make her happy, the dwarf said. Aigbon frowned, make who happy? who are you that you think you are to make my beautiful daughter happy.
I am prince Eyen from Eson kingdom. I have the wealth and resources to ensure that your daughter is happy, the dwarf said.

Enough! if you like be the King of your kingdom, my daughter is not your type, she is too beautiful for you. Look at you, you are so unprepossessing, grotesque, ugly and too short. What type of grandchildren do you want me to have? your types? Aigbon raved.","{""tags"":[""story"",""fiction"",""life"",""nigeria"",""africa""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-14 02:23:57,The Greedy Man's Wife - Chapter 3,/story/@steaks/the-greedy-man-s-wife-chapter-3,0
steaks,the-greedy-man-s-wife-chapter-2,The Greedy Man's Wife - Chapter 2,fiction,"Ezda's father Aigbon was a wood merchant, selling timbers to people from other climes. Each time he had customers, he would call his daughter to show her off. The action attracted many suitors but Aigbon would not give his beautiful daughter to just anybody.

She is too beautiful to be married to just any man. She was created to be a queen and I won't allow anyone who isn't a King or king to be to marry my daughter, he usually told the suitors who came along.
Many Princes came for her hand in marriage but Aigbon would interview them, asking them if they were the eldest son of their father and none of them was the first Son.","{""tags"":[""fiction"",""story"",""life"",""tales"",""creativity""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-13 00:47:39,The Greedy Man's Wife - Chapter 2,/fiction/@steaks/the-greedy-man-s-wife-chapter-2,0
steaks,the-greedy-man-s-wife-chapter-1,The Greedy Man's Wife - Chapter 1,story,"The people of Ugbo kingdom knew Ezda as the most beautiful girl in the whole of the kingdom and beyond. She was tall, slender with feeble shoulders. She had a long neck upon which sat around her head.Her face, heart-shaped with chubby cheeks, gave her an appearance of a cherub. Her wide-set eyes, brown and round gave her pretty face a soft harmony in the union of love and happiness. Her beauty was breathtaking.

Her parents, particularly her father, were very proud of her, Her father usually flaunted her, telling whoever cared to listen that he was the father of the most beautiful girl in the world. My daughter will definitely become a queen. Why shouldn't the most beautiful girl eyes ever saw be a queen? he will be a queen and Ugbo would hold in reverence, he usually boasted.","{""tags"":[""story"",""fiction"",""life"",""nigeria"",""africa""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-12 09:00:48,The Greedy Man's Wife - Chapter 1,/story/@steaks/the-greedy-man-s-wife-chapter-1,0
steaks,wise-say-and-knowledgeable-words-for-sale-2-e5050ab81ff8d,Wise say and knowledgeable words for sale 2,wisesay,"Possibilities yourself and your mind become sensitized.
Availability is the greatest ability.
The probability that you may fail in a struggle ought not to defer you form the support of a curse your believe is to be just.
The ultimate measure of a man is not when he      finds himself in a moment of comfort and convenience, but when he stands a time of challenges and controversy.
Plan your work, work your plan don't be distracted.

https://steemitimages.com/0x0/https://scontent-sea1-1.cdninstagram.com/t51.2885-15/e35/15624813_616318835236726_4931306077162569728_n.jpg?ig_cache_key=MTQxOTAyMTMyOTgwMjAzNTgxNw%3D%3D.2

Partnership with God is the key to extra ordinary success. 
There is no such thing as hopeless situation, but people grow hapless about situation.
Jealousy is the tribute mediocrity pays to achievers.
Persistence is stubbornness with purpose.
Great minds have purpose,other have wishes.
Don't poison your future with the pains of the past.
Failure is the opportunity to begin more intelligently.","{""tags"":[""wisesay"",""proverbs"",""nigeria"",""africa"",""writing""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem"",""image"":[""https://steemitimages.com/0x0/https://scontent-sea1-1.cdninstagram.com/t51.2885-15/e35/15624813_616318835236726_4931306077162569728_n.jpg?ig_cache_key=MTQxOTAyMTMyOTgwMjAzNTgxNw%3D%3D.2""]}",2018-03-09 12:57:09,Wise say and knowledgeable words for sale 2,/wisesay/@steaks/wise-say-and-knowledgeable-words-for-sale-2-e5050ab81ff8d,0
steaks,wise-say-and-knowledgeable-words-for-sale-1-e63aad75d84a1,Wise say and knowledgeable words for sale 1,wisesay,"Success is not magical, success is not mysterious, success is the natural consequence of the daily application to basic fundamentals. Accuracy builds credibility.

The key to life is to become skillful enough to do rewarding things.

https://scontent-sea1-1.cdninstagram.com/t51.2885-15/e35/15624813_616318835236726_4931306077162569728_n.jpg?ig_cache_key=MTQxOTAyMTMyOTgwMjAzNTgxNw%3D%3D.2

[source](http://www.lifedaily.com/20-wise-sayings-to-help-make-you-a-better-person/)

The greatest person you can defeat in life is to defeat yourself of pride.

A man who is not properly informed is deformed.

Expectation is the mother of manifestation. When the desirable is not available the available becomes desirable.

The man who fails to plan plans to fail the fear of failure is the beginning of failure. Loss no confidence, believe in yourself that you can be the best. Be yourself always and don't pretend. Knowledge is like food, the more you eat the more you grow.","{""tags"":[""wisesay"",""proverbs"",""nigeria"",""writing"",""creativity""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem"",""links"":[""http://www.lifedaily.com/20-wise-sayings-to-help-make-you-a-better-person/""],""image"":[""https://scontent-sea1-1.cdninstagram.com/t51.2885-15/e35/15624813_616318835236726_4931306077162569728_n.jpg?ig_cache_key=MTQxOTAyMTMyOTgwMjAzNTgxNw%3D%3D.2""]}",2018-03-07 13:42:21,Wise say and knowledgeable words for sale 1,/wisesay/@steaks/wise-say-and-knowledgeable-words-for-sale-1-e63aad75d84a1,0
steaks,unknown-story-b01d1366966c,Unknown  Story,story,"Two days later, michael returned home and was entering the sitting room when he heard the voice of his wife and his daughters discussing. He stopped at the door as he heard the name of the maria being mentioned.


 ""But mummy, there is something about maria to you that I cannot understand,"" Sandra said. ""Though I like her a lot,""  ""she has charmed mummy,"" Andrea said.


""Maria is a good girl and will not do anything as such. She has not charmed me,"" Sarah said. ""Then, why do you like her so much?"" ""Andrea said. Sarah took a deep breath.



 "" Even if maria had not been your father's cousin, i still would have taken her in.You see, its a long story one I am sure even maria deist nor know about,"" Sarah said and began to expound the story to her daughters.","{""tags"":[""story"",""fiction"",""africa"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-04 12:41:06,Unknown  Story,/story/@steaks/unknown-story-b01d1366966c,1
