author,permlink,title,category,body,json_metadata,created,root_title,url,children
teni,answers-to-bible-quiz-questions-8-1c351d5441c97,Answers To Bible Quiz Questions 8,bible,"https://steemitimages.com/0x0/https://salemnet.vo.llnwd.net/media/cms/CW/faith/39891-HolyBible-Bible-read-ThinkstockPhotos-585291064.1200w.tn.jpg


What were the religious leaders called who continually tried to trap Jesus with their questions?
Pharisees and Sadducees(Mark10:2)

What miracle did Jesus do for Lazarus?
Raised him from the dead (John11:43-44)

On which mountain were the Israelites given the ten commandments?
My Sinai (Exo34:35)

Who was Solomon's father? 
David (1King2:12)

What job did Jesus' earthly father, Joseph, do? 
Carpenter (Matt13:55)

How did Judas betray Christ? 
With a kiss(Luke 22:48)

Solomon judged wisely over the rightful mother of a child, but how did he determine who the child belong to? 
Threatened to divine the child (with a sword) (1ki3:25)

Whose father was prepared to sacrifice him on the alter? 
Issac (Gen22:9)

At the age of twelve, Jesus was left behind in Jerusalem. Where did his parent find him?
In the temple (Luke2:42-46)

When the disciples saw Jesus walking on wat","{""links"":[],""image"":[""https://steemitimages.com/0x0/https://salemnet.vo.llnwd.net/media/cms/CW/faith/39891-HolyBible-Bible-read-ThinkstockPhotos-585291064.1200w.tn.jpg""],""tags"":[""bible"",""christiantrail"",""christianity"",""nigeria""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-27 20:05:30,Answers To Bible Quiz Questions 8,/bible/@teni/answers-to-bible-quiz-questions-8-1c351d5441c97,2
teni,can-love-be-blind-624c7e1cc205,Can love be blind?,feeling,"These had been a bone of contention to me for a while now and I can't really get this straight into my head. I don't want to be partial about this topic,  but I would love to know whether truly love is really blind. I can't understand why people say love is blind, i mean the real motive behind that statement. Let look at it from the this angle, when a guy want to really appreciate a lady or engage her in relationships, i think there must be what we called connection to that. After the connection had been made people tend bring one or two ideas about that particular relationship.



 ![image](https://img.esteem.ws/ixbz4wctx4.jpg)



 The issue is that you are not from the same background and you must learn to tolerate each other. If you are able to suceed that, it came down to your attitude toward each other. From this now I quite believe guys are  always on watch,  because they would love to know how bad your attitude is, probably they might be one particular behaviour the man does not like and paraventure t","{""links"":[],""image"":[""https://img.esteem.ws/ixbz4wctx4.jpg""],""tags"":[""feeling"",""love"",""nigeria"",""blind"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-20 15:06:00,Can love be blind?,/feeling/@teni/can-love-be-blind-624c7e1cc205,4
teni,i-can-t-believe-is-coming-to-an-end-another-challenge-ahead-of-me-i-put-my-trust-in-god-1ea79d05f5c04,I can't believe is coming to an end. Another challenge ahead of me. I put my trust in god.,wafrica,"I now believe in this old saying that everything will surely end. It like play just like yesterday when i started the journey from primary school, down to secondary school to the polytechnic in northern part of the country. it wasn't easy journey and to be candid it is a rough one.


 ![image](https://img.esteem.ws/cvh4s9jymj.jpg)



What memories should I share with you guys was it when I will slept with empty stomach or when they would be no cash to purchased a sachet of water to drink or was the experience of the environment that I found myself which was hot.



 Brothers and sisters I can't even continue sharing this experience of mine because I believed many people in one way or the other will have something to say in this life about their way to point they are today. But finally, am a graduate serving my father's land in osun state. 




The service is coming to an end and it kept coming to my mind again that another struggle and challenge is awaiting me. I believed that the God who had been my pillar ","{""links"":[],""image"":[""https://img.esteem.ws/cvh4s9jymj.jpg""],""tags"":[""wafrica"",""service"",""nigeria"",""hope"",""lord""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-22 14:19:45,I can't believe is coming to an end. Another challenge ahead of me. I put my trust in god.,/wafrica/@teni/i-can-t-believe-is-coming-to-an-end-another-challenge-ahead-of-me-i-put-my-trust-in-god-1ea79d05f5c04,2
teni,purify-your-heart-to-your-words-59a2e6f23bbb5,Purify your heart to your words,christianity,"The heart is the depository of reality. What issues out of the heart shaped live. Life will take the shape and form of the contents of the heart. Proverbs 4:23 charges us to keep our heart with all diligence, for help of it are the issues of life. It is a settled scriptural facts that your life cannot be more beautiful than your heart. And your heart is so is your life.


https://static.pulse.ng/img/incoming/origs4469927/4450486539-w980-h640/thebiblebook.jpg

More clearly, luke 6:45 precipitate this truth for us. It says "" a good man out of the good treasures of his heart bring forth good things and an evil man out of the images of his heart bring forth evil thing for out of the abundance of the heart the mouth speaketh.""

Therefore it is of paramount importance to take care of the heart. By the heart here, we mean the call of the man's being, his spirit, his inner being. 

https://www1.cbn.com/sites/default/files/media/standard/images/bible-in-year.jpg

The contents of a man's heart determine whether or not","{""tags"":[""christianity"",""christian-trail"",""nigeria"",""wafrica""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem"",""image"":[""https://static.pulse.ng/img/incoming/origs4469927/4450486539-w980-h640/thebiblebook.jpg"",""https://www1.cbn.com/sites/default/files/media/standard/images/bible-in-year.jpg""]}",2018-04-10 22:00:51,Purify your heart to your words,/christianity/@teni/purify-your-heart-to-your-words-59a2e6f23bbb5,2
teni,secondary-school-days-8-bb9a7896f227b,Secondary school days 8,story,"The nurse on duty examined Bayo. She appeared worried. She made a call to the doctor's residence. We did not hear what she said to the doctor. And when I asked her what the matter was with my friend, the nurse just said he would be fine even though she did sound assuring.




The doctor arrived in a hurry and attended to Bayo. He opened a file for him and write endlessly on it. I wondered what he was writing. Meanwhile, the nurse had appeared a bottle of drip and had inserted several injections on it. Soon, Bayo was placed under drip and then, an ambulance arrived. The school principal too came with three other senior teachers.","{""tags"":[""story"",""storyline"",""storytelling"",""nigeria"",""wafrica""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-09 14:03:57,Secondary school days 8,/story/@teni/secondary-school-days-8-bb9a7896f227b,3
teni,secondary-school-days-7-329f1b6eea1f6,Secondary school days 7,story,"We went out of the dormitory.we met Peter who had come out to unrinate on the lawn. It was the habit of boys to wake up in the middle of night and come out to Wee on the lawn. ""where are the two of you going in this darkness?"" he asked.  I was surprised that he would show concern. 



I explained the situation to him. He too was alarmed. He said he would go with us. I could hardly believe it because I did not expect such gesture from him. We both took Bayo to the sickbay. It was until we got to the sickbay that I realized that the time was around 2 am.","{""tags"":[""story"",""storyline"",""storytelling"",""nigeria"",""wafrica""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-08 14:00:33,Secondary school days 7,/story/@teni/secondary-school-days-7-329f1b6eea1f6,2
teni,secondary-school-days-6-0988cfcb925c6,Secondary school days 6,story,"But I lost my best friend. It meant the end of a chapter in my school life and began another on a very sombre note. We were already in senior high school when Bayo took ill.



 Till date, I don't know the nature of the ailment. He woke me up one night complaining of severe headache and when I touched him, he was running temperature. I was alarmed. ""What is the matter with you,"" I asked. 



""I don't know, I am just feeling headache and my mouth is dry,"" he said. I got up and wore my trousers and shirt. I was panicky because it was the first time this was happening. Bayo had always been a strong boy boy. I told him we should go to the sickbay.","{""tags"":[""story"",""storyline"",""storytelling"",""nigeria"",""wafrica""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-07 13:22:54,Secondary school days 6,/story/@teni/secondary-school-days-6-0988cfcb925c6,2
teni,secondary-school-days-5aq-9eae24678bd83,Secondary school days 5aq,story,"She was furious. ""Didn't i tell you I was going to wear them?"" She asked. ""You've punished us already so why are you seizing the slippers? Or you want to give one pair to your friend who doesn't have slippers too?"" Asked defiantly. I was already laughing.

""You are very stupid,"" she said to him. She threw the slippers at us. ""Thank you for your understanding. People should bring their own slippers from home when coming to school,"" he added.

Senior Mabel was already very angry. She told him that she would deal with him later. She was also embarrased. ""She's a slipper thief,"" Bayo said as we returned to the hostel and I just laughed like a drunk.","{""tags"":[""story"",""storyline"",""storytelling"",""writing"",""wafrica""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-06 09:28:48,Secondary school days 5aq,/story/@teni/secondary-school-days-5aq-9eae24678bd83,2
teni,bible-quiz-question-11,Bible Quiz Question 11,christian,"https://steemitimages.com/0x0/https://salemnet.vo.llnwd.net/media/cms/CW/faith/39891-HolyBible-Bible-read-ThinkstockPhotos-585291064.1200w.tn.jpg

What happened to Elimelech in Moab?

What does the shepherd in the parable of the lost sheep do once he realizes that one is missing?

What is the name of the disciple who betrayed Jesus?

What golden animal did the Israelites make as an idol?

Who was the first person Jesus appeared to after his resurrection?

What job did Peter and Andrew do?

What prophet tried to flee from God when he was asked to preach God's message in Nineveh?

What is the collective name of the stories Jesus told to convey his message?","{""tags"":[""christian"",""bible"",""christiantrail"",""nigeria""],""image"":[""https://steemitimages.com/0x0/https://salemnet.vo.llnwd.net/media/cms/CW/faith/39891-HolyBible-Bible-read-ThinkstockPhotos-585291064.1200w.tn.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-05 19:41:00,Bible Quiz Question 11,/christian/@teni/bible-quiz-question-11,0
teni,secondary-school-days-4-856dce7bcd88c,Secondary school days 4,story,"""Instead of him to say  he wanted to eat our banana because he's hungry, he flogged us and seized our banana. Let him eat them, perhaps by tomorrow,  he will be fat,  Bayo said. I could not help but burst into laughter. After that day, each time Bayo saw the teacher, he would pull my arm and whisper,"" see Mr BT.""



I know you may be wondering what BT stood for. It was crazy and I still laugh even at the thought of it till date. BT means Banana Thief. Another time it was a senior girl named senior Mabel who punished us for wearing bathroom slippers to prep class. She later seized the slippers. ""But senior, you can't wear the two pairs at the same time,"" he challenged her. She was actually a perfect; I cannot quite remember her designation now.","{""tags"":[""story"",""fiction"",""nigeria"",""writing"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-04 12:16:24,Secondary school days 4,/story/@teni/secondary-school-days-4-856dce7bcd88c,1
