author,permlink,title,category,body,json_metadata,created,root_title,url,children
thomisin,my-journal-begins-my-journey,My Journal Begins - My Journey to Becoming a Medical Student || #JournalingOnHive,hive-187189,"Goals, hopes, and aspirations are the key things that are pushing me forward toward my ambition. Hello everyone, and welcome to my journal. Since this is not my diary where I will write my daily activities but my journal, I will be sharing from the heart.

I am a young lady who is just 23 years old, and I know I have a long year ahead to accomplish my heart's desires. I finished from Akure College of Health, studying health science, but this doesn't qualify me to be a medical doctor or nurse in my country. I have had the desire to help as a medical practitioner but then it goes beyond hope, it has to do with putting in the effort.

![](https://images.ecency.com/DQmcaRxvYoHDZCPJWuJNMG93f5EoMg8WjmczMbDNsx2BhPs/img_20230222_wa0025.jpg)

During Covid-19, I remembered working as a volunteer to help people who were in Isolation centers. I did this with great joy and that pushed me to get a degree in medicine and Surgery as well as practicing it. Prior to Covid, I had wanted to be a medical doctor but Covid increas","{""image"":[""https://images.ecency.com/DQmcaRxvYoHDZCPJWuJNMG93f5EoMg8WjmczMbDNsx2BhPs/img_20230222_wa0025.jpg"",""https://images.ecency.com/DQmbN7uhk5rFTP8vgyRCeS7bhvws88TSMdAbAANyd3YCFid/img_20230222_wa0026.jpg""],""tags"":[""hive-187189"",""#lifestyle"",""journalingonhive"",""nigeria"",""writing"",""leofinance""],""description"":"""",""app"":""ecency/3.0.31-vision"",""format"":""markdown+html"",""image_ratios"":[0.7997967479674797,0.7997847147470398]}",2023-04-19 10:51:39,My Journal Begins - My Journey to Becoming a Medical Student || #JournalingOnHive,/hive-187189/@thomisin/my-journal-begins-my-journey,2
thomisin,the-far-reaching-multifaceted-effects,"The Far-reaching, Multifaceted Effects of Excessive Alcohol Consumption on Human Health",hive-196387,"<div class=""text-justify"">

It is widely understood that excessive alcohol consumption leads to intoxication. This fact is not limited to alcoholics alone. Prolonged and excessive alcohol intake can potentially cause damage to the liver. However, it's important to note that alcohol doesn't only affect the liver; it impacts various organs throughout the body, including the lungs, heart, spleen, kidney, esophagus, pancreas, stomach, and even skeletal muscles.

https://cdn.pixabay.com/photo/2014/05/25/17/32/brain-353837_1280.png<sub><a href=""https://pixabay.com/vectors/brain-alcohol-smoking-cigarette-353837/"">Pixabay</a></sub></center></div>


When we consume alcoholic beverages like Heineken, Moet, or Chamdor, we are essentially ingesting ethanol at different concentrations mixed with other minor ingredients. It's essential to understand that ethanol itself does not hold any inherent significant importance for the body. If ethanol were necessary for your well-being, your doctor would prescribe it in appropriat","{""image"":[""https://cdn.pixabay.com/photo/2014/05/25/17/32/brain-353837_1280.png"",""https://freerangestock.com/sample/81555/drunk.jpg"",""https://cdn.pixabay.com/photo/2019/05/21/21/28/obesity-4220202_1280.jpg""],""tags"":[""hive-196387"",""stem"",""stemgeeks"",""alcohol"",""proofofbrain"",""gem"",""neoxian"",""waivio"",""cent"",""bee""],""description"":"""",""app"":""ecency/3.0.33-vision"",""format"":""markdown+html"",""image_ratios"":[""1.5744"",""1.5039"",""1.6559""]}",2023-07-07 18:53:15,"The Far-reaching, Multifaceted Effects of Excessive Alcohol Consumption on Human Health",/hive-196387/@thomisin/the-far-reaching-multifaceted-effects,2
thomisin,the-sitting-dilemma-understanding-the,The Sitting Dilemma - Understanding the Health Risks of Prolonged Sitting,hive-196387,"<div class=""text-justify"">

In the ever-evolving world of work, traditional 9-5 office jobs have been eclipsed by a surge in online work and remote businesses. While these new opportunities offer convenience and flexibility, they also pose significant health risks, particularly from the sedentary lifestyle they encourage. Scientists have sounded the alarm on the dangers of prolonged sitting, likening it to well-known health hazards such as obesity, smoking, and excessive drinking. In this post, we'll explore the implications of extended sitting on our health and discover ways to mitigate its impact. Let's have fun reading this post as I will be discussing sitting and our health. There is a likelihood that you are sitting as you are reading this.

https://www.maxpixel.net/static/photo/2x/Sedentary-Lifestyle-Back-Pain-Body-Pain-Ergonomics-6949392.jpg</div>
<sub><a href=""https://www.maxpixel.net/Sedentary-Lifestyle-Back-Pain-Body-Pain-Ergonomics-6949392"">Max Pixel</a></sub></center></div>

With the industrial r","{""image"":[""https://www.maxpixel.net/static/photo/2x/Sedentary-Lifestyle-Back-Pain-Body-Pain-Ergonomics-6949392.jpg"",""https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Blausen_0290_DeepVeinThrombosis.png/675px-Blausen_0290_DeepVeinThrombosis.png?20131022170455"",""https://commons.wikimedia.org/wiki/File:Blausen_0290_DeepVeinThrombosis.png""],""tags"":[""hive-196387"",""stemng"",""health"",""neoxian"",""stemgeeks"",""proofofbrain"",""waivio"",""cent"",""alive"",""ocdb""],""description"":""In the ever-evolving world of work, traditional 9-5 office jobs have been eclipsed by a surge in online work and remote businesses. While these new opportunities offer convenience and flexibility, they"",""app"":""ecency/3.0.35-vision"",""format"":""markdown+html"",""image_ratios"":[""1.7778"",""0.7500"",0]}",2023-07-23 22:02:39,The Sitting Dilemma - Understanding the Health Risks of Prolonged Sitting,/hive-196387/@thomisin/the-sitting-dilemma-understanding-the,3
thomisin,complement-system-your-body-s,Complement System;  Your Body's Powerful Defense Against Invaders,hive-196387,"<div class=""text-justify"">

As humans, our bodies have evolved a remarkable defense system to combat harmful invaders and pathogens. One of the most powerful weapons in our immune arsenal is the complement system. Comprising over 30 serum proteins and regulatory cell membrane components, this complex system collaborates to neutralize intruders and protect our well-being. Activated by antibodies, the complement proteins play a crucial role in crippling invaders, activating the immune system, and perforating the cells of attacking organisms.

The complement proteins cripples invaders, activate the immune system and perforates the cells of the invading organisms. Remember that they are proteins, so their shapes are programmed to interact with certain things. Different proteins are able to perform differently to get the desired result. The complement system is made up of different pathways including the alternative pathways, classical pathway, lectin pathway, and, terminal pathway.

https://upload.wikimedia.org/","{""image"":[""https://upload.wikimedia.org/wikipedia/commons/c/ca/09_Hegasy_Complement_System_Wiki_EN_CCBYSA.png"",""https://commons.wikimedia.org/wiki/File:09_Hegasy_Complement_System_Wiki_EN_CCBYSA.png"",""https://oli.cmu.edu/repository/webcontent/546043760a0001dc3944c35ab2db3f8f/_u13_lymphatic/_u13_m2_LOO/webcontent/Lymph_15.jpg""],""tags"":[""hive-196387"",""stemng"",""neoxian"",""ecency"",""stemgeeks"",""immune"",""waivio"",""cent"",""bee"",""alive""],""description"":"""",""app"":""ecency/3.0.35-vision"",""format"":""markdown+html"",""image_ratios"":[""1.4144"",0,""1.5568""]}",2023-07-26 21:47:27,Complement System;  Your Body's Powerful Defense Against Invaders,/hive-196387/@thomisin/complement-system-your-body-s,2
thomisin,the-science-of-overeating-understanding,The Science of Overeating: Understanding the Effects of Excessive Food Consumption on the Body,hive-196387,"<div class=""text-justify"">

We all eat, and some of us love eating more than others. While some people are good with eating at once, others love eating in bits for an extensive period of time. Either way, we all eat, and in the process, we must have overeating at some point in time. It is no doubt that people like myself like to watch our intake, so they do not start to regret while we ate the food in the first place, but then there are cases when it is glaring that we have overeaten.

Overeating has to do with the consumption of excess food compared to the amount of energy to be released by the organism. It has to do with eating food more than 1 litre which is the volume of the stomach, leading to abdominal discomfort, nausea, and extreme fatigue. Continuous eating in this manner can lead to obesity, and be regarded as an eating disorder. Over time, it can be fatal if not controlled. This said, let's take a look at the normal events that happen when a person overeats.
___
___
#### <div class=""phishy""><cente","{""image"":[""https://upload.wikimedia.org/wikipedia/commons/6/6a/2414_Stomach.jpg"",""https://commons.wikimedia.org/wiki/File:2414_Stomach.jpg"",""https://storage.needpix.com/rsynced_images/abdomen-1698565_1280.png""],""tags"":[""hive-196387"",""stem"",""stemng"",""neoxian"",""stemgeeks"",""waivio"",""cent"",""alive"",""bee"",""ocdb""],""description"":"""",""app"":""ecency/3.0.35-vision"",""format"":""markdown+html"",""image_ratios"":[""1.5142"",0,""1.2890""]}",2023-07-30 07:56:33,The Science of Overeating: Understanding the Effects of Excessive Food Consumption on the Body,/hive-196387/@thomisin/the-science-of-overeating-understanding,5
thomisin,viral-and-bacteria-infections-are,Viral and Bacteria Infections are Completely Different and Treated as Such,hive-196387,"<div class=""text-justify"">


I am not a storyteller, but let me tell you a story as I begin this post. Actually, it isn't going to be a story all through as I will be discussing about the topic as well but you know they say good storytellers are good writers. So let's bring science and story together.

Ben woke up feeling with a fever, he feels there is something wrong with his body system. He is feeling sick to the stomach and so he decided to drive to the hospital to see the doctor so he can give him a pill or prescription so he can take and get over this sick feeling. Explaining to the doctor how he felt from body pain, cramps, and diarrhea, which accompanied the fever. He just wants an antibiotic that will deal with those bedeviled bacteria but then the doctor decides to run a blood and urine test instead and tells Ben that he might be suffering from a viral infection.

https://cdn.pixabay.com/photo/2021/12/08/16/10/virus-6856139_1280.jpg</div>
<sub><a href=""https://pixabay.com/id/illustrations/virus-omi","{""image"":[""https://cdn.pixabay.com/photo/2021/12/08/16/10/virus-6856139_1280.jpg"",""https://innovativegenomics.org/wp-content/uploads/2018/04/Virus.png""],""tags"":[""hive-196387"",""stem"",""bacteria"",""virus"",""proofofbrain"",""neoxian"",""stemng"",""stemgeeks"",""waivio"",""cent""],""description"":"""",""app"":""ecency/3.0.35-vision"",""format"":""markdown+html"",""image_ratios"":[""1.3749"",""1.2565""]}",2023-08-02 22:51:39,Viral and Bacteria Infections are Completely Different and Treated as Such,/hive-196387/@thomisin/viral-and-bacteria-infections-are,2
thomisin,sedentary-lifestyles-and-their-health,Sedentary Lifestyles and Their Health Consequences,hive-196387,"<div class=""text-justify"">

Can one's body truly become so massive that a crane or bulldozer is needed to shift from place to place? Surprisingly, yes. But this extraordinary condition arises from a combination of two key factors: a sedentary lifestyle and excessive eating. Obesity doesn't appear overnight; it gradually takes shape over time. Instances of individuals who've fallen into this predicament due to inactivity and overconsumption are well-documented and notable cases include Paul Mason, Carol Yager (whose life was cut short due to multiple organ failures stemming from extended edema), and Manuel Uribe (whose demise was linked to obesity, heart ailments, and liver damage).

So many people do not perform any form of exercise coupled with the fact that the type of job they do is one that requires them to stay indoors or not move all day. It can be so fun when you just sit at home, work, then watch the TV, and place orders for whatever you want to eat but you see, this type of lifestyle can come with d","{""image"":[""https://upload.wikimedia.org/wikipedia/commons/8/8b/At_the_beach_-_male_abdominal_obesity.JPG"",""https://commons.wikimedia.org/wiki/File:At_the_beach_-_male_abdominal_obesity.JPG"",""https://creazilla-store.fra1.digitaloceanspaces.com/cliparts/22317/man-eating-obesity-clipart-md.png""],""tags"":[""hive-196387"",""health"",""stemng"",""ocdb"",""neoxian"",""stemgeeks"",""proofofbrain"",""waivio"",""cent"",""alive""],""description"":"""",""app"":""ecency/3.0.35-vision"",""format"":""markdown+html"",""image_ratios"":[""1.4988"",0,""1.2520""]}",2023-08-09 02:35:39,Sedentary Lifestyles and Their Health Consequences,/hive-196387/@thomisin/sedentary-lifestyles-and-their-health,7
thomisin,a-scientific-study-into-anti,A Scientific Study into Anti-Aging Creams,hive-196387,"<div class=""text-justify"">

Let me make this crystal clear: Once you hit your early twenties, you start losing 1% of your collagen every year. Collagen, as we all know, is the secret behind skin strength, suppleness, and that coveted youthful glow. As the years roll on, collagen levels plummet, and our skin begins to show those telltale signs of aging – wrinkles. This is where the influencers swoop in, ready to make a fortune off your desire to defy time, peddling anti-aging creams that promise miracles. But let me share some insights to help you navigate this maze.

In other to understand skin cream, you must understand the skin itself, which is the largest organ in the body. The hypodermis the innermost layer of the skin, and it holds the sweat gland, fat gland, and the base of the hair follicles, The dermis is the next part and it contains collagen fibers, and sebaceous glands that secretes natural oils. 

https://images.pexels.com/photos/6874394/pexels-photo-6874394.jpeg?auto=compress&cs=tinysrgb&w=1260&","{""image"":[""https://images.pexels.com/photos/6874394/pexels-photo-6874394.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2"",""https://upload.wikimedia.org/wikipedia/commons/b/b4/Zmarszczki.jpg?20150219135656"",""https://commons.wikimedia.org/wiki/File:Zmarszczki.jpg""],""tags"":[""hive-196387"",""stemng"",""stemgeeks"",""ocdb"",""neoxian"",""health"",""waivio"",""cent"",""bee"",""alive""],""description"":"""",""app"":""ecency/3.0.36-vision"",""format"":""markdown+html"",""image_ratios"":[0,0,0]}",2023-08-25 22:57:00,A Scientific Study into Anti-Aging Creams,/hive-196387/@thomisin/a-scientific-study-into-anti,4
thomisin,want-to-have-good-quality,Want to Have Good Quality Sleep? Read This...,hive-196387,"<div class=""text-justify"">

Undoubtedly, we all experience the cycle of going to bed at night and waking up the next day, unless, of course, you're one of the unfortunate individuals suffering from insomnia. Many people grapple with sleep issues and actively seek ways to improve their sleep quality. So, what can we do to enhance our sleep?

First, a significant number of us lead sedentary lives, rarely engaging in any form of exercise, despite its well-established benefits for our overall health. It's worth noting that a lack of physical activity can impede a good night's sleep. Numerous studies and research have demonstrated that daytime exercise can facilitate falling asleep faster and enhance the overall quality of sleep. Even as little as 10 minutes of exercise can help mitigate certain sleep problems, such as Sleep Apnea. However, it's crucial to avoid vigorous exercise within a couple of hours before bedtime, as it can lead to the release of endorphins and a rise in body temperature, potentially leadin","{""image"":[""https://images.pexels.com/photos/3771069/pexels-photo-3771069.jpeg"",""https://live.staticflickr.com/17/20371510_31618d9c8d_b.jpg""],""tags"":[""hive-196387"",""stemng"",""stem"",""proofofbrain"",""neoxian"",""waivio"",""cent"",""ocdb"",""alive"",""bee""],""description"":"""",""app"":""ecency/3.0.36-vision"",""format"":""markdown+html"",""image_ratios"":[0,0]}",2023-08-29 01:11:15,Want to Have Good Quality Sleep? Read This...,/hive-196387/@thomisin/want-to-have-good-quality,4
thomisin,melatonin-attention-deficit-hyperactivity-disorder,"Melatonin, Attention-deficit/hyperactivity disorder and Sleep Problems",hive-196387,"<div class=""text-justify"">

 There is a possibility that you must have heard or read about scientific one or more research on Attention-deficit/hyperactivity disorder [ADHD] and sleep problems where it is being studied if Attention-deficit/hyperactivity disorder [ADHD] leads to sleep problems and/or sleep problems lead to ADHD symptoms, or maybe both.

Not being able to get to sleep at the right time is one problem that people with ADHD complain about. A 2008 study showed that about 70% of kids with ADHD diagnosis have issues falling asleep, and when they do, they have issues staying asleep. Adults with ADHD have shown a 78% delay in the circadian rhythm which causes them to have delayed activities like sleeping and waking, and they even sleep for a very short amount of time.

https://images.pexels.com/photos/1497855/pexels-photo-1497855.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2</div>
<sup>[Pexels](https://www.pexels.com/photo/woman-sleeping-1497855/)</sup>


The repercussions of inadequate or disrup","{""image"":[""https://images.pexels.com/photos/1497855/pexels-photo-1497855.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2""],""tags"":[""hive-196387"",""stemng"",""stemgeeks"",""proofofbrain"",""waivio"",""neoxian"",""cent"",""bee"",""alive""],""description"":""There is a possibility that you must have heard or read about scientific one or more research on Attention-deficit/hyperactivity disorder [ADHD] and sleep problems where it is being studied if"",""app"":""ecency/3.0.36-vision"",""format"":""markdown+html"",""image_ratios"":[""1.5006""]}",2023-09-08 06:44:57,"Melatonin, Attention-deficit/hyperactivity disorder and Sleep Problems",/hive-196387/@thomisin/melatonin-attention-deficit-hyperactivity-disorder,2
