author,permlink,title,category,body,json_metadata,created,root_title,url,children
varia,testowy-wpis,Testowy wpis,hive-150329,"Raz, dwa, trzy
Baba Jaga patrzy!



---

<center><sub>Posted via [proofofbrain.io](https://www.proofofbrain.io/@varia/testowy-wpis)</sub></center>","{""tags"":[""proofofbrain""],""app"":""proofofbrain/0.1"",""format"":""markdown"",""canonical_url"":""https://www.proofofbrain.io/@varia/testowy-wpis""}",2021-06-18 20:36:03,Testowy wpis,/hive-150329/@varia/testowy-wpis,0
varia,dywan,Dywan,dywan,"W poniedziałek Krajowa Rada Radiofonii i Telewizji zdecydowała o przedłużeniu koncesji dla TVN24. Przed głosowaniem KRRiT podjęła uchwałę, która jak przekazała rzecznika podczas spotkania, była niezbędna dla podjęcia decyzji. Dojdzie do przekazania dokumentów.","{""tags"":[""dywan""],""app"":""ecency/3.0.19-vision"",""format"":""markdown+html""}",2021-09-22 17:57:39,Dywan,/dywan/@varia/dywan,0
varia,eeb5b787-7715-11e8-9a66-0242ac110003,Vilnius - old postcards (4),dlive,"![v_e05.jpg](https://cdn.steemitimages.com/DQmPXw8G5DfVtJoqaoMoABd4RwpzteSMdrcuwDcLkAGKrbs/v_e05.jpg)

<center>Wilja river</center>","{""tags"":[""dlive"",""postcards""],""app"":""steemit/0.1"",""format"":""markdown"",""language"":""en"",""thumbnail"":""https://images.dlive.io/ec7676bd-7715-11e8-b1bc-0242ac110002"",""image"":[""https://cdn.steemitimages.com/DQmPXw8G5DfVtJoqaoMoABd4RwpzteSMdrcuwDcLkAGKrbs/v_e05.jpg""]}",2018-06-23 18:47:51,Vilnius - old postcards (4),/dlive/@varia/eeb5b787-7715-11e8-9a66-0242ac110003,0
varia,14d5fa9c-6043-11e8-95fb-0242ac110002,Vilnius - old postcards (3),dlive,"![vilnius050.jpg](https://cdn.steemitimages.com/DQmWtfvUG3rRD4EbFXQJEivr1QA2A77kxQWYpXXifzzzK9n/vilnius050.jpg)

![vilnius059.jpg](https://cdn.steemitimages.com/DQmUDvnhhYmVivCT4Ds2sYZ1NyNcnjt3d93Zo6B8RVkmBks/vilnius059.jpg)","{""tags"":[""dlive"",""postcards"",""history"",""lithuania""],""app"":""steemit/0.1"",""format"":""markdown"",""language"":""en"",""thumbnail"":""https://dlive.biz:8080/QmTeR6KnduwaYy9TbjTicq841AwwrfxwVuLytCLi9QEeoM"",""image"":[""https://cdn.steemitimages.com/DQmWtfvUG3rRD4EbFXQJEivr1QA2A77kxQWYpXXifzzzK9n/vilnius050.jpg"",""https://cdn.steemitimages.com/DQmUDvnhhYmVivCT4Ds2sYZ1NyNcnjt3d93Zo6B8RVkmBks/vilnius059.jpg""]}",2018-05-25 17:43:06,Vilnius - old postcards (3),/dlive/@varia/14d5fa9c-6043-11e8-95fb-0242ac110002,0
varia,f104c833-5e1f-11e8-b4e1-0242ac110002,Vilnius - old postcards (2),dlive,"![vilnius052.jpg](https://steemitimages.com/DQmRtLAq4AbicQdmJZvV7qCmGRiRyRvDPCEDKYGEo2RTynD/vilnius052.jpg)

<center>Ostra Brama</center>

<center>![wilno6_8.jpg](https://steemitimages.com/DQmUmPHfnPPqZoEwUpYdDNGoCeFAgXrC312ALtozjWfhVdT/wilno6_8.jpg)</center>","{""tags"":[""dlive"",""postcards"",""history"",""vilnius"",""lithuania""],""app"":""steemit/0.1"",""format"":""markdown"",""language"":""en"",""thumbnail"":""https://dlive.biz:8080/QmQJDnag5ehULBenmz2a2fM8MRpkPetBE1ywjhWdkGFwr5"",""image"":[""https://steemitimages.com/DQmRtLAq4AbicQdmJZvV7qCmGRiRyRvDPCEDKYGEo2RTynD/vilnius052.jpg"",""https://steemitimages.com/DQmUmPHfnPPqZoEwUpYdDNGoCeFAgXrC312ALtozjWfhVdT/wilno6_8.jpg""]}",2018-05-23 00:26:33,Vilnius - old postcards (2),/dlive/@varia/f104c833-5e1f-11e8-b4e1-0242ac110002,0
varia,8c26da3b-5e18-11e8-b4e1-0242ac110002,Vilnius - old postcards (1),dlive,"![v_e06.jpg](https://steemitimages.com/DQmQ5ZymhjGTqkCfkP8Zz8qugtoLjLq3dj3pFvHt2ysHHos/v_e06.jpg)

<center>Castle hill</center>

![vilnius007.jpg](https://steemitimages.com/DQmY8RGTYwpvjmmE8VjscnBXTBBqMA2y7eoiJbzuVX2yzx7/vilnius007.jpg)","{""tags"":[""dlive"",""postcards"",""history"",""vilnius"",""lithuania""],""app"":""steemit/0.1"",""format"":""markdown"",""language"":""en"",""thumbnail"":""https://dlive.biz:8080/QmRKaz23M3iKhDJPqqAaghsPECmKyQUdr2yuW3rSeF3tNy"",""image"":[""https://steemitimages.com/DQmQ5ZymhjGTqkCfkP8Zz8qugtoLjLq3dj3pFvHt2ysHHos/v_e06.jpg"",""https://steemitimages.com/DQmY8RGTYwpvjmmE8VjscnBXTBBqMA2y7eoiJbzuVX2yzx7/vilnius007.jpg""]}",2018-05-22 23:33:36,Vilnius - old postcards (1),/dlive/@varia/8c26da3b-5e18-11e8-b4e1-0242ac110002,0
varia,13e66627-5c8c-11e8-b4e1-0242ac110002,Lviv - old postcards (3),dlive,"Few postcards from Lviv. End of XIX century or beginning of XX century. In that period Lviv (in Polish ""Lwów"") waspart of the Austro-Hungarian Empire.

![lwow316.jpg](https://steemitimages.com/DQmbXLSSFCsTPdrQkQw3HqxifDZFkEun1J2CofQ4rTRV9eM/lwow316.jpg)

![lwow315.jpg](https://steemitimages.com/DQmSKfSyAwSrn6C5fXDxRhzod65nSdkhcFw6eN5xiicYEC7/lwow315.jpg)

![lwow313.jpg](https://steemitimages.com/DQmaDtGoy3p7NoM5CCix7h6KwuxafmvH8Vs2qjidr43NUbg/lwow313.jpg)","{""tags"":[""history"",""postcards"",""lviv"",""ukraine"",""dlive""],""app"":""steemit/0.1"",""format"":""markdown"",""language"":""en"",""thumbnail"":""https://dlive.biz:8080/QmPb6tZCJaZVuH2GFc3Sd4WGwp9wp6eK43jcnh7BmHqQAA"",""image"":[""https://steemitimages.com/DQmbXLSSFCsTPdrQkQw3HqxifDZFkEun1J2CofQ4rTRV9eM/lwow316.jpg"",""https://steemitimages.com/DQmSKfSyAwSrn6C5fXDxRhzod65nSdkhcFw6eN5xiicYEC7/lwow315.jpg"",""https://steemitimages.com/DQmaDtGoy3p7NoM5CCix7h6KwuxafmvH8Vs2qjidr43NUbg/lwow313.jpg""]}",2018-05-21 00:15:33,Lviv - old postcards (3),/dlive/@varia/13e66627-5c8c-11e8-b4e1-0242ac110002,2
varia,bb35bf08-595c-11e8-9068-0242ac110002,Lviv - old postcards (2),dlive,"Few postcards from Lviv. End of XIX century or beginning of XX century. In that period Lviv (in Polish ""Lwów"") waspart of the Austro-Hungarian Empire. 

![lwow01.jpg](https://steemitimages.com/DQmSgy4zPixP4sqc8vxMymf3RPjnSKWiJjhQf3Z4dduPjQk/lwow01.jpg)

![lwow25.jpg](https://steemitimages.com/DQmVGs6LArf7QR1QhCoDAp8wLUiaEzNPbvHvBRU2h2BgxQN/lwow25.jpg)

![lwow31.jpg](https://steemitimages.com/DQmTGBUmgiQCEWDsioyVX4agoxzxAxvPmnbqzv5XTe1f3aQ/lwow31.jpg)

![lwow108.jpg](https://steemitimages.com/DQmSytsmytHqFDVLPzvk2Y5cC4iq8hMRKMYwn8sJwcAbc5d/lwow108.jpg)","{""tags"":[""photography"",""postcards"",""history"",""lviv"",""dlive""],""app"":""steemit/0.1"",""format"":""markdown"",""language"":""en"",""thumbnail"":""http://ipfs.io/ipfs/QmNz4N9iKQwKm7v5etjgtbQKqpr5sWxbnkudpU5ER9pLym"",""image"":[""https://steemitimages.com/DQmSgy4zPixP4sqc8vxMymf3RPjnSKWiJjhQf3Z4dduPjQk/lwow01.jpg"",""https://steemitimages.com/DQmVGs6LArf7QR1QhCoDAp8wLUiaEzNPbvHvBRU2h2BgxQN/lwow25.jpg"",""https://steemitimages.com/DQmTGBUmgiQCEWDsioyVX4agoxzxAxvPmnbqzv5XTe1f3aQ/lwow31.jpg"",""https://steemitimages.com/DQmSytsmytHqFDVLPzvk2Y5cC4iq8hMRKMYwn8sJwcAbc5d/lwow108.jpg""]}",2018-05-16 22:59:06,Lviv - old postcards (2),/dlive/@varia/bb35bf08-595c-11e8-9068-0242ac110002,0
varia,732366f6-595a-11e8-9068-0242ac110002,Lviv - old postcards (1),dlive,"<center>![lwow323.jpg](https://steemitimages.com/DQmQPkjWScfGGaumhfNjgtVXfP9qgYS4AN4bJJQ6BYssE28/lwow323.jpg)</center>

<center>Main Square</center>

<center>![lwow337.jpg](https://steemitimages.com/DQmVq9rAtnULqCbMDR491zECcqCYW1F2qsAsit8PvEr1dTA/lwow337.jpg)<center>

<center>Town hall</center>

<center>![lwow17.jpg](https://steemitimages.com/DQmaFnRitbNq1GWnWGsKocTaKdLbTzP6RS3GxKnZmvJky1n/lwow17.jpg)</center>

<center>Polish bank</center>","{""tags"":[""photography"",""history"",""lviv"",""ukraine"",""dlive""],""app"":""steemit/0.1"",""format"":""markdown"",""language"":""en"",""thumbnail"":""http://ipfs.io/ipfs/QmNz4N9iKQwKm7v5etjgtbQKqpr5sWxbnkudpU5ER9pLym"",""image"":[""https://steemitimages.com/DQmQPkjWScfGGaumhfNjgtVXfP9qgYS4AN4bJJQ6BYssE28/lwow323.jpg"",""https://steemitimages.com/DQmVq9rAtnULqCbMDR491zECcqCYW1F2qsAsit8PvEr1dTA/lwow337.jpg"",""https://steemitimages.com/DQmaFnRitbNq1GWnWGsKocTaKdLbTzP6RS3GxKnZmvJky1n/lwow17.jpg""]}",2018-05-16 22:42:45,Lviv - old postcards (1),/dlive/@varia/732366f6-595a-11e8-9068-0242ac110002,1
varia,b87482f8-584f-11e8-8263-0242ac110002,Tartu - old postcards,dlive,"Tartu (or Dorpat) is the second largest city of Estonia. 

![870_001.jpg](https://steemitimages.com/DQmR6HZDcbWm7hcWHMXpNc9i1afAF2nX9hvTJbVhwsNH72C/870_001.jpg)

![918_001.jpg](https://steemitimages.com/DQmUbogojjNQnSNozrgnyHNq4QaNee8L8jeQ1BForkRvT6L/918_001.jpg)

![371_001.jpg](https://steemitimages.com/DQmSvmF4b4rM3pDEVmPM7HrjZ6evVRqHEed439HSnZzgm4Y/371_001.jpg)

![094_001.jpg](https://steemitimages.com/DQmPVKHCyfnKT6Pq66wGpSyetv6pRTvFSReSXWFUwkjbCsP/094_001.jpg)","{""tags"":[""history"",""estonia"",""postcards"",""europe"",""dlive""],""app"":""steemit/0.1"",""format"":""markdown"",""language"":""en"",""thumbnail"":""http://ipfs.io/ipfs/QmVufxXMCyg7gvQUY2dMh2GcbX1KjvpzRLgVQqZFJXinow"",""image"":[""https://steemitimages.com/DQmR6HZDcbWm7hcWHMXpNc9i1afAF2nX9hvTJbVhwsNH72C/870_001.jpg"",""https://steemitimages.com/DQmUbogojjNQnSNozrgnyHNq4QaNee8L8jeQ1BForkRvT6L/918_001.jpg"",""https://steemitimages.com/DQmSvmF4b4rM3pDEVmPM7HrjZ6evVRqHEed439HSnZzgm4Y/371_001.jpg"",""https://steemitimages.com/DQmPVKHCyfnKT6Pq66wGpSyetv6pRTvFSReSXWFUwkjbCsP/094_001.jpg""]}",2018-05-15 14:53:27,Tartu - old postcards,/dlive/@varia/b87482f8-584f-11e8-8263-0242ac110002,0
