author,permlink,title,category,body,json_metadata,created,root_title,url,children
venom-web,introducing-myself-to-the-hive-community-finailly,INTRODUCING MYSELF TO THE HIVE COMMUNITY. FINAILLY!!!,introduceyourself,"Hello family,
 This my first week on the hive and my first post on the community, i heard a lot about this beautiful people of hive and very happy to be part of the family.

![gb2.jpg](https://images.hive.blog/DQmePAELon9gkDNfQZqoazy8eadjzGLvardthEJbaPMVJMm/gb2.jpg)

# ABOUT ME.
my name is venom-web the only child in my family no sibling, its really said being the only child and trust me is boring has hell. Growing up with any sibling can just be so sad but all thank to the world of technology and social media that is the only family that keep me going. But now that i have joined hive community i know i will be having a lot of family to keep me going.

![gb3.jpg](https://images.hive.blog/DQmP4SEt5SVD6aJ5SdMes3vQ1gR1kws1z2bnJ2CEq3cwrgv/gb3.jpg)

# EDUCATION.
Has we all know education is the key to success; I’m studying business administration at National Open University of Nigeria (NOUN).

![GBC.jpg](https://images.hive.blog/DQmRPxmWTfF1cP7ryyFVAE5AB4QXAjvRCTuhAoymcUmZSMr/GBC.jpg)

# HOBBIES.
I don't do much ","{""tags"":[""introduceyourself"",""ocd"",""bdcommunity"",""neoxian"",""appreciator"",""gems"",""newbies"",""creativecoin""],""users"":[""venom-web""],""image"":[""https://images.hive.blog/DQmePAELon9gkDNfQZqoazy8eadjzGLvardthEJbaPMVJMm/gb2.jpg"",""https://images.hive.blog/DQmP4SEt5SVD6aJ5SdMes3vQ1gR1kws1z2bnJ2CEq3cwrgv/gb3.jpg"",""https://images.hive.blog/DQmRPxmWTfF1cP7ryyFVAE5AB4QXAjvRCTuhAoymcUmZSMr/GBC.jpg"",""https://images.hive.blog/DQmTWt6EPbk4QmCvDmk78t2269jAnc3PSc73oVQXstanHUm/gb1.jpg"",""https://images.hive.blog/DQmQe2Th3mRuy78KfZzN4CgijFfrVKCpNxaqmGt1VPAPEse/gb.jpg""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-07-01 19:12:33,INTRODUCING MYSELF TO THE HIVE COMMUNITY. FINAILLY!!!,/introduceyourself/@venom-web/introducing-myself-to-the-hive-community-finailly,3
venom-web,the-psychology-of-selling,The Psychology of Selling.,hive-167922,"Sales both you’re a herbal or you may’t do it in any respect. And that’s all there is to it, proper? Some human beings are sincerely born with total self warranty, best conversation skills and the uncanny potential to persuade others to buy what they’re selling.

![download (2).jpg](https://images.hive.blog/DQmV5UFDJcTWmpmgMuhhP6QnDUJ7mu2k7i3uLqF1Kjvc7hF/download%20(2).jpg)

The subconscious plays an important role within the assignment of a salesclerk except – really think of how intuitive reactions to facial expressions and frame language permit a salesclerk to preserve a prospect engaged. By writing stuff down in a simple listing, you deliver your unconscious a framework to work with.

Set yourself the goal of gaining knowledge of one new problem each day, although it’s actually some thing you heard at the radio. Then placed this new piece of records to apply as soon as you could. By getting to know new things inside the place of your forte each day, you’ll be one step closer to accomplishing excellence.
","{""tags"":[""ocd"",""gems"",""leofinance"",""business"",""creativecoin""],""image"":[""https://images.hive.blog/DQmV5UFDJcTWmpmgMuhhP6QnDUJ7mu2k7i3uLqF1Kjvc7hF/download%20(2).jpg""],""links"":[""https://lifeclub.org/books/the-psychology-of-selling-brian-tracy-review-summary"",""https://blog.hubspot.com/sales/the-psychology-of-selling#:~:text=The%20Psychology%20of%20Selling%20is,got%20a%20complete%20summary%20here."",""https://www.theinvestorspodcast.com/blog/the-psychology-of-selling-book-summary/"",""https://blog.12min.com/the-psychology-of-selling-summary/0"",""http://bestbookbits.com/psychology-selling-brian-tracy/""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-08-17 10:53:45,The Psychology of Selling.,/hive-167922/@venom-web/the-psychology-of-selling,0
venom-web,social-business-the-logical-extension,Social Business The Logical Extension.,hive-167922,"Social enterprise follows right on the heels of the wave of interest and activity around social media and its direct software to advertising: Social commercial enterprise is the logical extension of social era all through and throughout the enterprise. Social commercial enterprise takes social ideas sharing, rating, reviewing, connecting, and participating to all elements of the enterprise.

![images (1).jpg](https://images.hive.blog/DQmVt9tQayfm7mSySfVtDigibTzrdSQDF2qi9ewAkoM8CEj/images%20(1).jpg)

Social media advertising well practiced seeks to interact customers in the online social places where they evidently spend time.

It’s crucial to apprehend the role of the patron taken here to encompass anyone “on the alternative aspect” of a business transaction: It is probably a retail customer, a commercial enterprise patron, a donor for a nonprofit business enterprise, or a voter in an election. 

Consider the following, all of which can be regular of the forms of “outputs” a patron or business associate may ","{""tags"":[""hive-167922"",""leofinance"",""ocd"",""gems"",""stem"",""creativecoin""],""image"":[""https://images.hive.blog/DQmVt9tQayfm7mSySfVtDigibTzrdSQDF2qi9ewAkoM8CEj/images%20(1).jpg""],""links"":[""https://digital-sherpa.me/2012/10/11/is-social-maybe-just-a-logical-extension-of-information-objects-socialbusiness-socbiz-e20-enterprise20/"",""http://pauladaunt.com/books/Social%20Media%20Marketing.pdf"",""https://www.mdpi.com/2071-1050/12/8/3262/pdf"",""https://www.sciencedirect.com/science/article/pii/S2405844018392351"",""https://www.sciencedirect.com/science/article/pii/S0883902616300192""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-08-13 11:47:21,Social Business The Logical Extension.,/hive-167922/@venom-web/social-business-the-logical-extension,0
venom-web,factors-of-success-for-the-introduction-of-bots,Factors of Success for the Introduction of Bots,hive-167922,"If we recollect the successful and unsuccessful bot trials, the “race” for the usage of bots in client talk that has already started out can no longer be located blindly. 

![download.jpg](https://images.hive.blog/DQmfYafdLFcEsrwhjgF4nNkMPZ1u2qHTrRrLNQGDhPAKHCG/download.jpg)


Most lately, Microsoft made the headlines with the Twitter bot Tay, which turned into in the beginning purported to be evidence of overall performance of cutting-edge AI skills. Within one day, the bot located out loads from his contacts on Twitter and grew to turn out to be from being a youthful buddy to a “hate bot …, who uttered anti-feminist, racist and inciting Tweets”.


Such a loss of manipulate over a bot ought to have severe outcomes in a business enterprise’s customer support. When making plans and enforcing bot projects, the following elements have to be taken into consideration.

# source.
[1](https://www.researchgate.net/publication/247907398_Framework_for_Critical_Success_Factors_of_BOT_Projects_in_China),[2](https://www.","{""tags"":[""ocd"",""gems"",""leofinance"",""stem"",""projecthope""],""image"":[""https://images.hive.blog/DQmfYafdLFcEsrwhjgF4nNkMPZ1u2qHTrRrLNQGDhPAKHCG/download.jpg""],""links"":[""https://www.researchgate.net/publication/247907398_Framework_for_Critical_Success_Factors_of_BOT_Projects_in_China"",""https://www.cmswire.com/digital-workplace/6-success-factors-for-workplace-chatbots/"",""https://www.theseus.fi/bitstream/handle/10024/166422/Master_EevaKousa.pdf?sequence=2&isAllowed=y""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-08-11 11:44:39,Factors of Success for the Introduction of Bots,/hive-167922/@venom-web/factors-of-success-for-the-introduction-of-bots,0
venom-web,the-navigability-network-with-internet-of-things,The Navigability Network With Internet Of Things.,hive-167922,"A navigable network is one where in there exists a direction to all or most present nodes in the community, every node may have statistics of all of the nodes in the setup and the use of dispensed computation the nodes can change facts.

![images.png](https://images.hive.blog/DQmaCbsDTRvTFRun4NXrbm3TNNkF8CSV9MwCbVL6rHAbYpn/images.png)

 The idea is that every one the nodes in the SIoT can also have a brief and direct path to each different. This improves the overall performance of sending and receiving data in the SIoT. Currently the gadgets able to being associated in IoT are increasing normal, for that reason the relationship and get right of entry to time for the matters has extended.

SIoT offers a way to reduce the access time of these gadgets through using social community. The nodes is probably linked as buddies and therefore use that fellowship to discover the foremost navigable direction.

Each node will have facts of the surrounding nodes and utilizes that to choose buddies and navigate the worldwi","{""tags"":[""hive-167922"",""creativecoin"",""ocd"",""gems"",""stem"",""leofinance""],""image"":[""https://images.hive.blog/DQmaCbsDTRvTFRun4NXrbm3TNNkF8CSV9MwCbVL6rHAbYpn/images.png""],""links"":[""https://www.pnas.org/content/115/24/6297"",""https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjS7LyVgILrAhVIOBoKHfGaAvMQFjAAegQIARAB&url=https%3A%2F%2Fwww.nature.com%2Farticles%2Fncomms8651&usg=AOvVaw2jHRxFsBF37bFuesYWMiJn"",""https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjS7LyVgILrAhVIOBoKHfGaAvMQFjACegQIBRAB&url=https%3A%2F%2Fwww.networkscienceinstitute.org%2Fprojects%2Fnavigation-in-networks&usg=AOvVaw3WYOwmFyWa_AekW15teXCL"",""https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjS7LyVgILrAhVIOBoKHfGaAvMQFjADegQIBhAB&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F280002180_Navigable_networks_as_Nash_equilibria_of_navigation_games&usg=AOvVaw35kd_zzbKqTh56ODR3SjOl"",""https://www.google.com/url?sa=t&rct=j&q=&esrc=s",2020-08-04 17:06:33,The Navigability Network With Internet Of Things.,/hive-167922/@venom-web/the-navigability-network-with-internet-of-things,0
venom-web,the-advantages-of-algorithmic-marketing,The Advantages of Algorithmic Marketing.,hive-167922,"On the idea of large data monitoring, the “client adventure” may be systematically measured via different touch points which incorporates are seeking, social media and classified ads. On the premise of the data acquired on this manner, media and marketing and advertising and marketing making plans may be optimized with the assist of so-called attribution modelling.


![MeshAgencyBlog_FeaturedImage_AlgorithmicMarketing.jpg](https://images.hive.blog/DQmW8o6BYL993gmkHFE15GzXw5ZkqMscZ7jgpUNwy9P6hLF/MeshAgencyBlog_FeaturedImage_AlgorithmicMarketing.jpg)

 From a huge huge variety of records and points in time, the records mining version calculates the right channel mix through calculating the rate proposition of every touch point in the regular channel idea. Tis way, which touch points have an immediate conversion feature and which have instead an help characteristic may be as it have to be defined. Likewise, conclusions can be made approximately the temporal cause and effect chains.

It is interesting and essent","{""tags"":[""creativecoin"",""leofinance"",""ocd"",""gems"",""zzan"",""pal""],""image"":[""https://images.hive.blog/DQmW8o6BYL993gmkHFE15GzXw5ZkqMscZ7jgpUNwy9P6hLF/MeshAgencyBlog_FeaturedImage_AlgorithmicMarketing.jpg""],""links"":[""https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjQtLvJ2f7qAhVhQRUIHSF2ARgQFjABegQIDBAG&url=https%3A%2F%2Fwww.nasdaq.com%2Farticles%2Fadvantages-algorithmic-trading-2019-06-07%23%3A~%3Atext%3DThe%2520advantages%2520of%2520algo%2520trading%2Cfaster%2520than%2520humans%2520can%2520perceive.&usg=AOvVaw1m0TrLLIDFpu0nX0kc0ihT"",""https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjQtLvJ2f7qAhVhQRUIHSF2ARgQFjAKegQIBBAB&url=https%3A%2F%2Fcustomerthink.com%2Fshould-marketers-go-all-in-on-algorithmic-marketing%2F&usg=AOvVaw1Dn-GNcUNrO-SVu-yFkZG6"",""https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjQtLvJ2f7qAhVhQRUIHSF2ARgQFjALegQIAhAB&url=https%3A%2F%2Fyalantis.com%2Fblog%2Fthe-future-of-the-alg",2020-08-03 09:24:09,The Advantages of Algorithmic Marketing.,/hive-167922/@venom-web/the-advantages-of-algorithmic-marketing,0
venom-web,relevance-and-potential-of-bots-for-customer-engagement,Relevance and Potential of Bots for Customer Engagement,hive-167922,"Obtaining records, fight take a look at-ins or retaining a diary of one’s very personal eating regimen all of that is viable in speak today. Customers can ask questions thru Messenger or WhatsApp or initiate tactics. Tis provider is relaxed for the consumer, to be had continually thru mobile and guarantees fast solutions or smooth trouble-fixing. 


![download (8).jpg](https://images.hive.blog/DQmbGcBKDRSyNzyZbvLh1GYfd69CRHpN8j8kYAsxYRhf7kJ/download%20(8).jpg)

A in the meantime strongly developing amount of agencies is already relying on this means of contact and the figures on chat usage talk in choose of this indicates supplementing or maybe changing many apps and internet gives in the future. 

Te reasons for this are manifold, Figures of the net mag Business Insider show a clean development faraway from the general public post to the usage of personal messaging services along with Facebook Messenger or WhatsApp. Facebook in the meantime has a consumer base of spherical 1.7 billion people worldwide 1.1 b","{""tags"":[""hive-167922"",""creativecoin"",""ocd"",""gems"",""leofinance"",""technology"",""ai"",""science""],""image"":[""https://images.hive.blog/DQmbGcBKDRSyNzyZbvLh1GYfd69CRHpN8j8kYAsxYRhf7kJ/download%20(8).jpg""],""links"":[""https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwicka7Yxu_qAhVVndUKHcJWDPwYABAAGgJ3cw&ohost=www.google.com&cid=CAASEuRog51_ApXRClwagb5TC7HjyA&sig=AOD64_0nTl9UIe-9yTKORQsnoRfSxK8Tqw&q=&ved=2ahUKEwig96bYxu_qAhUO1RoKHc_7BMoQ0Qx6BAgOEAE&adurl="",""https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwig96bYxu_qAhUO1RoKHc_7BMoQFjAAegQIBBAB&url=https%3A%2F%2Fperfectial.com%2Fblog%2Fbusiness-chatbots-transform-customer-engagement%2F&usg=AOvVaw31hXEvvdHqkxetdFeKDbGf"",""https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwig96bYxu_qAhUO1RoKHc_7BMoQFjAJegQIBRAB&url=https%3A%2F%2Fchatbotslife.com%2Fhow-ai-chatbots-are-redefining-customer-engagement-and-service-3975462b8b34&usg=AOvVaw0BjqWIm4ruSGr1llZG9OMB"",""https://www.google.com/url?sa=t",2020-07-28 09:25:09,Relevance and Potential of Bots for Customer Engagement,/hive-167922/@venom-web/relevance-and-potential-of-bots-for-customer-engagement,1
venom-web,motivation-and-development-in-artificial-intelligence-marketing,motivation and development in artificial  intelligence marketing.,hive-167922,"customers when they want to contact a company will either fill in a forms or call using the hotline but that will take a long process and a lot of time on hold, this communication will make the customer annoyed because its very slow.

![Screen-Shot-2018-02-02-at-2.13.03-PM.png](https://images.hive.blog/DQmb1DbbZm8CtwWK6UDrcavcZchZDL8gkDjUoTgcRfwLa9W/Screen-Shot-2018-02-02-at-2.13.03-PM.png)

i remember when i use the ATM and i got debited twice without getting any cash, i was very angry then i called the bank hotline it took forever before my call was placed that made me more angry after picking my call i was later told to come to the bank and fill a forms with the hope i will get my money back that day because it was the last cash on me i used to transport myself to the back. after filling the form i was told the cash will be return within seven days can you imagine i go annoying and started displaying in the bank before every was later resolve.

https://www.youtube.com/watch?v=PXJtFc8DjsE

but look at it t","{""tags"":[""hive-167922"",""leofinance"",""ocd"",""bdcommunity"",""neoxian"",""appreciator"",""gems"",""creativecoin""],""image"":[""https://images.hive.blog/DQmb1DbbZm8CtwWK6UDrcavcZchZDL8gkDjUoTgcRfwLa9W/Screen-Shot-2018-02-02-at-2.13.03-PM.png"",""https://img.youtube.com/vi/PXJtFc8DjsE/0.jpg"",""https://images.hive.blog/DQmbJTZjDFnnvvVy4oRZqhcEK7kxkwHEkPieQjwJbxawayv/download%20(5).jpg""],""links"":[""https://www.youtube.com/watch?v=PXJtFc8DjsE"",""https://www.digitalauthority.me/resources/artificial-intelligence-marketing/"",""https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj6tumX09vqAhVMtNUKHa2ZAqkYABAAGgJ3cw&ohost=www.google.com&cid=CAESQOD2uLBEblpxnXQfH2KF6z8WR8iRS-m4wneIv3JPr5NUEKfZ6kWtryacdMixmFBHEeLBnvUVQpj4n1El2t0JXIw&sig=AOD64_1SQz2Z8o_ebo1levNMuLg1v4iwog&q=&ved=2ahUKEwjV-t-X09vqAhVCTBoKHVQOAQoQ0Qx6BAgOEAE&adurl="",""https://irishtechnews.ie/how-is-artificial-intelligence-ai-used-to-motivate-employees-in-an-organisation/""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-07-20 11:03:09,motivation and development in artificial  intelligence marketing.,/hive-167922/@venom-web/motivation-and-development-in-artificial-intelligence-marketing,0
venom-web,how-the-internet-changed-the-rules-of-marketing,How The Internet Changed The Rules Of Marketing.,hive-167922,"If you are planning of buying a toothpaste and millions of consumers are trying to do the same thing but what is so important about this toothpaste, the internet is the primary source of information when you are thinking of purchase, you stay glue to your computer visit the site and do you research and out the different in the paste for another.


![download (2).jpg](https://images.hive.blog/DQmRN82voLFvSWNcD9jWxsc4xmPFBY1ufw4hh6zSDNFhYBW/download%20(2).jpg)

There are individual site that will help the consumers in considering since you got the flash video TV commercials, pretty images and low financing offers on these sites.

https://www.youtube.com/watch?v=5wx0GfbC0BA

Taking a look at personality on the site but you still don't get all the information you need because the organization as nameless faceless corporation. That where the blog come in the blog is a place where people interact and drop series of information about the product.


![download (3).jpg](https://images.hive.blog/DQmWhSox2rPYZzkWKKQxhq","{""tags"":[""projecthope"",""creativecoin"",""stem"",""marketing"",""technology"",""ocd"",""gems""],""image"":[""https://images.hive.blog/DQmRN82voLFvSWNcD9jWxsc4xmPFBY1ufw4hh6zSDNFhYBW/download%20(2).jpg"",""https://img.youtube.com/vi/5wx0GfbC0BA/0.jpg"",""https://images.hive.blog/DQmWhSox2rPYZzkWKKQxhq31inYdbiaz5TYCYYJrh91rSKX/download%20(3).jpg"",""https://img.youtube.com/vi/-IKdQ__TnS4/0.jpg""],""links"":[""https://www.youtube.com/watch?v=5wx0GfbC0BA"",""https://www.youtube.com/watch?v=-IKdQ__TnS4"",""https://rapidboostmarketing.com/how-the-web-has-changed-the-rules-of-marketing-and-pr/"",""https://www.researchgate.net/publication/220202119_The_Impact_of_the_Internet_on_Marketing_Strategy_Revisiting_Early_Predictions"",""https://blog.hubspot.com/blog/tabid/6307/bid/2372/the-new-rules-of-marketing.aspx""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-07-08 12:30:36,How The Internet Changed The Rules Of Marketing.,/hive-167922/@venom-web/how-the-internet-changed-the-rules-of-marketing,0
venom-web,the-use-of-internet-of-thing-iot-in-the-world,the use of internet of thing (IOT)  in the world.,hive-175254,"IOT is a very wide internet use for many and daily actives such as information retrieval, video streaming, file sharing, online shopping, banking, social networking. it could also be called web 3.0 because it allow the internet connect to each other and get some information just at the tip of your finger and make communication very easy. 

![download.jpg](https://images.hive.blog/DQmRQr272t4BzvMZ4SkgwVrbHrpRPpWZ8iEZToQpwkzKvZQ/download.jpg)

IOT could also be access in the following;

* City: IOT is very common in the city it could be us for various way for instance car, traffic monitoring, street light, waste, pollution and mobile appliances.

![download (1).jpg](https://images.hive.blog/DQmcFRoBRCYi9aJ3f2Mo26zw4k4SQq68Xyw18BB2MBTUuJR/download%20(1).jpg)

* Home: IOT help you communication divination in home appliances with the use of mobile devices has a gateway to the cloud server for information for update about your home anytime if you are at home or away.

* Vehicles: with use of sensors in all vehicle","{""tags"":[""technology"",""iot"",""leofinance"",""nigeria"",""ocd"",""gems""],""image"":[""https://images.hive.blog/DQmRQr272t4BzvMZ4SkgwVrbHrpRPpWZ8iEZToQpwkzKvZQ/download.jpg"",""https://images.hive.blog/DQmcFRoBRCYi9aJ3f2Mo26zw4k4SQq68Xyw18BB2MBTUuJR/download%20(1).jpg"",""https://images.hive.blog/DQmTJHoz1Khq4XByBeHmoipxaGArvF7E68Ajp8Kuc5LR23V/interntofthings.jpeg""],""links"":[""https://en.wikipedia.org/wiki/Internet_of_things"",""https://www.globenewswire.com/news-release/2020/07/06/2057921/0/en/Global-IoT-Chip-Market-2019-to-2025-Cross-Domain-Collaborations-Presents-Opportunities.html"",""https://www.iotforall.com/what-is-iot-simple-explanation/"",""https://www.networkworld.com/article/3207535/what-is-iot-the-internet-of-things-explained.html""],""app"":""hiveblog/0.1"",""format"":""markdown""}",2020-07-06 17:11:12,the use of internet of thing (IOT)  in the world.,/hive-175254/@venom-web/the-use-of-internet-of-thing-iot-in-the-world,0
