"author","permlink","title","category","body","json_metadata","created","root_title","url","children"
bolajija,having-babies-around-f3e02345c1166,Having Babies Around,history,"Different societies around the world have special 'customs' for the birth of a baby:

 • The Mbuti pygmies of the African rain forests tie a piece of jungle vibe around a new baby's waist. They attach a small piece of wood to the vibe to pass on the strength of the forest to the baby. 
  • The Ainu hunters of northern Japan make a tiny cut in a new baby's thigh. They dress the cut with fungi to pass on the magical power of sacred trees. 
          ![image](https://img.esteem.ws/0gl2yyvsqa.jpg). 
  • The Nootka tribe, from the northwest coast of North America, believe that twins are magical. If a family has twins, the parents and children are kept apart from the rest of the tribe for four years, so their. Magical properties will develop. 
             ![image](https://img.esteem.ws/8gqesbsre1.jpg). 
  • In many societies births are followed by a religious festival. In Christian countries babies are christened. They have the sign of the cross made on their forehead with holy water.","{""links"":[],""image"":[""https://img.esteem.ws/0gl2yyvsqa.jpg"",""https://img.esteem.ws/8gqesbsre1.jpg""],""tags"":[""history"",""wafrica"",""naijapidgin"",""nigeria"",""blog""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-08-18 07:25:03.000,Having Babies Around,/history/@bolajija/having-babies-around-f3e02345c1166,0
bolajija,space-oddities-8b8a64c92086a,Space oddities,writing,"Although scientists know much about the Universe, there are still many strange thing in space that have not been fully explained black holes are the most mysterious. It seems that they exist, but they can never be seen ! 
     Anything that falls into a black hole can never come out again because gravity will crush it to nothing.   ![image](https://img.esteem.ws/x9o8q1th0m.jpg)
  BLACK HOLES
  Some very rare stars contain as much material as fifty or more suns. They are the brightest stars in the universe yet they turn into black holes- the blackest object in space 
1) when these stars die they keep on shrinking, because the pull of gravity is so strong 
2) They shrink down to a ting speck, called singularity or black hole 
3) Although tiny, the black hole contains all the material from the huge star
4 A black hole's gravity is so strong that no light can escape from it
5) Astronomers have not seen a black hole, but they have found stars they think may have a black hole nearby.  ![image](https://img.esteem.ws/1i61m0wa32.jpg)
>quote    
  Quasars are very distant that send out far more light than ordinary galaxies. They may also send out strong radio waves. 
    • Quasars seem to be sending out tremendous energy from a small space inside them. This could come from gas whirling around a gaint black hole at the centre of the galaxy. 
  • The name 'quasar' is short for quasi stellar (star-like) object.","{""links"":[],""image"":[""https://img.esteem.ws/x9o8q1th0m.jpg"",""https://img.esteem.ws/1i61m0wa32.jpg""],""tags"":[""writing"",""blog"",""wafrica"",""naijapidgin"",""nigeria""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-11-07 07:39:09.000,Space oddities,/writing/@bolajija/space-oddities-8b8a64c92086a,5
bolajija,zoo-work-f19f07752b34f,Zoo work,steemstem,"• The Arabian oryx became extinct in the wild 20 years ago. Surviving oryx were reared in Arizona, USA, and the species is now back in the wild. 
 • several endangered monkey species have been bred in zoos. However, it is not always safe to release them back into the wild because their jungle homes are still being destroyed. 
 ![image](https://img.esteem.ws/ar0it9qqa2.jpg). 
 • The rare charham island black robin was saved from extinction by New Zealand wildlife experts, who used tom tits to foster the robin chicks. 
  • The South African quagga looked like a zebra. It was hunted for food until it died out.","{""links"":[],""image"":[""https://img.esteem.ws/ar0it9qqa2.jpg""],""tags"":[""steemstem"",""wafrica"",""naijapidgin"",""nigeria"",""writing""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-10-02 17:02:36.000,Zoo work,/steemstem/@bolajija/zoo-work-f19f07752b34f,2
bolajija,happy-independent-day-nigeria-58-cdeef6ab60342,Happy independent day Nigeria @58,african,"Good Morning Africa, it being a wonderful day seen the peace of the world war in Nigeria. However we are celebrating peace, honesty and loyalty in our country Nigeria we serve nigeria with all our strength we pray our country will keep on going well with love of ourpresident Muhammad buhari and our ancestors for the peace that will  continue to bless our community.  
  I folarin James I am proudly happy to become a nigeria I will fight for justice in my country o god of creation direct and noble call direct our leader right nigeria 🇳🇬 we love from Nigeria.","{""tags"":[""african"",""wafrica"",""naijapidgin"",""nigeria"",""writing""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-10-01 05:16:36.000,Happy independent day Nigeria @58,/african/@bolajija/happy-independent-day-nigeria-58-cdeef6ab60342,1
bolajija,fascinating-fish-7b7468d7c4a9c,Fascinating fish,aquarium,"Introduction 
The underwater world is full of strange surprises: 
• Thw Arawana lives in the flooded amazon rainforest it can jump up to 2 meters out of the water to feed on small birds or bats in the trees above. 
   • The African lungfish lives in mud at the bottom of dried-out swamps. It burrows into the ground and covers itself mucus to keep moist. 
 ![image](https://img.esteem.ws/bpdbj18y90.jpg). 
  • Dolphins, whales and porpoises talk to each other with clicking and whistling noises.
 • once the Female emperor penguins has laid an egg, the male keeps it warm by balancing it on his feet under a flap of skin.","{""links"":[],""image"":[""https://img.esteem.ws/bpdbj18y90.jpg""],""tags"":[""aquarium"",""water"",""wafrica"",""naijapidgin"",""nigeria""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-09-26 16:41:00.000,Fascinating fish,/aquarium/@bolajija/fascinating-fish-7b7468d7c4a9c,0
bolajija,ways-of-reproducing-89752740c0988,Ways of reproducing,reproductive,"Here are the four basic ways that animals reproduce. 
 • The simplest forms of one-called animals, such as amoebae, reproduce by splitting themselves in half to from two identical creatures. Animals that behave in this way are called asexual 
   • some simple animals, such as sea corals and freshwater hydra, produce new creatures by budding. They grow a new branch which is a small version of the parent. Eventually the branch splits off to become a new individual. 
 ![image](https://img.esteem.ws/90uwh1hvo3.jpg). 
• Most animals have different male and female species. The male produces cells called sperm.the female produces egg cells called ova. The male sperm must join with the female egg before a new animal is produced. This method is called sexual reproduction.","{""links"":[],""image"":[""https://img.esteem.ws/90uwh1hvo3.jpg""],""tags"":[""reproductive"",""systems"",""wafrica"",""naijapidgin"",""nigeria""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-09-24 20:31:30.000,Ways of reproducing,/reproductive/@bolajija/ways-of-reproducing-89752740c0988,1
bolajija,plant-life-e77c77efa945,Plant life,steemstem,"• The largest tree in the world is a giant sequoia growing in California. It is 84 metres tall and measures 29 meters round the trunk. 
•The fastest-growing tree is the eucalyptus. It can grow 10 meters a year. 
 • The world's oldest trees are the bristlecone pines of California. One of them is about 4600 years old. 
    ![image](https://img.esteem.ws/kyirxsf1r4.jpg). 
  • The largest flower comes from the rafflesia plant. The flower can weigh 6kg and grow to a width of 91 cm. 
   • The largest forest in the world covers parts of Scandinavia and northern USSR and has a total area of over 9 million sq.k.m.","{""links"":[],""image"":[""https://img.esteem.ws/kyirxsf1r4.jpg""],""tags"":[""steemstem"",""wafrica"",""naijapidgin"",""nigeria"",""bigwave""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-09-23 20:26:21.000,Plant life,/steemstem/@bolajija/plant-life-e77c77efa945,0
bolajija,rivers-0f23c1b680e76,Rivers,steemstem,"Rivers begin high up on mountains and run downhill to the sea. They start from underground springs or melting glaciers. A river's route is divided into three parts. The first part is called the upper course, where the river flows steeply downhill and the current is fast. The water carries sand, gravel and rocks down with it. 
   ![image](https://img.esteem.ws/rfmv3q0jsd.jpg). 
    In the middle course the river flows along a gentler slope. It travels more slowly but it still wears away rock and sand from its banks. 
    In the lower course the river slows down and gets wider. The sand and rock it has been carrying are now worn down to tiny particles called silt.","{""links"":[],""image"":[""https://img.esteem.ws/rfmv3q0jsd.jpg""],""tags"":[""steemstem"",""wafrica"",""naijapidgin"",""nigeria"",""blog""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-09-22 18:17:36.000,Rivers,/steemstem/@bolajija/rivers-0f23c1b680e76,3
bolajija,coping-in-the-cold-cb4d6ec0514b7,Coping in the cold,steemstem,"In the winter months, when the weather is at its fiercest and food is hard to find, some mountain animals hibernate, which means that they sleep deeply for a long period of time. During hibernation: 
• body temperature drops. 
• The animals heartbeat slows down so that it uses up less energy. 
 ![image](https://img.esteem.ws/t4bm2wjhk0.jpg). 
 • The body fat reserve are gradually used up for nutrition. 
  • Eagles can fly very high. They glide on warm air currents called thermals to help lift them higher. Remain of steppe eagles have been found on n Mount Everest at heights of 7500 meters. It is thought that some eagles even fly right over Mount Everest. >quote","{""links"":[],""image"":[""https://img.esteem.ws/t4bm2wjhk0.jpg""],""tags"":[""steemstem"",""wafrica"",""naijapidgin"",""nigeria"",""blog""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-09-20 21:44:09.000,Coping in the cold,/steemstem/@bolajija/coping-in-the-cold-cb4d6ec0514b7,3
bolajija,atmosphere-487a0752034b9,Atmosphere,steemstem,"The troposphere- height up to 16km over the Equator, 8km over the poles. This layer contains nearly all the water vapour and most of the other gases in the Other gases in the atmosphere. It gets colder with height. 
 ![image](https://img.esteem.ws/bpdbj18y90.jpg). 
 • The troposphere- height 8 to 50 km varies from place to place. This layer is cold, but the temperature increases with height. Within this layer is a band of ozone gas which filters out the sun harmful rays. 
   • The thermosphere - height 80 to 599 km. The temperature of this layer increases with height. At the top it is about 2200c","{""links"":[],""image"":[""https://img.esteem.ws/bpdbj18y90.jpg""],""tags"":[""steemstem"",""wafrica"",""naijapidgin"",""nigeria"",""blog""],""app"":""esteem/1.6.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-09-19 21:57:12.000,Atmosphere,/steemstem/@bolajija/atmosphere-487a0752034b9,1
