author,permlink,title,category,body,json_metadata,created,root_title,url,children
fundacja,o-broni-czarnoprochowej-w-kbk,Spotkania w KBK: Broń czarnoprochowa,polish,"Dziś w Królestwie Bez Kresu odbyło się spotkanie poświęcone broni czarnoprochowej. Wg obowiązującego w Polsce prawa można taką legalnie nabyć i posiadać bez zezwolenia (o ile została zaprojektowana przed rokiem 1885 i jest ładowana rozdzielnie). Swoją bogatą kolekcję przedstawił Maciej Kilarski - rzeszowski złotnik, rekonstruktor i pasjonat historii powstania styczniowego.

![IMG_9922.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997807/ps8qv333tanfdt9vcqon.jpg)

![IMG_9918.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997959/zwbfiaxrkivhmsn8w9vn.jpg)

![IMG_9923.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997983/zpi4pb8pwdrrcklntz1v.jpg)

![IMG_9927.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998020/jz35wbwa3w19p113plev.jpg)

![IMG_9931.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998113/yi65ttqm53gj99fm8gi2.jpg)

![IMG_9925.JPG](https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998087/rezhfkewj7vr1f6ess40.jpg)

![IMG_9924.JPG](","{""community"":""busy"",""app"":""busy/2.3.0"",""format"":""markdown"",""links"":[""http://www.pch24.pl/prawo-pariasa--bron-czarnoprochowa,1266,i.html#ixzz55K7WVtcV""],""tags"":[""polish"",""reakcja"",""busy"",""history"",""pl-tradycja""],""image"":[""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997807/ps8qv333tanfdt9vcqon.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997959/zwbfiaxrkivhmsn8w9vn.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516997983/zpi4pb8pwdrrcklntz1v.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998020/jz35wbwa3w19p113plev.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998113/yi65ttqm53gj99fm8gi2.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998087/rezhfkewj7vr1f6ess40.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998151/jeaegzvp45gsjbdfzszi.jpg"",""https://res.cloudinary.com/hpiynhbhq/image/upload/v1516998177/wx3p0ff4knlb2pk0lwqc.jpg""]}",2018-01-26 20:28:00,Spotkania w KBK: Broń czarnoprochowa,/polish/@fundacja/o-broni-czarnoprochowej-w-kbk,32
fundacja,kresy-kresow-3-polskie-westerplatte-na-lotwie,Kresy Kresów #3: Polskie Westerplatte na Łotwie,polish,"https://www.youtube.com/watch?v=QVlfjQwKDiU

Przypominamy film sprzed czterech lat, nakręcony podczas Projektu Inflanty, na którym Dawid @Hallmann opowiada o polskości na Łotwie. Niestety dziś sytuacja jest jeszcze gorsza. Z roku na rok coraz mniej jest tych, dla których polski był pierwszym jezykiem. Wraz z ich odeściem wygasa polskość...","{""community"":""busy"",""app"":""busy/2.4.0"",""format"":""markdown"",""users"":[""Hallmann""],""links"":[""/@hallmann""],""tags"":[""polish"",""reakcja"",""pl-tradycja"",""pl-lotwa"",""busy""]}",2018-03-25 16:40:03,Kresy Kresów #3: Polskie Westerplatte na Łotwie,/polish/@fundacja/kresy-kresow-3-polskie-westerplatte-na-lotwie,2
fundacja,dziewietnasty-tydzien-tagu-pl-tradycja,Dziewiętnasty tydzień tagu pl-tradycja,polish,"![tardc.jpg](https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg)

19 tydzień za nami. Ostatnie 7 dni zgromadziło na tagu #pl-tradycja 9 autorów, którzy napisali 20 postów. Poniżej spis artykułów (od najstarszych do najnowszych), które ukazały się od 4 do 11 czerwca:

@piewca: [Legenda o czterech wiatrach](https://steemit.com/pl-tradycja/@piewca/legendaoczterechwiatrach-gs9jifoitr)

@piewca: [Saint Philibert ""Mały Titanic""](https://steemit.com/pl-tradycja/@piewca/saintphilibertmaytitanic-2y71ogeomp)

@rolsonpatison: [Wszyscy jesteśmy drużyną narodową - O tym jak Futbol zjednoczył Polaków.](https://steemit.com/polish/@rolsonpatison/wszyscy-jestesmy-druzyna-narodowa-o-tym-jak-futbol-zjednoczyl-polakow)

@piewca: [Turkowe Pole](https://steemit.com/pl-tradycja/@piewca/turkowepole-tno8cne58a)

@skryptorium: [""Litwa - obyczaje i zwyczaje"": Jeleń (Elnis)](https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-jelen-elnis)


@marcon: [U Zapomnianych Krajan - Media Znad ","{""tags"":[""polish"",""pl-tradycja""],""users"":[""piewca"",""rolsonpatison"",""skryptorium"",""marcon"",""lesiopm"",""hallmann"",""saunter-pl"",""hrabiaeryk"",""kaysh""],""image"":[""https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg""],""links"":[""https://steemit.com/pl-tradycja/@piewca/legendaoczterechwiatrach-gs9jifoitr"",""https://steemit.com/pl-tradycja/@piewca/saintphilibertmaytitanic-2y71ogeomp"",""https://steemit.com/polish/@rolsonpatison/wszyscy-jestesmy-druzyna-narodowa-o-tym-jak-futbol-zjednoczyl-polakow"",""https://steemit.com/pl-tradycja/@piewca/turkowepole-tno8cne58a"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-jelen-elnis"",""https://steemit.com/polish/@marcon/u-zapomnianych-krajan-media-znad-wilii"",""https://steemit.com/pl-tradycja/@piewca/hemniemiecki-32fpr5v0aj"",""https://steemit.com/polish/@lesiopm/przypomnienie-druga-edycja-konkursu-100-lat-niepodleglej-pula-nagrod-10-sbd"",""https://steemit.com/pl-tradycja/@piewca/przydrodzedososnowcaidbrowygrniczej-eg8bax848t"",""https:/",2018-06-11 18:27:00,Dziewiętnasty tydzień tagu pl-tradycja,/polish/@fundacja/dziewietnasty-tydzien-tagu-pl-tradycja,0
fundacja,21-tydzien-tagu-pl-tradycja,21 tydzień tagu pl-tradycja,polish,"https://steemitimages.com/0x0/https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg

Dwudziesty pierwszy tydzień za nami. Ostatnie 7 dni zgromadziło na tagu #pl-tradycja 7 autorów, którzy napisali 15 postów. Poniżej spis artykułów (od najstarszych do najnowszych), które ukazały się od 18 do 25 czerwca:

[""Litwa - obyczaje i zwyczaje"": Kogut (Gajdis)](https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-kogut-gajdis)

[U Zapomnianych Krajan - Horror dietetyka, czyli o kuchni litewskiej](https://steemit.com/polish/@marcon/u-zapomnianych-krajan-horror-dietetyka-czyli-o-kuchni-litewskiej)

[Legenda o olbrzymie z Miedzianki](https://steemit.com/pl-tradycja/@piewca/legendaoolbrzymiezmiedzianki-u3cy3y9li1)

[Kazimierz Piechowski - legendarny uciekinier z KL Auschwitz](https://steemit.com/polish/@zwora/kazimierz-piechowski-legendarny-uciekinier-z-kl-auschwitz)

[Poszukiwania – Stefan Gądzio „ Kos” i Tadeusz Łęcki „Krogulec” – Śladami prawdy](https://steemit.com/steemjs/","{""tags"":[""polish"",""pl-tradycja""],""image"":[""https://steemitimages.com/0x0/https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg""],""links"":[""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-kogut-gajdis"",""https://steemit.com/polish/@marcon/u-zapomnianych-krajan-horror-dietetyka-czyli-o-kuchni-litewskiej"",""https://steemit.com/pl-tradycja/@piewca/legendaoolbrzymiezmiedzianki-u3cy3y9li1"",""https://steemit.com/polish/@zwora/kazimierz-piechowski-legendarny-uciekinier-z-kl-auschwitz"",""https://steemit.com/steemjs/@piewca/poszukiwania-stefan-gadzio-kos-i-tadeusz-lecki-krogulec-sladami-prawdy"",""https://steemit.com/polish/@wolontariusz/pod-prad-wawozem-w-twarz-ognistym-wiatrom"",""https://steemit.com/polish/@skryptorium/litwa-obyczaje-i-zwyczaje-ges-zunsis"",""https://steemit.com/pl-tradycja/@piewca/kapliczkiiwitkiludowe-ayh0hnd55a"",""https://steemit.com/pl-tradycja/@piewca/kocirodzinaipastwojakoczynnikiwychowawcze-owy3c4hn30"",""https://steemit.com/polish/@fundacja/3-powody-dl",2018-06-25 15:48:18,21 tydzień tagu pl-tradycja,/polish/@fundacja/21-tydzien-tagu-pl-tradycja,0
fundacja,kingdom-we-ve-got-it,KINGDOM. We've got it!,fundition,"![IMG_5437.JPG](https://cdn.steemitimages.com/DQmQvtsP6k1V6ukpTfVkX8YUDgsaumvtsGovSa88JfwxTko/IMG_5437.JPG)

We've got it! The brochures are ready. There is information about our Kingdom, Steem blockchain and note that our project is supported by Fundition. 

They were prepared for November 12 and our open day, but we will use them also tomorrow during the opening of the exhibition. We will host Emilia Garbień - a student of the Academy of Fine Arts in Krakow. She will unveil 16 works created with different techniques. The event will be a great opportunity to promote Steem among artists. Start at 6 pm.

![IMG_5428.JPG](https://cdn.steemitimages.com/DQmVozneg8w2yRL6Q2VSRrKoqS1aHJ3EWWMQ5vcHFhdKt1v/IMG_5428.JPG)

![IMG_5432.JPG](https://cdn.steemitimages.com/DQmcBhtazRAgBeaNp9mj8Lr1PnWHYHGERhAtagiGCf6tcfD/IMG_5432.JPG)","{""tags"":[""fundition"",""fundition-fl50ws7s1"",""poland"",""steem""],""image"":[""https://cdn.steemitimages.com/DQmQvtsP6k1V6ukpTfVkX8YUDgsaumvtsGovSa88JfwxTko/IMG_5437.JPG"",""https://cdn.steemitimages.com/DQmVozneg8w2yRL6Q2VSRrKoqS1aHJ3EWWMQ5vcHFhdKt1v/IMG_5428.JPG"",""https://cdn.steemitimages.com/DQmcBhtazRAgBeaNp9mj8Lr1PnWHYHGERhAtagiGCf6tcfD/IMG_5432.JPG""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-11-08 20:32:51,KINGDOM. We've got it!,/fundition/@fundacja/kingdom-we-ve-got-it,2
fundacja,kingdom-fight-against-frost,KINGDOM. Fight against frost,fundition,"![IMG_6350.JPG](https://cdn.steemitimages.com/DQmZCM2dSex9C4ZCRPkmmyTFFhSLsyAhmZm1rQsybD1LnvS/IMG_6350.JPG)

November this year was quite warm. However, winter is coming... or even is already here. There are frosts in Poland for a few days. For this reason we had to buy gas bottles. Wood is not enough to heat our kingdom. We have used our funds from the Fundition. The information can be found on stoves.

![IMG_6351.JPG](https://cdn.steemitimages.com/DQmeoRbVgUzosP2VGYnXaDEmcvwks2XU6CQM7QYHpUnaCSZ/IMG_6351.JPG)

The last day of November was a bit busy. More than 20 people came for the Board Game Night. Pictures below.

![IMG_6363.JPG](https://cdn.steemitimages.com/DQmbJBGUnign64SDdqoEivaPJwxqVuoQVX4fWx7QhGUjoCe/IMG_6363.JPG)

![IMG_6371.JPG](https://cdn.steemitimages.com/DQmTCWwSY7SVRr28RErD924sJBBnnB8mTAsoZkTPkW5FF2m/IMG_6371.JPG)

![IMG_6370.JPG](https://cdn.steemitimages.com/DQmeZ2U2XdWypdr3XmvCU7rmHFHSuaPsidLaA24vmmYj4cQ/IMG_6370.JPG)

![IMG_6385.JPG](https://cdn.steemitimages.com/DQmeEQbko6CkhTUWPbquP1FF","{""tags"":[""fundition"",""fundition-fl50ws7s1"",""poland"",""boardgames"",""steem""],""image"":[""https://cdn.steemitimages.com/DQmZCM2dSex9C4ZCRPkmmyTFFhSLsyAhmZm1rQsybD1LnvS/IMG_6350.JPG"",""https://cdn.steemitimages.com/DQmeoRbVgUzosP2VGYnXaDEmcvwks2XU6CQM7QYHpUnaCSZ/IMG_6351.JPG"",""https://cdn.steemitimages.com/DQmbJBGUnign64SDdqoEivaPJwxqVuoQVX4fWx7QhGUjoCe/IMG_6363.JPG"",""https://cdn.steemitimages.com/DQmTCWwSY7SVRr28RErD924sJBBnnB8mTAsoZkTPkW5FF2m/IMG_6371.JPG"",""https://cdn.steemitimages.com/DQmeZ2U2XdWypdr3XmvCU7rmHFHSuaPsidLaA24vmmYj4cQ/IMG_6370.JPG"",""https://cdn.steemitimages.com/DQmeEQbko6CkhTUWPbquP1FF9KdPJFMSRmBjVts8Xx43ywU/IMG_6385.JPG""],""links"":[""https://fundition.io/#!/@fundacja/fl50ws7s1""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-12-01 01:22:03,KINGDOM. Fight against frost,/fundition/@fundacja/kingdom-fight-against-frost,1
fundacja,perpetuum-mobile-na-tagu-pl-tradycja-12,Perpetuum Mobile na tagu pl-tradycja #12,polish,"https://steemitimages.com/0x0/https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg

Pora na kolejne zestawienie postów na tagu #pl-tradycja wspartych w ramach programu Perpetuum Mobile. Przez ostatni tydzień wyróżnione zostały następujące posty:

1 @myslnarodowa o [myśli Kwasieborskiego i problemie szczęścia](https://steemit.com/polish/@myslnarodowa/wojciech-kwasieborski-podstawy-narodowego-pogladu-na-swiat-problem-szczescia) 
1 @hallmann o [powstaniu listopadowym](https://steemit.com/polish/@hallmann/4-utwory-na-rocznice-nocy-listopadowej) 
1 @myslnarodowa o [myśli Kwasiebirskiego - podsumowania](https://steemit.com/polish/@myslnarodowa/wojciech-kwasieborski-podstawy-narodowego-pogladu-na-swiat-podsumowanie) 
0.75 @cezarys o [cmentarzu polskich lotników w Newark](https://steemit.com/polish/@cezarys/jesli-zapomne-o-nich-ty-boze-na-niebie-zapomnij-o-mnie-wizyta-na-cmentarzu-lotnikow-polskich-w-newark-anglia) 
0.75 @casphotography o [cmentarzu polskich lotników w Newark](http","{""tags"":[""polish"",""perpetuummobile"",""pl-tradycja""],""users"":[""myslnarodowa"",""hallmann"",""cezarys"",""casphotography"",""casphotograph""],""image"":[""https://steemitimages.com/0x0/https://cdn.steemitimages.com/DQmbj3kLc23Yrt5fzBBwjQT2FivbTcCpmZKSagbrWgcEpim/tardc.jpg""],""links"":[""https://steemit.com/polish/@myslnarodowa/wojciech-kwasieborski-podstawy-narodowego-pogladu-na-swiat-problem-szczescia"",""https://steemit.com/polish/@hallmann/4-utwory-na-rocznice-nocy-listopadowej"",""https://steemit.com/polish/@myslnarodowa/wojciech-kwasieborski-podstawy-narodowego-pogladu-na-swiat-podsumowanie"",""https://steemit.com/polish/@cezarys/jesli-zapomne-o-nich-ty-boze-na-niebie-zapomnij-o-mnie-wizyta-na-cmentarzu-lotnikow-polskich-w-newark-anglia"",""https://steemit.com/pl-fotografia/@casphotography/polish-war-graves-in-newark-on-trent-england-pl-polski-cmentarz-wojenny-w-newark-on-trent-anglia"",""https://steemit.com/pl-tradycja/@casphotography/cracow-poland-pl-krakow-polska"",""https://steemit.com/polish/@hallmann/fotoplastykon-227-ryga-rig",2018-12-03 12:28:09,Perpetuum Mobile na tagu pl-tradycja #12,/polish/@fundacja/perpetuum-mobile-na-tagu-pl-tradycja-12,0
fundacja,wydarzenie-ukrayiner-czyli-o-podrozowaniu-po-ukrainie,"[Wydarzenie] Ukraїner, czyli o podróżowaniu po Ukrainie",polish,"![ukrainer.jpg](https://cdn.steemitimages.com/DQmZYQmJqAj8g9XyFADNvKppzUyEcM1q9Q5mfa2pfAaeVhr/ukrainer.jpg)

7 grudnia br. w Królestwie Bez Kresu odbędzie się spotkanie poświęcone podróżowaniu po Ukrainie, które poprowadzi Władysław Tsovma - tłumacz polskojęzycznej wersji strony ekspedycji Ukraїner. Przybliży on m.in. założenia projektu, który opowiada interesujące historie o najbardziej odległych miejscach, o ludziach, sztuce i jedzeniu, a jego zwieńczeniem mają być przewodniki po Ukrainie w kilku językach.

Spotkanie rozpocznie się o godzinie 18.00. Wstęp wolny.","{""tags"":[""polish"",""pl-podroze""],""image"":[""https://cdn.steemitimages.com/DQmZYQmJqAj8g9XyFADNvKppzUyEcM1q9Q5mfa2pfAaeVhr/ukrainer.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-12-06 17:47:33,"[Wydarzenie] Ukraїner, czyli o podróżowaniu po Ukrainie",/polish/@fundacja/wydarzenie-ukrayiner-czyli-o-podrozowaniu-po-ukrainie,2
fundacja,kingdom-winter-is-coming-back,KINGDOM. Winter is coming back!,fundition,"![IMG_7606.JPG](https://cdn.steemitimages.com/DQmca3d1hUbfbFFEvv574E7NXWfohxUpJKLwqvoyvXVPqci/IMG_7606.JPG)

The last days were quite warm, but... winter is coming back. Today @hallmann, @foggymeadow and @romualdd were preparing the Kingdom for the cold. 

By the way, Thursday February 21 will be an open day. We start at 6 pm.

![IMG_7583.JPG](https://cdn.steemitimages.com/DQmVFMrQcJSo4Heutu8StgCYVoRFAww5rSxwfyuJ2oRoFwg/IMG_7583.JPG)

![IMG_7607.JPG](https://cdn.steemitimages.com/DQmb6RfGENj1Xe19qamtmZgPvoMtVGh9qnySJERxxLj6jiW/IMG_7607.JPG)

![IMG_7610.JPG](https://cdn.steemitimages.com/DQmUoTJsroShizhuhhkuXYN9c6nFReuLjg5L1YuNg4Sqxn6/IMG_7610.JPG)

We did also fourth tasting of our chocolates. After 10 days milk chocolate (60%) is still very good. ""Dark"" (75%) is less ""intensive"" but acceptable. A sediment on both of them is still small.

![IMG_7576.JPG](https://cdn.steemitimages.com/DQmTmJnQmKPnBcnTUEcnq9D1aTouXJZHyRLnrC58be6yBPW/IMG_7576.JPG)

![IMG_7578.JPG](https://cdn.steemitimages.com/DQmepqmbntwrK5PqU","{""tags"":[""fundition"",""fundition-fl50ws7s1"",""poland"",""chocolate""],""users"":[""hallmann"",""foggymeadow"",""romualdd""],""image"":[""https://cdn.steemitimages.com/DQmca3d1hUbfbFFEvv574E7NXWfohxUpJKLwqvoyvXVPqci/IMG_7606.JPG"",""https://cdn.steemitimages.com/DQmVFMrQcJSo4Heutu8StgCYVoRFAww5rSxwfyuJ2oRoFwg/IMG_7583.JPG"",""https://cdn.steemitimages.com/DQmb6RfGENj1Xe19qamtmZgPvoMtVGh9qnySJERxxLj6jiW/IMG_7607.JPG"",""https://cdn.steemitimages.com/DQmUoTJsroShizhuhhkuXYN9c6nFReuLjg5L1YuNg4Sqxn6/IMG_7610.JPG"",""https://cdn.steemitimages.com/DQmTmJnQmKPnBcnTUEcnq9D1aTouXJZHyRLnrC58be6yBPW/IMG_7576.JPG"",""https://cdn.steemitimages.com/DQmepqmbntwrK5PqUHMRtKk7dng1nnEUmFfxCrxoa8x7fUv/IMG_7578.JPG"",""https://cdn.steemitimages.com/DQmVq2VdARFNwCz1NHbzkVNBQZx12yKdW6D3phShT5EQmjX/IMG_7579.JPG""],""links"":[""https://fundition.io/#!/@fundacja/fl50ws7s1""],""app"":""steemit/0.1"",""format"":""markdown""}",2019-02-19 20:07:21,KINGDOM. Winter is coming back!,/fundition/@fundacja/kingdom-winter-is-coming-back,0
fundacja,kingdom-april-25,KINGDOM. April 25,fundition,"![IMG_8779a.jpg](https://cdn.steemitimages.com/DQmQjKBPLdakpWfMQzTfZwxmeP7TvHpg8RRabUGQEuTsVye/IMG_8779a.jpg)

The last Thursday of April was an open day. This time we didn't play board games, but we talked a lot about Steem. @hallmann explained to the new guests how blockchain works. He also devoted a lot of attention to the implementation of Steem in our Kingdom. In May it will be possible to use the SBD in our place - probably the first such place in Poland. Anyway, there are many indications that new Steemians are coming...

![IMG_8798.JPG](https://cdn.steemitimages.com/DQmbD2BMeo3bfoa9cfAxfUEgiMECTqqHuHEKfHehnEQoKBE/IMG_8798.JPG)

![IMG_8803.JPG](https://cdn.steemitimages.com/DQmW9t2Tjb8hPuTUMGjHPSEGj6SUeQU6h2KQFv7UpLh78Xr/IMG_8803.JPG)

After talking about Steem, it was time for VR. This technology has gained more and more enthusiasts. Trials in March and April have confirmed that this is an addictive pastime and a powerful educational tool. Currently we have one Oculus Go goggle but we are going to bu","{""tags"":[""fundition"",""fundition-fl50ws7s1"",""poland"",""vr""],""users"":[""hallmann""],""image"":[""https://cdn.steemitimages.com/DQmQjKBPLdakpWfMQzTfZwxmeP7TvHpg8RRabUGQEuTsVye/IMG_8779a.jpg"",""https://cdn.steemitimages.com/DQmbD2BMeo3bfoa9cfAxfUEgiMECTqqHuHEKfHehnEQoKBE/IMG_8798.JPG"",""https://cdn.steemitimages.com/DQmW9t2Tjb8hPuTUMGjHPSEGj6SUeQU6h2KQFv7UpLh78Xr/IMG_8803.JPG"",""https://cdn.steemitimages.com/DQma6KtRu35bKWaj7BNd8DqwNPPtHEDznDHfxAaKDcud9fm/IMG_8800.JPG"",""https://cdn.steemitimages.com/DQmVt4DZxgEe2f57c8wGj757nPeneCX5zZgBdbZCqk8FMgD/IMG_8804.JPG""],""links"":[""https://fundition.io/#!/@fundacja/fl50ws7s1""],""app"":""steemit/0.1"",""format"":""markdown""}",2019-04-26 00:20:27,KINGDOM. April 25,/fundition/@fundacja/kingdom-april-25,1
