author,permlink,title,category,body,json_metadata,created,root_title,url,children
gee-world,what-i-call-planning,What I Call Planning,life,"https://www.kullabs.com/uploads/plam2.jpg
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjNkKyW8vfVAhWCBBoKHeuCB8sQjRwIBw&url=https%3A%2F%2Fwww.kullabs.com%2Fclasses%2Fsubjects%2Funits%2Flessons%2Fnotes%2Fnote-detail%2F5681&psig=AFQjCNEh0DezZvUPHMgn9THsHH4pn_ZsqQ&ust=1503939675547421)

Planning is what I refer to as a step by step procedure to accomplishment. It requires arranging things before acting.

I have noticed that so many people do not plan before they do things, they just do things anyhow. Do you make plans for your future, what you do, what you eat, what you wear, and all.

Planning requires information, and the information is what is needed for a successful pursuit. 

>“Life is what happens to us while we are making other plans.” - Allen Saunders

Do you desire to change so as to become a better individual? Then start working on planning. Like Socrates said, ""Anyone who will move the world, must first move"".

http://wp.bartonconsultingservices","{""tags"":[""life"",""writing"",""africa"",""nigeria"",""blog""],""image"":[""https://www.kullabs.com/uploads/plam2.jpg"",""http://wp.bartonconsultingservices.com/wp-content/uploads/2012/06/HiRes.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/GENERIC.gif""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjNkKyW8vfVAhWCBBoKHeuCB8sQjRwIBw&url=https%3A%2F%2Fwww.kullabs.com%2Fclasses%2Fsubjects%2Funits%2Flessons%2Fnotes%2Fnote-detail%2F5681&psig=AFQjCNEh0DezZvUPHMgn9THsHH4pn_ZsqQ&ust=1503939675547421"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwit4fT08vfVAhXIWhoKHcF_BEsQjRwIBw&url=http%3A%2F%2Fwp.bartonconsultingservices.com%2Fhome%2Fstrategic-planning%2F&psig=AFQjCNEh0DezZvUPHMgn9THsHH4pn_ZsqQ&ust=1503939675547421""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-08-27 17:09:09,What I Call Planning,/life/@gee-world/what-i-call-planning,1
gee-world,life-in-the-city-chapter-three,Life In The City .......Chapter Three,story,"Uncle Chidi was really angry at his wife as he turned and said to her, what is your problem, do you just derive joy in maltreating other people's Children, do you know how many maids that have refused to stay with you because of your wicked act?, now I brought my brother's child from the village thinking that you will treat her with respect because she is related to me but you are still been wicked . One thing you are forgetting is that you have Kids too, what if someone was maltreating your kids the same way you do to other people's Children.

He picked up his bag and stormed out of the room, I am going to work and she will begin school very soon. Immediately she heard that she stood up and followed him behind shouting; why must she go to school, who will take care of my kids then, who will do all the house chores, he just ignored her and walked out.
She came to where Chidinma was and Chidinma knelt down immediately and said Aunt please I am sorry, I didn't mean to cause any problem between you and uncle, p","{""tags"":[""story"",""life"",""nigeria"",""africa"",""steemitvirus""],""users"":[""gee-world""],""image"":[""http://1.bp.blogspot.com/-Qea78Y_XfkY/VhfSkHhUncI/AAAAAAAAFtE/sfkyNk1CzdA/s1600/cand9999825.jpg"",""http://www.tori.ng/userfiles/thumb/2016/mar/17/bb/b_24056.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwi6-Nazq4bWAhVGcRQKHXo2DOsQjRwIBw&url=http%3A%2F%2Fwww.blerdsonline.com%2F2015%2F10%2Fben-carson-is-not-uncle-tom-hes-coward.html&psig=AFQjCNEBJ6ZwUmh65TOcTNy-VjP-JG5pqQ&ust=1504436097963165"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwippajIqobWAhUJ6xQKHUnuBe8QjRwIBw&url=http%3A%2F%2Fwww.tori.ng%2Fnews%2F24056%2Fhilarious-see-the-way-this-nigerian-girl-from-the.html&psig=AFQjCNGxMJ_GHEUH5bj6V5OlpQVE2g5EHA&ust=1504435888944159""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-02 10:57:24,Life In The City .......Chapter Three,/story/@gee-world/life-in-the-city-chapter-three,1
gee-world,life-in-the-city-chapter-eight,Life In The City........Chapter Eight,blog,"The wealthy man's name was Chief  Uche, he constantly visited the place where Chidinma is currently learning how to become a fashion designer, whenever he comes, he will give Chidinma money and she will share it with the other apprentice. 

One day, he told Chidinma's boss that he liked Chidinma and he was willing to marry her, Chidinma's boss who was a family friend strongly disagreed since the man was a married man already, the man gave him reasons why he should consider his request, he claimed he was a wealthy man and as such he has the financial capacity to take care of Chidinma and his old wife, he went further by saying that he needs a young blood like that of Chidinma who will take care of him properly.

https://i.pinimg.com/736x/ab/83/9e/ab839efcd6505fe1aecbf83cd0ce91c6--ankara-styles-for-women-dresses-ankara-styles-nigerian.jpg
[Image Source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwi--t_z-MLWAhXJvhQKHd3cBfAQjRwIBw&url=https%3A%2F%2Fwww.pinterest.co","{""tags"":[""blog"",""writing"",""nigeria"",""m11"",""africa""],""image"":[""https://i.pinimg.com/736x/ab/83/9e/ab839efcd6505fe1aecbf83cd0ce91c6--ankara-styles-for-women-dresses-ankara-styles-nigerian.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwi--t_z-MLWAhXJvhQKHd3cBfAQjRwIBw&url=https%3A%2F%2Fwww.pinterest.com%2Fexplore%2Fafrican-fashion-designers%2F&psig=AFQjCNENaLYerJls7erdEtJG_c10tWkvEQ&ust=1506518502673261""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-26 13:25:27,Life In The City........Chapter Eight,/blog/@gee-world/life-in-the-city-chapter-eight,3
gee-world,the-big-cash-madam,The Big Cash Madam,story,"It was fun or Chidi to go with his uncle to the birthday party of one of his club members, the name of the club member was Mrs. Adeaze, she was popularly known as Madam Cah. 

She was celebrating her 50th birthday, Chidi learned that she was called madam cash because of her numerous and extravagant spending especially during the parties of her family, friends and most especially club members.

http://www.zappclassifieds.com/ng/adpics/53c1577ddf078-for-sexy-mummy-call-patrick-on-08127143695.jpg
[Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjO85On-JjXAhWH7RQKHdnXBrIQjRwIBw&url=http%3A%2F%2Fwww.zappclassifieds.com%2Fng%2F%3Fcityid%3D-1%26view%3Dads%26search%3Danambra%26page%3D3&psig=AOvVaw1KYrnZ5P2Z4u0fOPb65Fuf&ust=1509473280488070)

Her mode of dressing was usually a really expensive one and her big stature also has a way of attracting attention to her.

When Uche saw madam cash, he opened his mouth surprisingly because he had never seen a figure as huge as ","{""tags"":[""story"",""dirtiness"",""nigeria"",""africa""],""image"":[""http://www.zappclassifieds.com/ng/adpics/53c1577ddf078-for-sexy-mummy-call-patrick-on-08127143695.jpg"",""http://s3.r29static.com//bin/entry/b66/0,450,2000,1500/x,80/1552633/image.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjO85On-JjXAhWH7RQKHdnXBrIQjRwIBw&url=http%3A%2F%2Fwww.zappclassifieds.com%2Fng%2F%3Fcityid%3D-1%26view%3Dads%26search%3Danambra%26page%3D3&psig=AOvVaw1KYrnZ5P2Z4u0fOPb65Fuf&ust=1509473280488070"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwj_uJ6i-JjXAhVBOBQKHYB6CWwQjRwIBw&url=http%3A%2F%2Fwww.refinery29.com%2F2016%2F02%2F103743%2Fmadam-cj-walker-sundial&psig=AOvVaw01lzy2U5rQBwi-KZS6kvYN&ust=1509473269257894""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-10-30 18:10:03,The Big Cash Madam,/story/@gee-world/the-big-cash-madam,2
gee-world,fom-my-father-s-womb-i-observed-that-some-individuals-are-just-very-decietful,"Fom My Father's Womb, I Observed That Some Individuals Are Just Very Decietful",deciet,"From a eye that sees from my father's womb, I observed that it is a different thing to say you want to do something and it is another thing to act based on your words.

There is a large percentage of individuals I have seen who say they want to do something or act in a particular kind of way, but they fail to do so.

https://www.skipprichard.com/wp-content/uploads/2015/07/bigstock-business-meeting-sad-expressio-93934616.jpg
[image credit](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwji0sS0hsvXAhXCOhQKHbv4De8QjRwIBw&url=https%3A%2F%2Fwww.skipprichard.com%2F20-ways-to-detect-a-deceitful-leader%2F&psig=AOvVaw0jjampoKeB9SZXK2RuDa4p&ust=1511195052690557)

Take for example, a religious leader who will claim to have a seven day fast on behalf of the church members and tell them to do the same thing, but unfortunately, they begin to act otherwise eating all day and leaving those who believe in what they say to go hungry all through the day.

http://discovermagazine.com/","{""tags"":[""deciet"",""life"",""nigeria"",""africa""],""image"":[""https://www.skipprichard.com/wp-content/uploads/2015/07/bigstock-business-meeting-sad-expressio-93934616.jpg"",""http://discovermagazine.com/~/media/Images/Issues/2013/June/self-deceit.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwji0sS0hsvXAhXCOhQKHbv4De8QjRwIBw&url=https%3A%2F%2Fwww.skipprichard.com%2F20-ways-to-detect-a-deceitful-leader%2F&psig=AOvVaw0jjampoKeB9SZXK2RuDa4p&ust=1511195052690557"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwj-oZSXhsvXAhUMVxQKHSWUAOwQjRwIBw&url=http%3A%2F%2Fdiscovermagazine.com%2F2013%2Fjune%2F01-lying-to-yourself-helps-you-lie-to-others&psig=AOvVaw27b6wXklk602o2vpdne1Df&ust=1511194991722021""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-19 16:27:03,"Fom My Father's Womb, I Observed That Some Individuals Are Just Very Decietful",/deciet/@gee-world/fom-my-father-s-womb-i-observed-that-some-individuals-are-just-very-decietful,0
gee-world,i-enjoyed-the-yam-and-egg-my-dad-prepared,I Enjoyed The Yam And Egg My Dad Prepared,food,"Yam and egg is a food that is very delicious and it is preferable when it is consumed hot just like my Dad and I had it this night.

My dad prepared it in a very special way tonight and I enjoyed every bit of it.

He sometimes likes to grab food at a fast food joint but tonight was different as he prepared the yam and egg in a special and different type of way that I cannot forget in a hurry.

Food is ready gee, it is time to eat and I put out my little head from the womb in a way that the food could get into my mouth directly and I loved it.

I wish that my dad will prepare a food like this for me more often so that I can have a good time enjoying my meal.

http://myactivekitchen.com/wp-content/uploads/2015/03/yam-and-egg.jpg
[photo credit](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiGj4345YLYAhVMuhQKHccZBWkQjRwIBw&url=http%3A%2F%2Fmyactivekitchen.com%2F2015%2F03%2F17%2F2015316yam-and-egg-sauce%2F&psig=AOvVaw2BoevzpV2KBADIUwUOTggJ&ust=1513110479731052)

http:","{""tags"":[""food"",""foodtrail"",""blog"",""nigeria"",""africa""],""image"":[""http://myactivekitchen.com/wp-content/uploads/2015/03/yam-and-egg.jpg"",""http://www.oyacomechop.com/wp-content/uploads/2015/01/DSC_7061.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiGj4345YLYAhVMuhQKHccZBWkQjRwIBw&url=http%3A%2F%2Fmyactivekitchen.com%2F2015%2F03%2F17%2F2015316yam-and-egg-sauce%2F&psig=AOvVaw2BoevzpV2KBADIUwUOTggJ&ust=1513110479731052"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjKxaj75YLYAhXDORQKHfFSAR8QjRwIBw&url=http%3A%2F%2Fwww.oyacomechop.com%2F%3Fp%3D239&psig=AOvVaw1GhvaYzUFOjTAWNl77Nhzo&ust=1513110485030717""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-12-11 20:31:39,I Enjoyed The Yam And Egg My Dad Prepared,/food/@gee-world/i-enjoyed-the-yam-and-egg-my-dad-prepared,2
gee-world,the-relevance-of-obedient-children-8-e762694ef6ecd,The Relevance of Obedient Children 8,story,"At the expense of their studies and classwork? Joe's mother questioned.  Joe was silent and his mother repeated the question,  her voice more than a pitch higher. 
Yes Mummy,  he answered. 
And I suppose that is a good thing, she said.  She was starring intently at him.  His father sat there,  seemingly insouciant. 

Joe knew  that the man was listening and was furious by what had happened. 

http://www.ahaparenting.com/img/Boy-ignoring-mother.jpg?Action=thumbnail&algorithm=fill_proportional&width=350
[Image Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjn99qHjr3ZAhVH6KQKHT0dCToQjRx6BAgAEAY&url=http%3A%2F%2Fwww.ahaparenting.com%2Fblog%2FObedience_Why_Do_You_Have_To_Tell_Them_Five_Times&psig=AOvVaw0-AD1lioNfpJDhwyZAysko&ust=1519512137310045)

No mummy, Joe said.  The woman frowned deeper.  It's not?  She sounded puzzled,  he shook his head and asserted that it was not. 

Then why did follow them if you knew it was not a good thing?  She asked. 
Joe was quiet","{""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjn99qHjr3ZAhVH6KQKHT0dCToQjRx6BAgAEAY&url=http%3A%2F%2Fwww.ahaparenting.com%2Fblog%2FObedience_Why_Do_You_Have_To_Tell_Them_Five_Times&psig=AOvVaw0-AD1lioNfpJDhwyZAysko&ust=1519512137310045""],""image"":[""http://www.ahaparenting.com/img/Boy-ignoring-mother.jpg?Action=thumbnail&algorithm=fill_proportional&width=350""],""tags"":[""story"",""discipline"",""childhood"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-04 18:05:00,The Relevance of Obedient Children 8,/story/@gee-world/the-relevance-of-obedient-children-8-e762694ef6ecd,0
gee-world,the-smart-but-lazy-man-10-9d8fc16465352,The Smart But Lazy Man (10),story,"Dene was impressed. He did not have the money the man charged, however, he gave him the little money he had. I shall return tomorrow with two bags of money for you. And i will also give you another bag of money as advance for the next one, he said. 

http://www.ahaparenting.com/img/Boy-ignoring-mother.jpg?Action=thumbnail&algorithm=fill_proportional&widt

The man was too simple. He accepted, trusting Dene. Dene took the baskets of live rats and went back to Agboro. He was very happy because he knew he would get Agboro to require his wisdom. 

It was nightfall when Dene entered Agboro. Shimbe was outside waiting for her daughter whom she had sent to the market to grind grains at the millers shop and had not returned. 

She was worried and was contemplating going to the market when she saw the girl coming home. She was waiting for the girl to come up to her when she sighted Dene walking pass and carrying a big load. She could not tell what it was he was carrying.","{""links"":[],""image"":[""http://www.ahaparenting.com/img/Boy-ignoring-mother.jpg?Action=thumbnail&algorithm=fill_proportional&widt""],""tags"":[""story"",""smartness"",""laziness"",""nigeria""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-30 18:30:18,The Smart But Lazy Man (10),/story/@gee-world/the-smart-but-lazy-man-10-9d8fc16465352,0
gee-world,the-smart-but-lazy-man-12,The Smart But Lazy Man (12),story,"Just do as I have told you. I am coming, Shimbe said as she walked away.
Dene got home and she put the basket at the back of the house.

His house ws secured, he opened the basket and went inside the house. The rats rushed out and got scattered about, racing in all direction. By the time Shine got to Dene's house, the rats were all gone.

http://www.ahaparenting.com/img/Boy-ignoring-mother.jpg?Action=thumbnail&algorithm=fill_proportional&widt

She looked around and she saw nobody. She wanted to know what the crafty man was up to, she went around the house and when she got to the back of the hse, she found the big basket.
She suspected that was what Dene had been carrying. What was in it? she checked and she saw that it was empty. She becae more confused.

Why was Dene carrying an empty basket? perhaps, it was something he carried in the basket and had taken it inside.
When she could not get a clue, she left but she kept wondering what the man was up to. She just did not trust the man. What she was not aware ","{""tags"":[""story"",""laziness"",""smartness"",""nigeria"",""africa""],""image"":[""http://www.ahaparenting.com/img/Boy-ignoring-mother.jpg?Action=thumbnail&amp;algorithm=fill_proportional&amp;widt""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-01 16:17:12,The Smart But Lazy Man (12),/story/@gee-world/the-smart-but-lazy-man-12,1
gee-world,the-clever-lazy-man,The Clever Lazy Man,smartness,"I have also noticed something, the ats that fed on cow milk are getting fat and lazy and too satisfied to chase rats off. My cat is active and it kills any rat that comes to my house, Dene said.
I have been wondering too that the rats have been increasing despite all the investment to get cats and all, the King said. Perhaps, we should stop giving the cats milk. Let them work for what they will eat by hunting rats.
Does that mean, we shall return the cows? Bagbe asked.
That shouldn't be necessary, Dene said. It will not speak well if the King, after blessing his people with cows, asks them to return them.

That's true, the King said. Let them keep the cows.
Dene was happy. He had outwitted even the King. He would have hi cow and continue to have fresh milk.
The following day, in the evening, Shimbe went to the place with a young man. The man had come to the kingdom looking for somebody.

https://i.ytimg.com/vi/rCE2Z_xvJ3Q/hqdefault.jpg
[Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&","{""tags"":[""smartness"",""laziness"",""nigeria"",""blog""],""image"":[""https://i.ytimg.com/vi/rCE2Z_xvJ3Q/hqdefault.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi6n4LpurDaAhWhAcAKHUKNAAgQjRx6BAgAEAU&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DrCE2Z_xvJ3Q&psig=AOvVaw3wlG3AgVpClxhw-x9MzyL9&ust=1523475051487062""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-10 19:40:18,The Clever Lazy Man,/smartness/@gee-world/the-clever-lazy-man,1
