author,permlink,title,category,body,json_metadata,created,root_title,url,children
ghen,the-bully-9-793d31b8cf4c2,The Bully 9,story,"https://steemitimages.com/0x0/https://tintaynguyen.cdn.vccloud.vn/wp-content/uploads/2015/03/dak-lak-ghen-tuong-mu-quang-tai-hoa-ca-ba.jpg

His brother has also whipped but their parents had made up their mind. Didn't realise that their decision would affect their children?

When the closing bell rang, john went to his brothers class to pick him as he usually did. As they walked on the side of the road holding hands and going towards their house, which was at the end of the street, john was thinking. He was definitely going to be in the lot of trouble when it delivered mr williams message to his mother. She would punish him, he was certain.

The work to the two storey building took the two boys about 6 minutes. Their mother was in a shop where she sold children clothes. They rented shop was in front of the house, while the self-contained apartment the living was on the first floor of the house.

Deleted their mother. She gave john the key to the apartment and said you will see your food in the table. Journal","{""tags"":[""story"",""life"",""nigeria"",""writing"",""blog""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem"",""image"":[""https://steemitimages.com/0x0/https://tintaynguyen.cdn.vccloud.vn/wp-content/uploads/2015/03/dak-lak-ghen-tuong-mu-quang-tai-hoa-ca-ba.jpg""]}",2018-03-09 14:38:42,The Bully 9,/story/@ghen/the-bully-9-793d31b8cf4c2,0
ghen,the-bully-1f99876a5b0b2,The Bully,story,"He went on. ""I'd like to say a little about bullying. Simply put, bullying is when a person who cannot really defend himself or herself is being repeatedly picked on by another, causing the person embarrassment or injury. Bullying can be physical. 

This is when a person is being kicked, pushed, or physically hurt by another. Emotional bullying is when something is being done to make a person lose confidence or feel bad such as isolating a person. Some girls do this but it's not good. And bullying can be verbal. This is when someone is being teased, mimicked, insulted, or called names. If you are being bullied, it's important that you let your teacher know about it immediately.


He paused for a few seconds  to allow his words sink in. He continued. ""Some people don't know how to react to handle bullying. The right thing to do is to report to a trusted adult so it can be stopped. If you tell your teacher, your teacher will let me know and you can be sure that we will take appropriate actions to stop it.""


 ","{""tags"":[""story"",""nigeria"",""writing"",""esteem"",""fiction""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-29 10:29:33,The Bully,/story/@ghen/the-bully-1f99876a5b0b2,0
ghen,the-bully-20-620fdeb4f0d34,The Bully 20,story,"Mr. Williams asked them to be quiet. Gideon made his presentation and told them that Brook was an eagle. Afterward, Gideon's father said they could take pictures with the bird. ""That's good."" Mr. Williams said, and began to arrange the children on how they would stand to take pictures.



""Gideon and Brook will be in the middle."" He said. Many of the children wanted to stand beside Gideon, putting his arm around his shoulders. John also came and, smiling sheepishly, held on to Gideon's arms. Gideon was happy that john seemed to have changed. Mr. Williams adjusted their position and when they were set, the picture were taken.","{""tags"":[""story"",""fiction"",""nigeria"",""esteem"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-08 19:11:30,The Bully 20,/story/@ghen/the-bully-20-620fdeb4f0d34,1
ghen,the-bully-19-48a7e16223bd3,The Bully 19,story,"Then Mr. Williams announced, ""Gideon has written about a bird and he has brought the bird to show you. Brook, come in now."" Two uniformed men came in, carrying a cage. All the children gasped at the view. Then they began to squeal with delight. the children at  the back came to the front. All of them stood in front including john, wanting to see the bird. All the children were now talking at the same time. Ibrahim said, ""Gideon brought a bird!"" John asked gideon, ""is it yours?"" ""Does it have a name?"" ""Wow, this is great!""","{""tags"":[""story"",""nigeria"",""writing"",""esteem"",""fiction""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-07 15:30:06,The Bully 19,/story/@ghen/the-bully-19-48a7e16223bd3,2
ghen,the-bully-18-426c4e49c8e4e,The Bully 18,story,"With his mother's help, Billy had chosen to write about doves. His mother had given him some facts about them and bought two cardboards. His mother spoke again, ""Don't write on the cardboard yet, use a sheet of paper first.""

Write the information out on the paper and show me. ""Okay mummy."" ""Good and get it."" Billy collected the key of their apartment and went inside.","{""tags"":[""story"",""storyline"",""storytelling"",""writing"",""wafrica""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-02 16:35:00,The Bully 18,/story/@ghen/the-bully-18-426c4e49c8e4e,0
ghen,the-bully-18-6228649e8c59c,The Bully 18,story,"When john realised it was gideon's father, he was afraid. Did Gideon tell his father that he had been bothering him in class? He wondered. However, when Mr williams did not summon him, but was smiling instead, John relaxed and little. He didn't think Gideon's father was here because of him. But why was he here?



When the two men finished talking, Gideon's father went outside. Soon, it was time for the presentation, and Mr williams began to call the pupils out one after the other. John was the ninth pupil called. Feeling happier than he had been in a long time, he went forward and did a good job.



""Wow! That was good! Let clap for John"". Mr. Williams said. When it was time for Gideon's presentation, he took his cardboard and went to the front. His father came in, smiling. All children was surprised, wondering what he was about to do.","{""tags"":[""story"",""nigeria"",""writing"",""esteem"",""fiction""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-31 14:14:06,The Bully 18,/story/@ghen/the-bully-18-6228649e8c59c,0
ghen,the-bully-17-bc9eefcdca298,The Bully 17,story,"""Fighting back is not the right way to solve the problem. In fighting back, one or both of them could get hurt seriously hurt with broken bones. Seeking or planning revenge is also not right. These ways are wrong, and as I have told you a number of times, two wrong don't make a right.



Do you understand"" ""yes"", the children chorused. ""If you're being bullied or something has happened to you, please do not think of killing yourself. Don't contemplate suicide. And don't allow yourself to be depressed. Come and tell us. Tell your parents also, especially your mother.



She will do something about the situation. Do you understand?"" The children said yes again. ""Bullying is not the right way to gain attention or become popular. Rather it will get the person in trouble and make the person lose friends. I'm sure none of you wants that. I want you all to be good children.""



Afterward, all of them went to their classes. Shortly before the third period when the presentation of the assignment would start, a man en","{""tags"":[""story"",""nigeria"",""writing"",""esteem"",""fiction""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-30 09:51:15,The Bully 17,/story/@ghen/the-bully-17-bc9eefcdca298,0
ghen,the-bully-15,The Bully 15,story,"Eventually, he told john what to write and he began to write them. They finished at about 7pm. 

John was very happy. His mother was also happy. The children are better off with both parents together, she thought.

Mr Okeke got up and said he had to leave but he would come the next day. He encouraged John to be a good boy and do the presentation well in class.

At the morning assembly the next day, the proprietor collected the microphone. He discussed some issues first and then talked about bullying.

""If anyone of you is being bullied or disturbed in any way, and if something bad is happening to you whether in school or at home, let us know. We are here for you, to care for you and protect you"". As he talked, his eyes bounced around, looking at the children to gauge their reaction.","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""creativity""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-21 08:17:54,The Bully 15,/story/@ghen/the-bully-15,0
ghen,the-bully-14-a092c6c923db6,The Bully 14,storytelling,"Wow! John exclaimed

His father continued to explain. The turtle dove is light grey and brown in colour. It is linda with a medium-sized, with a long and tapered tail. Is have shotgun dark beak. The legs are short. Young doves are fed which crop milk by the parents. Both parents incubate  and care for their young. The male dove incubate for a part of the day and the female take over for the rest of the day.

They seldom leave the nest unattended by then. When making their nest, the male dove gather materials such as twigs and brings them to the female who build the nest.","{""tags"":[""storytelling"",""story"",""nigeria""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-17 05:30:30,The Bully 14,/storytelling/@ghen/the-bully-14-a092c6c923db6,0
ghen,the-bully-13-629c24d8223d6,The Bully 13,story,"He clicked on Doves and as he read the fact he explained them to john. Doves are quiet and very gentle bird. Who actually keep them as pet. They are abundant and can be found almost throughout the world. They feed on seeds and make their nest high off the ground usually in trees.

The white dove is famous for its use as a symbol of peace. There is a morning bird which is also called the  turtle dove.

It is called the morning bed because of the sound it makes those are strong fliers and I'll fly up to 50 miles per hour.","{""tags"":[""story"",""nigeria"",""writing""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-16 07:12:42,The Bully 13,/story/@ghen/the-bully-13-629c24d8223d6,0
