author,permlink,title,category,body,json_metadata,created,root_title,url,children
hallmann,zaklad-przetworstwa-muzycznego-dh-1-kondominium,Przetwórstwo muzyczne #1: Kondominium (Gasper Nali remix),music,"Pierwszą płytę nagrałem w 2005 roku. Najpierw były piosenki, potem neofolkowe eksperymenty, od 2013 roku głównie remiksy. Łącznie jakieś sto zrealizowanych utworów (nie wliczam w to szkiców, które leżą w <i>lodówce</i>). I jest pewnym paradoksem, że największą popularność zyskał kawałek zrobiony przeze mnie dla zgrywy (lub <i>beki</i>, jak kto woli), opowiadający o kondominium polsko-litewskim pod kurlandzkim zarządem powierniczym. Ot, tyle przegrać. 

https://www.youtube.com/watch?v=xNWULtFmjEo

Na szczęście remiks ma jakiś potencjał edukacyjny i pomimo <i>beki</i> opowiada prawdziwą historię kurlandzkiej kolonii w Gambii w XVII wieku. A przypomnę, że Księstwo Kurlandii i Semigalii było lennikiem Rzeczypospolitej.

Jeśli ktoś chciałby poznać więcej szczegółów, to <i>Historia bez cenzury</i> zrobiła o tym kiedyś odcinek, co zresztą przyczyniło się do popularności remiksu.

https://www.youtube.com/watch?v=ElSPmFS5Z9M

Oryginalny utwór: Gasper Nali ""Abale Ndikum Gem""","{""tags"":[""music"",""originalmusic"",""polish"",""africa"",""remix""],""image"":[""https://img.youtube.com/vi/xNWULtFmjEo/0.jpg"",""https://img.youtube.com/vi/ElSPmFS5Z9M/0.jpg""],""links"":[""https://www.youtube.com/watch?v=xNWULtFmjEo"",""https://www.youtube.com/watch?v=ElSPmFS5Z9M""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-12-23 12:27:21,Przetwórstwo muzyczne #1: Kondominium (Gasper Nali remix),/music/@hallmann/zaklad-przetworstwa-muzycznego-dh-1-kondominium,5
hallmann,fotoplastykon-33-ryga,Fotoplastykon #33: Ryga,photography,"![IMG_0484.JPG](https://steemitimages.com/DQmdTBWbdRmUr4UsXyN6sYGRFHwHE8qZLCCaZ6FTcoe5v3n/IMG_0484.JPG)

PL: A Ty? Znajdziesz Chucka Norrisa?
ENG: Can you find Chuck Norris?

Pstryknięte/taken by: Canon EOS 60D, f/2.8, 46mm","{""tags"":[""photography"",""streetphotography"",""polish"",""latvia"",""fotoplastykon""],""image"":[""https://steemitimages.com/DQmdTBWbdRmUr4UsXyN6sYGRFHwHE8qZLCCaZ6FTcoe5v3n/IMG_0484.JPG""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-01-12 00:49:00,Fotoplastykon #33: Ryga,/photography/@hallmann/fotoplastykon-33-ryga,4
hallmann,fotoplastykon-68-lwow,Fotoplastykon #68: Lwów,photography,"![IMG_5230.jpg](https://res.cloudinary.com/hpiynhbhq/image/upload/v1518485484/tsruykpc0lwhcuzoikzu.jpg)

PL: Gdzieś w okolicy ul. Czajkowskiego.
ENG: Somewhere near Tchaikovsky str.

Pstryknięte/taken by: Canon EOS 60D, f/2.8, 50mm","{""community"":""busy"",""app"":""busy/2.3.0"",""format"":""markdown"",""image"":[""https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1518485484/tsruykpc0lwhcuzoikzu.jpg""],""tags"":[""photography"",""cityscapephotography"",""reakcja"",""polish"",""busy""]}",2018-02-13 01:33:27,Fotoplastykon #68: Lwów,/photography/@hallmann/fotoplastykon-68-lwow,3
hallmann,fotoplastykon-87-dyneburg,Fotoplastykon #87: Dyneburg,photography,"![dzwina_gold.jpg](https://res.cloudinary.com/hpiynhbhq/image/upload/v1520125140/wqn8gl4jnhqzcrlx7ivp.jpg)

PL: Po drugiej stronie Dźwiny.
ENG: On the other side of the Daugava river.

Pstryknięte/taken by: Canon EOS 60D, f/3.2, 38mm","{""community"":""busy"",""app"":""busy/2.4.0"",""format"":""markdown"",""image"":[""https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1520125140/wqn8gl4jnhqzcrlx7ivp.jpg""],""tags"":[""photography"",""goldenhourphotography"",""polish"",""latvia"",""busy""]}",2018-03-04 01:00:00,Fotoplastykon #87: Dyneburg,/photography/@hallmann/fotoplastykon-87-dyneburg,3
hallmann,fotoplastykon-118-kraslaw,Fotoplastykon #118: Krasław,landscapephotography,"![IMG_4705.jpg](https://steemitimages.com/DQmYNYbC87V2sgpnAH5Pp1Kh9cbvCd7FPeMFLzsfs7p8mQr/IMG_4705.jpg)

PL: Dźwina.
ENG: Daugava.

Pstryknięte/taken by: Canon EOS 60D, f/4, 50mm","{""tags"":[""landscapephotography"",""photofeed"",""photomatic"",""polish"",""pl-lotwa""],""image"":[""https://steemitimages.com/DQmYNYbC87V2sgpnAH5Pp1Kh9cbvCd7FPeMFLzsfs7p8mQr/IMG_4705.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-24 21:24:15,Fotoplastykon #118: Krasław,/landscapephotography/@hallmann/fotoplastykon-118-kraslaw,6
hallmann,spis-tresci-lipiec-2018,Spis treści (lipiec 2018),polish,"https://steemitimages.com/0x0/https://cdn.steemitimages.com/DQmSMjA2Yva18APmdz5xAbNyJxteN6GTWBiZ4UpNFpyz7Hg/7.JPG

Lipiec minął. Przyszedł sierpień. Przypominam, że w dniach 10-12.08 odbędzie spotkanie steemitowe w Rzeszowie (w Królestwie Bez Kresu). Popełniłem kilka wpisów na ten temat. Można je odnaleźć w <i>postach nieskategoryzowanych</i>. 

Przy okazji polecam swoje drugie konto, czyli @bezkresu. Możliwe, że w sierpniu poświęcę mu znacznie więcej uwagi.

A oto lista wszystkich wpisów, które pojawiły się w lipcu:


<h3>Posty nieskategoryzowane</h3>

[Zapowiedź dwóch konkursów na #pl-fotografia i #pl-tradycja](https://steemit.com/polish/@hallmann/zapowiedz-dwoch-konkursow-na-pl-fotografia-i-pl-tradycja)
[Steemowy Meetup w Rzeszowie. Zapowiedź.](https://steemit.com/polish/@hallmann/steemowy-meetup-w-rzeszowie-zapowiedz)
[PKP. Poczekaj kiedyś przyjedzie.](https://steemit.com/polish/@hallmann/pkp-poczekaj-kiedys-przyjedzie)
[Czego nie brać na spotkanie z ministrem?](https://steemit.com/polish/@hallmann/czego","{""tags"":[""polish"",""pl-fotografia"",""architecturalphotography"",""reakcja"",""szarastrefa""],""users"":[""bezkresu""],""image"":[""https://steemitimages.com/0x0/https://cdn.steemitimages.com/DQmSMjA2Yva18APmdz5xAbNyJxteN6GTWBiZ4UpNFpyz7Hg/7.JPG""],""links"":[""https://steemit.com/polish/@hallmann/zapowiedz-dwoch-konkursow-na-pl-fotografia-i-pl-tradycja"",""https://steemit.com/polish/@hallmann/steemowy-meetup-w-rzeszowie-zapowiedz"",""https://steemit.com/polish/@hallmann/pkp-poczekaj-kiedys-przyjedzie"",""https://steemit.com/polish/@hallmann/czego-nie-brac-na-spotkanie-z-ministrem"",""https://steemit.com/polish/@hallmann/refleksje-pokonkursowe"",""https://steemit.com/polish/@hallmann/czego-mozemy-uczyc-sie-od-lotyszy"",""https://steemit.com/polish/@hallmann/matematyka-w-sluzbie-konkursu-intermarium"",""https://steemit.com/polish/@hallmann/krotkie-rozwazania-o-poezji-i-polityce"",""https://steemit.com/polish/@hallmann/czy-bid-boty-sa-zle"",""https://steemit.com/polish/@hallmann/jak-w-kwadrans-zrobilem-to-czego-steemit-nie-potrafil-zrobic-w-kwart",2018-07-31 22:26:12,Spis treści (lipiec 2018),/polish/@hallmann/spis-tresci-lipiec-2018,1
hallmann,wspomnienia-z-frontu-21-gwiazda-o-imieniu-slonce-we-lwowie,"""Gwiazda o imieniu Słońce"" we Lwowie",polish,"![IMG_2921a.jpg](https://cdn.steemitimages.com/DQmTS6PcCxB9zdJeHv64BXYSALSi9r7AQDHCn7eVc6zJthb/IMG_2921a.jpg)

28 sierpnia 2018. Późny wieczór. Lwów. Rynek. Na rogu Ruskiej i Serbskiej jakaś dziewczyna gra ""Zombie"" Cranberries. Dobrze gra. Dobrze śpiewa. Wokół sporo ludzi. Słuchają.

>To ten sam stary motyw, od 1916.
W twojej głowie, w twojej głowie, oni wciąż walczą,
Z ich czołgami i ich bombami,
I ich bombami, i ich bronią.
W twojej głowie, w twojej głowie oni giną.
W twojej głowie, w twojej głowie,
Zombie, zombie, zombie...

https://www.youtube.com/watch?v=6Ejga4kJUts

Niestety to ostatni kawałek. Schodzi. Brawa. Brawa. Brawa. Przed kamienicą zostaje statyw z mikrofonem i głośnik. Po chwili wychodzi chłopak. Gra niepewnie kilka akordów. Potem jeszcze kilka. Zaczyna. Przerywa. Zaczyna. Przerywa. <i>Brzmi jak Kino</i> - myślę sobie. W końcu zbiera się w sobie i gra. No i faktycznie Kino. ""Grupa krwi"". Группа Крови.

>Mam czym płacić, ale nie chcę
wygranej za wszelką cenę.
Nie chce nikomu stawiać nogi na gar","{""tags"":[""polish"",""tematygodnia"",""pl-artykuly"",""pl-muzyka"",""reakcja""],""image"":[""https://cdn.steemitimages.com/DQmTS6PcCxB9zdJeHv64BXYSALSi9r7AQDHCn7eVc6zJthb/IMG_2921a.jpg""],""links"":[""https://www.youtube.com/watch?v=6Ejga4kJUts"",""https://www.youtube.com/watch?v=9RkuieKGuZc"",""https://www.youtube.com/watch?v=1jmmHB3K69A""],""app"":""ecency/3.0.30-vision"",""format"":""markdown+html"",""description"":""28 sierpnia 2018. Późny wieczór. Lwów. Rynek. Na rogu Ruskiej i Serbskiej jakaś dziewczyna gra \""Zombie\"" Cranberries. Dobrze gra. Dobrze śpiewa. Wokół sporo ludzi. Słuchają. To ten sam stary motyw,""}",2018-08-29 19:59:42,"""Gwiazda o imieniu Słońce"" we Lwowie",/polish/@hallmann/wspomnienia-z-frontu-21-gwiazda-o-imieniu-slonce-we-lwowie,4
hallmann,fotoplastykon-178-lwow-lviv,Fotoplastykon #178: Lwów/Lviv,polish,"![IMG_2667a.jpg](https://cdn.steemitimages.com/DQmPTM4m3Y5GHrmkq26H7BMjSPgyk2B7q4maFmMv1m4qmsq/IMG_2667a.jpg)

PL: Ulica Karmelicka.
ENG: Prosvity street.
UA: Vulica Prosvity.

Pstryknięte/taken by: Canon EOS 60D, f/3.5, 50mm","{""tags"":[""polish"",""pl-fotografia"",""pl-tradycja"",""photofeed"",""photocircle""],""image"":[""https://cdn.steemitimages.com/DQmPTM4m3Y5GHrmkq26H7BMjSPgyk2B7q4maFmMv1m4qmsq/IMG_2667a.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-08-28 15:28:09,Fotoplastykon #178: Lwów/Lviv,/polish/@hallmann/fotoplastykon-178-lwow-lviv,2
hallmann,subiektywny-przeglad-obrazow-met-5-sceny-rodzajowe,Subiektywny przegląd obrazów Met #5: Sceny rodzajowe ,polish,"Nowojorskie Metropolitan Museum of Art (czyli Met), to najstarsze i największe muzeum w Stanach Zjednoczone. Na początku 2017 roku spędziłem kilka wieczorów przeglądając zgromadzone przez Met zbiory malarstwa europejskiego. Spośród ponad dwóch i pół tysiąca obrazów wybrałem 225. Po kolejnej gruntownej (i mocno subiektywnej) selekcji zostało 100, które chciałbym przedstawić w ramach niniejszej serii. 

Prace podzieliłem na 12 kategorii: Portrety, Krajobraz, Krajobraz i ludzie, Sceny rodzajowe, Historia, Sacrum, Corot, Coubert, Degas, Monet, Pissarro i Varia. Poniżej pierwsza część scen rodzajowych. 

  

  

### 1. Targ rybny 

  

-------------------- 

  

![beuckelaer01.jpg](https://cdn.steemitimages.com/DQmatdrSsxA5gzUQ3MCEZeh1qYpX9yGnbrVmPesWhK15vqX/beuckelaer01.jpg) 

  

<center><i>Joachim Beuckelaer (1533–1575), 1568, olej na dębie bałtyckim.</i></center> 

  

![beuckelaer02.jpg](https://cdn.steemitimages.com/DQmVn4RCbVDZWWmDgzbyABhbsZ41ySGyL4rZMizvB1jYNn5/beuckelaer02.jpg) 

  

![beuckelaer03.jpg](","{""community"":""steempeak"",""app"":""steempeak"",""format"":""markdown"",""tags"":[""polish"",""pl-artykuly"",""pl-sztuka"",""pl-tradycja"",""reakcja""],""users"":[""hallmann""],""links"":[""https://steemit.com/polish/@hallmann/subiektywny-przeglad-obrazow-met-4-krajobraz-i-ludzie""],""image"":[""https://cdn.steemitimages.com/DQmatdrSsxA5gzUQ3MCEZeh1qYpX9yGnbrVmPesWhK15vqX/beuckelaer01.jpg"",""https://cdn.steemitimages.com/DQmVn4RCbVDZWWmDgzbyABhbsZ41ySGyL4rZMizvB1jYNn5/beuckelaer02.jpg"",""https://cdn.steemitimages.com/DQmby6nPiTPm63ziEizYf8LSPvRrewwHat5t1xR3cfQvrZX/beuckelaer03.jpg"",""https://cdn.steemitimages.com/DQmXDkBQjvxC1wtE3npDRrFbCL9wr99cRFZx1KdueLtmq31/beuckelaer04.jpg"",""https://cdn.steemitimages.com/DQmaoBNdbgC6zLf4PXFxYpJZEksPT9sxig2Fg6epEj7zt2j/beuckelaer05.jpg"",""https://cdn.steemitimages.com/DQmNcjtBPchsatYF4XPouH9gDFLzPdkgDderZbJULZCTVBB/beuckelaer06.jpg"",""https://cdn.steemitimages.com/DQmdxCEvkjw9eEXqxjJzXUimM6EUjT1gzsrmBExdzvsodXa/beuckelaer07.jpg"",""https://cdn.steemitimages.com/DQmT7PAHyXAKUph2zipzS1hSjcSJJLBz223nF6gt7zFG2fz/m",2018-08-27 17:19:36,Subiektywny przegląd obrazów Met #5: Sceny rodzajowe ,/polish/@hallmann/subiektywny-przeglad-obrazow-met-5-sceny-rodzajowe,0
hallmann,wyroznione-posty-na-tagu-pl-fotografia-7,Wyróżnione posty na tagu pl-fotografia #7,polish,"https://steemitimages.com/0x0/https://cdn.steemitimages.com/DQmNWiiaJTgktyzGWSYBfWvG7y417whUQDDfYaoyXwtAzjH/IMG_2286.jpg

Oto zestawienie postów z #pl-fotografia wybranych przeze mnie do wsparcia przez Perpetuum Mobile, wraz z wartościami:

0.3 @pstryk: [Letnia łąka](https://steemit.com/smartphonephotography/@pstryk/letnia-laka) 
0.6 @julietlucy: [Leśne migawki](https://steemit.com/polish/@julietlucy/lesne-migawki) 
0.3 @kubak: [Forest heat](https://steemit.com/landscapephotography/@kubak/forest-heat) 
0.3 @mariuszwojcik: [Z cyklu ""Fotokadry"" zdjęcia ""Buty"" i ""Panna młoda""](https://steemit.com/pl-fotografia/@mariuszwojcik/z-cyklu-fotokadry-zdjecia-buty-i-panna-mloda) 
0.5 @lesiopm: [Dywan kwiatowy na Grand-Place w Brukseli](https://steemit.com/polish/@lesiopm/dywan-kwiatowy-na-grand-place-w-brukseli) 
0.5 @postcardsfromlbn: [Know Thy City - Eastern Fringes / Znaj swoje miasto - wschodnie peryferia](https://steemit.com/polish/@postcardsfromlbn/know-thy-city-eastern-fringes-znaj-swoje-miasto-wschodnie-peryferi","{""tags"":[""polish"",""pl-fotografia"",""perpetuummobile""],""image"":[""https://steemitimages.com/0x0/https://cdn.steemitimages.com/DQmNWiiaJTgktyzGWSYBfWvG7y417whUQDDfYaoyXwtAzjH/IMG_2286.jpg""],""links"":[""https://steemit.com/smartphonephotography/@pstryk/letnia-laka"",""https://steemit.com/polish/@julietlucy/lesne-migawki"",""https://steemit.com/landscapephotography/@kubak/forest-heat"",""https://steemit.com/pl-fotografia/@mariuszwojcik/z-cyklu-fotokadry-zdjecia-buty-i-panna-mloda"",""https://steemit.com/polish/@lesiopm/dywan-kwiatowy-na-grand-place-w-brukseli"",""https://steemit.com/polish/@postcardsfromlbn/know-thy-city-eastern-fringes-znaj-swoje-miasto-wschodnie-peryferia"",""https://steemit.com/colourfulphotography/@kubak/3t5p9y-shades-of-green"",""https://steemit.com/colourfulphotography/@kubak/3yjkba-meadow-colors"",""https://steemit.com/pl-fotografia/@robertartfoto/4yxhc6-street-photo"",""https://steemit.com/placestoremember/@postcardsfromlbn/good-old-fashioned-summer-stare-dobre-lato"",""https://steemit.com/photography/@towilmas",2018-08-27 08:03:36,Wyróżnione posty na tagu pl-fotografia #7,/polish/@hallmann/wyroznione-posty-na-tagu-pl-fotografia-7,3
