author,permlink,title,category,body,json_metadata,created,root_title,url,children
harbysco,the-essence-of-time,The Essence of Time,life,"![images.jpg](https://steemitimages.com/DQmaNjGE92DFfr5dHThbxdEGPZoytT7Cv4BiJ8Gov8Qc8Xi/images.jpg)
[Source](https://www.google.com.ng/search?q=time&client=ms-android-gionee&prmd=ivn&source=lnms&tbm=isch&sa=X&ved=0ahUKEwibie35wbvVAhXMEVAKHe32AEIQ_AUIESgB&biw=360&bih=560#imgrc=9gWgiQaZ3OmN_M:)

Time is the indefinite continued progress of existence and event occuring in distinct succession from the past through the present and to the future.

### The Relevance of Time

#### Time waits for no man, constantly changing with no power to stop it

> Time is a circus always packing up and moving away.

> You may delay but time will not

#### Time is irreplaceable 

> Lost wealth may be replaced by industry, lost knowledge by study, lost health by temperance or medicine but lost time is gone forever.

#### Time is precious and worth more than wealth

>  An inch of time is an inch of gold but you can't buy that inch of time with an inch of gold

>  Your greatest asset is your earning ability. Your greatest resource is","{""tags"":[""life"",""motivation"",""nigeria"",""africa""],""image"":[""https://steemitimages.com/DQmaNjGE92DFfr5dHThbxdEGPZoytT7Cv4BiJ8Gov8Qc8Xi/images.jpg""],""links"":[""https://www.google.com.ng/search?q=time&client=ms-android-gionee&prmd=ivn&source=lnms&tbm=isch&sa=X&ved=0ahUKEwibie35wbvVAhXMEVAKHe32AEIQ_AUIESgB&biw=360&bih=560#imgrc=9gWgiQaZ3OmN_M:""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-08-03 17:01:51,The Essence of Time,/life/@harbysco/the-essence-of-time,18
harbysco,celebrating-fathers-celebrating-the-best-dad-in-the-world-20171010t231311193z,Celebrating Fathers; Celebrating The Best Dad In The World.,family,"![download.jpg](https://steemitimages.com/DQmbc6iyuKoUMos77G18NEYg3crrBtmNcRPSLYFsAT4AhdW/download.jpg)
[Credit](https://www.google.com.ng/search?q=happy+birthday+dad&client=ms-android-gionee&prmd=ivn&source=lnms&tbm=isch&sa=X&ved=0ahUKEwj6s7eNhufWAhUHSRoKHTbGA-4Q_AUIEigB#imgrc=Lsii6DRXQo37-M:)

All I have always seen most times is people writing things about their mother, asides writing 
making songs and doing all sort of thing just to acknowledge the love of their mother. Yes, mothers are very important in the life of every child. Their love knows no bound but I tell you only a father can love you more or as much as your mother. I love my mum and I sometimes wish I can draw back the hands of time just to tell her how much I love her. After my mum's demise, I got a better understanding of a father's love. 

I have always been a close buddy of my dad but I tell you, my mum is my closest companion. I got really close to my dad just after my mum's demise 4 years ago. Since then it has always been me and my dad","{""links"":[""https://www.google.com.ng/search?q=happy+birthday+dad&client=ms-android-gionee&prmd=ivn&source=lnms&tbm=isch&sa=X&ved=0ahUKEwj6s7eNhufWAhUHSRoKHTbGA-4Q_AUIEigB#imgrc=Lsii6DRXQo37-M""],""image"":[""https://steemitimages.com/DQmbc6iyuKoUMos77G18NEYg3crrBtmNcRPSLYFsAT4AhdW/download.jpg""],""tags"":[""family"",""love"",""life"",""nigeria"",""whalepower""],""app"":""esteem/1.4.6"",""format"":""markdown+html"",""community"":""esteem""}",2017-10-10 22:13:24,Celebrating Fathers; Celebrating The Best Dad In The World.,/family/@harbysco/celebrating-fathers-celebrating-the-best-dad-in-the-world-20171010t231311193z,13
harbysco,necessity-of-making-your-plans-flexible-enough,Necessity of Making Your Plans Flexible Enough,motivation,"![images (7).jpeg](https://steemitimages.com/DQmW2cuRMPTtffNvFKXqNz31veqWz94TYfz1B3z7meCT6UM/images%20(7).jpeg)

Having  some hearty discussion with one of my lecturer and mentor today, I was put through some lessons of life. During the course of discussion, he revealed to me some major ingredient of success he had always adopted and has been giving him positive outcome in his life. 

Some of the point stated are; 

* Never live your day without any specific plan.

* While mapping out a plan for your life, make sure it is a plan in line with your career.

* Let your daily plans be flexible enough because when you make rigid plans, life might pose it's own plan on yours 

* Think of the biblical saying ""never plan for what you'll eat tomorrow, let tomorrow take care of itself""

____

Moral: I'm not  saying you shouldn't make plans but while planning, think about the dynamism of life and make provisions for whatever unforeseen occurrences that life might pose to you. 
___","{""tags"":[""motivation"",""nigeria"",""life"",""dailytonic"",""lifestyle""],""image"":[""https://steemitimages.com/DQmW2cuRMPTtffNvFKXqNz31veqWz94TYfz1B3z7meCT6UM/images%20(7).jpeg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-10 22:59:12,Necessity of Making Your Plans Flexible Enough,/motivation/@harbysco/necessity-of-making-your-plans-flexible-enough,0
harbysco,you-are-a-product-of-your-decision,You Are A Product Of Your Decision,motivation,"![images (6).jpeg](https://steemitimages.com/DQmPG3H8tfmna7eQAZzZPSPF1X59NyDpayJ7abUpmgXu4km/images%20(6).jpeg)
[Image source ](https://www.google.com.ng/search?client=ms-android-transsion&biw=412&bih=334&tbm=isch&sa=1&ei=Kt-gWru3J8iNgAbplJ_4Dg&q=decision+&oq=decision+&gs_l=mobile-gws-img.12...1242265.1242802..1243865...0....0.0...........1..mobile-gws-wiz-img.f%2FavCQmCMy4%3D#imgrc=VCV50RIwReB7JM:)

At the end it all falls back to the decision we make. We are a product of our decision and the greatest power man can ever wield is the power to make a decision. Never blame anyone for your current situation as it all falls back to the decision you have made at a point in time. It's a known fact that a horse can be forced to a river but cannot be forced to drink water so is the fact that you are the only one capable of taking the right decision for yourself. In life their is always a choice, so it is left to you to take the right decision.  

**Your decision can Make and Mar you...  Always try to take the right ","{""tags"":[""motivation"",""nigeria"",""life"",""dailytonic"",""lifestyle""],""image"":[""https://steemitimages.com/DQmPG3H8tfmna7eQAZzZPSPF1X59NyDpayJ7abUpmgXu4km/images%20(6).jpeg""],""links"":[""https://www.google.com.ng/search?client=ms-android-transsion&biw=412&bih=334&tbm=isch&sa=1&ei=Kt-gWru3J8iNgAbplJ_4Dg&q=decision+&oq=decision+&gs_l=mobile-gws-img.12...1242265.1242802..1243865...0....0.0...........1..mobile-gws-wiz-img.f%2FavCQmCMy4%3D#imgrc=VCV50RIwReB7JM:""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-08 07:32:03,You Are A Product Of Your Decision,/motivation/@harbysco/you-are-a-product-of-your-decision,2
harbysco,steemit-ibadan-meet-up-taking-you-through-the-event-with-pictures,Steemit Ibadan Meet up...  Taking you through the event with pictures,promo-steem,"It was another awesome  moment to meet with amazing Steemian at the Strength Ibadan meet-up. An opportunity of which I had to grab as I  have been really busy lately with my academics.  Meeting with Steemians has always been fun and this meet up likewise was fun as usual.  The organization was lit and we'll planned owing to the fact that it was held at one of the centre city in Southwest,Nigeria the turn up was massive with lots of Steemians travelling from far and wide. 

I won't be talking much about the event now as I will be making a post later in the day that will take you through the event as If you were there. 

# Taking  You Through The Program With The Use Of Photographs 

![IMG_20180224_154403_9.jpg](https://steemitimages.com/DQmQKdtivzdYEN4HAP7ZEAaJA898BzQ5GieDL7Gr6HTEkoF/IMG_20180224_154403_9.jpg)
_Our(@harbysco, @olanrewaju,  @lizbethk)  at Ibadan_

![IMG_20180224_162758_7.jpg](https://steemitimages.com/DQmVFSipdS2LSYug8dJHepTcZsGR9xoqmgp7cksqjZsje4k/IMG_20180224_162758_7.jpg)
_a gathering full ","{""tags"":[""promo-steem"",""steemit"",""meet-up"",""nigeria"",""steem-nigeria""],""users"":[""harbysco"",""olanrewaju"",""lizbethk"",""honourmaus"",""mzajoke"",""olawalium"",""kingsolo"",""abeem90"",""aderonkemi"",""nairadaddy"",""teslim"",""oluwatobiloba"",""gbenga"",""adoore-eu"",""fisteganos""],""image"":[""https://steemitimages.com/DQmQKdtivzdYEN4HAP7ZEAaJA898BzQ5GieDL7Gr6HTEkoF/IMG_20180224_154403_9.jpg"",""https://steemitimages.com/DQmVFSipdS2LSYug8dJHepTcZsGR9xoqmgp7cksqjZsje4k/IMG_20180224_162758_7.jpg"",""https://steemitimages.com/DQmcwMWgXHwDGe3rWgXzSJMDgVnQii25uS9RFfkiHRFAys3/IMG_20180224_185512_8.jpg"",""https://steemitimages.com/DQmbkNXGwfTQUvXq63Vk8kwWS4K2F4WAw39ZqBSz6Q5ry2R/IMG_20180224_172312_1.jpg"",""https://steemitimages.com/DQmP1C86yRbdHw8y3tcAmbGGp4b7caV7GAknwxbhE8JfAav/IMG_20180224_190523_2.jpg"",""https://steemitimages.com/DQmdjFnK7FwbRpycGR3dPgEmPimNXnNkSnzTpLdE5W4WpYr/IMG_20180224_185617_1.jpg"",""https://steemitimages.com/DQmfAjzY7zFr1fRwdaT1HtUB7XRbsjfHgFYyzvDPoD5CpXZ/IMG_20180224_182059_6.jpg"",""https://steemitimages.com/DQmStqVWVvCmBXT3W",2018-02-25 15:58:51,Steemit Ibadan Meet up...  Taking you through the event with pictures,/promo-steem/@harbysco/steemit-ibadan-meet-up-taking-you-through-the-event-with-pictures,8
harbysco,failure-as-a-driving-force,Failure As A Driving Force,motivation,"![IMG_20180221_230404_002.jpg](https://steemitimages.com/DQmX8jnHd6MyrsZsLSbzVwy11Kwv1euQ4cXDa6iZRgVo1dD/IMG_20180221_230404_002.jpg)

To whom it may concern,

Failure is an evidence you are trying, a prove that you are earnestly knocking on that door of opportunity. Failure most times is a disappointment but never forget once you fail you have learnt a new way to getting things right.
Let not your soul be saddened from failure as it is a necessary precursor to getting it right. Pick up yourself again and keep striving. Success is just around the corner. 
____
Sharing this from the depth of my heart to a friend that Is currently down.","{""tags"":[""motivation"",""nigeria"",""life"",""dailytonic"",""lifestyle""],""image"":[""https://steemitimages.com/DQmX8jnHd6MyrsZsLSbzVwy11Kwv1euQ4cXDa6iZRgVo1dD/IMG_20180221_230404_002.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-02-21 22:53:57,Failure As A Driving Force,/motivation/@harbysco/failure-as-a-driving-force,0
harbysco,self-esteem,Self Esteem,zappl,"![IMG_20180220_005904_331.jpg](https://steemitimages.com/DQmQ3Xmyy5TjZVRmuGCb5aFUmWR6y9LtNGvj9nymsbBEqEK/IMG_20180220_005904_331.jpg)
My believe is, I am the best possible version of mankind, the best friend you can have,  the best son you can dream of, and also possibly the best enemy you can hope for. It is not pride, it's just my definition of self esteem.

Note: Being the best doesn't mean I'm infallible or blameless, it simply means I am open to corrections.","{""tags"":[""zappl"",""nigeria"",""onequality"",""quote"",""motivation""],""image"":[""https://steemitimages.com/DQmQ3Xmyy5TjZVRmuGCb5aFUmWR6y9LtNGvj9nymsbBEqEK/IMG_20180220_005904_331.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-02-19 23:59:36,Self Esteem,/zappl/@harbysco/self-esteem,3
harbysco,quit-pleasing-people-do-things-that-pleases-you,Quit Pleasing People... Do Things That Pleases You,motivation,"![IMG_20180219_234036_985.jpg](https://steemitimages.com/DQmeM8kTygaMxT98yXg7zFSg8sgJgnGaNctWd2P9zTSwozE/IMG_20180219_234036_985.jpg)
At times we spend so much time trying to please people,  we spend lots and lots of time impressing them but recently I got to realize the only set of people that should be in your life are those that really love you for who you are, irrespective of who you are. 
A friend once said

> You can only control your actions, you can't determine people's reaction - Ifeoluwa Fatoki

So the question now is ""why try to go out of your own way of live to please people when it is possible that your actions might not be bring a pleasant reaction?"" 

I'm not saying you shouldn't try to improve yourself or some attitude, all I'm saying is; if you feel you need a change of attitude let the change be for yourself alone with no intent of pleasing or satisfying people. It is good to emulate characters that you feel will further better your life but not characters you feel will portray you as good ","{""tags"":[""motivation"",""nigeria"",""life"",""dailytonic"",""lifestyle""],""image"":[""https://steemitimages.com/DQmeM8kTygaMxT98yXg7zFSg8sgJgnGaNctWd2P9zTSwozE/IMG_20180219_234036_985.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-02-19 22:45:48,Quit Pleasing People... Do Things That Pleases You,/motivation/@harbysco/quit-pleasing-people-do-things-that-pleases-you,4
harbysco,fact-about-life,Fact About Life,zappl,"<p>Most of important lessons of life are learnt mostly in awful or unpleasant places, so is important or unforgettable experience  are learnt in an unpleasant way.<br></p>","{""tags"":[""zappl""],""image"":[],""app"":""zappl/0.1"",""format"":""html""}",2018-02-18 23:02:09,Fact About Life,/zappl/@harbysco/fact-about-life,0
harbysco,celebrating-an-awesome-discovery-in-photography,Celebrating An Awesome Discovery In Photography,zappl,"There are a thousand memories in just a caption of picture. Save some memories in pictures and you will be glad you did. Thank you Johann Zahn for designing this amazing gadget that saves memories.

![images (5).jpeg](https://steemitimages.com/DQmTvMBjjJ45kwrJEdFWnCM7VqTHmnScKL2mi5UhwCh6wov/images%20(5).jpeg)
[image source](https://www.google.com.ng/search?q=johann+zahn&client=ms-android-transsion&prmd=inv&source=lnms&tbm=isch&sa=X&ved=0ahUKEwj9ppeUv6vZAhWEuBQKHf6GAp0Q_AUIESgB&biw=412&bih=612&dpr=2.63#imgrc=WZiVEcEPVXdZ8M:&isa=y)","{""tags"":[""zappl"",""photography"",""discovery"",""science""],""image"":[""https://steemitimages.com/DQmTvMBjjJ45kwrJEdFWnCM7VqTHmnScKL2mi5UhwCh6wov/images%20(5).jpeg""],""app"":""steemit/0.1"",""format"":""markdown"",""links"":[""https://www.google.com.ng/search?q=johann+zahn&client=ms-android-transsion&prmd=inv&source=lnms&tbm=isch&sa=X&ved=0ahUKEwj9ppeUv6vZAhWEuBQKHf6GAp0Q_AUIESgB&biw=412&bih=612&dpr=2.63#imgrc=WZiVEcEPVXdZ8M:&isa=y""]}",2018-02-16 22:35:27,Celebrating An Awesome Discovery In Photography,/zappl/@harbysco/celebrating-an-awesome-discovery-in-photography,0
