author,permlink,title,category,body,json_metadata,created,root_title,url,children
marjuanm,funciones-en-php-para-sumar-y-restar-horas-a-una-fecha,Funciones en PHP para sumar y restar horas a una fecha,php,"<html>
<p><img src=""http://otakuzone.freestarthost.com/proyectos/clock2.png"" alt=""Reloj""/><br>
Reloj | <a href=""https://www.pexels.com/photo/analogue-black-and-white-black-and-white-clock-599705/"" target=""_blank"">Pexels</a></p>
<p>&nbsp;&nbsp;Concluyo esta serie de artículos sobre la reutilización del código fuente como parte de las &nbsp;buenas prácticas dentro del mundo de la programación de sistemas, de hecho es la base del movimiento <a href=""https://es.wikipedia.org/wiki/C%C3%B3digo_abierto"" target=""_blank"">OpenSource</a>; mediante el cual se pretende dar igualdad de oportunidades a todos los programadores, que todos podamos beneficiarnos del trabajo de otros (evitando tener que <em>""reinventar la rueda""</em>), reduciendo tiempos de trabajo y en general ser más productivos. Claro, para ello hemos de respetar las reglas del juego y en otro post posterior hablaré de esto.</p>
<p>&nbsp;&nbsp;Agradezco a todos los que han visitado estos artículos y han dejado sus comentarios, espero les hallan sido de utili","{""tags"":[""php"",""sourcecode"",""programacion"",""codigofuente"",""buenaspracticas""],""image"":[""http://otakuzone.freestarthost.com/proyectos/clock2.png"",""http://otakuzone.freestarthost.com/proyectos/sumaryrestarhoras.png""],""links"":[""https://www.pexels.com/photo/analogue-black-and-white-black-and-white-clock-599705/"",""https://es.wikipedia.org/wiki/C%C3%B3digo_abierto"",""https://steemit.com/php/@marjuanm/como-convertir-una-fecha-al-formato-dd-mm-yyyy-o-yy-mm-dd-desde-php"",""https://steemit.com/php/@marjuanm/funciones-en-php-para-obtener-todos-los-elementos-de-una-fecha"",""https://stackoverflow.com/questions/2891937/strtotime-doesnt-work-with-dd-mm-yyyy-format"",""https://www.w3schools.com/php/func_date_date_create.asp"",""https://stackoverflow.com/questions/26421190/date-strtotime-calculation-returns-1969-date""],""app"":""steemit/0.1"",""format"":""html""}",2019-07-10 04:08:36,Funciones en PHP para sumar y restar horas a una fecha,/php/@marjuanm/funciones-en-php-para-sumar-y-restar-horas-a-una-fecha,1
marjuanm,actifit-marjuanm-20191013t034931814z,My Actifit Report Card: October 12 2019,actifit,"![](https://usermedia.actifit.io/16ad34f0-6f2e-4624-94e2-8efa009d4f59)

![](https://usermedia.actifit.io/e3c37732-d986-4f37-aaf3-fb826b7f6950)

![](https://usermedia.actifit.io/fc6b861a-05cb-401e-bcad-b60ac6cff23b)<br><img src=""https://cdn.steemitimages.com/DQmXv9QWiAYiLCSr3sKxVzUJVrgin3ZZWM2CExEo3fd5GUS/sep3.png""><br><table>	<tr>		<img src=""https://cdn.steemitimages.com/DQmRgAoqi4vUVymaro8hXdRraNX6LHkXhMRBZxEo5vVWXDN/ACTIVITYCOUNT.png"">	</tr>	<tr>		<div class=""text-center""><b>6764</b></div>	</tr></table><table>	<tr>		<img src=""https://cdn.steemitimages.com/DQmZ6ZT8VaEpaDzB16qZzK8omffbWUpEpe4BkJkMXmN3xrF/ACTIVITYTYPE.png"">	</tr>	<tr>		<div class=""text-center""><pre><b>Walking</b></div></pre></div>	</tr></table><table>	<tr>		<img src=""https://cdn.steemitimages.com/DQmdnh1nApZieHZ3s1fEhCALDjnzytFwo78zbAY5CLUMpoG/TRACKM.png"">		<td><div class=""text-center""><div class=""phishy""><h6>Height</h6></div>			<h6>178 cm</h6></div></td>		<td><img src=""https://cdn.steemitimages.com/DQmfSsFiXem7AxWG1NCiYYPAjtT4Y7LR8FsXpfsZQe7","{""community"":[""actifit""], ""step_count"":[""6764""], ""activity_type"":[""Walking""], ""tags"":[""actifit"",""caminata"",""walking"",""sportstalk""],""height"":[""178""], ""heightUnit"":[""cm""], ""weight"":[""70""], ""weightUnit"":[""kg""], ""chest"":[""60""], ""chestUnit"":[""cm""], ""waist"":[""60""], ""waistUnit"":[""cm""], ""thighs"":[""25""], ""thighsUnit"":[""cm""], ""actifitUserID"":[""cebf0cac-d4ec-4c25-bb9e-5638d3a4e7aav0.6.2""], ""dataTrackingSource"":[""Device Tracking""], ""detailedActivity"":[""0645307|074583|0800524|0815142|08304|1315795|1330585|1345802|1400224|1415288|1430212|1445229|1500153|183091|1845870|1900234|191521|1930380|1945350|20006|20153|203019|2045281|210084|211510|21304|214524|22003|221510|223022|22454|""], ""activityDate"":[""20191012""], ""image"":[""https://usermedia.actifit.io/16ad34f0-6f2e-4624-94e2-8efa009d4f59"",""https://usermedia.actifit.io/e3c37732-d986-4f37-aaf3-fb826b7f6950"",""https://usermedia.actifit.io/fc6b861a-05cb-401e-bcad-b60ac6cff23b"",""https://cdn.steemitimages.com/DQmNp6YwAm2qwquALZw8PdcovDorwaBSFuxQ38TrYziGT6b/A-20.png""],""appType"":""Andr",2019-10-13 03:49:33,My Actifit Report Card: October 12 2019,/actifit/@marjuanm/actifit-marjuanm-20191013t034931814z,2
marjuanm,joyas-de-la-red-killapps-cerrando-aplicaciones-en-android-para-ahorrar-bateria,"Joyas de la red - KillApps, cerrando aplicaciones en Android para ahorrar batería",software,"![aplicaciones.png](https://cdn.steemitimages.com/DQmWoDBeByCXomr3y8EhUuucXkubcVyUPey7Dq8uH9nYs64/aplicaciones.png)
Aplicaciones Android | Cortesía de <a href=""https://pixabay.com/es/photos/comprimido-pantalla-apps-android-1442900/"" target=""_blank"">Pixabay</a>

Que tal, saludos a todos:

  Hoy en día ya la mayoría tenemos un telefóno con Android (o iOS) y una de las primeras cosas que notamos tras esta migración es que la batería no dura absolutamente nada, <a href=""https://www.elmundo.es/economia/2015/04/20/5530d25322601d3f2c8b457a.html"" target=""_blank"">lejos han quedado los días donde nuestro teléfono celular lo recargabamos cada tercer día</a> (incluso más) y a veces nos preguntamos porque pasa esto, no usamos más que unas cuantas aplicaciones y aún así la batería se va en un suspiro.

 Se han dado <a href=""https://elandroidelibre.elespanol.com/2018/11/android-consume-mucho-en-reposo.html"" target=""_blank"">muchas explicaciones</a> y posibles soluciones, queda en cada quien probar y ver que le resulta mejor","{""tags"":[""android"",""apps"",""apk"",""utilerias""],""image"":[""https://cdn.steemitimages.com/DQmWoDBeByCXomr3y8EhUuucXkubcVyUPey7Dq8uH9nYs64/aplicaciones.png"",""https://cdn.steemitimages.com/DQmSU6qLQG9dvE4A48Qz1EgdvrpJD7QqC5XvPQ7DTYBD1yT/iconokillapps-min.png"",""https://cdn.steemitimages.com/DQmXmmbToiHRwQ9DCiAsYyjBs45DedCSth36TTNSMtUMNbW/killapps03-min.png"",""https://cdn.steemitimages.com/DQmWJpWvgpcb1SA5DEMRwAwdLwsde6YWh9A9dpQK7rCPnKj/killapps04-min.png"",""https://cdn.steemitimages.com/DQmWoXkTAG4eUDiYxcujsmTs6p8oAgxHU8Fzpb9VEG3c1Uo/play.png"",""https://cdn.steemitimages.com/DQmfJPUNAwzBsrBQQUT1wBfJBdXkDhvNsU2A9Qh2XP5vnBx/killapps05.png"",""https://cdn.steemitimages.com/DQmYffKF8Xd2J8rBNWXgCqF3bJsBnHEaqyyGyqrJZvJtZ7g/killapps02.png"",""https://cdn.steemitimages.com/DQmbYk1qZbizvJ9E7R1LijtGkfG41PRykp1xAv6qoCXT44z/killapps07.png"",""https://cdn.steemitimages.com/DQmTrxyYRywtgnxZy7jRZnfUTpKk8gnkVHajUY9v7N2taEm/killapps08.png""],""links"":[""https://pixabay.com/es/photos/comprimido-pantalla-apps-android-1442900/"",""https://www.elmund",2020-01-06 17:25:39,"Joyas de la red - KillApps, cerrando aplicaciones en Android para ahorrar batería",/software/@marjuanm/joyas-de-la-red-killapps-cerrando-aplicaciones-en-android-para-ahorrar-bateria,0
marjuanm,avast-contina-con-el-soporte-para-windows-7-de-microsoft,Avast continúa con el soporte para Windows 7 de Microsoft,dlike,"<center><img src='https://blog.avast.com/hubfs/GettyImages1129131122.jpeg#keepProtocol' alt='Shared From Dlike' /></center>  

#####

 <p>El soporte de Windows 7 ha finalizado y aunque Avast ofrece algo de ayuda hay que aclarar que no es lo mismo, es bueno siempre tener nuestros antivirus actualizados pero estos nunca van a reparar todos los errores del sistema operativo.</p>  

#####

 <center><br><a href='https://dlike.io/post/@marjuanm/avast-contina-con-el-soporte-para-windows-7-de-microsoft'>Shared On DLIKE</a><hr><br><a href='https://dlike.io/'><img src='https://dlike.io/images/dlike-logo.jpg'></a></center>","{""community"":""dlike"",""app"":""dlike/3"",""format"":""html"",""image"":""https:\/\/blog.avast.com\/hubfs\/GettyImages1129131122.jpeg#keepProtocol"",""url"":""https:\/\/blog.avast.com\/es\/avast-still-supports-windows-7?utm_campaign=socialposts_es&utm_source=facebook&utm_medium=social"",""body"":""El soporte de Windows 7 ha finalizado y aunque Avast ofrece algo de ayuda hay que aclarar que no es lo mismo, es bueno siempre tener nuestros antivirus actualizados pero estos nunca van a reparar todos los errores del sistema operativo."",""category"":""Technology"",""tags"":[""dlike"",""hive-116221"",""windows"",""antivirus"",""actualizaciones""]}",2020-01-16 02:55:30,Avast continúa con el soporte para Windows 7 de Microsoft,/dlike/@marjuanm/avast-contina-con-el-soporte-para-windows-7-de-microsoft,0
marjuanm,detectar-un-ad-blocker-bloqueador-de-publicidad-usando-jquery,Detectar un Ad-blocker (bloqueador de publicidad) usando jQuery,publicidad,"![ghostery.png](https://cdn.steemitimages.com/DQmPVZGTStAvshdXqsguXMLMtNz3BXjBTvXfKh2asDDTUvw/ghostery.png)
Logo de Ghostery | Logo pertenece a sus desarrolladores, aunque fue tomado desde <a href=""https://tecnoflash.blogspot.com/2018/08/como-evitar-ser-rastreado-ghostery.html"" target=""_blank"">TecnoFlash</a>

Que tal:

  Recientemente me vi en la necesidad de mostrar un script publicitario en una web de un cliente, todo bien, pero me di cuenta de un <i>""pequeño""</i> detalle. Si el bloqueador de publicidad estaba activo el script obviamente no iniciaba y el tamaño de la web en ciertas partes de descuadraba, así que era necesario detectar si el usuario tiene algún tipo de bloqueador de  publicidad activo o no.

  Este script está probado usando el bloqueador <a href=""https://www.ghostery.com/products/"" target=""_blank""><b>Ghostery</b></a>, ignoro si funciona con otros sistemas de bloqueo como por ejemplo <a href=""https://chrome.google.com/webstore/detail/adblock-%E2%80%94-best-ad-blocker/gighmmpiobklfepjocnamgk","{""tags"":[""publicidad"",""jquery"",""javascript"",""html"",""programacion""],""image"":[""https://cdn.steemitimages.com/DQmPVZGTStAvshdXqsguXMLMtNz3BXjBTvXfKh2asDDTUvw/ghostery.png""],""links"":[""https://tecnoflash.blogspot.com/2018/08/como-evitar-ser-rastreado-ghostery.html"",""https://www.ghostery.com/products/"",""https://chrome.google.com/webstore/detail/adblock-%E2%80%94-best-ad-blocker/gighmmpiobklfepjocnamgkkbiglidom?hl=es"",""https://adhitzads.com/1068008"",""https://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js""],""app"":""steemit/0.1"",""format"":""markdown""}",2020-02-17 04:26:33,Detectar un Ad-blocker (bloqueador de publicidad) usando jQuery,/publicidad/@marjuanm/detectar-un-ad-blocker-bloqueador-de-publicidad-usando-jquery,0
marjuanm,cmo-crear-una-cuenta-invitado-en-windows-10--karlas-project,Cómo Crear una Cuenta Invitado en Windows 10 - Karla's Project,dlike,"<center><img src='https://i1.wp.com/karlaperezyt.com/wp-content/uploads/2019/03/prn20190317001.jpg?fit=1280,720&ssl=1' alt='Shared From Dlike' /></center>  

#####

 <p>Interesante artículo (en vídeo y explicado paso a paso en texto) sobre como crear una cuenta invitado en Windows 10, espero les sea de utilidad y aprovecho para invitarlos a conocer el blog de esta informática, está interesante. Hay muchos artículos dedicados a Windows y Linux principalmente.</p>  

#####

 <center><br><a href='https://dlike.io/post/@marjuanm/cmo-crear-una-cuenta-invitado-en-windows-10--karlas-project'>Shared On DLIKE</a><hr><br><a href='https://dlike.io/'><img src='https://dlike.io/images/dlike-logo.jpg'></a></center>","{""community"":""dlike"",""app"":""dlike/3"",""format"":""html"",""image"":""https:\/\/i1.wp.com\/karlaperezyt.com\/wp-content\/uploads\/2019\/03\/prn20190317001.jpg?fit=1280,720&ssl=1"",""url"":""https:\/\/karlaperezyt.com\/articulo\/como-crear-una-cuenta-invitado-en-windows-10\/"",""body"":""Interesante art\u00edculo (en v\u00eddeo y explicado paso a paso en texto) sobre como crear una cuenta invitado en Windows 10, espero les sea de utilidad y aprovecho para invitarlos a conocer el blog de esta inform\u00e1tica, est\u00e1 interesante. Hay muchos art\u00edculos dedicados a Windows y Linux principalmente."",""category"":""Technology"",""tags"":[""dlike"",""hive-116221"",""windows"","""",""microsoft""]}",2020-02-03 03:52:09,Cómo Crear una Cuenta Invitado en Windows 10 - Karla's Project,/dlike/@marjuanm/cmo-crear-una-cuenta-invitado-en-windows-10--karlas-project,4
marjuanm,entendiendo-el-funcionamiento-de-steem-engine-parte-1,Entendiendo el funcionamiento  de  Steem-engine. #Parte 1,dlike,"<center><img src='https://cdn.steemitimages.com/DQmdQfnA3SLvqdwFMNCBzqNYKpZ1SHmoupkR5BFC6qcDkB2/image.png' alt='Shared From Dlike' /></center>  

#####

 <p>Afiliadas a STEEM existen gran cantidad de monedas (o tokens) que podemos usar en la red (mismo paso con Ethereum), estas nuevas monedas solo funcionan dentro de la red para la cual fueron creadas, caso de token de DLIKE, hasta ahora no he visto que se pueda cambiar por Bitcoins por citar un ejemplo, pero si se puede cambiar por STEEM.</p><p>&nbsp; Bueno, este link que comparto con ustedes es util para saber como cambiar todos los tokens que tengamos de STEEM por STEEM precisamente. Esto se logra gracias al mercado que hay de estos tokens. Algo que le veo de utilidad a este tutorial es que los tokens vendidos no se van a una cuenta de STEEM, sino STEEMP (pero en el market nunca dice eso y ya me había preocupado, nunca recibí el dinero directo a STEEM porque simplemente no está ahí. De STEEMP hay que transferir a STEEM y ahora si.</p><p>&nbsp; Interesante","{""community"":""dlike"",""app"":""dlike/3"",""format"":""html"",""image"":""https:\/\/cdn.steemitimages.com\/DQmdQfnA3SLvqdwFMNCBzqNYKpZ1SHmoupkR5BFC6qcDkB2\/image.png"",""url"":""https:\/\/busy.org\/@bert0\/27-08-2019-14-45-58-k3s0bf9959"",""body"":""Afiliadas a STEEM existen gran cantidad de monedas (o tokens) que podemos usar en la red (mismo paso con Ethereum), estas nuevas monedas solo funcionan dentro de la red para la cual fueron creadas, caso de token de DLIKE, hasta ahora no he visto que se pueda cambiar por Bitcoins por citar un ejemplo, pero si se puede cambiar por STEEM.&amp;nbsp; Bueno, este link que comparto con ustedes es util para saber como cambiar todos los tokens que tengamos de STEEM por STEEM precisamente. Esto se logra gracias al mercado que hay de estos tokens. Algo que le veo de utilidad a este tutorial es que los tokens vendidos no se van a una cuenta de STEEM, sino STEEMP (pero en el market nunca dice eso y ya me hab\u00eda preocupado, nunca recib\u00ed el dinero directo a STEEM porque simplemente no est",2020-02-01 19:27:18,Entendiendo el funcionamiento  de  Steem-engine. #Parte 1,/dlike/@marjuanm/entendiendo-el-funcionamiento-de-steem-engine-parte-1,1
marjuanm,video-tutorial-como-crear-una-barra-de-tareas-con-mens-emergentes-muy-sencilla-en-vbnet-ingls,Video tutorial como crear una barra de tareas con menús emergentes muy sencilla en VB.Net (Inglés),dlike,"<center><img src='https://img.youtube.com/vi/qm__TopTgtU/maxresdefault.jpg' alt='Shared From Dlike' /></center>  

#####

 <p>Tutorial en vídeo sobre como programar una barra de tareas con menús emergentes usando VB.Net. El video se encuentra en el idioma Inglés pero el código fuente y las acciones son comprensibles si hemos ya programado en este lenguaje (VB).</p><p>Espero les sea de utilidad.</p>  

#####

 <center><br><a href='https://dlike.io/post/@marjuanm/video-tutorial-como-crear-una-barra-de-tareas-con-mens-emergentes-muy-sencilla-en-vbnet-ingls'>Shared On DLIKE</a><hr><br><a href='https://dlike.io/'><img src='https://dlike.io/images/dlike-logo.jpg'></a></center>","{""community"":""dlike"",""app"":""dlike/3"",""format"":""html"",""image"":""https:\/\/img.youtube.com\/vi\/qm__TopTgtU\/maxresdefault.jpg"",""url"":""https:\/\/www.youtube.com\/watch?v=qm__TopTgtU&t=0s"",""body"":""Tutorial en v\u00eddeo sobre como programar una barra de tareas con men\u00fas emergentes usando VB.Net. El video se encuentra en el idioma Ingl\u00e9s pero el c\u00f3digo fuente y las acciones son comprensibles si hemos ya programado en este lenguaje (VB).Espero les sea de utilidad."",""category"":""Technology"",""tags"":[""dlike"",""hive-116221"",""programacion"",""visualbasic"",""tutorial""]}",2020-01-29 16:50:39,Video tutorial como crear una barra de tareas con menús emergentes muy sencilla en VB.Net (Inglés),/dlike/@marjuanm/video-tutorial-como-crear-una-barra-de-tareas-con-mens-emergentes-muy-sencilla-en-vbnet-ingls,0
marjuanm,avast-recopil-y-vendi-datos-privados-de-navegacin-de-millones-de-usuarios-tan-detallados-que-permiten-identificarlos,Avast recopiló y vendió datos privados de navegación de millones de usuarios… tan detallados que permiten identificarlos,dlike,"<center><img src='https://i.blogs.es/b8e5e9/1366_2000/840_560.jpg' alt='Shared From Dlike' /></center>  

#####

 <p>Sabemos que la mayoría de las empresas tecnológicas nos espían para vender nuestros datos a anunciantes. Facebook nos espía, Microsoft con Windows 10 nos espía, etc. Ya todo eso lo sabemos pero lo que menos esperábamos es que nuestro antivirus (que se supone debe protegernos) también nos espiara, pero así es.</p><p>Creo que es el precio que hay pagar por tener un producto gratis, sin embargo debe haber otra manera de poder monetizar un producto sin tener que vender nuestros datos, no?.</p>  

#####

 <center><br><a href='https://dlike.io/post/@marjuanm/avast-recopil-y-vendi-datos-privados-de-navegacin-de-millones-de-usuarios-tan-detallados-que-permiten-identificarlos'>Shared On DLIKE</a><hr><br><a href='https://dlike.io/'><img src='https://dlike.io/images/dlike-logo.jpg'></a></center>","{""community"":""dlike"",""app"":""dlike/3"",""format"":""html"",""image"":""https:\/\/i.blogs.es\/b8e5e9\/1366_2000\/840_560.jpg"",""url"":""https:\/\/www.genbeta.com\/seguridad\/avast-recopilo-vendio-datos-privados-navegacion-millones-usuarios-detallados-que-permiten-identificarlos"",""body"":""Sabemos que la mayor\u00eda de las empresas tecnol\u00f3gicas nos esp\u00edan para vender nuestros datos a anunciantes. Facebook nos esp\u00eda, Microsoft con Windows 10 nos esp\u00eda, etc. Ya todo eso lo sabemos pero lo que menos esper\u00e1bamos es que nuestro antivirus (que se supone debe protegernos) tambi\u00e9n nos espiara, pero as\u00ed es.Creo que es el precio que hay pagar por tener un producto gratis, sin embargo debe haber otra manera de poder monetizar un producto sin tener que vender nuestros datos, no?."",""category"":""Technology"",""tags"":[""dlike"",""hive-116221"",""espionaje"",""privacidad"",""internet""]}",2020-01-27 20:35:51,Avast recopiló y vendió datos privados de navegación de millones de usuarios… tan detallados que permiten identificarlos,/dlike/@marjuanm/avast-recopil-y-vendi-datos-privados-de-navegacin-de-millones-de-usuarios-tan-detallados-que-permiten-identificarlos,0
marjuanm,coleccion-de-fotos-03-paisajes-para-usarse-como-wallpapers,Colección de fotos 03: Paisajes para usarse como Wallpapers,fotografia,"Que tal:

  No soy fotógrafo profesional, pero me gusta fotografiar paisajes, nubes y todo aquello que me guste, hace tiempo compartí con un ustedes <a href=""https://steemit.com/fotografia/@marjuanm/coleccion-de-fotos-01-nubes"">un par</a> de colecciones de fotos sobre <a href=""https://steemit.com/fotografia/@marjuanm/coleccion-de-fotos-02-nubes"">nubes</a> que espero les hallan agradado.

  En esta ocasión comparto con ustedes algunas fotos que me parece pueden serles de utilidad, básicamente son algunos paisajes que en mi opinión pueden usarse como wallpapers para una pc, pero igualmente pueden darle otro uso si así lo desean.

  Como en otras ocasiones, estas fotos se liberan bajo licencia Creative Commons, se pueden usar libremente con cualquier fin siempre y cuando se cite al autor de las mismas.

<hr>
Atribución bajo licencia <a href=""https://creativecommons.org/licenses/by-sa/4.0/deed.es"">Creative Commons</a>
por <a href=""https://steemit.com/@marjuanm"">Juan Manuel Mar Hernández</a> ( <a href=""https://tw","{""tags"":[""fotografia"",""paisajes"",""naturaleza"",""compartir""],""image"":[""https://cdn.steemitimages.com/DQmQUiKXQh3LdGuUeCoMV9X5PBxLDARbM1SFToHPcQrjUA7/paisaje.jpg"",""https://cdn.steemitimages.com/DQmQRwb3gvVk8SHFgUpnLdUnWpX2pvYemTyApoQYk9xyYwb/valle%20soleado.jpg"",""https://cdn.steemitimages.com/DQmSckcLLpLGfrJ8YBbdH1QUp1UMpa6vL1KRob2Ww7bybnJ/sorgo.jpg"",""https://cdn.steemitimages.com/DQmbQww523VHJsye8uT64hosuLTV79ASEa49tCy8HSvRw53/laguna.jpg""],""links"":[""https://steemit.com/fotografia/@marjuanm/coleccion-de-fotos-01-nubes"",""https://steemit.com/fotografia/@marjuanm/coleccion-de-fotos-02-nubes"",""https://creativecommons.org/licenses/by-sa/4.0/deed.es"",""https://steemit.com/@marjuanm"",""https://twitter.com/msproys""],""app"":""steemit/0.1"",""format"":""markdown""}",2020-01-20 20:18:27,Colección de fotos 03: Paisajes para usarse como Wallpapers,/fotografia/@marjuanm/coleccion-de-fotos-03-paisajes-para-usarse-como-wallpapers,0
