author,permlink,title,category,body,json_metadata,created,root_title,url,children
mojubare,faith-is-to-be-shared,Faith Is To Be Shared,christianity,"Faith is the foundation of a successful life; it is the substance of all that you need both financially, materially, spiritually and in life generally. Faith in God is the certainty and evidence of all you stand and believe to enjoy in the lord. Do you know your faith is what made you what you are now? Yes!! your faith is what made you, therefore, your faith is what made you. Your conviction about the way you want thing t to be for you is how they be for you.

http://www.consultf5.com/wp-content/uploads/2016/01/LeapOfFaith.png
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjxlqO5rZnXAhXIPRQKHY8rD_4QjRwIBw&url=http%3A%2F%2Fwww.consultf5.com%2F2016%2F01%2F26%2Ftrust-a-leap-of-faith%2F&psig=AOvVaw3Gac-1ozNcdKXT5ebOqfPm&ust=1509487494004120)

Your faith is worth sharing and holding up to as it helps to build and solidify their belief and also strengthen their faith. It also helps to communicate your way of thought to others. Faith in the Christian way is the ","{""tags"":[""christianity"",""christian"",""religion"",""nigeria"",""faith""],""image"":[""http://www.consultf5.com/wp-content/uploads/2016/01/LeapOfFaith.png"",""https://s-media-cache-ak0.pinimg.com/originals/81/3c/16/813c1650236fadfb55eb95b92a77065c.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjxlqO5rZnXAhXIPRQKHY8rD_4QjRwIBw&url=http%3A%2F%2Fwww.consultf5.com%2F2016%2F01%2F26%2Ftrust-a-leap-of-faith%2F&psig=AOvVaw3Gac-1ozNcdKXT5ebOqfPm&ust=1509487494004120"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiqhPjSrZnXAhXC1xQKHdGRDsIQjRwIBw&url=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F99642210486741168%2F&psig=AOvVaw3Gac-1ozNcdKXT5ebOqfPm&ust=1509487494004120""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-10-30 22:07:30,Faith Is To Be Shared,/christianity/@mojubare/faith-is-to-be-shared,2
mojubare,clarity-is-key-in-life,Clarity Is Key In Life,writing,"Most people do so many things and then they make mistakes after which they tell you they didn't understand what they were meant to do or perform. The starting point for success in a person's life is clarity. Clarity about where you are going, how you are to go about it, what you are meant to look for when you get there and so on.

http://thecontextofthings.com/wp-content/uploads/2015/06/clarity.png
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwimocTT0MvXAhVF6xQKHYy1DukQjRwIBw&url=http%3A%2F%2Fthecontextofthings.com%2F2015%2F06%2F02%2Ffuture-of-work-clarity-empowerment%2F&psig=AOvVaw19u6WkWSbqxqOxxo-nmmYB&ust=1511214906075642)

I have heard of people who win contracts they do not know how to execute them then I ask why the contract was awarded to them.

How will you know what you are meant to do when you do not know the recommended output you are meant to give. When you know where you are meant to be, then getting there won't be much difficult.

http://bn","{""tags"":[""writing"",""clarity"",""nigeria"",""life"",""africa""],""image"":[""http://thecontextofthings.com/wp-content/uploads/2015/06/clarity.png"",""http://bnbranding.com/wp-content/uploads/15-10-26-shimon-keene-clarity-about-confusion.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwimocTT0MvXAhVF6xQKHYy1DukQjRwIBw&url=http%3A%2F%2Fthecontextofthings.com%2F2015%2F06%2F02%2Ffuture-of-work-clarity-empowerment%2F&psig=AOvVaw19u6WkWSbqxqOxxo-nmmYB&ust=1511214906075642"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjci6j50MvXAhVBtBQKHbrBBPoQjRwIBw&url=http%3A%2F%2Fbnbranding.com%2Fbrandinsightblog%2Fclarity-in-business%2F&psig=AOvVaw19u6WkWSbqxqOxxo-nmmYB&ust=1511214906075642""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-19 21:59:06,Clarity Is Key In Life,/writing/@mojubare/clarity-is-key-in-life,0
mojubare,your-magic-power-to-be-rich-2017-12-09-16-24-00,Your Magic Power To Be Rich,photography,"https://steepshot.org/api/v1/image/a88bd4b7-acc6-4d6d-9ce5-5d5da0652988.jpeg

-   --  -   - ---  -- - -  -- - -   -----   --  -  - ----  -    -   - --

This is a photograph of my own copy of this awesome book.","{  ""app"": ""steepshot/0.0.12-b"",  ""image_size"": {    ""height"": 960,    ""width"": 540  },  ""ipfs_photo"": ""QmXdwy8oJGpjBXA9SK1GNH2HwojGqeKqXwgbYuejcjqHAV"",  ""tags"": [    ""photography"",    ""life"",    ""photo"",    ""nigeria"",    ""steepshot""  ]}",2017-12-09 16:24:00,Your Magic Power To Be Rich,/photography/@mojubare/your-magic-power-to-be-rich-2017-12-09-16-24-00,0
mojubare,the-people-of-ijoko-episode-22,The People of Ijoko; episode 22,fiction,"They all agreed at what the elder just said.
“Then let us send for the chief priests immediately” said the king 
Then send messengers to lsiaja and ijoka and they honored the invitation in half hour. Lsiaja and ijoka sat opposite each other. The king stood again to addres lsiaja and ijoka.

https://steemitimages.com/0x0/https://s.hswstatic.com/gif/two-ways-to-count-to-ten-story-1.jpg

“Eyes of the gods we greet you both. Today’s meeting is unexpected and urgent which is in respect to what we experienced last night. We all believed that it affected everyone because our people used to say that ‘what affects the eys also affects the nose’. We invited both of you so that you can tell us what to do for we have already ascribed what happened last night to be the ifa  festival which our fathers’ has told us about.” Said the king to lsiaja and ijoka and he made to sit down.

“Hmmm!” lsiaja cleared his throat as he stood up 
“My king I greet you, elders of amuke kingdom, I greet you all. My people it is strange. We a","{""tags"":[""fiction"",""story"",""life"",""tales"",""creativity""],""image"":[""https://steemitimages.com/0x0/https://s.hswstatic.com/gif/two-ways-to-count-to-ten-story-1.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-02-27 23:00:27,The People of Ijoko; episode 22,/fiction/@mojubare/the-people-of-ijoko-episode-22,0
mojubare,the-great-magician-s-magic-script-9-fa58f88a0df6d,The great magician's magic script 9,story,"One day, the magician went on a journey with forjan and hali to a village called agbado for performance. There was a big festival in agbado and the king of the  village had invited  Great Kamah to enymtertain his people and add color to the festival. On their way to the village, Great Kamah talked to his boys. 
  ""Asked we are going to these village, I want the two of you to behave yourself. Don't do anything that would bring shame to me. You must conduct yourself properly,"" he said and turned to Hali. ""Hali, you must not get drunk. You have to overcome drunkenness. Nobody becomes a great magician if he is drunk. A magician has a lot of secrets to keep and no drunk can keep a secret.""
Hali bowed his head in shame. He was embarrassed. He did not like being an alcoholic but he did not understand why he could not keep  off from the keg. He just loved to drink. Though man times, he had vowed to himself not to drink again but once he saw a keg of palm wine, he would forget all about it and soak himself in it.....","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-29 11:52:03,The great magician's magic script 9,/story/@mojubare/the-great-magician-s-magic-script-9-fa58f88a0df6d,3
mojubare,the-great-magician-s-magic-script-11-d1c5794d7038f,The great magician's magic script 11,story,"Forjan had demanded that the people paid him first. They did. Unknown to him, the people had earlier come to persuade Great Kamah and he had told them he would not be chanced.



 They felt that Forjan could help talk to him. Forjan tried to talk to the master but Great Kamah had told him it was impossible as he had a more important engagement at that time. He failed to persuade his master and great Kamah did not attend the occasion.




 The people were not happy. They returned to demand for their money which they have paid to forjan. It was then, everything got known and Great Kamah was very upset with him. He had berated him harshly and told him magic was not for dishonest people.



 Though Forjan had pleaded and promised to change, the stigma had remained. Great Kamah never spoke of it until now as they neared Agba village. Great Kamah was though a patient man, he had no tolerance for embarrassment and unfortunately, little things embarrassed him. The boy promised to be of good behaviour.","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-31 16:31:39,The great magician's magic script 11,/story/@mojubare/the-great-magician-s-magic-script-11-d1c5794d7038f,2
mojubare,keeping-your-customers-yours-only,Keeping Your Customers Yours Only,business,"Customers are always right but they always seek for the right place to transact business as well as get their needs. One very thing about first impression walks well with customers as they love a place where they can familiarize themselves with. You do not know what a simple ""Welcome"" can do when it comes to customer relationship.

https://www.customerservicemanager.com/wp-content/uploads/2015/05/customer.jpg
[source](https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjlwIy7gsfjAhWEYVAKHc7pA4wQjRx6BAgBEAU&url=https%3A%2F%2Fwww.customerservicemanager.com%2Fhow-do-you-define-a-customer%2F&psig=AOvVaw3JlS4lAMUyuR9Jf6mKgKqk&ust=1563832086860336)



When you get a new customer, if it is possible to ring a bell, you can do that, a simple ringing of bell and cheering of new customers make feel special. Also, providing incentives for them so as to make them return and reorder is a great impact which will make them always comeback.

https://media.sproutsocial.com/uploads/2018/05/Customers_Part_of_Company_Bl","{""tags"":[""customer-care"",""business"",""aaa"",""palnet"",""sct"",""steemleo"",""zzan"",""actnearn"",""liv""],""image"":[""https://www.customerservicemanager.com/wp-content/uploads/2015/05/customer.jpg"",""https://media.sproutsocial.com/uploads/2018/05/Customers_Part_of_Company_Blog.png""],""links"":[""https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjlwIy7gsfjAhWEYVAKHc7pA4wQjRx6BAgBEAU&url=https%3A%2F%2Fwww.customerservicemanager.com%2Fhow-do-you-define-a-customer%2F&psig=AOvVaw3JlS4lAMUyuR9Jf6mKgKqk&ust=1563832086860336"",""https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjRuvedgsfjAhVBZlAKHRLKCeMQjhx6BAgBEAM&url=https%3A%2F%2Fsproutsocial.com%2Fadapt%2Fcompany-culture%2F&psig=AOvVaw3JlS4lAMUyuR9Jf6mKgKqk&ust=1563832086860336""],""app"":""palnet/0.1"",""format"":""markdown""}",2019-07-21 22:06:27,Keeping Your Customers Yours Only,/business/@mojubare/keeping-your-customers-yours-only,3
mojubare,artificial-intelligence-could-it-be-the-solution-to-coronavirus,Artificial Intelligence; Could it be the solution to coronavirus?,hive-175254,"What is the solution to the coronavirus pandemic? I will be introducing this post with this question since the WHO declared COVID-19 a Pandemic. 

0n February 8th Lee Hsien Loong Singapore prime minister shared via his Facebook account that they had seen the spread of Coronavirus (COVID-19) among Singapore citizens who haven’t been to china before or been associated with china. In his words he said, “We’ve seen some cases which cannot be traced to the source of infection. These worried us because it showed that the virus is probably already circulating in our own population.”


![a906ea5c-4668-11ea-befc-ef9687daaa85_image_hires_065550.jpeg](https://cdn.steemitimages.com/DQmPo2Kfeq64wvMiCAwLEQdnq6cWBo7BZJw8soafV4Pya4X/a906ea5c-4668-11ea-befc-ef9687daaa85_image_hires_065550.jpeg)
[Source](https://amp.scmp.com/tech/start-ups/article/3048746/artificial-intelligence-applications-surge-china-battles-contain)

Like Singapore, global experts have issued warnings that there is a risk that more countries may already o","{""tags"":[""technology"",""science"",""coronavirus"",""artificial-intelligence"",""steem-leo""],""image"":[""https://cdn.steemitimages.com/DQmPo2Kfeq64wvMiCAwLEQdnq6cWBo7BZJw8soafV4Pya4X/a906ea5c-4668-11ea-befc-ef9687daaa85_image_hires_065550.jpeg"",""https://cdn.steemitimages.com/DQmeBLP2one2TsC3yH1FRDZtSs5JNaQKSbRBXWzwV7K1FyD/https___s3-ap-northeast-1.amazonaws.com_psh-ex-ftnikkei-3937bb4_images_0_6_0_8_24698060-1-eng-GB_RTX7CDQLre.jpg"",""https://cdn.steemitimages.com/DQmf9zzuGhgEbGoqRJFzUU4y8UunEUnsMphG7tHU6gCURwM/20200216_154524.jpg""],""links"":[""https://amp.scmp.com/tech/start-ups/article/3048746/artificial-intelligence-applications-surge-china-battles-contain"",""https://asia.nikkei.com/Spotlight/Coronavirus-outbreak/China-s-giant-tech-companies-join-fight-against-deadly-coronavirus""],""app"":""steemit/0.2"",""format"":""markdown""}",2020-02-16 15:25:45,Artificial Intelligence; Could it be the solution to coronavirus?,/hive-175254/@mojubare/artificial-intelligence-could-it-be-the-solution-to-coronavirus,13
mojubare,when-robotics-collides-with-artificial-intelligence-to-meets-surgery-robotic-ai-surgery,When Robotics Collides with Artificial Intelligence to Meets Surgery; Robotic AI Surgery,hive-175254,"You might have thought of the days when robots will be able to do things for you and you will have to worry no more? Well, those days are coming thanks to Robotics, Artificial intelligence and Blockchain technology.

Have you ever thought of how careful surgeons are when making incisions and performing surgical activities, this is because the life of a patient is in their hands and a simple mistake can lead to a complication which can go wrong and lead to death. The Operating room is always silent with a number of medical practitioners working together to make an operation successful but now it is getting different with the advancement of technology which has combined Artificial Intelligence with Robotic surgery.


![25917726952_83f8e9c316_b.jpg](https://cdn.steemitimages.com/DQmNzVoC1ZeGU8kWeEd5MPSiWKr2ukzztqkd7eatk91zHWA/25917726952_83f8e9c316_b.jpg)
*https://www.flickr.com*

### What is Robotic Surgery?
Performing surgery using robotics is simply robotic surgery; in other words the process whereby a robot","{""tags"":[""artificial-intelligence"",""science"",""steemleo"",""steem-leo"",""medicine"",""surgery"",""robotics""],""image"":[""https://cdn.steemitimages.com/DQmNzVoC1ZeGU8kWeEd5MPSiWKr2ukzztqkd7eatk91zHWA/25917726952_83f8e9c316_b.jpg"",""https://cdn.steemitimages.com/DQmNj6R741GR35ce5eUZKxPXBZoYtcxLpo5dgdBmZsFhbkL/images%20(54).jpeg"",""https://cdn.steemitimages.com/DQmfUp14sK3Eis4dX3yUqtV4ZemwF7AkvBnaSURZuMg79Vz/C3TZR1g81UNaPs7vzNXHueW5ZM76DSHWEY7onmfLxcK2iPEqYcKzfMyuvm44kPFEKcQEZdEHBD7hpKdBsHv1Yk83x3dZbUsiF7qTAxJbCEcxLoZpib3eqfc.png""],""links"":[""https://www.flickr.com"",""https://www.businesswire.com/news/home/20171018005647/en/365mc-Unveils-Worlds-AI-assisted-Liposuction-System-M.A.I.L""],""app"":""steemit/0.2"",""format"":""markdown""}",2020-02-12 06:19:54,When Robotics Collides with Artificial Intelligence to Meets Surgery; Robotic AI Surgery,/hive-175254/@mojubare/when-robotics-collides-with-artificial-intelligence-to-meets-surgery-robotic-ai-surgery,22
mojubare,using-a-credit-card-as-a-life-saver-and-not-a-debt-maker,Using A Credit Card As A Life Saver and Not A Debt Maker,credit-card,"Its true that with credit cards, there is no need to carry cash, and there is little no reason to write cheques. Credit cards are made easy and can be used almost everywhere from grocery stores, to medical centres, charity organisations, bookstores and so on.

Credit card is actually a way to help holders pay for items when they do not have the exact amount at the moment. With credit cards, you can reserve an hotel immediately without thinking of the amount in your account. As good as credit cards are, they are very dangerous. They can lead to the financial ruin of individuals.

https://creditkarmacdn-a.akamaihd.net/res/content/reviews/CCFifthThird02/small.png
[source](https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwiDiN3r4oLkAhUCz4UKHUJeBw0QjRx6BAgBEAQ&url=https%3A%2F%2Fwww.creditkarma.com%2Freviews%2Fcredit-card%2Fsingle%2Fid%2FCCFifthThird02%2F&psig=AOvVaw0TgqFTduh2wrR0SPWWHkPv&ust=1565886165008868


Before the inception of credit card, humans have been buying or transacting on credit among o","{""tags"":[""credit-card"",""credit"",""finance"",""steemleo"",""sct"",""actnearn"",""zzan"",""liv"",""int"",""palnet""],""image"":[""https://creditkarmacdn-a.akamaihd.net/res/content/reviews/CCFifthThird02/small.png"",""https://mz-static.imgix.net/redactor/pictures/5895/credit-cards-for-shoppers_original.jpg?w=660&amp;fm=jpg&amp;q=70""],""links"":[""https://www.google.com/url?sa=i&amp;source=images&amp;cd=&amp;ved=2ahUKEwiDiN3r4oLkAhUCz4UKHUJeBw0QjRx6BAgBEAQ&amp;url=https%3A%2F%2Fwww.creditkarma.com%2Freviews%2Fcredit-card%2Fsingle%2Fid%2FCCFifthThird02%2F&amp;psig=AOvVaw0TgqFTduh2wrR0SPWWHkPv&amp;ust=1565886165008868"",""https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwie_vm944LkAhXQzYUKHTVvD4gQjRx6BAgBEAQ&url=https%3A%2F%2Fmozo.com.au%2Fcredit-cards%2Fguides%2Fcredit-cards-for-shoppers&psig=AOvVaw1h6OlRZHuy3Mm2Dj257ls2&ust=1565886372250224""],""app"":""palnet/0.1"",""format"":""markdown""}",2019-08-14 16:27:27,Using A Credit Card As A Life Saver and Not A Debt Maker,/credit-card/@mojubare/using-a-credit-card-as-a-life-saver-and-not-a-debt-maker,4
