author,permlink,title,category,body,json_metadata,created,root_title,url,children
naijaboost,naijaboost-daily-curation-update-total-of-81-authors-curated,Naijaboost Daily Curation Update; Total of 81 Authors Curated,curation,"In the light of supporting the growing community, @naijaboost brings you today's curation update.

# Total of 81 Accounts was curated today:

Authors curated:
@leczy, @feekayo, @sayodele52, @brainz, @harbecity, @michelsantino. @ebujorvictor, @saintopic, @abayomi55, @horpey, @burlarj, @fadiji09, @mimy, @smyle, @elblees, @sbamsoneu, @samiwhyte, @paulanii, @ttopswag, @cadwell, @mathewdominic, @obiniemeke, @olorianikeade, @steaks-info, @diamomdrich, @emmanueladam91, @phunke, @akintunde, @phuresh, @kingsley-clement, @olowoleolaide, @skaybliss, @detan, @edikanefanga, @loadedprince, @yaanivapeji, @blogtrovert, @ododah, @bhenjosh, @mickyscofield, @arishe, @amec, @funmiakinpelu, @ezinwakelvin, @gee-world, @paragon99, @steem-lagos, @onyemacourage, @isrealicorp, @tolarnee, @folakere, @alisonudume, @steemlifestyle, @kerry234, @estheromoyiwola, @siraticks, @baboyed, @rebe, @hilltop, @kodeblacc, @princesstj, @royalrose, @uniquegem, @drigweeu, @tojukaka, @organik, @ekom, @emem, @victoruyai, @tony-duke, @gamsam, @barineka, ","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""leczy"",""feekayo"",""sayodele52"",""brainz"",""harbecity"",""michelsantino"",""ebujorvictor"",""saintopic"",""abayomi55"",""horpey"",""burlarj"",""fadiji09"",""mimy"",""smyle"",""elblees"",""sbamsoneu"",""samiwhyte"",""paulanii"",""ttopswag"",""cadwell"",""mathewdominic"",""obiniemeke"",""olorianikeade"",""steaks-info"",""diamomdrich"",""emmanueladam91"",""phunke"",""akintunde"",""phuresh"",""kingsley-clement"",""olowoleolaide"",""skaybliss"",""detan"",""edikanefanga"",""loadedprince"",""yaanivapeji"",""blogtrovert"",""ododah"",""bhenjosh"",""mickyscofield"",""arishe"",""amec"",""funmiakinpelu"",""ezinwakelvin"",""gee-world"",""paragon99"",""steem-lagos"",""onyemacourage"",""isrealicorp"",""tolarnee"",""folakere"",""alisonudume"",""steemlifestyle"",""kerry234"",""estheromoyiwola"",""siraticks"",""baboyed"",""rebe"",""hilltop"",""kodeblacc"",""princesstj"",""royalrose"",""uniquegem"",""drigweeu"",""tojukaka"",""organik"",""ekom"",""emem"",""victoruyai"",""tony-duke"",""gamsam"",""barineka"",""stephennevets"",""ebij"",""enoye"",""mahdie"",""stevenmosoes"",""kennyskeelzz"",""greenrun"",""anniebe",2017-12-14 22:11:51,Naijaboost Daily Curation Update; Total of 81 Authors Curated,/curation/@naijaboost/naijaboost-daily-curation-update-total-of-81-authors-curated,3
naijaboost,naijaboost-daily-curation-report-total-of-34-authors-curated,Naijaboost Daily Curation Report: Total of 34 Authors Curated,curation,"In the light of supporting the Nigerian growing community, @naijaboost brings to you today's curation update.
 
# Total of 34 Accounts was curated:
Authours curated in today:
@adigunabiola, @miztemmy, @botefarm, @pearlumie, @neyobussy, @oyinkansola01, @olubussy, @illuminatus, @funkylove,
@mritsnobigdeal, @psalmmuel, @dapeeyg, @oluwoleolaide, @dante31, @antigenx, @anikys3reasure, @princeemmanuel, @sirharoldsimbo, @i0x, @oluwatobiloba, @eunireal1, @eddie23, @prettyart,@samminator, @botefarm, @nairadaddy, @davidad, @masterroshi, @akharia, @kainos-success, @pejugold, @ebado, @setil, @mediahousent.
 


# Want to support this project;
Send Steem/SBD or delegate SP to @naijaboost.
You can also support by joining @naijaboost curation trail on steemauto

# The Team;
The team behind this project still remains @ceepee, @ejemai, @gbenga.
Technical Adviser @donkeypong


# Support so far:

Our appreciation goes to
SP Delegation
@donkeypong
@hanshotfirst
@lukestokes.mhth

Donations:
@bluewaves
@samstickkz
@honourmaus
@tezz","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""adigunabiola"",""miztemmy"",""botefarm"",""pearlumie"",""neyobussy"",""oyinkansola01"",""olubussy"",""illuminatus"",""funkylove"",""mritsnobigdeal"",""psalmmuel"",""dapeeyg"",""oluwoleolaide"",""dante31"",""antigenx"",""anikys3reasure"",""princeemmanuel"",""sirharoldsimbo"",""i0x"",""oluwatobiloba"",""eunireal1"",""eddie23"",""prettyart"",""samminator"",""nairadaddy"",""davidad"",""masterroshi"",""akharia"",""kainos-success"",""pejugold"",""ebado"",""setil"",""mediahousent"",""ceepee"",""ejemai"",""gbenga"",""donkeypong"",""hanshotfirst"",""lukestokes.mhth"",""bluewaves"",""samstickkz"",""honourmaus"",""tezzmax"",""emmyllionaire"",""ewuoso"",""maryfavour"",""teaser1""],""image"":[""https://steemitimages.com/DQmUxRQdr43CEFai8JNYrMcy7TxcDmUVn1MgVSafbKBW2To/IMG_20171114_093823_050.jpg""],""links"":[""https://steemit.com/nigeria/@naijaboost/naijaboost-rules-and-guide-for-curation""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-27 21:29:36,Naijaboost Daily Curation Report: Total of 34 Authors Curated,/curation/@naijaboost/naijaboost-daily-curation-report-total-of-34-authors-curated,3
naijaboost,5qv8na-naijaboost-daily-curation-report-total-of-26-authors-curated,Naijaboost Daily Curation Report: Total of 26 Authors Curated,curation,"In the light of supporting the Nigerian growing community, @naijaboost brings to you today's curation update.
 
# Total of 26 Accounts was curated:
Authours curated in today:
@musteethany,@tezzmax, @kainos-success, @ewawumi,@becca-p, @bob-elr
@olamisexy,@steembullet,@steembullet, 
@imbigdee,@sunnypa,@igweyakubu, 
@steemit4dan,@davidad,@willywealth, 
@yetunde,@steep2308, @mimy, 
@nonnyfresh,@femiandrew,@lizbethk, 
@stach-uyo,@theheralds,@annieben, 
 @gidionline, @bekky, 

# Want to support this project;
Send Steem/SBD or delegate SP to @naijaboost.
You can also support by joining @naijaboost curation trail on steemauto

# The Team;
The team behind this project still remains @ceepee, @ejemai, @gbenga.
Technical Adviser @donkeypong


# Support so far:

Our appreciation goes to
SP Delegation
@donkeypong
@hanshotfirst
@lukestokes.mhth

Donations:
@bluewaves
@samstickkz
@honourmaus
@tezzmax
@davidad
@emmyllionaire
@ewuoso
@maryfavour
@teaser1

Thank you for your support so far for making this project a success.


","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""musteethany"",""tezzmax"",""kainos-success"",""ewawumi"",""becca-p"",""bob-elr"",""olamisexy"",""steembullet"",""imbigdee"",""sunnypa"",""igweyakubu"",""steemit4dan"",""davidad"",""willywealth"",""yetunde"",""steep2308"",""mimy"",""nonnyfresh"",""femiandrew"",""lizbethk"",""stach-uyo"",""theheralds"",""annieben"",""gidionline"",""bekky"",""ceepee"",""ejemai"",""gbenga"",""donkeypong"",""hanshotfirst"",""lukestokes.mhth"",""bluewaves"",""samstickkz"",""honourmaus"",""emmyllionaire"",""ewuoso"",""maryfavour"",""teaser1"",""dapeeyg""],""image"":[""https://steemitimages.com/DQmUxRQdr43CEFai8JNYrMcy7TxcDmUVn1MgVSafbKBW2To/IMG_20171114_093823_050.jpg""],""links"":[""https://steemit.com/nigeria/@naijaboost/naijaboost-rules-and-guide-for-curation""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-25 21:44:42,Naijaboost Daily Curation Report: Total of 26 Authors Curated,/curation/@naijaboost/5qv8na-naijaboost-daily-curation-report-total-of-26-authors-curated,1
naijaboost,naijaboost-daily-curation-report-total-of-43-authors-curated,Naijaboost Daily Curation Report: Total of 43 Authors Curated,curation,"In the light of supporting the Nigerian growing community, @naijaboost brings to you today's curation update.
 
# Total of 43 Accounts was curated:
Authours curated in today:
@petermarie, @gloeze, @tosyne2much, 
@osigbhemeh, @tranquilizer, @oredebby, @olamisexy, @altruisticbot, @steemit-giver, @roman3, @kuboskeey, @olalex, @princefm, @jeaniepearl, @tomilolafadipe, @giving-girl, @mistakil, @mdeecoded, @nairadaddy, @olumide, @steem-untalente, @silver001, @vellzz, @mzajoke, @dhavey,@adahmiracle, 
@adahmiracle, @shollstun, @musteethany, @eleaza, @mizbussy, @emmakkayluv, @henry-9ja, @botefarm, @abidemi001,@greatness96, @samot, @jacobite, @bulleth, @oladayoamusan, @yaanivapeji, @tfame3865, @funkylove, 


# Want to support this project;
Send Steem/SBD or delegate SP to @naijaboost.
You can also support by joining @naijaboost curation trail on steemauto

# The Team;
The team behind this project still remains @ceepee, @ejemai, @gbenga.
Technical Adviser @donkeypong


# Support so far:

Our appreciation goes to
SP Del","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""petermarie"",""gloeze"",""tosyne2much"",""osigbhemeh"",""tranquilizer"",""oredebby"",""olamisexy"",""altruisticbot"",""steemit-giver"",""roman3"",""kuboskeey"",""olalex"",""princefm"",""jeaniepearl"",""tomilolafadipe"",""giving-girl"",""mistakil"",""mdeecoded"",""nairadaddy"",""olumide"",""steem-untalente"",""silver001"",""vellzz"",""mzajoke"",""dhavey"",""adahmiracle"",""shollstun"",""musteethany"",""eleaza"",""mizbussy"",""emmakkayluv"",""henry-9ja"",""botefarm"",""abidemi001"",""greatness96"",""samot"",""jacobite"",""bulleth"",""oladayoamusan"",""yaanivapeji"",""tfame3865"",""funkylove"",""ceepee"",""ejemai"",""gbenga"",""donkeypong"",""hanshotfirst"",""lukestokes.mhth"",""bluewaves"",""samstickkz"",""honourmaus"",""tezzmax"",""davidad"",""emmyllionaire"",""ewuoso"",""maryfavour"",""teaser1"",""dapeeyg""],""image"":[""https://steemitimages.com/DQmUxRQdr43CEFai8JNYrMcy7TxcDmUVn1MgVSafbKBW2To/IMG_20171114_093823_050.jpg""],""links"":[""https://steemit.com/nigeria/@naijaboost/naijaboost-rules-and-guide-for-curation""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-24 08:18:09,Naijaboost Daily Curation Report: Total of 43 Authors Curated,/curation/@naijaboost/naijaboost-daily-curation-report-total-of-43-authors-curated,2
naijaboost,naijaboost-daily-curation-report-total-of-26-authors-curated,Naijaboost Daily Curation Report: Total of 26 Authors Curated,curation,"In the light of supporting the Nigerian growing community, @naijaboost brings to you today's curation update.
 
# Total of 26 Accounts was curated:
Authours curated in today:
@dapeeyg, @ceedophobia, @samal, 
@mick01, @antigenx, @ewuoso, 
@marvellouus, @gentleshaid, @steemit-giver, 
@nathanonliner, @steemspirit, 
@maribelquere97, @japfive, @barineka, 
@emilykhemeko, @nelsonesq, 
@bigdaddyjayy, @kingsley-clement, 
@tranquilizer, @davidad, @gutzygwin, 
@leyiga, @olamisexy, @blogtrovert, 
@neyo, @tosyne2much.


# Want to support this project;
Send Steem/SBD or delegate SP to @naijaboost.
You can also support by joining @naijaboost curation trail on steemauto

# The Team;
The team behind this project still remains @ceepee, @ejemai, @gbenga.
Technical Adviser @donkeypong


# Support so far:

Our appreciation goes to
SP Delegation
@donkeypong
@hanshotfirst
@lukestokes.mhth

Donations:
@bluewaves
@samstickkz
@honourmaus
@tezzmax
@davidad
@emmyllionaire
@ewuoso
@maryfavour
@teaser1

Thank you for your support so far ","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""dapeeyg"",""ceedophobia"",""samal"",""mick01"",""antigenx"",""ewuoso"",""marvellouus"",""gentleshaid"",""steemit-giver"",""nathanonliner"",""steemspirit"",""maribelquere97"",""japfive"",""barineka"",""emilykhemeko"",""nelsonesq"",""bigdaddyjayy"",""kingsley-clement"",""tranquilizer"",""davidad"",""gutzygwin"",""leyiga"",""olamisexy"",""blogtrovert"",""neyo"",""tosyne2much"",""ceepee"",""ejemai"",""gbenga"",""donkeypong"",""hanshotfirst"",""lukestokes.mhth"",""bluewaves"",""samstickkz"",""honourmaus"",""tezzmax"",""emmyllionaire"",""maryfavour"",""teaser1""],""image"":[""https://steemitimages.com/DQmUxRQdr43CEFai8JNYrMcy7TxcDmUVn1MgVSafbKBW2To/IMG_20171114_093823_050.jpg""],""links"":[""https://steemit.com/nigeria/@naijaboost/naijaboost-rules-and-guide-for-curation""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-21 21:15:12,Naijaboost Daily Curation Report: Total of 26 Authors Curated,/curation/@naijaboost/naijaboost-daily-curation-report-total-of-26-authors-curated,1
naijaboost,6kk5hk-naijaboost-daily-curation-report-total-of-33-authors-curated,Naijaboost Daily Curation Report: Total of 33 Authors Curated,curation,"In the light of supporting the Nigerian growing community, @naijaboost brings to you today's curation update.
 
# Total of 33 Accounts was curated:
Authours curated in today:

@egetex,@oluwoleolaide, @dapeeyg,  
@steemcamp,@edith4angelseu, 
@mosunomotunde, @gabriel90sson, @stach.pay,@segunreus, @olamisexy, 
@jo5h,@illuminatus, @adahmiracle, 
@kingsley-clement,@cryptospecio,
@asadshah,@vheobong, @moezzy, 
@princessjulius,@raymondbruce, 
@oladayoamusan,@magatha
@opeyemioguns,@prettyart, 
@princessvanessa, @samminator, 
@botefarm,@vellzz, @odochydanielle, 
@silver001,@nellyprecy,@funkylove, 
@gidionline
 

# Want to support this project;
Send Steem/SBD or delegate SP to @naijaboost.
You can also support by joining @naijaboost curation trail on steemauto

# The Team;
The team behind this project still remains @ceepee, @ejemai, @gbenga.
Technical Adviser @donkeypong


# Support so far:

Our appreciation goes to
SP Delegation
@donkeypong
@hanshotfirst
@lukestokes.mhth

Donations:
@bluewaves
@samstickkz
@honourmaus","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""egetex"",""oluwoleolaide"",""dapeeyg"",""steemcamp"",""edith4angelseu"",""mosunomotunde"",""gabriel90sson"",""stach.pay"",""segunreus"",""olamisexy"",""jo5h"",""illuminatus"",""adahmiracle"",""kingsley-clement"",""cryptospecio"",""asadshah"",""vheobong"",""moezzy"",""princessjulius"",""raymondbruce"",""oladayoamusan"",""magatha"",""opeyemioguns"",""prettyart"",""princessvanessa"",""samminator"",""botefarm"",""vellzz"",""odochydanielle"",""silver001"",""nellyprecy"",""funkylove"",""gidionline"",""ceepee"",""ejemai"",""gbenga"",""donkeypong"",""hanshotfirst"",""lukestokes.mhth"",""bluewaves"",""samstickkz"",""honourmaus"",""tezzmax"",""davidad"",""emmyllionaire"",""ewuoso"",""maryfavour"",""teaser1""],""image"":[""https://steemitimages.com/DQmUxRQdr43CEFai8JNYrMcy7TxcDmUVn1MgVSafbKBW2To/IMG_20171114_093823_050.jpg""],""links"":[""https://steemit.com/nigeria/@naijaboost/naijaboost-rules-and-guide-for-curation""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-20 22:02:24,Naijaboost Daily Curation Report: Total of 33 Authors Curated,/curation/@naijaboost/6kk5hk-naijaboost-daily-curation-report-total-of-33-authors-curated,3
naijaboost,naijaboost-daily-curation-report-total-of-33-authors-curated,Naijaboost Daily Curation Report: Total of 33 Authors Curated,curation,"In the light of supporting the Nigerian growing community, @naijaboost brings to you today's curation update.
 
# Total of 33 Accounts was curated:
Authours curated in today:
@oyinade, @graface, @josyweed, @ewawumi,  @drigweeu, @neyobussy, @djoi, @dacrownprince, @neyo,@ayinky @prettyjules158, @blessedsteemer, @miztemmy,@bafspotlight, @graface, @ohakfarm @ubongj, @dotman-art @iamchijamz,@i0x, @dorlas, @blessedman939, @apeximomen, @oyinkansola01, @botefarm, @olubussy, @kolaolabode, @samsonike, @samminator, @ajala,@bat-junior, @sallyquin, @musteethany, 
 

# Want to support this project;
Send Steem/SBD or delegate SP to @naijaboost.
You can also support by joining @naijaboost curation trail on steemauto

# The Team;
The team behind this project still remains @ceepee, @ejemai, @gbenga.
Technical Adviser @donkeypong


# Support so far:

Our appreciation goes to
SP Delegation
@donkeypong
@hanshotfirst
@lukestokes.mhth

Donations:
@bluewaves
@samstickkz
@honourmaus
@tezzmax
@davidad
@emmyllionaire
@ewuoso
@maryfavo","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""oyinade"",""graface"",""josyweed"",""ewawumi"",""drigweeu"",""neyobussy"",""djoi"",""dacrownprince"",""neyo"",""ayinky"",""prettyjules158"",""blessedsteemer"",""miztemmy"",""bafspotlight"",""ohakfarm"",""ubongj"",""dotman-art"",""iamchijamz"",""i0x"",""dorlas"",""blessedman939"",""apeximomen"",""oyinkansola01"",""botefarm"",""olubussy"",""kolaolabode"",""samsonike"",""samminator"",""ajala"",""bat-junior"",""sallyquin"",""musteethany"",""ceepee"",""ejemai"",""gbenga"",""donkeypong"",""hanshotfirst"",""lukestokes.mhth"",""bluewaves"",""samstickkz"",""honourmaus"",""tezzmax"",""davidad"",""emmyllionaire"",""ewuoso"",""maryfavour"",""teaser1"",""dapeeyg""],""image"":[""https://steemitimages.com/DQmUxRQdr43CEFai8JNYrMcy7TxcDmUVn1MgVSafbKBW2To/IMG_20171114_093823_050.jpg""],""links"":[""https://steemit.com/nigeria/@naijaboost/naijaboost-rules-and-guide-for-curation""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-18 23:37:51,Naijaboost Daily Curation Report: Total of 33 Authors Curated,/curation/@naijaboost/naijaboost-daily-curation-report-total-of-33-authors-curated,1
naijaboost,naijaboost-curation-report-2201-accounts-curated-in-6-months,Naijaboost Curation Report: 2201 Accounts Curated In 6 Months.,curation,"In the light of supporting the Nigerian growing community, @naijaboost brings to you the first 6month(January - June)  of curation update for the year 2018.
 
# Total of 2201 Accounts was curated:
 
# The highest upvote made by Naijaboost from (January - June) 2018 was estimated to be 111 upvotes in just 24 hours. 
https://steemit.com/curation/@naijaboost/naijaboost-daily-curation-total-of-111-authors-curated


# Want to support this project;
Send Steem/SBD or delegate SP to @naijaboost.
You can also support by joining @naijaboost curation trail on steemauto

# The Team;
The team behind this project still remains @ceepee, @ejemai, @gbenga.
Technical Adviser @donkeypong


# Support so far:

Our appreciation goes to
SP Delegation
@donkeypong
@hanshotfirst
@lukestokes.mhth

Donations:
@bluewaves
@samstickkz
@honourmaus
@tezzmax
@davidad
@emmyllionaire
@ewuoso
@maryfavour
@teaser1

Thank you for your support so far for making this project a success.


Any complains, suggestion, queries, please direct them to @ej","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""ceepee"",""ejemai"",""gbenga"",""donkeypong"",""hanshotfirst"",""lukestokes.mhth"",""bluewaves"",""samstickkz"",""honourmaus"",""tezzmax"",""davidad"",""emmyllionaire"",""ewuoso"",""maryfavour"",""teaser1"",""dapeeyg""],""image"":[""https://steemitimages.com/DQmUxRQdr43CEFai8JNYrbyMcy7TxcDmUVn1MgVSafbKBW2To/IMG_20171114_093823_050.jpg""],""links"":[""https://steemit.com/curation/@naijaboost/naijaboost-daily-curation-total-of-111-authors-curated"",""https://steemit.com/nigeria/@naijaboost/naijaboost-rules-and-guide-for-curation""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-16 23:44:12,Naijaboost Curation Report: 2201 Accounts Curated In 6 Months.,/curation/@naijaboost/naijaboost-curation-report-2201-accounts-curated-in-6-months,0
naijaboost,naijaboost-daily-curation-report-total-of-32-authors-curated,Naijaboost Daily Curation Report: Total of 32 Authors Curated,curation,"In the light of supporting the Nigerian growing community, @naijaboost brings to you today's curation update.
 
# Total of 32 Accounts was curated:
Authours curated in today:
@abraham10,@emma001, @tojukaka, @theheralds, @bulleth, @yvo, @olusegun, @k-banti, @ceedophobia, @leinzea, @daniel-otaniel,  @mick01, @gloeze,  @mzajoke, @saheedadewal, @bosindelive, @segezy, @adoore-eu,@pejugold,  @oladayoamusa, @gidionline, @sallyquin, @ajala, @musteethany, @bat-junior, @zanny, @oluwatobiloba, @kolaolabode, @dullipee, @steepup, @steve1122, @samsonike
 

# Want to support this project;
Send Steem/SBD or delegate SP to @naijaboost.
You can also support by joining @naijaboost curation trail on steemauto

# The Team;
The team behind this project still remains @ceepee, @ejemai, @gbenga.
Technical Adviser @donkeypong


# Support so far:

Our appreciation goes to
SP Delegation
@donkeypong
@hanshotfirst
@lukestokes.mhth

Donations:
@bluewaves
@samstickkz
@honourmaus
@tezzmax
@davidad
@emmyllionaire
@ewuoso
@maryfavour
@teaser1","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""abraham10"",""emma001"",""tojukaka"",""theheralds"",""bulleth"",""yvo"",""olusegun"",""k-banti"",""ceedophobia"",""leinzea"",""daniel-otaniel"",""mick01"",""gloeze"",""mzajoke"",""saheedadewal"",""bosindelive"",""segezy"",""adoore-eu"",""pejugold"",""oladayoamusa"",""gidionline"",""sallyquin"",""ajala"",""musteethany"",""bat-junior"",""zanny"",""oluwatobiloba"",""kolaolabode"",""dullipee"",""steepup"",""steve1122"",""samsonike"",""ceepee"",""ejemai"",""gbenga"",""donkeypong"",""hanshotfirst"",""lukestokes.mhth"",""bluewaves"",""samstickkz"",""honourmaus"",""tezzmax"",""davidad"",""emmyllionaire"",""ewuoso"",""maryfavour"",""teaser1"",""dapeeyg""],""image"":[""https://steemitimages.com/DQmUxRQdr43CEFai8JNYrMcy7TxcDmUVn1MgVSafbKBW2To/IMG_20171114_093823_050.jpg""],""links"":[""https://steemit.com/nigeria/@naijaboost/naijaboost-rules-and-guide-for-curation""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-14 22:32:06,Naijaboost Daily Curation Report: Total of 32 Authors Curated,/curation/@naijaboost/naijaboost-daily-curation-report-total-of-32-authors-curated,2
naijaboost,naijaboost-daily-curation-report-total-of-38-authors-curated,Naijaboost Daily Curation Report; Total of 38 Authors Curated,curation,"In the light of supporting the Nigerian growing community, @naijaboost brings to you today's curation update.
 
# Total of 38 Accounts was curated:
Authours curated in today:
@kuboskeey,@stach, @willywealth, @shahabshah, @t-flames, @afolwalex, @raymondbruce,@uche-nna,
 @oliverwilliams, @steemingnaija, @noblepoundz,@princefm,
@edith4angelseu, @prettyjules, @rebeccafl,@juwanny30, @silene, @samostically,@eunireal1,@eleaza, @silver001,@jeline, @endurance1, @udezee,
@uloggers, @vellzz, @euguma, @bosun, 
@ogochukwu,  @egetex,  @milagros, @annieben, @dapeeyg, @oluwatobiloba, @zanny, @sallyquin, @saminator, @musteethany.
 

# Want to support this project;
Send Steem/SBD or delegate SP to @naijaboost.
You can also support by joining @naijaboost curation trail on steemauto

# The Team;
The team behind this project still remains @ceepee, @ejemai, @gbenga.
Technical Adviser @donkeypong


# Support so far:

Our appreciation goes to
SP Delegation
@donkeypong
@hanshotfirst
@lukestokes.mhth

Donations:
@bluewaves
@samstickk","{""tags"":[""curation"",""nigeria"",""growth-project""],""users"":[""naijaboost"",""kuboskeey"",""stach"",""willywealth"",""shahabshah"",""t-flames"",""afolwalex"",""raymondbruce"",""uche-nna"",""oliverwilliams"",""steemingnaija"",""noblepoundz"",""princefm"",""edith4angelseu"",""prettyjules"",""rebeccafl"",""juwanny30"",""silene"",""samostically"",""eunireal1"",""eleaza"",""silver001"",""jeline"",""endurance1"",""udezee"",""uloggers"",""vellzz"",""euguma"",""bosun"",""ogochukwu"",""egetex"",""milagros"",""annieben"",""dapeeyg"",""oluwatobiloba"",""zanny"",""sallyquin"",""saminator"",""musteethany"",""ceepee"",""ejemai"",""gbenga"",""donkeypong"",""hanshotfirst"",""lukestokes.mhth"",""bluewaves"",""samstickkz"",""honourmaus"",""tezzmax"",""davidad"",""emmyllionaire"",""ewuoso"",""maryfavour"",""teaser1""],""image"":[""https://steemitimages.com/DQmUxRQdr43CEFai8JNYrMcy7TxcDmUVn1MgVSafbKBW2To/IMG_20171114_093823_050.jpg""],""links"":[""https://steemit.com/nigeria/@naijaboost/naijaboost-rules-and-guide-for-curation""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-06-13 01:45:15,Naijaboost Daily Curation Report; Total of 38 Authors Curated,/curation/@naijaboost/naijaboost-daily-curation-report-total-of-38-authors-curated,3
