author,permlink,title,category,body,json_metadata,created,root_title,url,children
owo-paki,chief-udeze-the-mad-woman-s-choice-story-11,Chief Udeze The Mad Woman's Choice - STORY 11,story,"Ogadinma has taken her children to the city where she rented an apartment so that she could see enough space to be storing her palm oil as her business has grown.  it was a three bedroom apartment she rented.

Two years is coming close. Oluchi, Ogadinma's only daughter has completed her secondary school education and was seeking admission into the university. Fortunately, her name appeared on the list of accepted students to be admitted into the University she had placed as her first choice.


https://steemitimages.com/0x0/http://3.bp.blogspot.com/-rQGOGThVBBE/VdBtv6wAItI/AAAAAAAGQJ0/x_sZEdit06s/s400/wpid-wp-14269727472961.jpeg
Source: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjXysPu56XYAhUD8RQKHR3hBbIQjRwIBw&url=https%3A%2F%2Fwww.lindaikejisblog.com%2F2015%2F08%2Ftrue-story-interesting-personal.html&psig=AOvVaw3RMJs_tud5y7pB5sU1-ozd&ust=1514313547956170

She was very glad and excited. She went home to share the trending news with her family. When she got hom","{""tags"":[""story"",""nigeria"",""life"",""fiction"",""africa""],""image"":[""https://steemitimages.com/0x0/http://3.bp.blogspot.com/-rQGOGThVBBE/VdBtv6wAItI/AAAAAAAGQJ0/x_sZEdit06s/s400/wpid-wp-14269727472961.jpeg""],""links"":[""https://www.google.com/url?sa=i&amp;rct=j&amp;q=&amp;esrc=s&amp;source=images&amp;cd=&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjXysPu56XYAhUD8RQKHR3hBbIQjRwIBw&amp;url=https%3A%2F%2Fwww.lindaikejisblog.com%2F2015%2F08%2Ftrue-story-interesting-personal.html&amp;psig=AOvVaw3RMJs_tud5y7pB5sU1-ozd&amp;ust=1514313547956170""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-01-10 11:39:45,Chief Udeze The Mad Woman's Choice - STORY 11,/story/@owo-paki/chief-udeze-the-mad-woman-s-choice-story-11,2
owo-paki,the-work-of-a-lazy-man-15-7e0e866a1600f,The Work of A Lazy Man 15,tale,"Then the chief said, come with me. The chief toned and began to trek and the direction of the main entrance. Atiaba turned to his partner and the ever-present kept his face was as white as sheet. 


https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg

After me said I'll look at it direction of the chief it was too quick to ignoring the shake off his friend head.  And even as you work, short after whispering in his of his friends voice falling behind.

The fitting room into which the emptied of every beat befitting of the chief's status lusciously near furnished and space expensive enough to field a standard football match. The distance to their seat and check if I can fix it on the two men.

Yes what do you say you want what do you say was in my house the chief granted but we say there with this stare.

In a deep breath, Atiaba  spoke. The devil chief the devil, and how did the devil get into my house? By the invitation ","{""tags"":[""tale"",""story"",""life"",""fiction"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem"",""image"":[""https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg""]}",2018-03-13 01:09:09,The Work of A Lazy Man 15,/tale/@owo-paki/the-work-of-a-lazy-man-15-7e0e866a1600f,0
owo-paki,the-work-of-a-lazy-man-17-3f8b811cfc875,The Work of A Lazy Man 17,nigeria,"Without a word, the chief got his feet and son turns to the direction of the staircase.

Atiaba turned to Emeroua- the other man was and steve as teacher. Quickly release the lizard.  Atiaba muttered.

Emeroua turned to his companion, are you sure is a great idea, reaching for his innocent forgot what did you just run for a while you have the chance.

https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg

You nit-witted idiots. Atiaba snapped . Feeling double crossed. It better release that lizard or the only thing you'll be trying to release will be my grip of your neck?

The chief return it is international passport and handed it over to Atiaba. 

We will go with this Atiaba  said starting the password into his inner pocket, we will return in two days.","{""tags"":[""nigeria"",""writing"",""story"",""creativity"",""fiction""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem"",""image"":[""https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg""]}",2018-03-17 05:22:21,The Work of A Lazy Man 17,/nigeria/@owo-paki/the-work-of-a-lazy-man-17-3f8b811cfc875,2
owo-paki,monday-the-naughty-child-10,"Monday, The Naughty Child,10",story,"They are carrying sticks and even metals, ready for a serious fight. The seniors are bigger than Monday and his friends and they are many, he said.
Monday will not kill me with his dangerous behaviour, she said sadly, tears dropping on her cheeks.

https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg

Moments later, there was noise outside the house. Joel went to look through the window. He saw the angry seniors howling and calling out Monday to come out. Joel was scared and his mother came behind him.
Who are these people? she asked.

The seniors from my school; they are looking for Monday, Joel said to his mother.
His mother went out to meet the angry boys, she asked what the matter was.
We want your son Monday. We are here to deal with him. He and his fellow miscreants beat up a teacher. This is the second time and we will not take it, one of the senior boys said.","{""tags"":[""story"",""children"",""africa"",""nigeria"",""blog""],""image"":[""https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-06 08:44:42,"Monday, The Naughty Child,10",/story/@owo-paki/monday-the-naughty-child-10,0
owo-paki,the-deceitful-lazy-man-5-928f3d3a17386,The deceitful lazy man 5,story,"Atiaba felt his blood freeze. His heart had stopped beating and he couldn't feel his legs anymore. ""There's indeed was a devil,"" chief Olori said, Only that it was horribly painted lizard that was implanted In my parlor"".","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""creativity""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-04 13:00:12,The deceitful lazy man 5,/story/@owo-paki/the-deceitful-lazy-man-5-928f3d3a17386,0
owo-paki,monday-the-naughty-child-9,"Monday, The Naughty Child, 9",children,"He asked to be taken back to the school. Someone obliged him. When Joel returned home that afternoon, he appeared worried. His mother was in the kitchen preparing launch.
Good afternoon Mummy, he greeted her. Good afternoon Joel. How was school today? she asked him.

Joel did not answer her question, Mummy, is Sunday back? he asked.
She turned to him and asked inquisitively, what has he done again? she asked.

https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg

Joel sighed. Some seniors are looking for him and his friends, they promised to beat them up, he said. His mother turned off the cooker. She took a napkin and wiped her hands. Why? What did they do? she asked.

They beat up their new teacher, he answered. The woman was frozen. The napkin fell off her hand. Again?
Yes, they are in ig trouble. The principal is very angry and the seniors stormed out of school to find them.","{""tags"":[""children"",""naughty"",""africa"",""nigeria""],""image"":[""https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-03 17:38:48,"Monday, The Naughty Child, 9",/children/@owo-paki/monday-the-naughty-child-9,0
owo-paki,the-deceitful-lazy-man-4,The Deceitful Lazy Man 4,story,"""How much? "" ""Two Hundred Thousand naira"". It was a response given without thought. Besides, two hundred thousand.



 Should be chicken change, Atiaba thought. A thoughtful moment followed. Then the Chief asked, ""Is that all?"" ""okay, I will get the money"". The chief got up and took to the stairs. 



Atiaba turned to Emeroua,  ""Do you hear a rattling"", Atiaba asked. Emeroua shook his head looking surprised. Atiaba was sure he hadn't heard rattling.


 He was ducking his head in different directions when the chief returned with a small carton in his hands. Atiaba got up graciously - ah the money, he thought.


 The chief handed the carton to Atiaba and he took it. He looked inside and... Lo and behold, his lizard was in it - crushed in the head to death!","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""creativity""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-02 15:42:21,The Deceitful Lazy Man 4,/story/@owo-paki/the-deceitful-lazy-man-4,1
owo-paki,monday-the-naughty-child-8,"Monday, The Naughty Child 8",story,"When the teacher came out and was on his way to his house, the boys followed him and when he noticed the boys were following him, he stopped and looked at them. You boys again? he said.

https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg

Monday was in front. He walked up to the teacher and hit him on the chest, the teacher was infuriated. He slapped the boy and before he knew it, other boys attacked him. He fought back but the boys pulled his legs off the ground and he crashed to the ground, they beat him.

Next time, you try and mess with us and you will see hell, Monday said and they left. Funny enough, they were onlookers who just watched and did not intervene.
The techer was badly injured, it was after the boys had left that the onlookers came to the aid of the teacher.","{""tags"":[""story"",""student"",""naughty"",""nigeria"",""blog""],""image"":[""https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-02 07:18:33,"Monday, The Naughty Child 8",/story/@owo-paki/monday-the-naughty-child-8,2
owo-paki,the-deceitful-lazy-man-3-eeeb367df408a,The deceitful lazy man 3,story,"A good sign indeed, Atiaba thought, this was easier than expected. It was chief who received at the door --Atiaba was elated by the chief's friendliness. ""Come, good sir"", Atiaba said, bowing slightly, ""the most high has delivered you"".



They followed the chief inside and took their seats. Atiaba relished the friendly air. And Emeroua looked more comfortable than on the previous visit. Chief's Olori took his seat still wearing that broad smile--- strange thing, why a hearty smile, Atiaba was expecting a desperately, bemused look at that point.



Nevertheless, it probably was the joy of feeling saved. Atiaba needed to be sure, ""chief"", he said, leaning forward, the Most high has saved you"" the chief nodded, still wearing the smile. Atiaba continued, ""But, to complete the ritual, you have to pay a fee. ""A fee"" ""Yes a fee"".","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-31 17:16:21,The deceitful lazy man 3,/story/@owo-paki/the-deceitful-lazy-man-3-eeeb367df408a,1
owo-paki,monday-the-naughty-child-7,"Monday The Naughty Child, 7",children,"This is just the beginning. You will suffer in this class, the boy who had knocked her head said. The girl was indeed terrified.
Of course, she knew of their bad reputation. The boys walked out of the class.
As soon as the teacher returned to the class after the break was over, the girl reported to the teacher.

The man was incensed when he heard it. He called the boys out and asked them who among them knocked the girl. None of the boys spoke, he then asked the girl to identify who had knocked her.

https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg

She was not sure but she knew that they were all there. The teacher punished them by letting them kneel down all through the rest of the day. All the subject teachers who came were told what they had done and they condemned them. The boys were angry and they decided that they would deal with the teacher.

After school was over, they waited outside for the teacher. They assu","{""tags"":[""children"",""naughtiness"",""nigeria"",""africa""],""image"":[""https://steemitimages.com/0x0/http://maxpixel.freegreatpicture.com/static/photo/1x/Sun-Nature-Hell-Heat-Tanning-Lazy-Beach-Brown-2421968.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-03-30 20:49:42,"Monday The Naughty Child, 7",/children/@owo-paki/monday-the-naughty-child-7,0
