author,permlink,title,category,body,json_metadata,created,root_title,url,children
rockerinalaph,unlock-your-problem-solving-genius,UNLOCK YOUR PROBLEM-SOLVING GENIUS...,nigeria,"Here, will talk an effective technique that will help you find answers to issues or situations that you or others essential to you might be going through.

http://improvandy.com/wp-content/uploads/2014/10/genius.jpg
[image source](http://improvandy.com/wp-content/uploads/2014/10/genius.jpg)

# BRAIN STORMING
Hey, we didn't say it become new... Brainstorming has been in life for hundreds of years, however, stays very masses underutilized in modern-day worldwide. An approach utilized by pinnacle executives, brain storming is an innovative manner of creating a concept listing that works. Brainstorming has the capacity to faucet into the assets of your subconscious mind to launch your inborn creativity and provide answers to what you want. This device turns your mind from a worrier or laid-decrease returned receptor to a solution company, particularly in this time and age in which thoughts and problem solvers rule the sector.

Here's a manner to examine brainstorming for trouble fixing and concept technology:

*","{""tags"":[""nigeria"",""africa"",""writing"",""m11"",""ideas""],""image"":[""http://improvandy.com/wp-content/uploads/2014/10/genius.jpg""],""links"":[""http://improvandy.com/wp-content/uploads/2014/10/genius.jpg"",""https://www.facebook.com/AN-OPEN-MIND-539595779398067/?ref=all_category_pyml_rhc""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-28 20:31:36,UNLOCK YOUR PROBLEM-SOLVING GENIUS...,/nigeria/@rockerinalaph/unlock-your-problem-solving-genius,2
rockerinalaph,stream-of-consciousness,STREAM OF CONSCIOUSNESS,nigeria,"You have dated this woman for 8 years, and from the outset, she made you agree to her phrases and conditions of which the gravest of them end up... No intercourse until marriage! She tells you she's a virgin and desires to stay like that until marriage.
So you compromise. You make do with only kissing, no touching too! You love this lady a lot and recognize her needs. She’s industrious, hardworking, being worried and virtuous… A partner cloth, you right away finish. Such girls are tough to come by using. An uncommon species. So you start to hustle, toiling night time and day, running difficult to elevate coins to marry her, and subsequently take her to the mattress.

https://harryjriley.files.wordpress.com/2016/02/stream-of-consciousness.png?w=447
[image source](https://harryjriley.files.wordpress.com/2016/02/stream-of-consciousness.png?w=447)

Finally, you are set. You propose and she or he accepts. The marriage ceremony is easy- no pomp, no pageantry. Just a small wedding ceremony to correspond collectivel","{""tags"":[""nigeria"",""africa"",""writing"",""m11"",""life""],""image"":[""https://harryjriley.files.wordpress.com/2016/02/stream-of-consciousness.png?w=447""],""links"":[""https://harryjriley.files.wordpress.com/2016/02/stream-of-consciousness.png?w=447""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-28 08:07:45,STREAM OF CONSCIOUSNESS,/nigeria/@rockerinalaph/stream-of-consciousness,2
rockerinalaph,reality-of-life,Reality Of Life.,nigeria,"Today on my way back to school this afternoon, I got into a public transport and the bus driver was listening to a preaching on a radio station and I find it very interesting and will really love to share it with you all.

https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/LIFE_magazine_logo.svg/1200px-LIFE_magazine_logo.svg.png
[image source](https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/LIFE_magazine_logo.svg/1200px-LIFE_magazine_logo.svg.png)

The radio presenter topic for that day was about “wet dream” and he said eighty percent Of the people residing on the planet earth have as soon as or nonetheless sleep with strange ladies and men in their dream, over 1 billion Marine ladies and men which might be being launched each night time to have intercourse with people of their desires the increase the demons within the river. Anytime you have intercourse in the dream, is both you've got made a demon pregnant or a demon has made you pregnant, stated many guys have youngsters in desires after","{""tags"":[""nigeria"",""africa"",""writing"",""life"",""m11""],""image"":[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/LIFE_magazine_logo.svg/1200px-LIFE_magazine_logo.svg.png""],""links"":[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/LIFE_magazine_logo.svg/1200px-LIFE_magazine_logo.svg.png""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-27 21:02:51,Reality Of Life.,/nigeria/@rockerinalaph/reality-of-life,2
rockerinalaph,love-letter-to-my-future-wife,Love Letter To My Future Wife.,nigeria,"Dear Ifemi,

I promise to be your soul mate, your better half, your coronary heart preference, your sweetest coronary heart, your first-class pal and your dearest HUSBAND....

https://static.pexels.com/photos/5390/sunset-hands-love-woman.jpg
[image source](https://static.pexels.com/photos/5390/sunset-hands-love-woman.jpg)

One of the things I cannot do to you is to forget which you a carrier of large potentials.You have were given books to write; conferences to guide; thoughts to generate; organizations to head; global regulations to pioneer; souls to ignite; terrific people to mentor; remarkable thoughts to inspire; Kingdom reason to fulfill and a God to FULLY serve; An outstanding Hero you MUST be! Deserves my listening ears and my motivation. MUST blossom as my associate. YOUR Spiritual life can't have a higher yesterday. Your Soul will leap in the Holy Spirit. You cannot be mine, yet live constrained; No! Never!!Items and competencies I will be the beginning and encourage. The Eagle in YOU dearest deserv","{""tags"":[""nigeria"",""africa"",""writing"",""m11"",""life""],""image"":[""https://static.pexels.com/photos/5390/sunset-hands-love-woman.jpg""],""links"":[""https://static.pexels.com/photos/5390/sunset-hands-love-woman.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-26 22:20:06,Love Letter To My Future Wife.,/nigeria/@rockerinalaph/love-letter-to-my-future-wife,1
rockerinalaph,my-post-of-the-day,My Post Of The Day.,nigeria,"There was a farmer who had a horse and a goat. One day, the horse  become sick. So he called the veterinarian, who stated, ""Well, your horse has a pandemic. She should take this drugs for three days. I'll come lower back on the third day and if she's  not alright , we are going to have to kill her."" Nearby, the goat listened intently to their conversation.

![_1.png](https://steemitimages.com/DQmYdby4Brm7vnwpXFgK4i9Rn4LoaXdLyF5LqaDXWkDdAEn/_1.png)
[image source](https://www.edutopia.org/sites/default/files/styles/share_image/public/cover_media/ferlazzo-strategies-for-self-motivation-02_1.png?itok=dgK1OiE3)

The next day, they gave the horse the drugs and left. The goat approached the horse and said, “Be strong, my buddy. Get up or else they're going to kill you!” On the second day, they gave the horse the drug once more and left. The goat came lower back and stated, ""Come on pal, arise or else you are going to die! Come on, I'll assist you to rise up. Let's pass! One, three..."" On the 1/3 day, they came to o","{""tags"":[""nigeria"",""africa"",""motivation"",""m11"",""writing""],""image"":[""https://steemitimages.com/DQmYdby4Brm7vnwpXFgK4i9Rn4LoaXdLyF5LqaDXWkDdAEn/_1.png""],""links"":[""https://www.edutopia.org/sites/default/files/styles/share_image/public/cover_media/ferlazzo-strategies-for-self-motivation-02_1.png?itok=dgK1OiE3""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-25 21:41:33,My Post Of The Day.,/nigeria/@rockerinalaph/my-post-of-the-day,3
rockerinalaph,hey-everybody-introducing-myself,Hey everybody! introducing myself.,introducemyself,"Hello, steemians
my name is Ojuromi Damilola, I was born in Nigeria which is one of the best places in West Africa. I am the first child out of four children in a family, as a first child, there are a lot of responsibilities that I have to carry. I am a boring person to be with and I am fun to be with something, my hobbies are playing a video game, visiting a new place, hanging out with a friend, partying and getting high all day, you should know what I mean.

![1.jpg](https://steemitimages.com/DQmU6f17fb8TjS3KPz4MieN1o3azSrLdkDMLjRhwypr4yJJ/1.jpg)

# My first experience on steemit.
Most people may have heard about me I join steemit last year on my old account which I was banned because of my act of plagiarism or copy/ paste (Naija boy no dey carry last) [dammylohar](https://steemit.com/@dammylohar), with my old experience on steemit and lesson form my mentor and friend such as @infovore, @onequality, @ehiboss, @jacobts, @fisteganos, @kus-knee, @Gbenga and @destinysaid. Writing a post is not an easy thing, a","{""tags"":[""introducemyself"",""introduceyourself"",""m11"",""nigeria"",""africa""],""users"":[""infovore"",""onequality"",""ehiboss"",""jacobts"",""fisteganos"",""kus-knee"",""gbenga"",""destinysaid"",""trillex"",""woleybabz"",""timoshey"",""mz-fisteganos"",""oluwoleolaide"",""arkintea"",""feekayo""],""image"":[""https://steemitimages.com/DQmU6f17fb8TjS3KPz4MieN1o3azSrLdkDMLjRhwypr4yJJ/1.jpg""],""links"":[""https://steemit.com/@dammylohar"",""https://steemit.com/onequality/@dammylohar/rewriting-my-destiny-through-quality-content""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-24 18:22:51,Hey everybody! introducing myself.,/introducemyself/@rockerinalaph/hey-everybody-introducing-myself,12
rockerinalaph,let-help-in-saving-millions-of-babies-with-man-s-blood,Let Help In Saving Millions of Babies with Man's Blood,health,"More than 2 million toddlers with the aid of donating his ""unique"" blood, which turned into used to make a remedy which can save you life-threatening issues in newborns, according to the **[Australian Red Cross Blood Service]** Sometimes called ""the man with the golden arm,"" donated blood extra than 1,100times, and it's expected that his donations helped save the lives of babies. 

The blood contains an extraordinary antibody that's used to make a remedy known as anti-D immunoglobulin, additionally called Rh immunoglobulin. This remedy is given to mothers who're at hazard for something known as ""Rh incompatibility"" with their fetus, because of this the moms' **[immune system]** might also attack and damage the fetus's crimson blood cells.

![Blood-Donation.jpg](https://steemitimages.com/DQmcFa5W6HChHxMabYDJ3dudHkr4nAzG7NjXnx2ovs4xTFY/Blood-Donation.jpg)

When this happens, ""you grow to be with a situation in which a variety of these babies might have a widespread amount of their red cells damaged down at the","{""tags"":[""health"",""science"",""steemstem"",""nigeria""],""image"":[""https://steemitimages.com/DQmcFa5W6HChHxMabYDJ3dudHkr4nAzG7NjXnx2ovs4xTFY/Blood-Donation.jpg"",""https://steemitimages.com/DQmbgp7vF6op6cBHzrvJGVZhEUyBLwxjmtZMwGu6qcRukxc/pregnant%20woman%20holding%20bump.jpg""],""links"":[""https://www.livescience.com/62565-blood-donations-saved-babies-james-harrison.html"",""http://www.thehindu.com/todays-paper/tp-life/the-man-with-the-golden-arm-who-helped-save-millions-of-babies/article23897830.ece?utm_source=tp-life&utm_medium=sticky_footer"",""https://www.smh.com.au/healthcare/final-donation-for-man-whose-blood-helped-save-2-4-million-babies-20180511-p4zerp.html"",""https://edition.cnn.com/2015/06/09/health/james-harrison-golden-arm-blood-rhesus/index.html""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-05-17 12:46:57,Let Help In Saving Millions of Babies with Man's Blood,/health/@rockerinalaph/let-help-in-saving-millions-of-babies-with-man-s-blood,2
rockerinalaph,dont-masturbate-too-much-or-this-will-happen-to-your-body-bitter-truth,Dont masturbate too much or this will happen to your body - bitter truth.,video,https://www.youtube.com/watch?v=qEF4EgIv6Nc,"{""tags"":[""video"",""health"",""science"",""life"",""fact""],""image"":[""https://img.youtube.com/vi/qEF4EgIv6Nc/0.jpg""],""links"":[""https://www.youtube.com/watch?v=qEF4EgIv6Nc""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-24 11:01:57,Dont masturbate too much or this will happen to your body - bitter truth.,/video/@rockerinalaph/dont-masturbate-too-much-or-this-will-happen-to-your-body-bitter-truth,3
rockerinalaph,vinegar-nature-s-secret-weapon,Vinegar – nature’s secret weapon.,writing,"You will be amazed by the incredible power and properties of vinegar. You will discover many, many ways to keep your home beautifully clean and sparkling, vinegar helps you do this NATURALLY and simply.

http://bpc.h-cdn.co/assets/16/32/980x490/landscape-1470765389-apple-cider-vinegar.jpg
[image source](http://bpc.h-cdn.co/assets/16/32/980x490/landscape-1470765389-apple-cider-vinegar.jpg)

And you will be delighted with the money you save, why spend pounds on expensive cleaning products from the supermarket when vinegar can do the job for practically nothing. Nature secret weapon will surprise and delight you with its natural ways to improve your personal life and your home. From the beginning of time, easy and practical popular recipes have been handed down from generation to generation. 
# What can vinegar be used for?
There are different ways to use other household products have also been handed down. Here’s just a few:
## Throughout the house.
•    Get rid of germs.
•    Disinfect and deodorize.
•    Cle","{""tags"":[""writing"",""vinegar"",""nigeria"",""health"",""science""],""image"":[""http://bpc.h-cdn.co/assets/16/32/980x490/landscape-1470765389-apple-cider-vinegar.jpg""],""links"":[""http://bpc.h-cdn.co/assets/16/32/980x490/landscape-1470765389-apple-cider-vinegar.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-23 13:21:00,Vinegar – nature’s secret weapon.,/writing/@rockerinalaph/vinegar-nature-s-secret-weapon,1
rockerinalaph,meet-hamburger-harry-the-fast-food-fanatic-with-the-most-important-series-of-hamburger-gadgets,Meet Hamburger Harry - The fast food fanatic with the most important series of hamburger gadgets.,food,"http://www.Guinnessworldrecords.Com/Images/Harryp.C20Sperlpercent20-%20Largestpercent20Collectionpercent20Ofp.C20Hamburgerp.C20Related%20Items_0312_tcm25-459971.Jpg
[image source](http://www.Guinnessworldrecords.Com/Images/Harryp.C20Sperlpercent20-%20Largestpercent20Collectionpercent20Ofp.C20Hamburgerp.C20Related%20Items_0312_tcm25-459971.Jpg)

Hamburger Harry is pretty really the “Burger King”. With a residence covered from top to bottom with an ensemble of pork, cheese, and buns, he’s the report holder for the largest collection of hamburger related objects. 
Harry's series started out out out nearly thru coincidence 26 years inside the past at a time whilst he modified into promoting 1950’s memorabilia devices.
Looking to sell a vintage vehicle tray used by at strain-in food institutions, he began searching for a faux hamburger he have to use to demonstrate the piece for a picture. He ended up seeking out 5 hamburgers in advance than he settled on one to apply for the photo, and as a quit end result, comm","{""tags"":[""food"",""writing"",""nigeria"",""record"",""ideas""],""image"":[""http://www.Guinnessworldrecords.Com/Images/Harryp.C20Sperlpercent20-%20Largestpercent20Collectionpercent20Ofp.C20Hamburgerp.C20Related%20Items_0312_tcm25-459971.Jpg"",""Http://www.Guinnessworldrecords.Com/Images/Harryp.C20Sperlp.C20-%20Largestp.C20Collectionpercent20Of%20Hamburgerp.C20Relatedpercent20Items_0189_tcm25-459973.Jpg"",""Http://www.Guinnessworldrecords.Com/Images/harryp.C202_tcm25-459970.Jpg"",""https://img.youtube.com/vi/lpJ175sS5mo/0.jpg"",""Http://www.Guinnessworldrecords.Com/Images/Harryp.C20Sperl%20-%20Largest%20Collectionpercent20Ofpercent20Hamburger%20Relatedpercent20Items_0352_tcm25-459972.Jpg"",""Http://www.Guinnessworldrecords.Com/Images/harry1_tcm25-459969.Jpg""],""links"":[""http://www.Guinnessworldrecords.Com/Images/Harryp.C20Sperlpercent20-%20Largestpercent20Collectionpercent20Ofp.C20Hamburgerp.C20Related%20Items_0312_tcm25-459971.Jpg"",""Http://www.Guinnessworldrecords.Com/Images/Harryp.C20Sperlp.C20-%20Largestp.C20Collectionpercent20O",2017-11-17 10:17:27,Meet Hamburger Harry - The fast food fanatic with the most important series of hamburger gadgets.,/food/@rockerinalaph/meet-hamburger-harry-the-fast-food-fanatic-with-the-most-important-series-of-hamburger-gadgets,1
