author,permlink,title,category,body,json_metadata,created,root_title,url,children
smart-shaegxy,4hhys2-lol-hunt,LOL Hunt...,reviewhunt,This is a platform where you could watch funny video clips on https://t.co/Uww3TM1n72. This is a platform powered by Blockstack where funny video clips can be watched and curated.. A decentralized platform where digital rights are being protected![IMG_20191206_092654.jpg](https://cdn.steemitimages.com/DQmSmKTwtHdqojiJhb7U5JgjezudkkD9nJXWA5j7LSnp9Sa/IMG_20191206_092654.jpg),"{""tags"":[""reviewhunt"",""blockstack"",""steemit"",""update""],""image"":[""https://cdn.steemitimages.com/DQmSmKTwtHdqojiJhb7U5JgjezudkkD9nJXWA5j7LSnp9Sa/IMG_20191206_092654.jpg""],""links"":[""https://t.co/Uww3TM1n72""],""app"":""steemit/0.1"",""format"":""markdown""}",2019-12-06 08:48:24,LOL Hunt...,/reviewhunt/@smart-shaegxy/4hhys2-lol-hunt,0
smart-shaegxy,fake-life-low-life-no-life-398d658d5c6a7,"Fake Life....... Low Life, No Life.",life,"![unnamed.jpg](https://cdn.steemitimages.com/DQmTp5ynnKquYzG4aVXjasXLHUJk8Xc7Pp8LtmBqu6jq4fp/unnamed.jpg)
[Image Credit](https://www.google.com.ng/search?q=articles+on+living+fake+life&client=ms-android-tecno&prmd=inv&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjKzumH24DcAhUBsKQKHTlUBNwQ_AUIESgB&biw=360&bih=522&dpr=2#imgrc=Yah4oAT6-n3mjM:) 





In the course of trying to show off to people on what you are not, I'll like to ask you a question, yes,  YOU! ***Why are you so fake*** ?. 

Is it because you are struggling to appear awesome?. Can’t you  just be yourself?, Can’t you realise you are already awesome?. 

Maybe you don't know, that a lot of people have get to know about your secret low life, but they will rather keep it to their self and wait for that time, when you'll be left with no choice than to reveal how fake you've lived your life. 

Everybody already knows the history of those beautiful and classy pictures you update everyday on social media, we know  that it comes from millions of selfies you take, w","{""links"":[""https://www.google.com.ng/search?q=articles+on+living+fake+life&client=ms-android-tecno&prmd=inv&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjKzumH24DcAhUBsKQKHTlUBNwQ_AUIESgB&biw=360&bih=522&dpr=2#imgrc=Yah4oAT6-n3mjM"",""https://cdn.steemitimages.com/DQmRZsTFSpf6hMF1PatfBkoo4JoeSW2gtnDHonET9ph2d6X/images%20"",""https://www.google.com.ng/search?q=articles+on+living+fake+life&client=ms-android-tecno&prmd=inv&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjKzumH24DcAhUBsKQKHTlUBNwQ_AUIESgB&biw=360&bih=522&dpr=2#imgrc=Xg4uxVMDnGK-qM""],""image"":[""https://cdn.steemitimages.com/DQmTp5ynnKquYzG4aVXjasXLHUJk8Xc7Pp8LtmBqu6jq4fp/unnamed.jpg""],""tags"":[""life"",""esteem"",""steemjet"",""blog"",""africa""],""app"":""esteem/1.5.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-07-03 13:12:12,"Fake Life....... Low Life, No Life.",/life/@smart-shaegxy/fake-life-low-life-no-life-398d658d5c6a7,10
smart-shaegxy,feeling-is-important-in-falling-in-love-but-choice-determines-how-long-you-ll-be-staying-there-d619ad2a680d2,"Feeling is important in falling in love, but choice determines how long you'll be staying there",love,"![stock-photo-summertime-portrait-of-a-beautiful-couple-looking-at-the-camera-they-are-sitting-with-friends-556905409.jpg](https://cdn.steemitimages.com/DQmXWVu9uw8bay5YNiPYGk1pcce9GWKcYiDYbHdETVoeZpQ/stock-photo-summertime-portrait-of-a-beautiful-couple-looking-at-the-camera-they-are-sitting-with-friends-556905409.jpg)

[Image Credit](https://www.shutterstock.com/image-photo/summertime-portrait-beautiful-couple-looking-camera-556905409) 


It is believed that before  two individuals can be involved in an emotional relationship, they must have fall in love with each other, and this kind of love is believed to be a  true love. 

In most cases, true love has been proven to be a  strong and lasting affection between spouses or lovers who are in a ***happy***, ***passionate*** and ***fulfilling*** relationship. But nowadays, there have been a diverse understanding on what really brings about the love to make it a true or false love. Although many people believed that when you have an emotional feelings for someo","{""links"":[""https://www.shutterstock.com/image-photo/summertime-portrait-beautiful-couple-looking-camera-556905409"",""https://www.shutterstock.com/image-photo/portrait-happy-couple-laughing-camera-204749977""],""image"":[""https://cdn.steemitimages.com/DQmXWVu9uw8bay5YNiPYGk1pcce9GWKcYiDYbHdETVoeZpQ/stock-photo-summertime-portrait-of-a-beautiful-couple-looking-at-the-camera-they-are-sitting-with-friends-556905409.jpg"",""https://cdn.steemitimages.com/DQmQfuSrxbce3eZp1UEQx2P5ERqsWX7MCngVCscLLyGHKdi/stock-photo-portrait-of-a-happy-couple-laughing-at-camera-204749977.jpg""],""tags"":[""love"",""life"",""esteem"",""blog"",""africa""],""app"":""esteem/1.5.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-06-27 08:23:51,"Feeling is important in falling in love, but choice determines how long you'll be staying there",/love/@smart-shaegxy/feeling-is-important-in-falling-in-love-but-choice-determines-how-long-you-ll-be-staying-there-d619ad2a680d2,5
smart-shaegxy,impacts-of-rat-poison-on-humans-891e94029a51,Impacts Of Rat Poison On Humans,esteem,"Rats are a very common pest in the the household, the population of these group of animals has become so increasing in our homes over the years and the kind of destruction and damages they cause have make man to find various ways to reduce their prevalence or rather their total extermination.

Although there are many ways to capture these animals in other to prevent them from causing more damage,but the most common way is through the use of rat poison.
This method is known to be the most easiest, stress free and effective method which most people people preferred.

Rat poison is used to kill rats and It is also called rodenticide. Rat poison is generally used in areas where there are rats such as homes, garages, farms etc. Rat poison is made of several ingredients. They have one function in common and that is to kill the rat when it is been ingested. Rat poison ingested by humans can also be lethal.

The use of rat poison has been proved to have caused several damages in human and poisoning in humans can be ","{""users"":[""esteemapp"",""good-karma""],""tags"":[""esteem"",""steemgigs"",""health"",""science"",""blog""],""app"":""esteem/1.5.0"",""format"":""markdown+html"",""community"":""esteem""}",2018-06-11 06:07:27,Impacts Of Rat Poison On Humans,/esteem/@smart-shaegxy/impacts-of-rat-poison-on-humans-891e94029a51,6
smart-shaegxy,hot-bodies-are-also-responsible-for-fighting-infections,Hot Bodies Are Also Responsible For Fighting Infections,health,"![images (4).jpeg](https://cdn.steemitimages.com/DQmf4Ws7Lh5bj81LWYT2fJUnxcaYP54ghogktPtwLRJk5RJ/images%20(4).jpeg)
[IMAGE CREDIT](https://www.google.com.ng/imgres?imgurl=http%3A%2F%2Fst1.thehealthsite.com%2Fwp-content%2Fuploads%2F2017%2F04%2Ffever-655x353.jpg&imgrefurl=http%3A%2F%2Fwww.thehealthsite.com%2Fdiseases-conditions%2Fcan-i-stop-taking-fever-medicine-if-i-do-not-have-fever-query-b0417%2F&docid=X5GY9264IW6JsM&tbnid=RNi_FaoczF-cjM%3A&vet=10ahUKEwi7oInTurLbAhXFVhQKHUquAbAQMwjFASgEMAQ..i&w=655&h=353&client=ms-android-tecno&bih=578&biw=360&q=Fever%20&ved=0ahUKEwi7oInTurLbAhXFVhQKHUquAbAQMwjFASgEMAQ&iact=mrc&uact=8) 



# BRIEF INTRODUCTION 
Even though many of already know what fever means, either by a direct experience or and indirect one. But I'll still like to make little introduction so that we can enjoy the topic as it is a very interesting one.

>By definition, fever can simply be defined as an elevation or increase in body temperature or a high body temperature. Technically, any body temperature ","{""tags"":[""health"",""science"",""africa"",""reachout"",""wafrica""],""image"":[""https://cdn.steemitimages.com/DQmf4Ws7Lh5bj81LWYT2fJUnxcaYP54ghogktPtwLRJk5RJ/images%20(4).jpeg"",""https://cdn.steemitimages.com/DQmZeh6NF48Ep2LnTecCJ6PcHzt6xfQi9NSHkxvJJY76AX3/images%20(3).jpeg""],""links"":[""https://www.google.com.ng/imgres?imgurl=http%3A%2F%2Fst1.thehealthsite.com%2Fwp-content%2Fuploads%2F2017%2F04%2Ffever-655x353.jpg&imgrefurl=http%3A%2F%2Fwww.thehealthsite.com%2Fdiseases-conditions%2Fcan-i-stop-taking-fever-medicine-if-i-do-not-have-fever-query-b0417%2F&docid=X5GY9264IW6JsM&tbnid=RNi_FaoczF-cjM%3A&vet=10ahUKEwi7oInTurLbAhXFVhQKHUquAbAQMwjFASgEMAQ..i&w=655&h=353&client=ms-android-tecno&bih=578&biw=360&q=Fever%20&ved=0ahUKEwi7oInTurLbAhXFVhQKHUquAbAQMwjFASgEMAQ&iact=mrc&uact=8"",""https://www.google.com.ng/imgres?imgurl=https%3A%2F%2Fmedlineplus.gov%2Fimages%2FFever.jpg&imgrefurl=https%3A%2F%2Fmedlineplus.gov%2Ffever.html&docid=0fojoNXNgE6m2M&tbnid=t_Ab9C8jmvwY2M%3A&vet=10ahUKEwi7oInTurLbAhXFVhQKHUquAbAQMwjCASgBMAE..i&w=230&h=",2018-06-01 12:42:03,Hot Bodies Are Also Responsible For Fighting Infections,/health/@smart-shaegxy/hot-bodies-are-also-responsible-for-fighting-infections,4
smart-shaegxy,the-light-shall-overcome-the-darkness,The Light Shall Overcome The Darkness..,steemjet,"![IMG_8199.JPG](https://cdn.steemitimages.com/DQmPhFpE8XDY6nJAysgqAnWaCMzy4g2UZXbJXFAGS6PMmJy/IMG_8199.JPG)
[Image Credit](https://steemit.com/steemjetcontest/@olanrewaju/steemjet-writing-contest-1) 


The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.... *Albert Einstein (1931)*.  It is this mystery that has always made me to think about the diversity and dynamism of the world whenever i look up to the sky and i see the cloud covered with the mixture of lightening and darkness. All thing being equal, to a normal reasonings without no complications, it is obvious that no matter the range of darkness, it can never drive out darkness as only light is capable of doing that.
Relating to the picture above, I've come to the conclusion that all  the darkness in the world cannot extinguish the light of a single candle, as it does not matter the level of hardship you are facing in this life, you'll surely overcome it somed","{""tags"":[""steemjet"",""steemjetcontest"",""wafrica"",""africa"",""swc""],""image"":[""https://cdn.steemitimages.com/DQmPhFpE8XDY6nJAysgqAnWaCMzy4g2UZXbJXFAGS6PMmJy/IMG_8199.JPG""],""links"":[""https://steemit.com/steemjetcontest/@olanrewaju/steemjet-writing-contest-1""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-05-25 19:23:00,The Light Shall Overcome The Darkness..,/steemjet/@smart-shaegxy/the-light-shall-overcome-the-darkness,2
smart-shaegxy,scid-the-most-deadly-primary-immune-system-disorder,SCID........The Most Deadly Primary Immune System Disorder,health,"![images.jpeg](https://steemitimages.com/DQmS5truFh1y5aq5XmQUejWhcQhU32E82RHoNP3WYiGKphL/images.jpeg)


[Image Credit](https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdFDvydivICUu9FP89qt9cYp4chdfNXKmIb5UvyuhMw9MH-_44wLxWx3Uf) 




SCID, which fully means (Severe Combined Immunodeficiency)  is a deadliest disorder of the immune system. I came across this while watching a movie  which is titled **everything, everything**  which is a story of a young woman with Severe Combined Immune Deficiency (SCID).
I was actually shocked to know there are other immune system disorders which could be so dangerous than sickle cell anemia.

# General Overview 
The disorder (SCID) is known to be a group of a very rare and  life-threatening diseases that are usually present in infants  starting from the day they were born (i.e. at birth). The disease causes the child to have very little or no immune system in which there is combined absence of T-lymphocyte and B-lymphocyte function. As a result, the child's body is unable","{""tags"":[""health"",""science"",""africa"",""reachout"",""blog""],""image"":[""https://steemitimages.com/DQmS5truFh1y5aq5XmQUejWhcQhU32E82RHoNP3WYiGKphL/images.jpeg"",""https://steemitimages.com/DQmbwEa6sUHGibNohYmChRzkj8cwSqauNAZNbnZ2DrTskcT/images%20(1).jpeg"",""https://steemitimages.com/DQmbTTeM4aE9zBRTyk4Dnng8C1HoCofdAa2cj2Mze51veyU/images%20(2).jpeg""],""links"":[""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdFDvydivICUu9FP89qt9cYp4chdfNXKmIb5UvyuhMw9MH-_44wLxWx3Uf"",""https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTYUhILdVJ8A0S7ywb27hmFmKWgx4Scyw-brv03duQkwCwXnALrUoyozobbug"",""https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTJelZQt7qZU0hJCgx1ZYcnQb2lMb7U3Ky9srMIMqsAu_FW0nCmbPlB0JLYGw""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-05-23 13:57:45,SCID........The Most Deadly Primary Immune System Disorder,/health/@smart-shaegxy/scid-the-most-deadly-primary-immune-system-disorder,3
smart-shaegxy,bad-habits-that-causes-the-destruction-of-the-pharynx-and-larynx,Bad Habits That Causes The Destruction Of The Pharynx and Larynx,science,"![images (3).jpeg](https://steemitimages.com/DQmZ7w1pbppwbobuSRRWWo6YtQtfS1HDXCD6scFge4Gz9AP/images%20(3).jpeg)


[Image credit](https://www.google.com.ng/search?q=rupture+of+larynx+and+pharynx&client=ms-android-tecno&prmd=ivn&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiuua7u2PzaAhWIKFAKHV-8DIoQ_AUIESgB&biw=360&bih=522#imgrc=v0NqM317yPph8M) 



It is so alarming the way people have been causing harm to themselves, creating series of infections and diseases ranging from the mild to the chronic ones by not been properly careful with their vocal box(i.e. The Larynx) and their path for food to the stomach(i.e. The Pharynx).

Although, both organ are found in the same location which happens to be the neck but are performing different functions. 

## The Pharynx


![images (1).jpeg](https://steemitimages.com/DQmZUCqQHXif96wm97w1az2e4YQA6h2mE7WWoKtdZtmDNce/images%20(1).jpeg)

[Image credit](
https://www.google.com.ng/search?q=larynx&client=ms-android-tecno&prmd=ivn&source=lnms&tbm=isch&sa=X&ved=0ahUKEwihltex2PzaAhWJfFAKH","{""tags"":[""science"",""steemit"",""africa"",""blog"",""life""],""image"":[""https://steemitimages.com/DQmZ7w1pbppwbobuSRRWWo6YtQtfS1HDXCD6scFge4Gz9AP/images%20(3).jpeg"",""https://steemitimages.com/DQmZUCqQHXif96wm97w1az2e4YQA6h2mE7WWoKtdZtmDNce/images%20(1).jpeg"",""https://steemitimages.com/DQmQzcr7MCKx8GySNExkgitCfkGXTVJppv6oAZti8Jsn6z8/images%20(2).jpeg""],""links"":[""https://www.google.com.ng/search?q=rupture+of+larynx+and+pharynx&client=ms-android-tecno&prmd=ivn&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiuua7u2PzaAhWIKFAKHV-8DIoQ_AUIESgB&biw=360&bih=522#imgrc=v0NqM317yPph8M"",""https://www.google.com.ng/search?q=larynx&client=ms-android-tecno&prmd=ivn&source=lnms&tbm=isch&sa=X&ved=0ahUKEwihltex2PzaAhWJfFAKHUR4CBUQ_AUIESgB#imgrc=YC_QhpEYzqXuFM"",""https://www.google.com.ng/search?q=pharynx&client=ms-android-tecno&prmd=ivn&source=lnms&tbm=isch&sa=X&ved=0ahUKEwi51b-32PzaAhVSPFAKHfs3A8MQ_AUIESgB&biw=360&bih=522#imgrc=UjAJdJ0R8Q42WM""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-05-11 03:44:45,Bad Habits That Causes The Destruction Of The Pharynx and Larynx,/science/@smart-shaegxy/bad-habits-that-causes-the-destruction-of-the-pharynx-and-larynx,1
smart-shaegxy,salt-is-a-key-ingredient-in-the-kitchen-but-has-some-harmful-effects-when-it-s-consumed-in-excess,Salt Is a key ingredient in the kitchen......... But Has Some Harmful Effects When It's Consumed In Excess,health,"![images.jpeg](https://steemitimages.com/DQmSVeER6Mi21zrN3aSkaES3AHqGaYwVhVR3AuecnqLYuic/images.jpeg)
[Image source](https://www.google.com.ng/search?q=health+effects+of+salts&oq=health+effects+of+salts&aqs=chrome..69i57j0l3&client=ms-android-tecno&sourceid=chrome-mobile&ie=UTF-8#imgrc=s3v4EuUfiJ8n6M) 






Table salt or common salt is a mineral composed primarily of sodium chloride (NaCl) , a chemical compound belonging to the larger class of salts; salt in its natural form as a crystalline mineral is known as rock salt or halite.


This mineral compound which has been helping human in making their food tasty, likewise causing serious harm when it's intake is too much in the body system.
The usefulness of this salt does more than just making your food taste more delicious. 

It’s important for your body to function properly..... Sodium, one of the key ingredients in table salt, regulates blood flow and pressure, and helps transmit messages between nerves and muscle fibers. Chloride, the other chemical in t","{""tags"":[""health"",""science"",""minowbooster"",""life"",""nutrition""],""image"":[""https://steemitimages.com/DQmSVeER6Mi21zrN3aSkaES3AHqGaYwVhVR3AuecnqLYuic/images.jpeg"",""https://steemitimages.com/DQmYarFjcudegj3f17nwufMLdRvSSvqLBK31knkhWNYbBjn/salt-696x522.jpg""],""links"":[""https://www.google.com.ng/search?q=health+effects+of+salts&oq=health+effects+of+salts&aqs=chrome..69i57j0l3&client=ms-android-tecno&sourceid=chrome-mobile&ie=UTF-8#imgrc=s3v4EuUfiJ8n6M"",""https://www.google.com.ng/search?q=health+effects+of+salts&oq=health+effects+of+salts&aqs=chrome..69i57j0l3&client=ms-android-tecno&sourceid=chrome-mobile&ie=UTF-8#imgrc=825BJRAOOJib3M""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-05-05 13:54:12,Salt Is a key ingredient in the kitchen......... But Has Some Harmful Effects When It's Consumed In Excess,/health/@smart-shaegxy/salt-is-a-key-ingredient-in-the-kitchen-but-has-some-harmful-effects-when-it-s-consumed-in-excess,1
smart-shaegxy,harmful-effects-of-cigarettes-are-massive-compared-to-its-enjoyment,Harmful Effects Of Cigarettes Are Massive..... Compared To Its Enjoyment,health,"![What-happens-when-you-quit-smoking-724316.jpg](https://steemitimages.com/DQmZRidQRH7ndB6M1sou8K4pmYN441U82pypbcfkxyM5fS7/What-happens-when-you-quit-smoking-724316.jpg)

[Image source](https://cdn.images.express.co.uk/img/dynamic/11/590x/secondary/What-happens-when-you-quit-smoking-724316.jpg) 

Over years, there has been several ways in  which people use to relieve themselves of stress, or even deliberately having fun. This purpose of enjoyment continue for a wide range period which may eventually leads to addiction.

Of all ways of relieving the body of stress or even catching fun, the consumption of alcohol and smoking of cigarettes are  the most popular of all. Other ways can also be intake of hard drugs and so on.

The most excited part of it is the presence of one or more organic chemicals in these products, which may cause the consumer to get more addicted to them because of the greater level of pleasure they derived by consuming them.

Even though there a lot of fun and excitement attached to it, a ","{""tags"":[""health"",""life"",""blog"",""africa"",""science""],""image"":[""https://steemitimages.com/DQmZRidQRH7ndB6M1sou8K4pmYN441U82pypbcfkxyM5fS7/What-happens-when-you-quit-smoking-724316.jpg"",""https://steemitimages.com/DQmVGaPFwqDwYfPv81PUZ87iCGHJfiwKMpZHnUvGFzEahkx/What-happens-when-you-quit-smoking-733502.jpg"",""https://steemitimages.com/DQmaaioCHQArJGrLrT8rk4n1AzjfKiU5xE5wLbXSu3guvcU/images.jpeg"",""https://steemitimages.com/DQmPHTzTeTMRgSxyEH32grV8m5QPtvmjLMRT7x5TdpLSpmv/What-happens-when-you-quit-smoking-724313.jpg""],""links"":[""https://cdn.images.express.co.uk/img/dynamic/11/590x/secondary/What-happens-when-you-quit-smoking-724316.jpg"",""https://cdn.images.express.co.uk/img/dynamic/11/590x/What-happens-when-you-quit-smoking-733502.jpg"",""https://www.google.com.ng/search?q=how+does+the+body+react+to+the+heat+by+cigarette&client=ms-android-tecno&prmd=nvi&source=lnms&tbm=isch&sa=X&ved=0ahUKEwikhbTixo7aAhVsJcAKHcqhAUwQ_AUIEygD&biw=360&bih=522#imgrc=7VmsCvmL835KpM:"",""https://cdn.images.express.co.uk/img/dynamic/11/590x/sec",2018-03-28 12:51:00,Harmful Effects Of Cigarettes Are Massive..... Compared To Its Enjoyment,/health/@smart-shaegxy/harmful-effects-of-cigarettes-are-massive-compared-to-its-enjoyment,1
