author,permlink,title,category,body,json_metadata,created,root_title,url,children
steaks-info,connect-to-your-location,Connect To Your Location,business,"Over the years, I have been to so many places and I have spoken to a whole lot of people who claim to find business really bad and at such are suffering and in most cases ending up in a loss. I have also seen people doing the same business and are making a whole lot of profit in a different environment.

https://thumbs.dreamstime.com/z/people-try-to-connect-27095228.jpg
[source](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjGsqSC_pnYAhXOJFAKHRb9CzYQjRwIBw&url=https%3A%2F%2Fwww.dreamstime.com%2Froyalty-free-stock-photos-people-try-to-connect-image27095228&psig=AOvVaw2i2ioVOEM6tjmEPuRgz5Eu&ust=1513907125965693)

I am forced to ask one question, ""Why do people establish businesses without taking a good look at the environment at which they do not do a proper survey of. 

Before starting a business, you need to check out what you are rendering, who you are rendering service to and what they need. 

The people who do not know what the customers want, go start up a bu","{""tags"":[""business"",""life"",""nigeria"",""africa"",""writing""],""image"":[""https://thumbs.dreamstime.com/z/people-try-to-connect-27095228.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjGsqSC_pnYAhXOJFAKHRb9CzYQjRwIBw&url=https%3A%2F%2Fwww.dreamstime.com%2Froyalty-free-stock-photos-people-try-to-connect-image27095228&psig=AOvVaw2i2ioVOEM6tjmEPuRgz5Eu&ust=1513907125965693""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-12-21 02:08:54,Connect To Your Location,/business/@steaks-info/connect-to-your-location,0
steaks-info,biba-the-outstanding-lady-story-2,Biba The Outstanding Lady; Story 2,story,"https://steemitimages.com/0x0/http://www.shortkidstories.com/onceupon/wp-content/uploads/2014/02/p117i.png

There had been a war in Otto village where Biba once lived happily with her parents, but the terrible massacre of men, women and children had not spared her parents. How she survived the war had been a miracle. 

Her uncle had come to bring her home with him when he heard of her survival. Mide wanted his wife to take the child and treat her like she did to her own, but Bose couldn't bring herself to do that, what she perceived her as a child coming to share her husband's love, care and property with her children.

But they had three children who loved Mide very well and shared things together. Remi , his oldest son, was fifteen years old and tinuke his first daughter was thirteen years.

https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/vote%20resteem%20comment.gif","{""tags"":[""story"",""fiction"",""writing"",""nigeria"",""africa""],""image"":[""https://steemitimages.com/0x0/http://www.shortkidstories.com/onceupon/wp-content/uploads/2014/02/p117i.png"",""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/vote%20resteem%20comment.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-12-25 06:07:51,Biba The Outstanding Lady; Story 2,/story/@steaks-info/biba-the-outstanding-lady-story-2,2
steaks-info,biba-the-outstanding-lady-story-6,Biba The Outstanding Lady; Story 6,story,"https://steemitimages.com/0x0/http://www.shortkidstories.com/onceupon/wp-content/uploads/2014/02/p117i.png

Tobi, Bose's last son and Biba were age mate, often felt sorry for his poor cousin. He has fallen into trouble with his mother so many times for helping Biba with her chores. So he always waited for his mother to be away from the house before he joined Biba in the backyard and helped her with some of the chores but Tinuke was the opposite. Together with her mother, she made life a miserable hell for Biba.

One sunny afternoon, the kids had just returned from school, and while everyone busied themselves with their homework, Biba returned to the backyard to do the dishes. She was halfway done when Tinuke interrupted her.

""Didn't you hear me calling you?"" Tinuke said, as she slammed her palm on Biba's back. The poor girl jumped up in a fight, causing the plate in her to slip off her hnd and smashing to the ground. Biba looked terrified at the sight of the plate. She knew she was in a big mess and her fat","{""tags"":[""story"",""fiction"",""writing"",""nigeria"",""africa""],""image"":[""https://steemitimages.com/0x0/http://www.shortkidstories.com/onceupon/wp-content/uploads/2014/02/p117i.png"",""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/vote%20resteem%20comment.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-01-01 09:53:18,Biba The Outstanding Lady; Story 6,/story/@steaks-info/biba-the-outstanding-lady-story-6,0
steaks-info,biba-the-outstanding-lady-story-16,Biba The Outstanding Lady; Story 16,story,"Biba's tears pierced the old woman's heart and she quickly wished she could be of help to the child. "" I have some soup; I was waiting for you to wake up before I bring some."" The old woman said

""o, You don't have to worry,"" Biba said at once. I better start leaving. My uncle's wife would be so furious. I can't spend any more time here.""

https://steemitimages.com/0x0/http://www.shortkidstories.com/onceupon/wp-content/uploads/2014/02/p117i.png


""But you need to eat something....""
""I wish I could Mama."" Biba was already on her feet. "" You have been kind to me. Thank you very much.""

""No, you have been kind to me and I would like to repay your kindness,"" the old woman argued. ""Will you stop by next time?""
Biba nodded. ""Whenever I can, I will""
Biba was even more surprised when the strange old woman drew near and wrapped her arms around her in a warm and loving embrace.

https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/vote%20resteem%20comment.gif","{""tags"":[""story"",""fiction"",""writing"",""nigeria"",""africa""],""image"":[""https://steemitimages.com/0x0/http://www.shortkidstories.com/onceupon/wp-content/uploads/2014/02/p117i.png"",""https://steemitimages.com/DQmYfKYGX2M8Qc8nNUi6TqUzHKoeLmafZ6PVBMjt7wjXe5R/vote%20resteem%20comment.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-01-22 17:48:57,Biba The Outstanding Lady; Story 16,/story/@steaks-info/biba-the-outstanding-lady-story-16,0
steaks-info,biba-the-outstanding-lady-story-23-5de72c5b2f266,Biba The Outstanding Lady; Story 23,fiction,"The old man was so surprised to see her so early that morning. The child look pale and tired.

Biba best into tears and explained everything that happened to the kind of woman.

I have nowhere else to go. My uncle's wife is going to kill me she cried.

It's alright my daughter you can stay here as long as you can my home is a safe place for you I'll be happy to always keep you company.

https://steemitimages.com/0x0/http://www.shortkidstories.com/onceupon/wp-content/uploads/2014/02/p117i.png

Biba was happy the old woman welcome her into our home. She was very kind to her and oddly. So many things about the old woman brought back memories of our mother her fragrance the way she called her name and the way she cared for her this made her feel comfortable and she didn't want to even go back to my uncle's house. Bet you never stop wondering why the old woman lived alone in the middle of the forest it was indeed a strange one.

Biba's  disappearance from the home was about to tear Bose's marriage apart. Mide wou","{""tags"":[""fiction"",""story"",""nigeria"",""africa"",""writing""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem"",""image"":[""https://steemitimages.com/0x0/http://www.shortkidstories.com/onceupon/wp-content/uploads/2014/02/p117i.png""]}",2018-02-01 20:24:51,Biba The Outstanding Lady; Story 23,/fiction/@steaks-info/biba-the-outstanding-lady-story-23-5de72c5b2f266,1
steaks-info,the-wicked-sisters-story-chapter-5,The Wicked Sisters story; Chapter 5,fiction,"remember the the last time you asked me if oluch and ada were truly your sisters?""
chika nodded.""and you said they were.""
""i lied.""
""you lied?""

<center>https://steemitimages.com/0x0/http://wickedsistersault.com/wp-content/uploads/2015/04/wicked-sister-logo_small.gif</center>

""when i married your father."" ose continued, ""he had just lost his wife who left him with two daughters. ada was two years old and oluchi was just a baby. your father's wife had died giving birth to oluchi.""

chika looked shocked.""are you trying to say-""
""yes,"" ose nodded.""i nursed oluchi as though she was mine. i nursed both of you at the same time and anyone would have thought you girls were twins.""

""i don't understand,"" chika shook her head.
""when you father lost his wife at childbirth, he was distraught. he needed a nursing mother who could help him nurse the baby. i happened to be available at that time. i had just given birth to you and lost your father, too. i was desperate for a job and had to take up the offer. the man you gr","{""tags"":[""fiction"",""story"",""life"",""tales"",""creativity""],""image"":[""https://steemitimages.com/0x0/http://wickedsistersault.com/wp-content/uploads/2015/04/wicked-sister-logo_small.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-02-26 07:15:06,The Wicked Sisters story; Chapter 5,/fiction/@steaks-info/the-wicked-sisters-story-chapter-5,1
steaks-info,the-wicked-sisters-story-chapter-8-9d162b63142b4,The Wicked Sisters story; Chapter 8,story,"""Mama won't allow any of papa's relative near papa because of papa's wealth. She wanted all his properties to herself."" 

""But mama sold the same properties to save papa's life,"" chika said. And mama has kept a great amount for herself. She has gone blind because it has been confirmed that she killed papa. ""What are you trying to say?"" Chika stopped.



""Uncle Ike and the rest of our uncle's gave this to us to put under mama's pillow overnight,"" Ada brought out a red piece of cloth. ""They said if mama wakes up blind then she is responsible for papa's death and must pay.""


""What!"" Chika exclaimed. ""So you two have a hand in mama's blindness.


""Mama is paying for all the evil she has done. She killed our mother so she could marry papa. Now she has killed papa, too, to inherit his properties."" Chika shook her head in pity. ""Uncle Ike must have really poisoned your heart.""","{""tags"":[""story"",""life"",""fiction"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-01 21:27:18,The Wicked Sisters story; Chapter 8,/story/@steaks-info/the-wicked-sisters-story-chapter-8-9d162b63142b4,1
steaks-info,the-wise-prince-chapter-2-cdbe81d4cb6b1,The Wise Prince:chapter 2,children,"Mr Lawanson, a very rich man, loved his children dispite the fact that were all females. He carried his responsibilities as a good father would. One day his friend Mr.Quadri visited him. They were both talking when Joecelia walked in.
 ![image](https://img.esteem.ws/h0jqhh8vpt.jpg)

""Good afternoon sir,"" she greeted them, one after the other.
""Good afternoon Joecelia, how do you do?""
""I'm fine,"" she replied as she put on a bright smile.

""My friend, Joecelia here has been at home since she graduated from school and i don't want that so, I have decided to put her in charge of my company, because i know she will handle it well, when I am gone,"" Mr Lawanson said to Mr.Quadri.
""Oh, I see, that's ....that's good.
Congratations Joecelia...""Mr Quadri said as he put on a faint smile.
""Uncle Quadri, are you not happy,"" Joecelia asked Mr. Quadri who was deep in thoughg.
""Of course angel, I am happy, congratulations once again,"" he said.","{""links"":[],""image"":[""https://img.esteem.ws/h0jqhh8vpt.jpg""],""tags"":[""children"",""parents"",""nigeria""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-23 15:32:51,The Wise Prince:chapter 2,/children/@steaks-info/the-wise-prince-chapter-2-cdbe81d4cb6b1,0
steaks-info,the-wise-prince-chapter-9-56a12bab39b4f,The Wise Prince :chapter 9,story,"So that's it Hurts?  Joecelia said,  sobbing. 
Oh,  Joecy,  come on,  don't cry.  Seth is as stupid as anything,  Angela said. 
No,  no don't insult I'm,  it is not his fault,  it's because I am blind. 

[image](https://img.esteem.ws/h0jqhh8vpt.jpg)

So that means Seth did not really love you all this while,  In fact,  he is a jerk,  Jane said. 
Girls! I said stop insulting him.  If I was not blind,  Seth would never do this to me. 

I am unlucky,  she said and began to cry.  Her sisters consoled her,  telling her to calm down. Just then,  their mother came in.  She was surprised to see her daughter crying.","{""links"":[],""image"":[""https://img.esteem.ws/h0jqhh8vpt.jpg""],""tags"":[""story"",""wisdom"",""royalty"",""nigeria"",""love""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-01 20:15:33,The Wise Prince :chapter 9,/story/@steaks-info/the-wise-prince-chapter-9-56a12bab39b4f,0
steaks-info,the-wise-prince-chapter-8-c675c74c6b3cd,The Wise Prince:Chapter 8,story,"How can the woman I want to marry be blind? Joecelia is my woman and I want to marry her. Shit! All my friends will make jest of me that I have a blind wife. No way! I must go and and look for another woman who is not a blind. Ah! Shit! What a mess!  He thought as he turned. 

image](https://img.esteem.ws/h0jqhh8vpt.jpg)

Seth did not visit Joecelia again. Two months later, he met Bridget and fell in Love with her. He took her to his parents and they accepted her. 
Jane and Angela visited home and spent time with Joecelia. While they were talking, a post man arrived with a letter for Joecelia. Jane received it happily. 
Oh, Joey, you have a letter from Seth, your guy, Jane said. 
What did he say?  Joecelia asked as she sat up expectantly. 
Well, I don't know yet, guess I have to read out, Jane said as she opened it and began to read. it read:","{""links"":[],""image"":[""https://img.esteem.ws/h0jqhh8vpt.jpg""],""tags"":[""story"",""royalty"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-03-30 21:54:00,The Wise Prince:Chapter 8,/story/@steaks-info/the-wise-prince-chapter-8-c675c74c6b3cd,0
