author,permlink,title,category,body,json_metadata,created,root_title,url,children
steemit-virus,steemit-virus-contest-6-awarding-creativity,STEEMIT VIRUS CONTEST #6; Awarding Creativity,steemit-virus,"### The objective of the steemit virus contest is to build creativity.

https://steemitimages.com/0x0/https://www.pickaweb.co.uk/blog/wp-content/uploads/2014/08/iStock_000016885438Small.jpg

### Being Creative goes beyond writing what you see, telling a story about the picture. It requires you to make, bake and serve what you see, that others are not seeing.

### Steemit-virus contest is rewarding creativity. I love creativity and I cherish creative minds. Rewarding a creative mind is encouraging creativity

https://steemitimages.com/DQmaSJdXXBdng42DtC1avDBrNQBQcRctRJzTz9qYEuGKTyY/steemit-virus%20pure%20tbs%20rgb.png

### Do you want to show how creative you are??

###### Let the contest start rolling

Show me you are the one I'm talking about. Make a post, playing with your creative mind on the image below. Contestants are free to choose their desired topic provided it is creative.

<center>![hands-2763536_640.jpg](https://steemitimages.com/DQmRMw6ij2F4vh78qNXksEbjd5LNb56TzroKQryioAKtUc5/hands-2763536_640.j","{""tags"":[""steemit-virus"",""contest"",""nigeria"",""africa"",""creativity""],""image"":[""https://steemitimages.com/0x0/https://www.pickaweb.co.uk/blog/wp-content/uploads/2014/08/iStock_000016885438Small.jpg"",""https://steemitimages.com/DQmaSJdXXBdng42DtC1avDBrNQBQcRctRJzTz9qYEuGKTyY/steemit-virus%20pure%20tbs%20rgb.png"",""https://steemitimages.com/DQmRMw6ij2F4vh78qNXksEbjd5LNb56TzroKQryioAKtUc5/hands-2763536_640.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/GENERIC.gif"",""https://steemitimages.com/0x0/https://steemitimages.com/DQmPRJZcvCKDA77UPNaeoB77TViyozeaTzvZ3zLn3Es5k4J/%40steemit-virus.png"",""https://steemitimages.com/DQmXYVnR68gJHPfTQaPUVSBe3HdjAUTXsyEB617PpYFtvr3/divider2.png"",""https://steemitimages.com/0x0/https://steemitimages.com/DQmetUumyu4JUudfKNzCizLBXkBy5mQxtQvzfnoiyEoFxGg/IMG-20170728-WA0012.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-25 07:55:27,STEEMIT VIRUS CONTEST #6; Awarding Creativity,/steemit-virus/@steemit-virus/steemit-virus-contest-6-awarding-creativity,78
steemit-virus,steemit-virus-contest-10-untalented-mama,Steemit Virus Contest #10; untalented-mama,nigeria,"Steemit virus contest is back, bigger and better. Due to certain unforeseeable events, the steemit virus contest had a break for a while. 

https://steemitimages.com/DQmeR31XfgcHcuM9maGizunVYS5k52fzGAJRuYjtDXgZDyq/Steemit-virus%20cmyk.png

The steemit virus contest #10 is unique and will be celebrating a mother of a steemit Icon and a person of great impact, @surpassinggoogle. 

## SO LET'S GET INFECTED BY THE STEEMIT-VIRUS
>Creativity is just connecting things. When you ask creative people how they did something, they feel a little guilty because they didn't really do it, they just saw something. It seemed obvious to them after a while. That's because they were able to connect experiences they've had and synthesize new things. - Steve Jobs.

## Let's Do Steemit Virus contest

>Write One Beautiful Steemit Post Each, That Will Invite Every Mama On Mama Earth To Steemit.
The contest is coined from @surpassinggoogle's post 

https://steemitimages.com/0x0/https://i.imgur.com/toY8CTS.jpg

## CONTEST RULE

* Posts","{""tags"":[""nigeria"",""africa"",""contest"",""untalented-mama"",""steemit-virus""],""users"":[""surpassinggoogle""],""image"":[""https://steemitimages.com/DQmeR31XfgcHcuM9maGizunVYS5k52fzGAJRuYjtDXgZDyq/Steemit-virus%20cmyk.png"",""https://steemitimages.com/0x0/https://i.imgur.com/toY8CTS.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/GENERIC.gif"",""https://steemitimages.com/0x0/https://steemitimages.com/DQmPRJZcvCKDA77UPNaeoB77TViyozeaTzvZ3zLn3Es5k4J/%40steemit-virus.png""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-26 09:03:03,Steemit Virus Contest #10; untalented-mama,/nigeria/@steemit-virus/steemit-virus-contest-10-untalented-mama,20
steemit-virus,steemit-virus-contest-10-this-sunday,Steemit-Virus Contest #10.. This Sunday,contest,"# STEEMIT-VIRUS CONTEST 

10TH EDITION

https://steemitimages.com/0x0/https://www.pickaweb.co.uk/blog/wp-content/uploads/2014/08/iStock_000016885438Small.jpg

will be going live this weekend, on Sunday the 26th.

this contest is to reward creative writers on steemit. 
previous contest have been very good
The steemit-virus contest is a ground where creative minds play with creativity in their own space.

Show me you are creative enough to be the winner
CONTEST RULE
Posts must not be older than this post
Posts must be 500 words and above
Comment on this post with a link to your post
Comments must be within 48 hours to be eligible.
Contest is opened exclusively to red fishes and minnows
There will be four winners (1 grand winner and 3 runner-ups )
Contest will end 48 hours, after contest starts.
Plagiarism is not accepted, reference all images that are not originally yours
Use the tag #contest and #steemit-virus in addition to your other tags
The Winners are not determined based on the numbers of votes on comme","{""tags"":[""contest"",""steemit-virus"",""world"",""africa"",""nigeria""],""image"":[""https://steemitimages.com/0x0/https://www.pickaweb.co.uk/blog/wp-content/uploads/2014/08/iStock_000016885438Small.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/GENERIC.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-24 21:15:54,Steemit-Virus Contest #10.. This Sunday,/contest/@steemit-virus/steemit-virus-contest-10-this-sunday,0
steemit-virus,love-is-the-greatest-of-all-steemit-virus-contest-is-back,Love is the greatest of all. Steemit-virus contest is back.,culture,"### _""Love is the greatest of all""_
https://thelatest.co.uk/files/2012/04/The_Greatest_Is_Love_image_email_banner_opt.jpg
[Source](https://thelatest.co.uk/files/2012/04/The_Greatest_Is_Love_image_email_banner_opt.jpg)
___
Everyone knows this and we quote it every once in a while. It is however ironic that there is so little love in the world.
The idea of love has been so twisted in our world that what we mostly refer to as love is selfish interest.

There used to be a time when philanthropy was a noble venture. Now, it’s no longer so. Many people give, not out of love but as a way to reiterate their superiority and in excahge, they demand that their feet be kissed.

Leaders do not understand the sacrifice that goes hand-in-hand with their position. They now see it as the appropriate platform to unleash oppression.

Love is a verb. It’s an action word. It’s going beyond the feeling of pity and taking action.
Valentine’s day is not the day to celebrate love. Love is an act that should be practiced on a daily b","{""tags"":[""culture"",""life"",""contest"",""steemit-virus"",""nigeria""],""users"":[""joecxt""],""image"":[""https://thelatest.co.uk/files/2012/04/The_Greatest_Is_Love_image_email_banner_opt.jpg"",""https://i.pinimg.com/originals/2f/9d/96/2f9d96b4eae6904a7dc9279394667bed.jpg"",""https://steemitimages.com/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP/DQmcGTgE9ztQ7QmWESyE7uVqLrUqfbAa1fsTCod6dmsFYjP.gif""],""links"":[""https://thelatest.co.uk/files/2012/04/The_Greatest_Is_Love_image_email_banner_opt.jpg"",""https://static.skillshare.com/uploads/project/f5a99ad7a64a312573f6ae32a7488d72/c8b7482a"",""https://i.pinimg.com/originals/2f/9d/96/2f9d96b4eae6904a7dc9279394667bed.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-23 16:45:15,Love is the greatest of all. Steemit-virus contest is back.,/culture/@steemit-virus/love-is-the-greatest-of-all-steemit-virus-contest-is-back,1
steemit-virus,as-a-steemian-in-the-nigeria-community,As a steemian in the #nigeria community...,community,"So this post is to address the new issue of complains by some quarters of the Nigerian community on steemit about the Curators. After reading @gbenga 's post, if you still have issues, it's simple.
>1. You get a loan and invest in steemit
>2. You decide to do better by looking at other tags on steemit such as utopian-io or steemit-virus not or steemstem or try out contests to see if you can make decent earnings
>3. Quit steemit altogether

I saw from @gbenga 's post  that he barely gets a good night rest and then it still seems like he's done nothing.
https://i.pinimg.com/736x/4d/82/e1/4d82e1e1d80baea2ff7c53f614091eac--quotes-about-teamwork-quotes-about-goals.jpg
[Source](https://i.pinimg.com/736x/4d/82/e1/4d82e1e1d80baea2ff7c53f614091eac--quotes-about-teamwork-quotes-about-goals.jpg)
Steemit #nigeria #curators are not bots, they are humans and as such I believe they should be checked upon at intervals by community members and possibly be given SP gifts or even SBD gifts not as a way of ass licking but as a ","{""tags"":[""community"",""growth"",""curation"",""steemit-virus"",""nigeria""],""users"":[""gbenga"",""joecxt""],""image"":[""https://i.pinimg.com/736x/4d/82/e1/4d82e1e1d80baea2ff7c53f614091eac--quotes-about-teamwork-quotes-about-goals.jpg"",""http://blackface.com.ng/wp-content/uploads/2017/07/nigeria-map-flag-1.jpg"",""http://www.tv360nigeria.com/wp-content/uploads/2016/08/CoxAzl5XgAA1_V7.jpg_large-1024x576.jpg"",""http://highpointchristian.org/wp-content/uploads/2015/09/showlove.jpg"",""https://steemitimages.com/DQmRKgYYp1TzWmvqtnfbMSLZQSgUXinUxqyHyd39HZ8j7gx/DQmRKgYYp1TzWmvqtnfbMSLZQSgUXinUxqyHyd39HZ8j7gx.gif""],""links"":[""https://i.pinimg.com/736x/4d/82/e1/4d82e1e1d80baea2ff7c53f614091eac--quotes-about-teamwork-quotes-about-goals.jpg"",""http://blackface.com.ng/wp-content/uploads/2017/07/nigeria-map-flag-1.jpg"",""http://www.tv360nigeria.com/wp-content/uploads/2016/08/CoxAzl5XgAA1_V7.jpg_large-1024x576.jpg"",""http://highpointchristian.org/wp-content/uploads/2015/09/showlove.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-21 22:03:54,As a steemian in the #nigeria community...,/community/@steemit-virus/as-a-steemian-in-the-nigeria-community,1
steemit-virus,no-bad-days,No Bad Days.,motivation,"Some days can be absolutely overwhelming. Things just don’t just work out as planned. 
Some of these days start out very well, looking very promising but out of nowhere things start to go wrong.
Let’s say you have a presentation at the office and you’ve been preparing for weeks. You got home the previous day and realized you forgot your flash drive in the office. You don’t panic because you know it’s safe in your office drawer moreover, you’re very well prepared. 
You wake up feeling energized, ready to slay that presentation. You get to the office early feeling confident. You don’t even bother to look for the flash immediately.
It’s five minutes to the meeting. Everything is set. You reach into the drawer to retrieve the flash drive and it’s not there. Your mind does not even bother to panic at first because it’s just a joke. 
You bend and peer into the drawer very well, still no flash. Now your heart is pumping more blood than usual. You’re cold and sweating at the same time.
“If this is a joke, you better","{""tags"":[""motivation"",""challenge"",""life"",""steemit-virus"",""nigeria""],""image"":[""http://thesweetestfragrance.com/wp-content/uploads/2016/05/no-bad-days.jpg""],""links"":[""http://thesweetestfragrance.com/wp-content/uploads/2016/05/no-bad-days.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-20 21:02:48,No Bad Days.,/motivation/@steemit-virus/no-bad-days,0
steemit-virus,your-mind-is-powerful-when-you-use-it-rightly,Your Mind is Powerful When You Use It Rightly.,motivation,"Our minds are our greatest assets as humans. It’s the one major thing that differentiates us from other creatures.
http://livestrongandsore.com/wp-content/uploads/2013/11/1002728_534867199911260_2045367201_n.jpg
[image source](http://livestrongandsore.com/wp-content/uploads/2013/11/1002728_534867199911260_2045367201_n.jpg)
On the other hand, this asset can be our very undoing.
https://blog.matthewferry.com/wp-content/uploads/2017/04/the-mind-as-an-obstacle-vs-an-asset-01-768x506.png
A child is born Tabular-rasa but everything that happens throughout his lifetime, culminates to shape who he becomes.
http://images.parents.mdpcdn.com/sites/parents.com/files/styles/scale_1500_1500/public/GettyImages-142740227.jpg
[Image source](http://images.parents.mdpcdn.com/sites/parents.com/files/styles/scale_1500_1500/public/GettyImages-142740227.jpg)
His mindset becomes largely molded by the environment(s) in which he grew up in, family – which is the first point of socialization, friends and everyone he comes in contact w","{""tags"":[""motivation"",""challenge"",""life"",""steemit-virus"",""nigeria""],""users"":[""joecxt""],""image"":[""http://livestrongandsore.com/wp-content/uploads/2013/11/1002728_534867199911260_2045367201_n.jpg"",""https://blog.matthewferry.com/wp-content/uploads/2017/04/the-mind-as-an-obstacle-vs-an-asset-01-768x506.png"",""http://images.parents.mdpcdn.com/sites/parents.com/files/styles/scale_1500_1500/public/GettyImages-142740227.jpg"",""http://guided-transformation.com/wp-content/uploads/2016/11/The_Power_of_Your_Subconscious_Mind-Picture-468x234.jpg""],""links"":[""http://livestrongandsore.com/wp-content/uploads/2013/11/1002728_534867199911260_2045367201_n.jpg"",""http://images.parents.mdpcdn.com/sites/parents.com/files/styles/scale_1500_1500/public/GettyImages-142740227.jpg"",""http://guided-transformation.com/wp-content/uploads/2016/11/The_Power_of_Your_Subconscious_Mind-Picture-468x234.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-20 03:59:03,Your Mind is Powerful When You Use It Rightly.,/motivation/@steemit-virus/your-mind-is-powerful-when-you-use-it-rightly,0
steemit-virus,a-world-without-racism-is-possible-black-man-open-your-mind,"A World Without Racism is Possible. Black man, Open your mind.",parenting,"I was inside a public transport vehicle on my way home from work one evening when a white truck passed us by.
[![images.png](https://s33.postimg.org/n4xz4ndmn/images.png)](https://postimg.org/image/h40a7kr0b/)
[Source](https://s33.postimg.org/n4xz4ndmn/images.png)
Seated behind the truck were about seven young men. They looked to me like labourers on their way to a site. I couldn’t tell for sure.
At the driver and passenger’s seats were two white guys.
Immediately the trucked passed in the opposite direction, someone in my vehicle said, “Slave mentality.”
Another passenger asked him why he said that and in reply, he explained that because the men in front where white and the ones behind were black, the white men must be racist.
“It is only in this country, you’ll see where a white man is oppressing a black man on his own land,” he said. Some of the passengers nodded in agreement and I was puzzled.
Usually, in situations like these, I’d be quiet but this time, I couldn’t just be quiet. My curiosity won as I w","{""tags"":[""parenting"",""racism"",""life"",""untalented"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown"",""image"":[""https://s33.postimg.org/n4xz4ndmn/images.png"",""https://img00.deviantart.net/296e/i/2007/081/9/1/no_racism_by_feiti.jpg""],""links"":[""https://postimg.org/image/h40a7kr0b/"",""https://s33.postimg.org/n4xz4ndmn/images.png"",""https://img00.deviantart.net/296e/i/2007/081/9/1/no_racism_by_feiti.jpg""],""users"":[""joecxt""]}",2017-11-19 04:42:27,"A World Without Racism is Possible. Black man, Open your mind.",/parenting/@steemit-virus/a-world-without-racism-is-possible-black-man-open-your-mind,4
steemit-virus,five-things-we-learnt-from-nigeria-s-win-over-argentina-20171116t163721320z,Ajegunle to the World from the eyes of a steemian. Part 1,culture,"Hi steemians...
This is a really sensitive and fun topic for me. I'll  start first with the history of Ajegunle. Ajegunle as the name implies in Yoruba language where the name was derived from, means a place where riches dwells. In other words a land with talents. ![image](https://img.esteem.ws/eo22mukio7.jpg)
Yes, Ajegunle or AJ city is home to talents( me for example, lol)Samson Siasia, a former player and coach of the Nigerian national team,  ![image](https://img.esteem.ws/qf8c0alkib.jpg)
Daddy Showkey, a music legend of the Nigerian entertainment industry,  ![image](https://img.esteem.ws/egjjc1wmmk.jpg)
Oritse Femi  ![image](https://img.esteem.ws/8axukajedg.jpg)
Nigerian and Shandong Lueng of China striker, Odion Ighalo and many others.
Located in the Ajeromi Ifelodun local government area of Lagos state,  ![image](https://img.esteem.ws/rj4aobftyk.jpg)Ajegunle derives its awesomeness from that the fact that we have most, if not all the ethnic groups and tribes of Nigeria living and enjoying life here. Th","{""image"":[""https://img.esteem.ws/eo22mukio7.jpg"",""https://img.esteem.ws/qf8c0alkib.jpg"",""https://img.esteem.ws/egjjc1wmmk.jpg"",""https://img.esteem.ws/8axukajedg.jpg"",""https://img.esteem.ws/rj4aobftyk.jpg"",""https://img.esteem.ws/qhw13w7whn.jpg""],""users"":[""beingnonye""],""tags"":[""culture"",""lagos"",""untalented"",""steemit"",""nigeria""],""app"":""steemit/0.1"",""format"":""markdown"",""community"":""esteem""}",2017-11-16 15:37:48,Ajegunle to the World from the eyes of a steemian. Part 1,/culture/@steemit-virus/five-things-we-learnt-from-nigeria-s-win-over-argentina-20171116t163721320z,2
steemit-virus,five-things-we-learnt-from-nigeria-s-win-over-argentina-20171115t22472797z,Five Things We Learnt From Nigeria's Win Over Argentina,football,"![image](https://img.esteem.ws/bg6sw3qrt9.jpg)

Here are the five things we learnt from Nigeria's international friendly win against Argentina, as we make preparations for Russia 2018 World Cup Finals.
Although, some would want to argue it was just a friendly and it doesn't ""hold much water"" or signify that the Nigerian National team are making the much needed progress tactically or simply disagree that it'd be an entirely different ballgame if Messi had played. I think a visibly upset Sampoli, the Argentine Coach, who had gone into the game unbeaten would argue with that assertion, as the Super Eagles came from two(2) goals down to defeat La Albiceleste, without Victor Moses and some of our other major players.

## Nigeria Team Needs Enyema Back ASAP
Before Super Eagles choice goalkeeper, Carl Ikeme was diagnosed with acute leukaemia, the Nigerian team were enjoying life after Enyeama, because Ikeme was almost at par with him and we didn't really have issues between the sticks. Now with Ikeme sidelined, all","{""links"":[],""image"":[""https://img.esteem.ws/bg6sw3qrt9.jpg"",""https://img.esteem.ws/uozbt25gz2.jpg"",""https://img.esteem.ws/a44hwbpa82.jpg"",""https://img.esteem.ws/s3s6ik9oz4.jpg"",""https://img.esteem.ws/cmajmolpv5.jpg"",""https://img.esteem.ws/s3s6ik9oz4.jpg""],""users"":[""joecxt""],""tags"":[""football"",""worldcup"",""russia2018"",""argentina"",""nigeria""],""app"":""esteem/1.4.6"",""format"":""markdown+html"",""community"":""esteem""}",2017-11-15 21:47:42,Five Things We Learnt From Nigeria's Win Over Argentina,/football/@steemit-virus/five-things-we-learnt-from-nigeria-s-win-over-argentina-20171115t22472797z,1
