author,permlink,title,category,body,json_metadata,created,root_title,url,children
tejumola,common-flaws-in-marriages-chapter-fourteen,Common Flaws in Marriages......Chapter Fourteen,marriage,"Joy felt weak and her hands dropped, in a little corner of her mind she wanted to scream out happily, Caleb looked at her and walked straight into the room without saying a word to her.
https://static.pulse.ng/img/gist/crop3239920/8904674454-chorizontal-w1200-h630/couple1.jpg
[Image Location](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjl--K2kvzWAhUBsBQKHWZECAQQjRwIBw&url=http:%2F%2Fwww.pulse.ng%2Flifestyle%2Frelationships-weddings%2Fcouples-only-20-sexy-secrets-to-spice-up-your-wedding-night-id3239930.html&psig=AOvVaw2nS0yj_hRPfwlGb2WIglRx&ust=1508483860126504)

She knew he was angry, so she followed behind immediately and she started to apologize. 

Joy: Darling, please I am sorry.

Caleb: But why will you even think that I could do something like that in the first place?

Joy: It was just a confusing situation, that was the only thought that came into my mind, and I could not just control it.

Caleb: So, if someone should tell you that I am fornicating, you ","{""tags"":[""marriage"",""love"",""crises"",""nigeria"",""africa""],""image"":[""https://static.pulse.ng/img/gist/crop3239920/8904674454-chorizontal-w1200-h630/couple1.jpg"",""http://i.dailymail.co.uk/i/pix/2016/02/04/19/30E2113900000578-3430326-Temi_s_father_Femi_Otedola_may_be_a_Nigerian_billionaire_but_is_-a-76_1454615951044.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjl--K2kvzWAhUBsBQKHWZECAQQjRwIBw&url=http:%2F%2Fwww.pulse.ng%2Flifestyle%2Frelationships-weddings%2Fcouples-only-20-sexy-secrets-to-spice-up-your-wedding-night-id3239930.html&psig=AOvVaw2nS0yj_hRPfwlGb2WIglRx&ust=1508483860126504"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwiWtb2kkvzWAhWDOxQKHQFWBa8QjRwIBw&url=http:%2F%2Fwww.dailymail.co.uk%2Ffemail%2Farticle-3430326%2FInside-glamorous-world-Nigerian-socialite-sisters-set-inherit-millions.html&psig=AOvVaw2uQPz2Y8OUew1swxMfRdE8&ust=1508483820167441""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-10-19 07:23:33,Common Flaws in Marriages......Chapter Fourteen,/marriage/@tejumola/common-flaws-in-marriages-chapter-fourteen,0
tejumola,common-marital-issues-a-look-into-caleb-and-joy-s-marriage-continued,"Common Marital Issues, A Look Into Caleb and Joy's Marriage (Continued)",marriage,"Caleb felt sorry for what he did and the way he treated her, but it was not his fault to he tried to defend himself, how does she expect me to react in a situation but he wish he had not spoken to her in the manner at which he did.

He went back home and he sat on the sofa trying to watch a television program when Joy walked into the house and just walked passed him without saying a word. She went straight into the bathroom to have her bath and she went to bed.

The maid had brought food home from the restaurant for Caleb has Joy as instructed her as they were both to tired to begin to fix another meal. So she served him the food and went into her room to take care of her Child.

Caleb knew he should apologize for what he did, but his pride and ego will not just let him, he felt he had the right to get angry, so he refused to speak to her and he went to bed to sleep too.

https://i0.wp.com/www.vanguardngr.com/wp-content/uploads/2017/06/2in103.png?resize=350%2C200&ssl=1
[credit](https://www.google.com/url?sa=","{""tags"":[""marriage"",""love"",""fiction"",""nigeria"",""africa""],""image"":[""https://i0.wp.com/www.vanguardngr.com/wp-content/uploads/2017/06/2in103.png?resize=350%2C200&amp;ssl=1"",""http://buzznigeria.com/wp-content/uploads/2015/06/Ene-Lawani-John-Obauwana-812.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwivqu2tj5vXAhUBvRoKHS01BAwQjRwIBw&url=https%3A%2F%2Fwww.vanguardngr.com%2F2017%2F06%2Fshocking-women-secretly-reveals-reasons-nigerian-men-terrible-bed%2F&psig=AOvVaw008JRIAaBup51GSdC5m490&ust=1509548159103736"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjWsKKZj5vXAhUFM8AKHQKVACAQjRwIBw&url=http%3A%2F%2Fbuzznigeria.com%2Fcheck-out-these-nigerian-celebrity-love-affairs-that-made-waves-but-came-to-nothing%2F&psig=AOvVaw1vIlopketFGshj0ZtKsB-R&ust=1509548145055630""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-10-31 14:59:12,"Common Marital Issues, A Look Into Caleb and Joy's Marriage (Continued)",/marriage/@tejumola/common-marital-issues-a-look-into-caleb-and-joy-s-marriage-continued,0
tejumola,the-high-level-of-joblessness,The High Level of Joblessness,life,"The high level of joblessness in the country has led a lot of people into doing things that they never thought they could do throughout their life time on earth.

There are some job opportunities that even comes to one as a disguise, what you see on the plate of advertisement is not what you get to see at the end of the day when you get to the place for the job.

http://media.philstar.com/images/the-philippine-star/headlines/20140312/job-fair.jpg
[Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjozrvT-IzYAhWGOxQKHVYdDmUQjRwIBw&url=http%3A%2F%2Fwww.philstar.com%2Fbusiness%2F2017%2F03%2F14%2F1681058%2Funemployment-rate-increases-january-2017&psig=AOvVaw2_7nNIV9_bR8mStaP2LA2X&ust=1513459102551640)

There are some places where the company tells you that they need a masseur in their company but when you go for the job, what you are told is that you have no other option than to satisfy your client to the fullest and that means that you are going to have to give the","{""tags"":[""life"",""occupation"",""blog"",""africa"",""nigeria""],""image"":[""http://media.philstar.com/images/the-philippine-star/headlines/20140312/job-fair.jpg"",""https://media.indiatimes.in/media/content/2016/Oct/2_1475299412.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=imgres&cd=&cad=rja&uact=8&ved=0ahUKEwjozrvT-IzYAhWGOxQKHVYdDmUQjRwIBw&url=http%3A%2F%2Fwww.philstar.com%2Fbusiness%2F2017%2F03%2F14%2F1681058%2Funemployment-rate-increases-january-2017&psig=AOvVaw2_7nNIV9_bR8mStaP2LA2X&ust=1513459102551640"",""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiHk9jV-YzYAhVCWBQKHYLaDfMQjRwIBw&url=https%3A%2F%2Fwww.indiatimes.com%2Fnews%2Findia%2Funemployed-in-india-is-at-a-5-year-high-around-2-3-crore-people-are-jobless-262734.html&psig=AOvVaw3-FGkPfL64aQ7gilZ21UA-&ust=1513458969188735""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-12-15 21:26:45,The High Level of Joblessness,/life/@tejumola/the-high-level-of-joblessness,1
tejumola,the-amazing-super-star-episode-19,The Amazing Super Star [Episode 19],school,"That is a most unfair thing to say. You should be encouraging him not making fun of him, Jerry said to Caleb, he turned to Ayo.
Don't worry Ayo, I will help you with your studies, we will read together as of we are both going for the competition. I am sure you will be together.

http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg
[Image Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738) 

Fabian looked at Jerry. I will like to join you, he said. But Caleb laughed. I am not going for any competition and I am not joining you to read my head off when I have this week to play as much as I like.

Fabian pulled Caleb aside. Caleb, what is wrong with you? Don't you want to be brilliant and be like Jerry?","{""tags"":[""school"",""student"",""nigeria"",""africa""],""image"":[""http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-07 21:16:39,The Amazing Super Star [Episode 19],/school/@tejumola/the-amazing-super-star-episode-19,1
tejumola,the-amazing-super-star-episode-18-1b1f64e6ea946,The Amazing Super Star [Episode 18],classroom,"Then go to the  teacher and tell him that,"" Caleb said. 
Just  then Jerry and fabian joined them. ""what is going on here?"" Jerry asked. 
http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg
[Image Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738) 

   ""Ayobwas is still afraid of the quiz competition,"" Caleb said  and began to laugh.  Everything about his friend representing the class  at the competition amused him. 
He really wanted to see Ayobwas sitting on the podium with Ehinome looking at the ceiling for answer to questions thrown at them. 

The thought amused  him and he actually laughed even louder. 
  ""But you heard what the headmistress said today. 
You must take it as a challenge, "" Jerry said. 
   ""He is not ","{""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738""],""image"":[""http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg""],""tags"":[""classroom"",""student"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-06 22:25:54,The Amazing Super Star [Episode 18],/classroom/@tejumola/the-amazing-super-star-episode-18-1b1f64e6ea946,1
tejumola,the-amazing-super-star-episode-17,The Amazing Super Star [Episode 17],story,"We call you the leaders of tomorrow but we know you all cannot be leaders but you must strive to become a leader, only the best becomes leaders and the rest remain followers. This morning, I am challenging every child in this school to always strive to be the best because you are all leaders of tomorrow, he said.

Ayo was still not sure he was prepared enough to represent his class; he wished the teacher could change his mind but he knew that the teacher would not. When the children got to class later that morning, I am challenging every child in this school to always strive to be the best because you are the leaders of tomorrow, she said.

http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg
[Image Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV","{""tags"":[""story"",""children"",""student"",""nigeria"",""africa""],""image"":[""http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-05 16:15:57,The Amazing Super Star [Episode 17],/story/@tejumola/the-amazing-super-star-episode-17,3
tejumola,the-amazing-super-star-episode-16,The Amazing Super Star [Episode 16],story,"Ayo was annoyed but he did not say anything.He felt even better because Jerry and Fabian did not laugh.
Work hard, believe in yourself and trust your genuine efforts and you will just be excellent, Jerry said.

http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg
[Image Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738) 

The following Monday was the beginning of the inter-class quiz competition in the school. The children and teachers were punctual to school and the headmistress, Mrs Olateju spoke to the children and told them that every child must be challenged to represent his or her class.

Only the best are chosen to represent their classes and every child must see it as a challenge to be the best in any group you ","{""tags"":[""story"",""children"",""parenting"",""nigeria""],""image"":[""http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg""],""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738""],""app"":""steemit/0.1"",""format"":""markdown""}",2018-04-04 19:10:27,The Amazing Super Star [Episode 16],/story/@tejumola/the-amazing-super-star-episode-16,3
tejumola,the-amazing-super-star-episode-15-7ed78fd20ee68,The Amazing Super Star [Episode 15],children,"Jerry exchanged glances with Fabian and then turned to Ayo. You want to leave usbin this school? He asked. 


http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg
[Image Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738) 

Caleb was already laughing again. Just because you were given the honour to represent the class at thebinter-class quiz competition, you want to leave the school, he said. 

Fabian pit his hand around Ayo's shoulder. Come on; don't be depressed, you are already doing well because you are studying hard. Don't let thebquiz competition depress you. Just do your best and leave the rest, he said.

What if we come last?  Ayo asked. Everybody in class will blame me and they would laugh at me and make mesirab","{""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738""],""image"":[""http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg""],""tags"":[""children"",""story"",""nigeria"",""blog""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-03 17:09:00,The Amazing Super Star [Episode 15],/children/@tejumola/the-amazing-super-star-episode-15-7ed78fd20ee68,1
tejumola,the-amazing-super-star-episode14-a76f11eb3ba2d,The Amazing Super Star [Episode14],story,"When the boy returned to class, they found Ayo sleeping on his books. Caleb laughed. See the person that will represent us. He is even sleeping on his books, he said. 

http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg
[Image Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738) 

I am sure he did not sleep at night, Jerry said. 
Indeed, Caleb mocked. He's just not the reading type. He is the sleeping type. 

I know him very well. That Friday, the four boys were leaving school after school hours. Ayobwas worried. I wish the teacher did not pick me. I don't think I will be able to do it, he complained. 

Caleb burst into laughter. Jerry looked at Ayo. why do you think you can't do it? You must believe you can do it. 
I j","{""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738""],""image"":[""http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg""],""tags"":[""story"",""children"",""classroom"",""nigeria"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-02 21:45:42,The Amazing Super Star [Episode14],/story/@tejumola/the-amazing-super-star-episode14-a76f11eb3ba2d,1
tejumola,the-amazing-super-star-episode-13-244252a2404e5,The Amazing Super Star [Episode 13],classroom,"He can do it,  Jerry said. 
Caleb laughed.  Do what? Do you think he understands what he is reading?  Ayo is a dullard,  he said. 

http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg
[Image Link](https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738) 

I still don't understand why the teacher choose not to pick you and Sandra. The two of you can do us wonders. 

Why Ayo and Ehinome? Fabian complained. 
This will be a disaster for the class.  I am sure that Ayo won't even get a question right,  not to talk of Ehinome.  Our class is in trouble, Caleb said laughing.","{""links"":[""https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwis65XJvr7ZAhVEsKQKHQjhCF0QjRx6BAgAEAY&url=http%3A%2F%2Fgroundedparents.com%2F2015%2F03%2F30%2Fhouse-rules-to-love-honor-and-disobey%2F&psig=AOvVaw1nVQT8Qx8TlndV_UZK8Dy8&ust=1519559342220738""],""image"":[""http://groundedparents.com/files/2015/03/10509651_10152266428528358_2705979914365461592_n-e1427688308211.jpg""],""tags"":[""classroom"",""student"",""nigeria"",""children"",""africa""],""app"":""esteem/1.5.1"",""format"":""markdown+html"",""community"":""esteem""}",2018-04-01 18:33:54,The Amazing Super Star [Episode 13],/classroom/@tejumola/the-amazing-super-star-episode-13-244252a2404e5,2
