author,permlink,title,category,body,json_metadata,created,root_title,url,children
vhktor,facing-your-fears-is-a-needed-trait-for-progression,Facing your fears is a needed trait for progression.,motivation,"<center>https://thumb7.shutterstock.com/display_pic_with_logo/1350646/593986727/stock-photo-closeup-on-businessman-holding-a-card-with-text-face-your-fears-business-concept-image-with-soft-593986727.jpg
[Pixabay]()</center>
> Life has no meaning the moment you lose the illusion of been eternal because the moment you get a meaning to your life, you don't want to go back. You want to proceed.- Akinola Philip

A man's life should never be built on fear because once you allow fear into your life, you lose hold of the control over your  life and things that makes life worth living.

Fear simply means:
**F- False
E- Experience
A- Appearing
R- Real**

It is an element found in people who are not ready to take the best out of life. Fear draws one back and rips man of his right in life. Fear is one thing a man of vision should avoid. It is a cankerworm that destroys the totality of life even before its conception.

For a man that is striving or determined to succeed in life, there are some specific things to note and","{""tags"":[""motivation"",""life"",""people"",""nigeria"",""africa""],""image"":[""https://thumb7.shutterstock.com/display_pic_with_logo/1350646/593986727/stock-photo-closeup-on-businessman-holding-a-card-with-text-face-your-fears-business-concept-image-with-soft-593986727.jpg"",""https://steemitimages.com/DQmYeAMoemhSd4fFnHTHC4175xxNYYD6qHSAf9nCKBX2KzZ/images(4).jpg"",""https://steemitimages.com/DQmRhDtjokAZnGKi4QwheqksKTFo6m4fsjMYsNNrsitC1xk/DQmRhDtjokAZnGKi4QwheqksKTFo6m4fsjMYsNNrsitC1xk.gif""],""links"":[""https://www.google.com/search?q=face+your+fears&client=firefox-b&dcr=0&tbm=isch&prmd=ivns&ei=2PC2WdrCDM_EwALj8Z2oBw&start=40&sa=N#mhpiv=3&spf=1505161450801""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-11 20:53:15,Facing your fears is a needed trait for progression.,/motivation/@vhktor/facing-your-fears-is-a-needed-trait-for-progression,0
vhktor,appreciate-yourself,Appreciate Yourself,motivation,"https://cdn.pixabay.com/photo/2017/06/23/08/55/board-2433978__340.jpg

**What is my worth?**
Take your time, digest the question and answer it to yourself. Worth in this context is not about material possession, It is how you feel about yourself, that which you think of yourself.

Do you see yourself as a Success or Failure?

Do you see yourself as a Victor or a Loser?

We should all know that our thoughts and believes about ourselves contributes to the kind of person we are. We live what we think and our thought goes a long way in our life. What we actually think of ourselves is very important to our well being or to achieving our goals. You can't see yourself as a future and think you can actually be successful because the moment you feel or think you are a failure you quit trying to be a success, you feel why run when you already have a winner. 

This feeling of low self esteem might be as a result of previous occurrence in one's life probably you've had some experience which made you feel you can't make ","{""tags"":[""motivation"",""people"",""life"",""nigeria"",""africa""],""image"":[""https://cdn.pixabay.com/photo/2017/06/23/08/55/board-2433978__340.jpg"",""https://steemitimages.com/DQmRhDtjokAZnGKi4QwheqksKTFo6m4fsjMYsNNrsitC1xk/DQmRhDtjokAZnGKi4QwheqksKTFo6m4fsjMYsNNrsitC1xk.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-12 21:27:12,Appreciate Yourself,/motivation/@vhktor/appreciate-yourself,0
vhktor,stbot-proposed-logo,Stbot Proposed Logo,utopian-io,"@littleboy made a request for a logo for stbot. This is my proposed logo. 
@littleboy said the logo must have a statistic look so I got the idea for the logo from a pie chart.
I designed the logo in Adobe Illustrator 
![stbot logo blue.png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1514413499/xv1t9wfs0ywmerxfcirt.png)
###### The logo in grey scale
![stbot logo black.png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1514414732/ydw1scsszbqjg7iybjy8.png)
###### The logo in small and large scales
![stbot logo Scales.png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1514415283/v3l3bfeigq4xid5wgevq.png)
###### The work process 
![Screenshot (451).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1514415478/wmpme8kfvjoqtpf3oyaz.png)

![Screenshot (452).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1514415490/enhfrji2wwki8mx4obyh.png)


![Screenshot (453).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1514415503/dyvczolh5ipe2rl7fmu5.png)


![Screenshot (455).png](https:/","{""community"":""utopian"",""app"":""utopian/1.0.0"",""format"":""markdown"",""repository"":{""id"":113857060,""name"":""steemit-moderation"",""full_name"":""codename-littleboy/steemit-moderation"",""owner"":{""login"":""codename-littleboy"",""id"":32856591,""avatar_url"":""https://avatars2.githubusercontent.com/u/32856591?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/codename-littleboy"",""html_url"":""https://github.com/codename-littleboy"",""followers_url"":""https://api.github.com/users/codename-littleboy/followers"",""following_url"":""https://api.github.com/users/codename-littleboy/following{/other_user}"",""gists_url"":""https://api.github.com/users/codename-littleboy/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/codename-littleboy/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/codename-littleboy/subscriptions"",""organizations_url"":""https://api.github.com/users/codename-littleboy/orgs"",""repos_url"":""https://api.github.com/users/codename-littleboy/repos"",""events_url"":""https://api.github.com/users/code",2017-12-27 23:05:45,Stbot Proposed Logo,/utopian-io/@vhktor/stbot-proposed-logo,3
vhktor,my-second-entry-for-steemmakers-logo-design-contest,SteemMakers Logo Design Contest Second Entry ,utopian-io,"This is my second entry for  @steemmakers logo design contest. 
#### The idea behind the logo is that I wrapped the letter ""S"" from SteemMakers around a block, signifying the Blockchain. 
___
![SteemMakers Logo With Text.jpg](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513945886/tge6qr1lpsa7c6vg4mox.jpg)

##### Font Used: Arial Rounded MT Bold
##### [Download Font here](https://www.dafontfree.net/download-arial-rounded-mt-bold-f100343.htm)
___
![SteemMakers Logo With Tag Line.jpg](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513945910/suk9p2jtwrcxqmbjayqr.jpg)

___
![SteemMakers Logo Black_GREY.jpg](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513945969/bjevfewswelazj8hsgdr.jpg)
___
![SteemMakers Logo.jpg](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513946030/oqbaxa9qpdik44z2gfqs.jpg)
___
![SteemMakers Logo Black.jpg](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513946095/mcwxdxhypdnqubpw2wop.jpg)

___
The logo is highly scalable, and will appear unchanged in different sc","{""community"":""utopian"",""app"":""utopian/1.0.0"",""format"":""markdown"",""repository"":{""id"":112375521,""name"":""SteemMakers"",""full_name"":""JefPatat/SteemMakers"",""owner"":{""login"":""JefPatat"",""id"":13467568,""avatar_url"":""https://avatars0.githubusercontent.com/u/13467568?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/JefPatat"",""html_url"":""https://github.com/JefPatat"",""followers_url"":""https://api.github.com/users/JefPatat/followers"",""following_url"":""https://api.github.com/users/JefPatat/following{/other_user}"",""gists_url"":""https://api.github.com/users/JefPatat/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/JefPatat/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/JefPatat/subscriptions"",""organizations_url"":""https://api.github.com/users/JefPatat/orgs"",""repos_url"":""https://api.github.com/users/JefPatat/repos"",""events_url"":""https://api.github.com/users/JefPatat/events{/privacy}"",""received_events_url"":""https://api.github.com/users/JefPatat/received_events"",""type"":""User"",""site_adm",2017-12-22 12:48:48,SteemMakers Logo Design Contest Second Entry ,/utopian-io/@vhktor/my-second-entry-for-steemmakers-logo-design-contest,6
vhktor,my-1up-logo-design,My 1UP Logo Design ,utopian-io,"This is my 1UP logo design for @flauwy 1UP logo design [contest](https://steemit.com/utopian-io/@flauwy/1up-logo-contest-create-a-new-pixelart-mascot).

When I saw the word ""1UP"", what came into my mind was a space shuttle, hence I adapted the design based on a space shuttle 
![Space Shuttle.jpg](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513866517/skcwimxmphcs8inyevbm.jpg)

# Here is the Logo 
![1 UP Logo 1000px.png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513866668/exv2ghs2aefozibpcqoh.png)
###### 1000 px

___
![1 UP Logo 500px.png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513866790/tdjahwneablhvabjlnxh.png)
##### 500px

___
![1 UP Logo 250px.png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513866875/xrvegp54hyiv34kcgr3h.png)

###### 250px

___
![1 UP Logo 100px.png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513866922/ly7bltwlpw9jjlbakj3z.png)

###### 100px
___


### The design steps 
I did the pixel drawing and painting of the logo in Adobe Photoshop 
####","{""community"":""utopian"",""app"":""utopian/1.0.0"",""format"":""markdown"",""repository"":{""id"":112686220,""name"":""1UP"",""full_name"":""therealFlauwy/1UP"",""owner"":{""login"":""therealFlauwy"",""id"":33763122,""avatar_url"":""https://avatars2.githubusercontent.com/u/33763122?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/therealFlauwy"",""html_url"":""https://github.com/therealFlauwy"",""followers_url"":""https://api.github.com/users/therealFlauwy/followers"",""following_url"":""https://api.github.com/users/therealFlauwy/following{/other_user}"",""gists_url"":""https://api.github.com/users/therealFlauwy/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/therealFlauwy/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/therealFlauwy/subscriptions"",""organizations_url"":""https://api.github.com/users/therealFlauwy/orgs"",""repos_url"":""https://api.github.com/users/therealFlauwy/repos"",""events_url"":""https://api.github.com/users/therealFlauwy/events{/privacy}"",""received_events_url"":""https://api.github.com/users/there",2017-12-21 14:48:12,My 1UP Logo Design ,/utopian-io/@vhktor/my-1up-logo-design,7
vhktor,my-proposed-steem-plus-intro-image,My Proposed Steem-plus Intro Image,utopian-io,"This is my proposed intro image for @steem-plus. I designed it in Adobe Photoshop. 
___
![SteemPlus Image copy.jpg](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513256229/krjerzzrgw4kdmro5bm6.jpg)
___
The design process 
![Screenshot (254).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513256542/r4tqpz7dka0gnksp2etd.png)
![Screenshot (255).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513256598/zhs5vk6a6ecdmisjplsj.png)
![Screenshot (256).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513256676/vfkrdgxokflirue9icf3.png)
![Screenshot (257).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513256776/bhfceqv4juixpcpsa2x8.png)

![Screenshot (258).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513256895/opf9srhclxu7cj5dlyzc.png)
![Screenshot (259).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513257015/tzb4elyx32qxoijzt5do.png)
![Screenshot (260).png](https://res.cloudinary.com/hpiynhbhq/image/upload/v1513257143/mds7ba00itslrgsc7jmm.png)
![Screensh","{""community"":""utopian"",""app"":""utopian/1.0.0"",""format"":""markdown"",""repository"":{""id"":105204650,""name"":""SteemPlus"",""full_name"":""stoodkev/SteemPlus"",""owner"":{""login"":""stoodkev"",""id"":32375533,""avatar_url"":""https://avatars2.githubusercontent.com/u/32375533?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/stoodkev"",""html_url"":""https://github.com/stoodkev"",""followers_url"":""https://api.github.com/users/stoodkev/followers"",""following_url"":""https://api.github.com/users/stoodkev/following{/other_user}"",""gists_url"":""https://api.github.com/users/stoodkev/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/stoodkev/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/stoodkev/subscriptions"",""organizations_url"":""https://api.github.com/users/stoodkev/orgs"",""repos_url"":""https://api.github.com/users/stoodkev/repos"",""events_url"":""https://api.github.com/users/stoodkev/events{/privacy}"",""received_events_url"":""https://api.github.com/users/stoodkev/received_events"",""type"":""User"",""site_admin"":",2017-12-14 13:29:03,My Proposed Steem-plus Intro Image,/utopian-io/@vhktor/my-proposed-steem-plus-intro-image,2
vhktor,speaking-english-as-a-nigerian-showing-some-nigerian-english-blunders,Speaking English As A Nigerian: Showing some Nigerian English blunders.,nigeria,"I'm a Nigerian and English is not my local dialect but we are colonized by the Great Britain making English language to be our official language. Yes, we are taught English language in school but you don't expect every Nigerians to match up with the British in terms of spoken English. Don't get me wrong we speak good English yet we have some setbacks speaking the language.

# Incorrect English Spoken By Nigerian

<center>![images(2).jpg](https://steemitimages.com/DQmVbciyAyPMw2DTV4sYdaYVpn6DQckj2hoX6LJsVSUZbxq/images(2).jpg)</center>
[credit]()

Do you know there are some words we wrongly use or say in the English language? Some will say I am s science student, I don't need to know how to speak English or develop my English. But the truth of the matter is we need to brush up our English. In order for us to be respected and alive in our environment.
     Imagine if you see a marketer, so speaks to you fluently in good English, how will you feel?
Let's take a look and some errors and the correct usage;

Wrong:","{""tags"":[""nigeria"",""writing"",""steemit-education"",""community"",""africa""],""image"":[""https://steemitimages.com/DQmVbciyAyPMw2DTV4sYdaYVpn6DQckj2hoX6LJsVSUZbxq/images(2).jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-11-07 22:10:51,Speaking English As A Nigerian: Showing some Nigerian English blunders.,/nigeria/@vhktor/speaking-english-as-a-nigerian-showing-some-nigerian-english-blunders,1
vhktor,eart-and-it-s-wonders,Eart and it's wonders,life,"https://cdn.pixabay.com/photo/2017/08/25/10/54/bottles-2679746__340.jpg
[Pixabay]()

Good evening friends have you ever taken your time to go through this;

There are 3 things that are never satisfied & 4 that never says it is enough; the grave, the barren womb, the earth that is not filled with water; and the fire that never say it is enough.


There are 3 things that are too wonderful for me, 4 that I know not; the way of an eagle in the air, the way of a serpent upon a rock, the way of a ship in the midst of the sea & the way of a man with a maid.


For 3 things the earth is restless, 4 which it cannot bear; a servant when he reigneth, and a fool when he is filled with meat, for an odious woman when she married and a handmaid that is heir to her mistress.


There are 4 things which are little upon the earth, but they are exceedingly wise; the ""Ants"" are a people not strong, yet they prepare their meat in the summer, the ""Conies"" are but a feeble folk, yet make their houses in the rocks, the ""Locust"" have ","{""tags"":[""life"",""writing"",""motivation"",""nigeria""],""image"":[""https://cdn.pixabay.com/photo/2017/08/25/10/54/bottles-2679746__340.jpg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-10-31 22:28:24,Eart and it's wonders,/life/@vhktor/eart-and-it-s-wonders,0
vhktor,my-entry-to-steemit-virus-5-contest,My entry to Steemit Virus #5 Contest...,contest,"Hello Steemian,

Here is my entry to the @steemit-virus contest, where creativity is rewarded. Thank you @gbenga for this wonderful opportunity.

![photo_7953_20081119(2).jpg](https://steemitimages.com/DQmYEwfr5TKfin7t1Q7fCzRHuZFdUqAmeU1XtbPak2ZYhvV/photo_7953_20081119(2).jpg)

She has lost so much blood with no strength in her again. Crying in pain on the bed, sleeping on her belly in great pain, calling for help but to no avail. She decided to use every bit of strength in her to seek for help, she got off the bed crawling like a snake in great discomfort. She cursed the day she met Mike and silently pray she finds help, her heart was beating faster and she was thinking; is this the end for me?
____
___
Her name is Bola, a very attractive young lady, with nice curvatures, beautiful set of eyes and a wish of every man. She was a beauty to behold, modest and a very humble lady who was raised by her Grandma after losing her parents to a fatal accident. Bola is very brilliant and well loved by everyone around, ","{""tags"":[""contest"",""steemit-virus"",""writing"",""story"",""nigeria""],""users"":[""steemit-virus"",""gbenga""],""image"":[""https://steemitimages.com/DQmYEwfr5TKfin7t1Q7fCzRHuZFdUqAmeU1XtbPak2ZYhvV/photo_7953_20081119(2).jpg"",""https://steemitimages.com/DQmahG9STR1KC4aVJV3jb34v3KvEKfSkTDTCENTvQQoGSLZ/U5dsqExVCNGEyA7DXRKE6HkVwwBxvbc.gif""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-19 08:19:27,My entry to Steemit Virus #5 Contest...,/contest/@vhktor/my-entry-to-steemit-virus-5-contest,0
vhktor,a-shoot-on-nature,A Shoot on Nature,photography,"Nature is everything around us exempting the phenomenon made by Man. Nature, a beauty to behold. The ever dynamic nature changing at every point in time from the cool breeze of the sea, the ever changing color of oceans; blue in the morning and green emerald hue by noon, to the chirping of birds.

The most beautiful moments are the moments captured in nature where you enjoy the magnificence of God work. Take a shot of nature and see what it turns out to be. The artistic beauty of life emerges which is the more reason I enjoy capturing every moment with nature.

# Here Is My Shoot on Nature

![IMG_20170831_124818-01.jpeg](https://steemitimages.com/DQmSrLxTeDumjPtbzcBBHQPHgpG37SUQo6tue6DLUPY4RmG/IMG_20170831_124818-01.jpeg)

![IMG_20170831_124837-01.jpeg](https://steemitimages.com/DQmP64TPJk3KHqcdN6YRXqyhKFGpbPGU972iVs8RAhmWa5W/IMG_20170831_124837-01.jpeg)
A squirrel answering to the call of nature taking some bite

![IMG_20170831_130909-01.jpeg](https://steemitimages.com/DQmP8GP9vD1u81HBeKdRNMmbdraE7vtipCaPWt","{""tags"":[""photography"",""nature"",""life"",""nigeria""],""users"":[""vhktor""],""image"":[""https://steemitimages.com/DQmSrLxTeDumjPtbzcBBHQPHgpG37SUQo6tue6DLUPY4RmG/IMG_20170831_124818-01.jpeg"",""https://steemitimages.com/DQmP64TPJk3KHqcdN6YRXqyhKFGpbPGU972iVs8RAhmWa5W/IMG_20170831_124837-01.jpeg"",""https://steemitimages.com/DQmP8GP9vD1u81HBeKdRNMmbdraE7vtipCaPWtGAwXXUGdt/IMG_20170831_130909-01.jpeg"",""https://steemitimages.com/DQma9EkkE7ox24cZmX15YGWFfnr5mkDbBt5d4eXBPWU3gWj/IMG_20170831_130451-01.jpeg"",""https://steemitimages.com/DQmYNDRJuPw1QuLR3LUuVhYxjn7yZ6h4PzPLtA54J6scsUs/IMG_20170831_122000-01.Jpeg""],""app"":""steemit/0.1"",""format"":""markdown""}",2017-09-02 00:50:03,A Shoot on Nature,/photography/@vhktor/a-shoot-on-nature,2
